en,es,pt,de,tr,title,speaker,duration,tags
"
","
","
","
","
",Art can heal PTSD's invisible wounds,Melissa Walker,9:48,"creativity,humanity,mental health,illness,pain,mind,visualizations,violence,war,PTSD,TEDMED,depression,art"
"
											You are a high-ranking
military service member
											deployed to Afghanistan.
											You are responsible for the lives
											of hundreds of men and women,
											and your base is under attack.
											Incoming mortar rounds
are exploding all around you.
											Struggling to see
through the dust and the smoke,
											you do your best to assist the wounded
											and then crawl to a nearby bunker.
									","
											Eres un miembro de alto mando
del servicio militar
											desplegado en Afganistán.
											Eres responsable de las vidas
											de cientos de hombres y mujeres,
											y tu base está siendo atacada.
											Proyectiles de mortero
explotan a tu alrededor.
											Luchando para lograr ver
a través del polvo y del humo,
											haces tu mejor esfuerzo
para ayudar a los heridos
											y después arrastrarte
a algún búnker cercano.
									","
											Vocês são militares de alto posto
											colocados no Afeganistão.
											São responsáveis pela vida
											de centenas de homens e mulheres,
											e a vossa base está a ser atacada.
											Projéteis de morteiros
explodem à vossa volta.
											Com dificuldade em ver
no meio da poeira e do fumo,
											fazem o melhor que podem
para socorrer os feridos
											e depois rastejam
para um ""bunker"" próximo.
									","
											Sie sind ein ranghohes
Mitglied im Militärdienst,
											stationiert in Afghanistan.
											Sie sind verantwortlich für die Leben
											hunderter Frauen und Männer
											und Ihr Stützpunkt wird angegriffen.
											Mörsergranaten explodieren
überall um Sie herum.
											Sie bemühen sich, durch den Staub
und Rauch sehen zu können
											und tun Ihr Bestes, um 
den Verletzten zu helfen.
											Dann kriechen Sie zu einem nahen Bunker.
									","
											Afganistan'a sevk edilmiş,
											yüksek rütbeli bir askersiniz.
											Yüzlerce erkeğin ve kadının
											hayatlarından sorumlusunuz
											ve üssünüz saldırı altında.
											Çevrenizde, atılan
havan topları patlayıp duruyor.
											Toz ve dumanın ötesini görmeye çalışırken,
											yaralılara yardım etmek
için elinizden geleni yapıp
											yakındaki bir sığınağa
doğru emekliyorsunuz.
									",Art can heal PTSD's invisible wounds,Melissa Walker,9:48,"creativity,humanity,mental health,illness,pain,mind,visualizations,violence,war,PTSD,TEDMED,depression,art"
"
","
","
","
","
",Art can heal PTSD's invisible wounds,Melissa Walker,9:48,"creativity,humanity,mental health,illness,pain,mind,visualizations,violence,war,PTSD,TEDMED,depression,art"
"
											Conscious but dazed by the blasts,
											you lay on your side and attempt
to process what has just happened.
											As you regain your vision,
											you see a bloody face
											staring back at you.
											The image is terrifying,
											but you quickly come to understand
											it's not real.
									","
											Consciente, pero aturdido
por las explosiones,
											te recuestas y tratas de procesar
lo que acaba de suceder.
											Al recuperar tu vista,
											observas una cara sangrienta
											que te mira fijamente.
											La imagen es aterradora,
											pero pronto comprendes
											que no es real.
									","
											Conscientes, mas aturdidos
pelas explosões,
											ficam estendidos, e tentam perceber
o que é que aconteceu.
											Quando recuperam a vista,
											veem uma cara ensanguentada
											a olhar para vocês.
											A imagem é terrível,
											mas rapidamente começam a perceber
											que ela não é real.
									","
											Benommen von den Explosionen,
aber bei Bewusstsein,
											liegen Sie auf Ihrer Seite
											und versuchen,
die Ereignisse zu verarbeiten.
											Als Sie wieder sehen können,
											sehen Sie ein blutiges Gesicht,
											das Sie anstarrt.
											Der Anblick ist entsetzlich,
											aber Sie begreifen rasch,
											dass es nicht echt ist.
									","
											Bilinçlisiniz, ama 
bombalar yüzünden şaşkınsınız;
											bir kenara yatıyorsunuz ve az önce
neler olduğunu düşünmeye yelteniyorsunuz.
											Görüşünüz yerine geldikçe,
											size bakmakta olan
											kanlı bir yüz görüyorsunuz.
											Bu korkunç, fakat
											hemen anlıyorsunuz ki,
											bu gerçek değil.
									",Art can heal PTSD's invisible wounds,Melissa Walker,9:48,"creativity,humanity,mental health,illness,pain,mind,visualizations,violence,war,PTSD,TEDMED,depression,art"
"
","
","
","
","
",Art can heal PTSD's invisible wounds,Melissa Walker,9:48,"creativity,humanity,mental health,illness,pain,mind,visualizations,violence,war,PTSD,TEDMED,depression,art"
"
											This vision continues to visit you
multiple times a day and in your sleep.
											You choose not to tell anyone
for fear of losing your job
											or being seen as weak.
											You give the vision a name,
											Bloody Face in Bunker,
											and call it BFIB for short.
											You keep BFIB locked away in your mind,
											secretly haunting you,
											for the next seven years.
									","
											Esta imagen te persigue durante
el día y mientras duermes.
											Decides no contarle a nadie
por temor a perder tu trabajo
											o ser visto como débil.
											Le das un nombre a la imagen
											La Cara Sangrienta del Búnker,
											y lo abrevias como CSB.
											Mantienes a la CSB guardada
en tu mente,
											atemorizándote en secreto,
											por los siguientes siete años.
									","
											Esta visão continua a perseguir-vos
várias vezes por dia e durante o sono.
											Preferem não dizer nada a ninguém
com medo de perderem o posto
											ou de serem considerados fracos.
											Dão um nome a essa visão,
											""Cara Ensanguentada no 'Bunker'"",
											e chamam-lhe CEB, para abreviar.
											Mantêm o CEB trancado no vosso espírito,
											assombrando-vos em segredo,
											durante sete anos seguidos.
									","
											Dieses Traumbild erscheint Ihnen weiterhin
mehrmals am Tag und im Schlaf.
											Sie erzählen niemandem davon,
											aus Angst, Ihren Job zu verlieren
											oder als schwach gesehen zu werden.
											Sie geben diesem Traumbild einen Namen:
											""Blutiges Gesicht im Bunker"",
											kurz: BGIB.
											Sie bewahren BGIB in Ihrem Gedächtnis auf
											und es quält Sie insgeheim
											die nächsten 7 Jahre lang.
									","
											Bu görüntü, gün içerisinde ve
uykunuzda sizi birkaç kez ziyaret ediyor.
											İşinizi kaybetme ya da zayıf
görünme korkusuyla, bunu kimseye
											söylememeyi tercih ediyorsunuz.
											Bu görüntüye bir isim veriyorsunuz,
											Sığınaktaki Kanlı Yüz
											ve ona kısaca SKY diyorsunuz.
											SKY'yi zihninizde
kilit altında tutuyorsunuz,
											sonraki yedi yıl boyunca sizi
											gizlice rahatsız ediyor.
									",Art can heal PTSD's invisible wounds,Melissa Walker,9:48,"creativity,humanity,mental health,illness,pain,mind,visualizations,violence,war,PTSD,TEDMED,depression,art"
"
","
","
","
","
",Art can heal PTSD's invisible wounds,Melissa Walker,9:48,"creativity,humanity,mental health,illness,pain,mind,visualizations,violence,war,PTSD,TEDMED,depression,art"
"
											Now close your eyes.
											Can you see BFIB?
											If you can, you're beginning
to see the face
											of the invisible wounds of war,
											commonly known
as post-traumatic stress disorder
											and traumatic brain injury.
									","
											Ahora cierren los ojos.
											¿Pueden ver la CSB?
											Si pueden, están comenzando
a ver la cara
											de las heridas invisibles
de la guerra,
											comúnmente llamadas
trastorno por estrés postraumático
											y lesión cerebral traumática.
									","
											Agora, fechem os olhos.
											Conseguem ver o CEB?
											Se conseguem, começam a ver a cara
											das feridas invisíveis da guerra,
											conhecidas habitualmente por
perturbação pós-traumática
											e lesão intracraniana.
									","
											Schließen Sie jetzt Ihre Augen.
											Können Sie BGIB sehen?
											Wenn ja, dann beginnen Sie das Gesicht
											der unsichtbaren Kriegswunden zu sehen,
											gemeinhin bekannt als
Posttraumatische Belastungsstörung
											und Schädel-Hirn Trauma.
									","
											Şimdi, gözlerinizi kapatın.
											SKY'yi görebiliyor musunuz?
											Eğer görebiliyorsanız,
savaşın görünmez yaralarının
											yüzünü görmeye başlıyorsunuz; bu da
											travma sonrası stres
bozukluğu ve travmatik beyin hasarı
											olarak biliniyor.
									",Art can heal PTSD's invisible wounds,Melissa Walker,9:48,"creativity,humanity,mental health,illness,pain,mind,visualizations,violence,war,PTSD,TEDMED,depression,art"
"
","
","
","
","
",Art can heal PTSD's invisible wounds,Melissa Walker,9:48,"creativity,humanity,mental health,illness,pain,mind,visualizations,violence,war,PTSD,TEDMED,depression,art"
"
											While I can't say I have
post-traumatic stress disorder,
											I've never been a stranger to it.
									","
											Aunque yo no tenga
trastorno por estrés postraumático,
											nunca me ha sido ajeno.
									","
											Embora eu não possa dizer
que sofra de perturbação pós-traumática,
											isso é uma coisa que eu conheço.
									","
											Ich habe keine
Posttraumatische Belastungsstörung,
											sie ist mir aber auch nicht fremd.
									","
											Travma sonrası stres
bozukluğu yaşamamış olsam da,
											ona hiçbir zaman yabancı olmadım.
									",Art can heal PTSD's invisible wounds,Melissa Walker,9:48,"creativity,humanity,mental health,illness,pain,mind,visualizations,violence,war,PTSD,TEDMED,depression,art"
