pt,es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
",Everyday leadership,Drew Dudley,6:14,"TEDx,community,leadership,life,motivation"
"
											Queria começar por vos colocar
uma questão:
											Quantos de vós ficam
totalmente confortáveis
											ao se intitularem de líderes?
											Já fiz esta pergunta por todo o país
											e onde quer que a coloque, 
não interessa onde,
											há sempre uma percentagem enorme 
de pessoas que não levantam a mão.
											Tenho-me apercebido de que
transformámos a liderança
											em algo maior que nós.
											Transformámo-la em algo 
que vai além de nós.
											Algo que tem a ver com 
mudar o mundo.
											E nós pegámos neste título 
de líder e tratámo-lo
											como se fosse algo que 
um dia vamos merecer,
											mas atribuí-lo a nós mesmos agora
											traduz-se num nível de arrogância e vaidade
com o qual não estamos confortáveis.
											E, por vezes, preocupa-me que 
passemos tanto tempo
											a celebrar coisas fantásticas que 
quase ninguém consegue fazer
											que nos convencemos que essas são
as únicas coisas que merecem celebração
											e começamos a desvalorizar as coisas
que podemos fazer diariamente
											e começamos a pegar nos momentos
em que somos verdadeiramente líderes
											e não nos permitimos aceitar
os devidos créditos
											e não nos permitimos 
sentir bem por isso.
											Eu tenho sido bastante 
afortunado, nos últimos 10 anos,
											por trabalhar com pessoas fantásticas
											que me têm ajudado a redefinir 
liderança de uma forma
											que acredito me tem feito mais feliz.
											E no curto espaço de tempo que tenho, 
quero partilhar convosco
											a história que é provavelmente a 
responsável por essa redefinição.
									","
											Quiero empezar preguntando a todos:
											¿Cuántos de ustedes se sienten cómodos
											cuando los llaman líderes?
											¿Ven? Hice esa misma pregunta por todo el país,
											y en cada lugar que pregunto, no importa donde sea,
											siempre encuentro una gran parte 
de la audiencia que no levanta la mano,
											y me he dado cuenta de 
que consideramos el liderazgo
											como algo más grande que nosotros.
											Algo que está más allá de nosotros.
											Algo relacionado con cambiar el mundo.
											Y tomamos ese título de líder y lo consideramos
											como algo de lo que algún día seremos merecedores,
											pero adjudicárnoslo en este preciso momento
											implicaría llegar a un nivel de arrogancia o vanidad con la que no nos sentimos cómodos.
											Y a veces me preocupa que pasemos tanto tiempo
											festejando hechos asombrosos 
que muy pocos pueden lograr,
											que estemos convencidos de que esos hechos
											son los únicos que valen la pena 
celebrar, y comenzamos a
											menospreciar los hechos cotidianos, y comenzamos
											a subestimar momentos en los 
que realmente somos líderes,
											y no nos permitimos recibir mérito por ello,
											y no nos permitimos sentirnos bien por ello.
											He sido lo suficientemente afortunado en los últimos
											10 años de trabajar con gente maravillosa
											quienes me ayudaron a redefinir 
el liderazgo de un modo
											que, creo, me ha hecho más feliz.
											Y a pesar del poco tiempo que tengo, 
me gustaría compartir con ustedes
											la historia que probablemente sea 
la causa de esa redefinición.
									","
											I wanted to just start
by asking everyone a question:
											Kaçınız kendinize lider diyebilecek kadar
											rahat hissediyorsunuz?
											Görüyorsunuz, bu soruyu ülkenin her köşesinde sordum
											ve yer fark etmeksizin sorduğum her yerde,
											seyircinin büyük bir kısmı çoğunlukla ellerini kaldırmaz.
											Ve şunu anladım ki biz liderliği
											kendimizden daha büyük bir şey yapmışız.
											Kendimizden öte bir şey yapmışız.
											Dünyayı değiştirmekle ilgili bir anlam yüklemişiz.
											Ve biz bu liderlik sıfatına
											sanki bir gün hak edeceğimiz bir şeymiş de
											şu anda kendimize lider dememiz
											bir kibir ve ukalalık göstergesiymiş gibi davranıyoruz.
											Ve bazen, sadece başkalarının çok zor başarabileceği
											inanılmaz şeyleri başardığımız zaman kutlamaya çok zaman harcadığımızdan,
											sadece bu tarz şeylerin kutlamaya değer olduğuna
											kendimizi inandırdığımızdan endişeleniyorum ve böylece
											her gün yapabildiğimiz şeylerin değerini düşürmeye
											ve gerçek bir lider olduğumuz durumlar için zaman ayırmaya başlıyoruz
											ve bu durumlar için kendimize pay çıkarmamıza
											ve kendimizi bu hususta iyi hissetmemize izin vermiyoruz.
											Geçtiğimiz 10 yıl boyunca,
											beni daha mutlu ettiğine inandığım bir şekilde
											liderliği tekrar tanımlamama yardım eden
											inanılmaz insanlarla çalıştım.
											Bugün bu kısa zamanımda sadece, bu yeniden tanımlamanın
											belki de en büyük sebebi olan hikayeyi sizlerle paylaşmak istiyorum.
									","
											J'aimerais commencer 
par vous poser une question:
											Combien d’entre vous 
sont complètement à l’aise
											en tant que leader ?
											J’ai posé cette question dans tout le pays,
											et partout où je l’ai posée, où que ce soit,
											il y a toujours une grande partie du public qui ne lève pas la main.
											Et je me suis rendu compte que nous avons transformé le leadership
											en quelque chose de plus grand que nous.
											Nous l’avons transformé en quelque chose qui nous dépasse.
											Nous l’interprétons comme quelque chose qui change le monde.
											Nous avons pris possession de ce titre de leader 
et nous le traitons
											comme si c’était quelque chose que nous mériterions un jour,
											mais le prendre maintenant implique
											un niveau d’arrogance ou d’impudence avec lesquelles nous ne sommes pas à l’aise.
											Je m’inquiète parfois que nous passions tellement de temps
											à célébrer des choses extraordinaires que peu de gens peuvent faire
											que nous soyons convaincus que ce sont
											les seules choses qui valent la peine d'être célébrées, et nous commençons
											à dévaloriser les choses que nous pouvons faire tous les jours
											et les moments où nous sommes vraiment leader
											nous ne nous laissons pas en prendre le crédit,
											ni en profiter.
											J’ai eu assez de chance ces 10 dernières années
											de travailler avec des personnes extraordinaires
											qui m’ont aidé à redéfinir un leadership
											qui m’a, je crois, rendu plus heureux.
											Avec le peu de temps que j’ai aujourd’hui, 
je veux juste partager avec vous
											la seule histoire qui est probablement responsable de cette redéfinition.
									","
											Ich möchte mit einer Frage
an jeden von Ihnen beginnen:
											Wie viele von Ihnen 
fühlen sich damit wohl,
											sich selbst einen Anführer zu nennen?
											Diese Frage habe ich bereits im ganzen Land gestellt.
											und egal, wo ich danach frage,
											hebt immer ein Großteil des
Publikums nicht die Hand.
											So erkannte ich, dass wir
Führungskraft zu etwas gemacht haben,
											das größer ist als wir selbst.
											Sie ist nicht länger in unserer Macht.
											Es geht nun darum,
die Welt zu verändern.
											Und wir behandeln diesen 
Titel des ""Anführers"" so,
											als sei es etwas, das wir 
irgendwann verdienen werden,
											aber ihn uns jetzt zu verleihen,
											wäre ein Akt der Arroganz,
mit dem wir uns nicht wohlfühlen.
											Und manchmal frage ich mich, 
ob wir zu oft
											erstaunliche Dinge feiern, 
die fast unerreichbar sind,
											sodass wir überzeugt sind,
											dass nur diese Dinge 
wertvoll sind,
											und so entwerten wir 
das alltäglich Machbare,
											und geben uns selbst 
keine Anerkennung
											für die Momente, in denen wir 
wahre Führungskraft beweisen,
											und lassen uns sie nicht genießen.
											Und ich habe das große Glück, in den letzten
											zehn Jahren mit Leuten gearbeitet zu haben,
											mit denen wir ""Führung"" so definieren konnten,
											dass ich zufriedener 
damit bin.
											Und in meiner kurzen Zeit 
heute möchte ich mit Ihnen
											die eine Geschichte teilen, die die meiste 
Verantwortung für dieses Umdenken trägt.
									",Everyday leadership,Drew Dudley,6:14,"TEDx,community,leadership,life,motivation"
"
","
","
","
","
",Everyday leadership,Drew Dudley,6:14,"TEDx,community,leadership,life,motivation"
"
											Eu frequentei uma pequena escola
chamada Universidade de Mount Allison
											em Sackville, Nova Brunswick,
											e no meu último dia lá, uma 
rapariga veio ter comigo e disse:
											""Lembro-me da primeira 
vez que o conheci"".
											E depois contou-me uma história 
que aconteceu quatro anos antes.
											Ela disse: ""No dia em que
comecei a universidade,
											""estava no quarto de hotel 
com os meus pais e
											""estava tão assustada e tão convencida 
de que não era capaz de fazer isto,
											""de que não estava preparada para a 
universidade, que comecei a chorar.
											""E os meus pais foram fantásticos. 
Eles disseram-me:
											""Olha, nós sabemos que estás assustada 
mas vamos lá amanhã.
											""Vamos ao primeiro dia e se, 
em algum momento,
											""sentires que não consegues fazer
isto, tudo bem, diz-nos,
											""nós levamos-te para casa.
											""Amamos-te da mesma forma.""
									","
											Asistí a una pequeña facultad llamada Mount
											Allison University en Sackville, New Brunswick,
											y en mi último día de clases, 
una joven se me acercó y dijo:
											""Recuerdo la vez en que nos conocimos"".
											Y luego me contó una historia 
que había ocurrido 4 años atrás.
											Me dijo: ""El día anterior a 
que comenzara la universidad
											estaba en un cuarto de hotel con mis padres,
											y estaba tan temerosa y convencida 
de que no podría hacerlo,
											de que no estaba lista para 
la universidad, que rompí en llanto.
											Y mis padres reaccionaron 
sorprendentemente; me dijeron:
											'Sabemos que estás asustada, 
pero veamos qué pasa mañana.
											Dejemos que pase el primer día
y, si en algún momento
											sientes que no puedes hacerlo, 
está bien. Solo dínoslo
											y te llevaremos de vuelta a casa. 
Pase lo que pase, te seguiremos amando' "".
									","
											Ben, Sackville, New Brunswick'te küçük bir okul olan
											Mount Allison Üniversitesi'nde eğitim gördüm
											ve ordaki son günümde, bir kız bana geldi
											ve dedi ki, ""senle tanıştığım ilk anı hatırlıyorum.""
											Ve bana dört yıl önce olmuş bir olay anlattı.
											Dedi ki, ""Üniversiteye başlamadan bir önceki gün,
											annem ve babamla bir otel odasındaydım ve
											bunu yapamayacağımdan o kadar çok korkuyordum,
											kendimi üniversiteye hazır olmadığıma öyle çok ikna etmiştim ki, gözyaşlarına boğuldum.
											Ve annemle babam inanılmazdı. Bana dediler ki,
											'Bak, korktuğunu biliyoruz, ama yine de yarın gidelim.
											İlk gününde gidelim ve eğer herhangi bir noktada
											bunu yapamayacağını hissedersen, önemli değil, sadece söyle,
											seni eve geri götüreceğiz. Ne olursa olsun seni seviyoruz.""
									","
											J’ai fréquenté une petite école appelée
											Mount Allison University à Sackville, New Brunswick,
											et mon dernier jour là-bas une fille est venue me voir
											en disant, « Je me souviens de la première fois que je t’ai rencontré. »
											Et elle m’a raconté une histoire qui s’était passée 4 ans auparavant.
											Elle m’a dit, « Le veille du premier jour d’université,
											j’étais dans une chambre d’hôtel avec ma mère et mon père,
											et j’avais tellement peur et j’étais tellement persuadée de ne pas pouvoir le faire,
											que je n’étais pas prête pour l’université, que j’ai éclaté en sanglots.
											Et ma mère et mon père ont été merveilleux. Ils m’ont dit,
											« Ecoute, nous savons que tu as peur, mais allons-y demain.
											On essaye le premier jour et si à n’importe quel moment
											tu as la sensation de ne pas y arriver, ça ira, il suffit de nous le dire,
											et on te ramène à la maison. On t’aime quand même. »
									","
											Ich besuchte eine ziemlich 
kleine Uni namens
											Mount Allison University im kanadischen 
Sackville, New Brunswick,
											und an meinem letzten Tag
kam ein Mädchen auf mich zu
											und sagte: ""Ich erinnere 
mich an unser erstes Treffen.""
											Und dann erzählte sie mir eine Geschichte, 
die sich vor vier Jahren ereignet hatte.
											Sie sagte: ""Am Tag vor 
meinem ersten Tag hier
											war ich mit meinen Eltern im Hotelzimmer.
											Ich war so verängstigt und so überzeugt, 
dass ich das nicht schaffen würde,
											dass ich für die Universität nicht bereit 
war, dass ich einfach in Tränen ausbrach.
											Meine Eltern reagierten großartig. Sie sagten:
											'Wir wissen, dass du Angst hast, aber 
lass uns einfach morgen hingehen.
											Wir gehen einfach hin und 
wenn du irgendwann
											sagst, du schaffst das 
nicht, dann ist das okay.
											Dann fahren wir alle nach Hause. 
Wir lieben dich, egal, was passiert.'""
									",Everyday leadership,Drew Dudley,6:14,"TEDx,community,leadership,life,motivation"
"
","
","
","
","
",Everyday leadership,Drew Dudley,6:14,"TEDx,community,leadership,life,motivation"
"
											E ela disse: ""Então, fui no dia seguinte,
e estava em fila, à espera da inscrição,
											""olhei à volta e sabia que não 
seria capaz de continuar.
											""Eu sabia que não estava preparada. 
Sabia que tinha que desistir"".
											E ela diz: ""Tomei essa decisão 
e assim que a tomei,
											""senti uma sensação incrível de paz 
que se apoderou de mim.
											""Virei-me para os meus pais 
para lhes dizer
											""que precisávamos de ir para casa 
e nesse exato momento,
											""apareceu você vindo do 
edifício da União Estudantil
											""com um chapéu na cabeça do 
mais ridículo que já vi na vida"". (Risos)
											""Foi espetacular.
											""E trazia um cartaz grande 
de apoio à Shinerama,
											— que significa Estudantes 
Contra a Fibrose Cística"",
											uma associação de caridade com 
a qual trabalho há anos —
											""e trazia um balde cheio 
de chupa-chupas.
											""Ia caminhando e 
distribuindo chupa-chupas
											""às pessoas em fila e 
falava sobre a Shinerama.
											""E, de repente, chegou a mim e parou
											""e ficou a olhar. Foi assustador"". (Risos)
											Esta rapariga aqui sabe exatamente 
do que estou a falar. (Risos)
											""E depois olhou para o rapaz ao pé de mim
											""e sorriu, pôs as mãos no balde
											""e tirou de lá um chupa-chupa, 
apontou-o a ele e disse:
											""Tens que dar um chupa-chupa à bela 
mulher que está ao pé de ti"".
											E ela disse: ""Nunca vi ninguém a 
envergonhar-se mais depressa na vida"".
											""Ele ficou vermelho como um 
pimento e nem olhava para mim.
											""Ele apenas segurou no 
chupa-chupa assim"". (Risos)
											""E eu senti-me tão mal por este tipo 
que aceitei o chupa-chupa
											""e assim que o fiz, você fez 
uma cara incrivelmente séria,
											""olhou para os meus pais
											""e disse: 'Olhem só. Olhem só.
											""Primeiro dia longe de casa e 
já está a aceitar doces
											""de um estranho?!"" (Risos)
											E ela disse: ""Toda a gente se passou. 
Num raio de seis metros,
											""toda a gente começou a rir à gargalhada.
											""Eu sei que isto é piroso e nem sei 
porque é que lhe estou a contar isto
											""mas, nesse momento, quando 
toda a gente se ria,
											""eu soube que não devia desistir.
											""Eu soube que estava onde 
era suposto estar
											""e soube que estava em casa 
e em quatro anos
											""nunca falei consigo uma única vez 
desde esse dia,
											""mas ouvi dizer que 
está de partida
											""e tinha que vir dizer-lhe 
que tem sido uma
											""pessoa extremamente importante
na minha vida e que vou sentir saudades.
											""Boa sorte"".
									","
											Y continuó: ""Así que fui al día siguiente
											y estaba allí, parada en la fila 
esperando para registrarme,
											y miré a mi alrededor y lo supe: no podía hacerlo.
											Sabía que no estaba lista. 
Sabía que debía abandonarlo todo"".
											Y luego dijo: ""Tomé esa decisión, y al instante, sentí
											que me llenaba de una increíble sensación de paz.
											Y me di vuelta para decirle a mis padres que
											debíamos volver a casa, y justo en ese momento,
											tú saliste del edificio del centro de estudiantes
											luciendo el sombrero más ridículo 
que he visto en toda mi vida"". (Risas)
											""Fue genial.
											Y llevabas un gran letrero promocionando Shinerama,
											una asociación de estudiantes 
en lucha contra la fibrosis quística,
											—una fundación con la que 
había trabajado muchos años—
											y tenias un balde lleno de golosinas.
											Y caminabas por ahí, entregando golosinas
											a la gente en la fila y les hablabas de Shinerama.
											Hasta que de repente llegaste hasta mí y te detuviste,
											y me miraste fijamente. Fue escalofriante"". (Risas)
											Esta joven aquí sabe exactamente 
de lo que estoy hablando. (Risas)
											""Y luego miraste al muchacho parado a mi lado,
											y sonreíste, sacaste una golosina del balde,
											se lo diste y le dijiste:
											""Debes entregarle una golosina a la bella joven 
que está parada al lado tuyo"".
											Y ella dijo: ""Nunca vi a alguien 
avergonzarse tan rápidamente.
											Se puso rojo como un tomate y 
ni siquiera se atrevió a mirarme.
											Solo me entrego la golosina, así"". (Risas)
											""Y me sentí tan mal por él, que agarré la golosina
											y tan pronto como lo hice, te pusiste serio
											y miraste a mis padres y les dijiste:
											""Vean eso. Vean eso.
											Primer día fuera de casa, ¿y ya acepta caramelos
											de un extraño?"" (Risas)
											Y ella dijo: ""Todos estabamos pasmados y todos
											a mi alrededor comenzaron a carcajearse.
											Y sé que esto es cursi, y no sé 
por qué te lo estoy contando,
											pero en ese momento, cuando todos reían,
											supe que no debía abandonar.
											Supe que estaba donde debía estar,
											y supe que estaba en casa; y 
no te he hablado ni una vez
											en los cuatro años que pasaron desde ese día,
											pero escuché que te ibas,
											y tenía que venir a decirte que habías sido
											una persona muy importante en mi vida 
y que iba a extrañarte. Buena suerte"".
									","
											Ve kız dedi ki, ""Ertesi gün gittim,
											kayıt olmak için sırada bekliyordum,
											ve etrafıma baktım ve yapamayacağımı biliyordum.
											Hazır olmadığımı biliyordum. Bırakmam gerektiğini biliyordum.""
											Ve dedi ki, ""Bu kararı verdim ve verdiğim gibi
											bu inanılmaz huzur hissi içime doldu.
											Anneme ve babama dönerek onlara
											eve gitmemiz gerektiğini söyledim, tam o anda
											Öğrenci Birliği binasından hayatımda gördüğüm
											en aptal şapkayla sen çıkageldin."" (Kahkahalar)
											""Harikaydı.
											Ve Shinerama'yı destekleyen büyük bir tabela taşıyordun,
											bunun açılımı Kistik Fibrozisle Savaşan Öğrenciler,""
											- yıllarca birlikte çalıştığım bir hayır kurumu -
											""ve elinde bir kova dolusu lolipop vardı.
											Ve sıra boyunca yürüyordun ve sıradaki insanlara lolipop veriyor,
											onlara Shinerama'yı anlatıyordun.
											Ve birdenbire, bana geldin ve sadece durdun
											ve bana gözlerini diktin. Tüyler ürperticiydi."" (Kahkahalar)
											Şuradaki kız ne dediğimi tam olarak biliyor. (Kahkahalar)
											""Ve sonra yanımdaki çocuğa baktın,
											gülümsedin ve sepetine uzanarak bir lolipop çıkardın
											ve çocuğa tutarak dedin ki,
											'Yanında duran bu güzel kadına bir lolipop vermelisin.'""
											Ve dedi ki, ""daha önce hiç bu kadar çabuk utanan birini görmemiştim.
											Pancar kırmızısına dönmüş ve bana bakamamıştı bile.
											Lolipopu sadece şu şekilde tutabilmişti."" (Kahkahalar)
											Ve o çocuk için o kadar kötü hissetmiştim ki lolipopu aldım
											ve ben alır almaz, senin yüzünde inanılmaz haşin bir ifade oluştu
											ve anneme ve babama bakarak dedin ki,
											'Şuna bakın. Şuna bakın.
											Evden uzaktaki ilk günü ve şimdiden bir yabancının elinden
											şeker alıyor?!' (Kahkahalar)
											Ve dedi ki, ""Herkes kendini kaybetti. 7 metre uzağımızdaki
											herkes ulumaya başladı.
											Bu aptalca biliyorum ve sana bunu neden söylüyorum bilmiyorum,
											ama o an herkes gülerken,
											bırakıp gidemeyeceğimi biliyordum.
											Olmam gereken yerde olduğumu biliyordum,
											evimde olduğumu biliyordum ve o günden beri
											dört yıl boyunca seninle hiç konuşmadığımı biliyorum,
											ama ayrılıyor olduğunu duydum
											ve buraya gelip sana, benim hayatımda
											ne kadar önemli bir insan olduğunu ve seni özleyeceğimi söylemeliydim. İyi şanslar.""
									","
											Elle me dit, « J’y suis donc allée le lendemain
											et en faisant la queue pour l’enregistrement,
											je regardais autour de moi et je savais que je n’allais pas y arriver.
											Je savais que je n’étais pas prête. 
Je savais qu’il fallait que j’abandonne. »
											Elle me dit, « J’ai pris la décision, et l’instant où j’ai pris la décision,
											cette incroyable sensation de paix m’a envahie.
											Je me suis tournée vers mon père et ma mère pour leur dire
											qu’il fallait rentrer, et à ce moment-là,
											tu es sorti du bâtiment des étudiants.
											avec le chapeau le plus stupide que j’ai jamais vu. »
(Rires)
											« Il était super.
											Tu avais une grande pancarte pour la promotion de Shinerama,
											les étudiants contre la fibrose kystique »,
											une organisation caritative avec laquelle j’ai travaillé pendant des années –
											« tu avais un seau plein de sucettes.
											et tu marchais en distribuant ces sucettes
											aux personnes qui faisaient la queue en parlant de Shinerama.
											Soudain, tu t’es approché de moi, tu t’es arrêté,
											et tu m’as regardée. C’était effrayant. » 
(Rires)
											La fille qui est là sait exactement de quoi je parle. 
(Rires)
											« Ensuite tu as regardé le type à côté de moi,
											tu as souri, tu as fouillé dans ton seau, et tu as sorti
											une sucette, que tu lui as donnée en disant,
											« Il faut que tu offres une sucette à la belle femme qui est à coté de toi. »
											Et elle a dit, « Je n’ai jamais vu personne s’embarrasser plus vite.
											Il a rougi comme une tomate sans même me regarder.
											Il m’a tendu la sucette comme ça. » (Rires)
											« Je me suis sentie tellement mal pour lui que j’ai accepté la sucette,
											et à ce moment-là, tu avais ce regard tellement sérieux
											en regardant ma mère et mon père,
											et tu as dit, « Regardez. Regardez.
											Premier jour loin de chez elle, et elle accepte déjà
											des bonbons d’un étranger ?! »
(Rires)
											Et elle m’a dit, « Dans un rayon de 6 mètres
											tout le monde a commencé à rire.
											Je sais que c’est un peu ringard, 
et je ne sais pas pourquoi je te le dit,
											mais à ce moment-là pendant que tout le monde riait,
											j’ai su qu’il ne fallait pas abandonner.
											J’ai su que j’étais au bon endroit,
											j’ai su que j’étais chez moi, et je ne t’ai pas parlé
											une seule fois depuis, en 4 ans,
											mais j’ai entendu dire que tu partais,
											et il fallait que je te dise que tu as été
											un personne très importante dans ma vie, 
et que tu vas me manquer. Bonne chance. »
									","
											Und sie sagte: ""Ich ging 
also am nächsten Tag hin,
											stand in der Reihe 
für die Anmeldung,
											schaute mich um und wusste, 
dass ich es nicht schaffe.
											Ich war einfach nicht bereit, 
ich musste aufgeben.""
											Und sie sagte: ""Ich traf diese 
Entscheidung und sofort
											überkam mich dieses unglaubliche 
Gefühl innerer Ruhe.
											Und ich drehte mich um, 
um meinen Eltern zu sagen,
											dass wir nach Hause fahren mussten,
und just in diesem Moment
											kamst du aus dem AStA-Gebäude
											mit dem blödesten Hut, den 
ich je gesehen hatte."" (Lachen)
											""Das war toll.
											Du trugst ein großes Schild für Shinerama,
											'Studenten gegen Mukoviszidose'"" –
											ich arbeitete jahrelang 
für diesen Verein –
											""und einen Eimer voller Lollis.
											Und du bist an der Schlange 
vorbeigelaufen
											und hast Lollis verteilt und
über Shinerama gesprochen.
											Und plötzlich standest du vor 
mir und hieltest einfach an
											und hast mich nur angestarrt.
Das war gruselig."" (Lachen)
											Das Mädchen dort weiß genau, 
wovon ich rede. (Lachen)
											""Und dann hast du den Typen
neben mir angeguckt,
											gelächelt, einen Lolli aus 
deinem Eimer gezogen,
											den hieltest du ihm
hin und sagtest:
											'Du musst der wunderschönen 
Frau neben dir einen Lolli geben.'""
											Und sie sagte: ""Ich habe noch nie jemanden 
tiefer im Erdboden versinken wollen sehen.
											Er wurde dunkelrot und 
schaute mich nicht mal an.
											Er hielt einfach den Lolli 
so zu mir rüber."" (Lachen)
											""Und der Typ tat mir so leid, 
dass ich den Lolli nahm,
											und dann setztest du eine 
unglaublich ernste Miene auf,
											schautest meine Eltern an und sagtest:
											""Sehen Sie sich das an. 
Sehen Sie nur.
											Der erste Tag weg von zu Hause 
und sie nimmt schon Süßigkeiten
											von Fremden an?!"" (Lachen)
											Und sie sagte: ""Dann 
drehten alle durch.
											Im ganzen Umkreis 
feixten alle los.
											Das ist total kitschig und ich weiß 
nicht, wieso ich das erzähle,
											aber in diesem Moment,
als alle lachten,
											wusste ich, dass ich 
nicht aufhören sollte.
											Ich wusste, dass ich an 
meinem Ort war,
											dass ich zu Hause war, und ich 
habe in den vier Jahren
											seit diesem Tag kein einziges 
Mal mit dir gesprochen,
											aber ich hörte, 
dass du gehst,
											und musste einfach 
herkommen und dir sagen,
											dass du eine unglaublich wichtige Person in meinem 
Leben bist und dass du mir fehlen wirst. Viel Glück.""
									",Everyday leadership,Drew Dudley,6:14,"TEDx,community,leadership,life,motivation"
"
","
","
","
","
",Everyday leadership,Drew Dudley,6:14,"TEDx,community,leadership,life,motivation"
"
											E vai-se embora e eu fico colado ao chão.
											Ela afasta-se cerca de dois 
metros, vira-se, sorri e diz:
											""Também deve ficar a saber isto.
											""Ainda namoro aquele tipo, 
quatro anos depois"". (Risos)
									","
											Y luego se fue y me dejó helado.
											Caminó unos metros, se dio vuelta y dijo:
											""Probablemente también deberías saber
											que aún salgo con ese chico 
cuatro años después"". (Risas)
									","
											Ve yürüyüp gitti, ben dümdüz oldum.
											İki metre uzağa gitti, arkasına döndü ve gülümseyerek dedi ki,
											""Şunu da bilmelisin.
											Dört yıl geçti ama o çocukla hala çıkıyorum."" (Kahkahalar)
									","
											Elle s’en va, et je suis écrasé.
											Elle s’éloigne de quelques mètres, 
elle se retourne, elle me sourit et elle dit,
											« Tu devrais savoir ça aussi.
											Depuis 4 ans, je sors encore avec ce type. » 
(Rires)
									","
											Und sie geht weg, und 
ich bin hin und weg.
											Und als sie zwei Meter entfernt ist, 
dreht sie sich um, lächelt und sagt:
											""Das solltest du wohl auch wissen.
											Vier Jahre später, und ich bin noch 
mit dem Typ zusammen."" (Lachen)
									",Everyday leadership,Drew Dudley,6:14,"TEDx,community,leadership,life,motivation"
"
","
","
","
","
",Everyday leadership,Drew Dudley,6:14,"TEDx,community,leadership,life,motivation"
"
											Um ano e meio depois de me mudar 
para Toronto,
											recebi um convite para 
o casamento deles.
									","
											Un año y medio después de que me mudé a Toronto
											recibí una invitación para su boda.
									","
											Toronto'ya taşındıktan bir buçuk yıl sonra,
											düğünleri için bir davetiye aldım.
									","
											Un an et demi après m’être installé à Toronto,
											j'ai reçu une invitation à leur mariage.
									","
											Anderthalb Jahre nach 
meinem Umzug nach Toronto
											erhielt ich eine Einladung 
zu ihrer Hochzeit.
									",Everyday leadership,Drew Dudley,6:14,"TEDx,community,leadership,life,motivation"
