en,pt,tr,de,title,speaker,duration,tags
"
","
","
","
",The surprising link between stress and memory,Elizabeth Cox,4:46,"TED-Ed,health,memory"
"
											You spend weeks studying 
for an important test.
											On the big day, you wait nervously
as your teacher hands it out.
											You’re working your way through, 
when you’re asked to define ‘ataraxia.’
											You know you’ve seen it before, 
but your mind goes blank.
											What just happened?
									","
											Passamos semanas a estudar
para um teste importante.
											No grande dia, esperamos nervosamente
enquanto o professor o distribui.
											Estamos a trabalhar nele, quando surge
o pedido para definir ""ataraxia"".
											Sabemos que já vimos aquela palavra,
mas sofremos uma ""branca"".
											O que é que aconteceu?
									","
											Önemli bir teste çalışmak için
haftalarını harcadın.
											Büyük günde, öğretmenin kâğıtları 
dağıtırken gergin bir şekilde bekliyorsun.
											Yavaş yavaş ilerliyorsun, ta ki 
""iç huzur""u tanımlaman istenene kadar.
											Bu kelimeyi daha önce gördün, biliyorsun.
Ancak zihnin o an duruyor.
											Az önce ne oldu?
									","
											Du lernst wochenlang
für eine wichtige Prüfung.
											Am großen Tag wartest du
nervös bis der Lehrer sie austeilt.
											Du bearbeitest die Aufgaben
und sollst ""Ataraxie"" definieren.
											Du kennst den Begriff,
aber dein Kopf ist leer.
											Was ist gerade passiert?
									",The surprising link between stress and memory,Elizabeth Cox,4:46,"TED-Ed,health,memory"
"
","
","
","
",The surprising link between stress and memory,Elizabeth Cox,4:46,"TED-Ed,health,memory"
"
											The answer lies in 
the complex relationship
											between stress and memory.
											There are many types 
and degrees of stress
											and different kinds of memory,
											but we’re going to focus on 
how short-term stress
											impacts your memory for facts.
									","
											A resposta está na complexa relação
entre ""stress"" e memória.
											Há muitos tipos e graus de ""stress""
											e diferentes tipos de memória
											mas vamos concentrar-nos
em como o ""stress"" de curto prazo
											causa impacto na memória dos factos.
									","
											Cevap, stres ve hafızanın arasındaki
											kompleks ilişkinin içinde yatıyor.
											Stresin bir sürü farklı derecesi ve tipi,
											hafızanın farklı çeşitleri var.
											Biz kısa süreli stresin durum hafızanızı
											nasıl etkilediği üzerine odaklanacağız.
									","
											Die Antwort liegt im
komplexen Zusammenhang
											zwischen Stress und Gedächtnis.
											Es gibt viele Stressarten und -levels
											und verschiedene Arten von Gedächtnis.
											Wir schauen uns an,
wie kurzzeitiger Stress
											dein Gedächtnis für Fakten beeinflusst.
									",The surprising link between stress and memory,Elizabeth Cox,4:46,"TED-Ed,health,memory"
"
","
","
","
",The surprising link between stress and memory,Elizabeth Cox,4:46,"TED-Ed,health,memory"
"
											To start, it helps to understand 
how this kind of memory works.
											Facts you read, hear, or study
											become memories through
a process with three main steps.
											First comes acquisition:
											the moment you encounter
a new piece of information.
											Each sensory experience activates 
a unique set of brain areas.
									","
											Para começar, ajuda perceber
como funciona este tipo de memória.
											Os factos que lemos, ouvimos ou estudamos
											tornam-se memórias através
de um processo com três fases principais.
											Primeiro, surge a aquisição:
											o momento em que encontramos
novas informações.
											Cada experiência dos sentidos
											ativa um conjunto especial
de áreas do cérebro.
									","
											İlk olarak, bu tür hafızanın
nasıl çalıştığını anlamak yardımcı olur.
											Okuduğun, duyduğun
ya da çalıştığın gerçekler
											üç ana adımlı bir süreçten
geçerek anılar hâline gelir.
											İlk adım edinimdir:
											Yeni bir bilgi ile karşılaştığın an.
											Her duyusal deneyim, eşsiz bir beyin
bölgesi kümesini harekete geçirir.
									","
											Zuerst einmal hilft es zu verstehen,

											wie diese Art von Gedächtnis funktioniert.
											Fakten, die du liest, hörst oder lernst,
											werden durch drei Schritte
zu Erinnerungen.
											Zuerst kommt das Erfassen:
											Der Moment, in dem du der 
neuen Information begegnest.
											Jede sensorische Erfahrung 
aktiviert bestimmte Gehirnareale.
									",The surprising link between stress and memory,Elizabeth Cox,4:46,"TED-Ed,health,memory"
"
","
","
","
",The surprising link between stress and memory,Elizabeth Cox,4:46,"TED-Ed,health,memory"
"
											In order to become lasting memories,
											these sensory experiences
											have to be consolidated 
by the hippocampus,
											influenced by the amygdala,
											which emphasizes experiences 
associated with strong emotions.
											The hippocampus then encodes memories,
											probably by strengthening 
the synaptic connections
											stimulated during 
the original sensory experience.
									","
											Para se tornar numa memória duradoura,
											essas experiências sensoriais
											têm que ser consolidadas
pelo hipocampo,
											influenciado pela amígdala
											que realça experiências
associadas a fortes emoções.
											Depois, o hipocampo codifica as memórias,
											provavelmente reforçando
as ligações sinápticas,
											estimuladas durante
a experiência sensorial.
									","
											Süregelen anılar hâline gelebilmek için
											bu duyusal deneyimler
											güçlü duygularla ilgili
deneyimleri vurgulayan
											amigdaldan etkilenen
											hipokamp tarafından birleştirilmelidir.
											Hipokamp anıları,
											muhtemelen orijinal duyusal
deneyim sırasında uyarılan
											sinaptik bağlantıları
güçlendirerek kodlar.
									","
											Um Erinnerungen zu werden,
											müssen diese sensorischen Erfahrungen
											vom Hippocampus konsolidiert werden.
											Dieser Prozess wird
von der Amygdala beeinflusst,
											die Erfahrungen mit 
starken Gefühlen hervorhebt.
											Dann kodiert der Hippocampus
die Erinnerungen,
											vermutlich indem er synaptische
Verbindungen verstärkt,
											die bei der sensorischen
Erfahrung aktiviert wurden.
									",The surprising link between stress and memory,Elizabeth Cox,4:46,"TED-Ed,health,memory"
"
","
","
","
",The surprising link between stress and memory,Elizabeth Cox,4:46,"TED-Ed,health,memory"
"
											Once a memory has been encoded,
											it can be remembered, 
or retrieved, later.
											Memories are stored all over the brain,
											and it’s likely the prefrontal cortex 
that signals for their retrieval.
									","
											Depois de codificada uma memória,
											esta pode ser recordada
ou recuperada, posteriormente.
											As memórias estão guardadas
por todo o cérebro
											e é, provavelmente, o córtex pré-frontal
que dá sinal para a sua recuperação.
									","
											Bir anı kodlanınca,
											hatırlanabilir veya
sonradan düzeltilebilir.
											Anılar, beynin her yerinde depolanır
											ve bilgiyi geri çağıran şey
büyük olasılıkla prefrontal kortekstir.
									","
											Sobald eine Erinnerung kodiert wurde,
											kann sie erinnert oder
später abgerufen werden.
											Erinnerungen werden 
überall im Gehirn gespeichert
											und der präfrontale Kortex
ist wohl für ihren Abruf zuständig.
									",The surprising link between stress and memory,Elizabeth Cox,4:46,"TED-Ed,health,memory"
