en,de,fr,tr,title,speaker,duration,tags
"
","
","
","
",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
											So 24 years ago,
											I was brought to The New Yorker
											as art editor
											to rejuvenate
											what had by then become
a somewhat staid institution
											and to bring in new artists
											and to try to bring the magazine
from its ivory tower
											into engaging with its time.
											And it was just
the right thing for me to do
											because I've always been captivated
by how an image can —
											a simple drawing —
											can cut through the torrent of images
that we see every single day.
											How it can capture a moment,
											how it can crystallize
a social trend or a complex event
											in a way that a lot of words
wouldn't be able to do —
											and reduce it to its essence
and turn it into a cartoon.
									","
											Vor 24 Jahren stellte mich
der New Yorker als Layouter ein.
											Ich sollte die etwas gesetzte Institution
des Magazins verjüngen.
											Ich sollte neue Künstler finden
											und die weltfremde Sichtweise des Magazins
											zeitgemäßer gestalten.
											Das war genau das Richtige für mich,
											weil mich schon immer beeindruckt hatte,
											wie ein Bild oder eine einfache Zeichnung
aus den vielen Bildern,
											die wir jeden Tag sehen,
herausstechen kann.
											Wie es einen Moment einfangen kann,
											wie es einen sozialen Trend
und komplexe Ereignisse deutlich macht —
											Wörter können das meist nicht so gut —,
											wie es die Essenz herausfiltert
und das dann in eine Karikatur verwandelt.
									","
											Il y a 24 ans,
											j'ai été embauchée par le New Yorker
											en tant qu'éditrice artistique
											pour donner une nouvelle jeunesse
											à ce qui était devenu
une institution quelque peu rouillée,
											pour amener de nouveaux artistes
											et pour faire descendre le magazine
de sa tour d'ivoire
											et le ramener à son époque.
											C'était pour moi
la meilleure chose à faire
											parce que j'ai toujours été captivée
par la manière dont une image peut —
											un simple dessin —
											peut s'extirper du torrent d'images
que nous voyons chaque jour.
											Comment il peut capturer un instant,
											comment il peut cristalliser
une tendance ou un événement complexe
											d'une manière que beaucoup de mots
n'arriveraient pas à exprimer —
											et de le réduire à son essence
et le transformer en dessin.
									","
											24 yıl önce
											The New Yorker'a sanat editörü 
olarak getirilme sebebim,
											o zamana kadar bir şekilde kalıplaşmış
olan çalışmalarını yenilemek,
											yeni sanatçıları dâhil etmek
											ve dergiyi hayal âleminden çıkartıp
zamanımıza uygun hâle getirmekti.
											Bu iş tam bana göreydi
											çünkü her gün gördüğümüz 
yüzlerce görsel arasından
											basit bir çizimin bu kadar dikkat çekmesi
beni her zaman çok etkilemiştir.
											Bir anı nasıl yakalayabildiği,
											bir sosyal trendi ya da karmaşık bir olayı
çok fazla kelime kullanmadan
											nasıl belirginleştirebildiği
											ve onu özüne indirgeyerek 
bir karikatüre çevirmesi.
									",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
","
","
","
",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
											So I went to the library
											and I looked at the first cover
drawn by Rea Irvin in 1925 —
											a dandy looking at a butterfly
through his monocle,
											and we call it Eustace Tilley.
											And I realized that
as the magazine had become known
											for its in-depth research
and long reports,
											some of the humor
had gotten lost along the way,
											because now often Eustace Tilley
was seen as a haughty dandy,
											but in fact, in 1925,
											when Rea Irvin first drew this image,
											he did it as part of a humor magazine
											to amuse the youth of the era,
											which was the flappers
of the roaring twenties.
											And in the library,
											I found the images
that really captured the zeitgeist
											of the Great Depression.
											And it showed us
not just how people dressed
											or what their cars looked like,
											but also what made them laugh,
											what their prejudices were.
											And you really got a sense
											of what it felt like
to be alive in the '30s.
									","
											Ich ging also zur Bibliothek
											und sah mir das erste Cover an,
das Rea Irvin 1925 gezeichnet hatte:
											ein Dandy, der sich einen Schmetterling
durch sein Monokel ansieht.
											Wir nennen ihn Eustace Tilley.
											Während das Magazin immer bekannter
											für seine detaillierte Recherche
und langen Reportagen wurde,
											fiel mir auf, dass ein Teil des Humors
auf der Strecke geblieben war,
											denn heute wird Eustace Tilley
als stolzer Dandy angesehen.
											Aber 1925,
											als Rea Irvin dieses Bild
zum ersten Mal gezeichnet hatte,
											war es Teil eines Humormagazins,
											das die Jugend der Zeit amüsieren sollte,
											nämlich die hippen Flapper
der Goldenen Zwanziger.
											In der Bibliothek
habe ich auch Bilder gefunden,
											die sehr gut den Zeitgeist
der Großen Depression einfangen.
											Sie zeigen uns nicht nur die Mode der Zeit
oder die damaligen Automodelle,
											sondern auch, was als lustig galt
											und welche Vorurteile es gab.
											Sie geben uns ein Gefühl dafür,
											wie das Leben in den 30er Jahren
gewesen sein muss.
									","
											Je suis allée à la bibliothèque
											et j'ai étudié la première couverture
dessinée par Rea Irvin en 1925 —
											un dandy admirant un papillon
à travers son monocle,
											que nous avons appelé Eustace Tilley.
											J'ai réalisé que tandis que le magazine
était devenu célèbre
											pour ses recherches poussées
et ses longs reportages,
											une part d'humour 
s'était perdue en chemin
											parce qu'Eustace Tilley est aujourd'hui
souvent perçu comme un dandy arrogant.
											Mais en fait, en 1925,
											Rea Irvin dessina cette image
pour la première fois
											dans le cadre d'un magazine humoristique
											pour amuser la jeunesse de l'époque,
											les flappers des années folles.
											Et à la bibliothèque,
											j'ai trouvé les images qui avaient
vraiment capturé l'air du temps
											lors de la Grande Dépression.
											Elles ne nous montraient pas seulement
comment les gens s'habillaient
											ou comment étaient leurs voitures,
											mais aussi ce qui les faisait rire,
											quels étaient leurs préjugés.
											Et on avait vraiment l'impression
											de comprendre comment les gens
vivaient dans les années 30.
									","
											Kütüphaneye gitmiştim
											ve 1925'te Rea Irvin tarafından çizilen
ilk dergi kapağına baktım —
											zarif bir adamın tek camlı gözlüğüyle
kelebeğe bakması
											ve biz ona Eustce Tilley diyoruz.
											Dergi, derin araştırma ve raporlarıyla
bilinir hâle geldikçe
											mizahın bir kısmının da
kaybolduğunu fark ettim.
											Çünkü şimdi Eustace Tilley 
kibirli bir adam gibi görülüyordu
											ama aslında, 1925'te
Rea Irvin bu görseli ilk çizdiğinde
											zamanın gençliğini eğlendirme amacıyla
bir mizah dergisini için tasarlamıştı,
											1920'lerin Batı kültürü için.
											Kütüphanede, gerçekten Büyük Buhran'dan
zamanın ruhunu yakalayan resimler buldum.
											Bize sadece insanların nasıl giyindiğini
											veya arabalarının modellerini değil
											onları güldüren şeyleri
ve önyargılarını da gösterdi.
											Gerçekten de 30'lı yıllarda
yaşıyor olmanın hissini yaratmıştı.
									",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
","
","
","
",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
											So I called on contemporary artists,
											such as Adrian Tomine here.
											I often call on narrative artists —
											cartoonists, children's book authors —
											and I give them themes such as,
											you know, what it's like
to be in the subway,
											or Valentine's Day,
											and they send me sketches.
											And once the sketches
are approved by the editor,
											David Remnick,
											it's a go.
											And I love the way
											those images are actually
not telling you what to think.
											But they do make you think,
											because the artist is actually —
											it's almost a puzzle;
											the artist is drawing the dots,
											and you, the reader,
have to complete the picture.
											So to get this image
on the left by Anita Kunz,
											or the one on right by Tomer Hanuka,
											you have to play spot the differences.
											And it is something that ...
											It's really exciting to see
											how the engagement with the reader ...
											how those images really capture —
											play with the stereotypes.
											But when you get it,
											it rearranges the stereotypes
that are in your head.
									","
											Ich habe mich also
an heutige Künstler gewendet,
											wie zum Beispiel Adrian Tomine hier.
											Ich wende mich oft
an narrative Künstler —
											Karikaturisten, Kinderbuchautoren —
											und gebe ihnen ein Thema, zum Beispiel:
											""Wie ist es in der U-Bahn?""
											oder ""Valentinstag"",
											und sie schicken mir ihre Entwürfe.
											Sobald der Redakteur, David Remnick,
die Entwürfe genehmigt,
											legen wir los.
											Ich persönlich liebe es,
											dass diese Bilder uns nicht vorschreiben,
was wir über sie denken sollen.
											Aber sie bringen uns zum Nachdenken.
											Es ist fast wie ein Puzzle:
											Der Künstler zeichnet die Punkte,
die der Betrachter verbinden soll.
											Um das linke Bild von Anita Kurz
											oder das rechte
von Tomer Hanuka zu verstehen,
											müssen wir die Unterschiede erkennen.
											Es ist wirklich sehr spannend zu sehen,
											wie die Bilder den Betrachter einbeziehen
											und wie sie mit Stereotypen spielen.
											Aber wenn wir das Bild verstehen,
											werden die Stereotypen
in unserem Kopf umgeformt.
									","
											J'ai donc fait appel
à des artistes contemporains,
											tels qu'Adrian Tomine ici.
											Je fais souvent appel à des artistes
qui illustrent des histoires —
											des dessinateurs de BD,
des auteurs de livres jeunesse —
											et je leur donne des sujets tels que,
											qu'est-ce que ça fait
de prendre le métro,
											ou la Saint-Valentin
											et ils m'envoient leurs croquis.
											Et une fois que les croquis
sont approuvés par l'éditeur,
											David Remnick,
											on leur donne le feu vert.
											J'adore la manière
											dont ces images
ne vous disent pas quoi penser.
											Mais elles vous font penser,
											parce que l'artiste est en fait —
											c'est presque un puzzle ;
											l'artiste dessine les points
											et en tant que lecteur,
vous devez compléter l'image.
											Ainsi, pour avoir cette image
à gauche par Anita Kunz,
											ou celle à droite par Tomer Hanuka,
											il faut jouer au jeu des différences.
											Et c'est quelque chose qui...
											C'est vraiment passionnant de voir
											comment l'engagement avec le lecteur —
											comment ces images capturent vraiment —
											jouent avec les stéréotypes.
											Lorsqu'on réussit,
											les stéréotypes dans notre tête
sont réarrangés.
									","
											Bu yüzden modern sanatçıları çağırdım,
											mesela aramızda olan Adrian Tomine.
											Sık sık öykücüleri, karikatüristleri, 
çocuk kitabı yazarlarını çağırırım
											ve onlara konular veririm,
											metroda olmak nasıl bir duygu
ya da Sevgililer Günü gibi.
											Onlar da bana skeçler gönderir.
											Skeçler editör David Remnic
tarafından onaylanınca iş tamamlanır.
											Bu görsellerin size ne düşüneceğinizi
söylemiyor olmasını da çok seviyorum.
											Sizi gerçekten düşündürtüyorlar
											çünkü sanatçı bunu yansıtıyor —
											neredeyse bir yap-boz;
sanatçı noktaları çiziyor
											ve sen, okuyucu olarak
resmi tamamlamak zorundasın.
											Öyleyse Anita Kunz'un solundaki görüntüyle
veya Tomer Hanuka'nın sağındakini alıp
											farklılıkları fark etmek zorundasın.
											Bu öyle bir şey ki bu parçaların
okuyucuyla nasıl bütünleştiğini
											görsellerin anı yakalayarak
basmakalıplarla nasıl oynadığını görmek
											gerçekten heyecan verici.
											Görseli anladığınızda aklınızdaki 
basmakalıp tip yeniden düzenleniyor.
									",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
","
","
","
",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
											But the images don't
just have to show people,
											sometimes it can be a feeling.
											Right after September 11,
											I was at a point,
											like everybody else,
											where I really didn't know how to deal
with what we were going through,
											and I felt that no image
could capture this moment,
											and I wanted to just do a black cover,
											like no cover.
											And I talked to my husband,
cartoonist Art Spiegelman,
											and mentioned to him
that I was going to propose that,
											and he said, ""Oh, if you're
going to do a black cover,
											then why don't you do
the silhouette of the Twin Towers,
											black on black?""
											And I sat down to draw this,
											and as soon as I saw it,
											a shiver ran down my spine
											and I realized
											that in this refusal to make an image,
											we had found a way to capture loss
											and mourning
											and absence.
											And it's been a profound thing
that I learned in the process —
											that sometimes some of the images
that say the most
											do it with the most spare means.
											And a simple image can speak volumes.
									","
											Die Bilder zeigen aber nicht nur Menschen.
											Manchmal zeigen sie ein Gefühl.
											Nach dem 11. September
											wusste ich wie viele andere nicht,
											wie ich mit dem Geschehenen
umgehen sollte.
											Ich dachte, dass kein Bild
diesen Moment einfangen könne.
											Ich wollte ein komplett schwarzes Cover —
											im Prinzip gar kein Cover.
											Ich sprach mit meinem Mann,
dem Karikaturisten Art Spiegelmann,
											und sagte ihm, dass ich
das vorschlagen würde.
											Er sagte: ""Wenn du
ein schwarzes Cover willst,
											kannst du doch die Silhouette
der Zwillingstürme darauf abbilden,
											schwarz auf schwarz.""
											Ich zeichnete einen Entwurf
											und mir lief sofort ein Schauer
über den Rücken.
											Mir wurde klar:
											Indem wir uns weigerten,
ein Bild für das Cover zu entwerfen,
											hatten wir einen Weg gefunden,
											den Verlust,
											die Trauer
											und Abwesenheit einzufangen.
											Ich habe etwas sehr Tiefgründiges
durch dieses Projekt gelernt —
											nämlich, dass manchmal die Bilder
mit den wenigsten Mitteln
											das Meiste ausdrücken.
											Ein einfaches Bild kann Bände sprechen.
									","
											Mais les images n'ont pas juste
besoin de montrer des personnes,
											parfois cela peut être une sensation.
											Juste après le 11 septembre,
											j'ai atteint un point,
											comme tout le monde,
											où je ne savais plus vraiment comment
affronter ce qui nous arrivait
											et j'avais l'impression qu'aucune image
ne saurait capturer ce moment.
											Je voulais juste
faire une couverture noire,
											comme une absence de couverture.
											J'ai parlé à mon mari,
le dessinateur Art Spiegelman,
											et je lui ai fait part
de ce que j'allais proposer.
											Il m'a dit : « Si tu veux faire
une couverture noire,
											pourquoi ne fais-tu pas
la silhouette des tours jumelles,
											noir sur noir ? »
											Je me suis assise pour dessiner
											et dès que je l'ai vu,
											un frisson m'a parcouru le corps
											et j'ai réalisé
											que, dans ce refus de créer une image,
											nous avions trouvé un moyen
de capturer la perte,
											le deuil
											et l'absence.
											Dans ce processus, j'ai appris
quelque chose d'important —
											parfois, les images qui en disent le plus
											sont celles qui le font
avec le plus de simplicité.
											Une simple image peut en dire des tonnes.
									","
											Ancak görsellerin bunu insanlara
gösterme zorunluluğu yok,
											bazen bu bir his de olabilir.
											11 Eylül'den hemen sonra
diğer herkes gibi
											yaşadıklarımızla tam olarak
nasıl başa çıkabileceğimizi bilemiyordum.
											Ve hiçbir görselin 
bu anı yansıtamayacağını düşündüm,
											sadece yeni bir tarzda
siyah bir kapak yapmak istedim,
											Karikatürist eşim
Art Spiegelman'la konuştum
											ve ona bu düşüncemden bahsettim,
											O da ''madem siyah bir kapak
yapacaksın,
											neden ikiz kulelerin bir silüetini
yapmıyorsun?'' dedi,
											''Siyah üstüne siyah.''
											bunu çizmek için oturdum
											gördüğüm an bir titreme geldi
											ve fark ettim ki
bir görsel yapmayı reddederek
											kayıp, yokluk ve yas tutmayı anlatan
bir görsel seçmenin yolunu bulmuştuk.
											Bu süreçte öğrendiğim çok değerli şey;
											çok şey anlatan görsellerin pek çoğu
bunu en sade araçlarla yapıyor.
											Basit bir görsel çok şey anlatabilir.
									",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
","
","
","
",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
"
											So this is the image
that we published by Bob Staake
											right after the election of Barack Obama,
											and captured a historic moment.
											But we can't really plan for this,
											because in order to do this,
											we have to let the artist
experience the emotions that we all feel
											when that is happening.
											So back in November 2016,
											during the election last year,
											the only image that we
could publish was this,
											which was on the stand
on the week that everybody voted.
									","
											Dieses Bild von Bob Staake
haben wir veröffentlicht,
											als Barack Obama
zum Präsidenten gewählt wurde.
											Es hat diesen historischen Moment
wunderbar eingefangen.
											Wir können das allerdings nicht planen.
											Um so etwas zu ermöglichen,
											müssen wir den Künstler fühlen lassen,

											was wir alle fühlen, wenn es passiert.
											Im November 2016 zum Beispiel,
											während der Wahl im letzten Jahr,
											war dieses Bild hier das einzige,
das wir veröffentlichen konnten.
											Und es war in der Woche der Wahl
an den Zeitungsständen erhältlich.
									","
											Voici l'image par Bob Staake
que nous avons publié
											juste après l'élection de Barack Obama
											et qui a capturé un moment historique.
											Un tel résultat ne peut pas
vraiment être prévu,
											parce que pour ce faire,
											il faut laisser l'artiste ressentir
les émotions que nous ressentons tous
											lors d'un événement donné.
											En novembre 2016,
											pendant l'élection de l'an dernier,
											la seule image que nous pouvions publier
était celle-ci,
											qui était dans les kiosques
la semaine du vote.
									","
											Barack Obama'nın seçilmesinin
hemen ardından yayınladığımız
											Bob Staake'in yaptığı görsel
											ve o tarihi anı yakaladık.
											Ancak bunu planlayamıyoruz,
											bunu yapabilmek için
											bunlar yaşanırken hissettiklerimizi
ressamın da tecrübe etmesi lazım.
											Kasım 2016'da
											geçen yıl seçim esnasında
yayınlayabildiğimiz tek görsel buydu,
											herkesin oy verdiği hafta
raflarda bu vardı.
									",The stories behind The New Yorker's iconic covers,Françoise Mouly,8:29,"art,culture,creativity,design,humor,TEDNYC"
