en,fr,pt,tr,title,speaker,duration,tags
"
","
","
","
",How does the Rorschach inkblot test work?,Damion Searls,4:46,"animation,psychology,TED-Ed,mental health,brain,human body,physiology"
"
											Take a look at this image.
											What might this be?
											A frightening monster?
											Two friendly bears?
											Or something else entirely?
											For nearly a century,
											ten inkblots like these have been used
											as what seems like an almost 
mystical personality test.
											Long kept confidential for psychologists 
and their patients,
											the mysterious images were said to draw
out the workings of a person’s mind.
											But what can inkblots really tell us,
											and how does this test work?
									","
											Regardez cette image.
											Qu'est-ce que ça pourrait être ?
											Un monstre effrayant ?
											Deux ours amicaux ?
											Ou quelque chose d'autre ?
											Durant près d'un siècle,
											dix taches d'encre comme celle-là
ont été utilisées
											pour ce qui semble être
un test de la personnalité mystique.
											Longtemps gardées confidentielles
pour les psychologues et leurs patients,
											on disait que ces mystérieuses images
											faisaient ressortir les rouages
de l'esprit de quelqu'un.
											Que peuvent vraiment nous dire
des taches d'encre
											et comment ce test fonctionne-t-il ?
									","
											Olhem para esta imagem.
											O que poderá ser?
											Um monstro assustador?
											Dois ursos simpáticos?
											Ou outra coisa totalmente diferente?
											Durante quase cem anos,
											usaram-se dez manchas de tinta como estas
											no que parecia ser um teste
de personalidade quase místico.
											Mantido confidencial durante muito tempo,
por psicólogos e seus pacientes,
											dizia-se que as imagens
misteriosas revelavam
											o funcionamento do espírito duma pessoa.
											Mas o que é que as manchas de tinta
nos dizem realmente,
											e como é que funciona este teste?
									","
											Resme bir göz atın.
											Bu ne olabilir?
											Korkunç bir canavar mı?
											İki arkadaş canlısı ayı mı?
											Yoksa tamamen farklı bir şey mi?
											Neredeyse bir asır boyunca
bunun gibi on mürekkep lekesi
											bir çeşit gizemli kişilik testi 
olarak kullanıldı.
											Uzun zaman boyunca psikologlar
ve hastaları arasında gizli tutulan
											bu gizemli resimlerin, kişinin zihninin
işleyişini ortaya çıkardığı söyleniyordu.
											Fakat mürekkep lekeleri gerçekten bize
ne anlatabilir ve bu test nasıl işliyor?
									",How does the Rorschach inkblot test work?,Damion Searls,4:46,"animation,psychology,TED-Ed,mental health,brain,human body,physiology"
"
","
","
","
",How does the Rorschach inkblot test work?,Damion Searls,4:46,"animation,psychology,TED-Ed,mental health,brain,human body,physiology"
"
											Invented in the early 20th century 
by Swiss psychiatrist Hermann Rorschach,
											the Rorschach Test is actually less about 
the specific things we see,
											and more about our general approach 
to perception.
											As an amateur artist
											Hermann was fascinated by how visual 
perception varies from person to person.
											He carried this interest to 
medical school,
											where he learned all our senses 
are deeply connected.
											He studied how our process of perception 
doesn’t just register sensory inputs,
											but transforms them.
											And when he started working at a 
mental hospital in eastern Switzerland,
											he began designing a series 
of puzzling images
											to gain new insight into this 
enigmatic process.
									","
											Inventé au début du XXe siècle par
le psychiatre suisse Hermann Rorschach,
											le test de Rorschach adresse moins
ce que nous voyons en particulier
											et plus notre approche générale
de la perception.
											En tant qu'artiste amateur,
											Hermann était fasciné
											par combien la perception visuelle
varie d'une personne à une autre.
											Cet intérêt l'a suivi
jusqu'en école de médecine
											où il a appris que tous nos sens
étaient profondément liés;
											Il a étudié comment
le processus de perception
											ne faisait pas que répertorier
des informations sensorielles
											mais les transformait.
											Quand il a commencé à travailler
dans un hôpital psychiatrique en Suisse,
											il a commencé à élaborer
une série de curieuses images
											afin de mieux comprendre
ce processus énigmatique.
									","
											Inventado no início do século XX,
pelo psiquiatra suíço Hermann Rorschach,
											o Teste Rorschach não se concentra tanto
nas coisas específicas que vemos,
											mas sobretudo na nossa abordagem
geral à perceção.
											Enquanto artista amador,
											Hermann sentia-se fascinado pela forma
como a perceção varia
											de pessoa para pessoa.
											Levou esse interesse
para a escola de Medicina,
											onde aprendeu que todos os sentidos
estão profundamente interligados.
											Estudou como o processo de perceção
não só regista contribuições sensoriais,
											como as transforma.
											Quando começou a trabalhar
num hospital psiquiátrico
											na Suíça oriental,
											começou a desenhar
uma série de imagens misteriosas
											para obter uma nova visão
neste processo enigmático.
									","
											20. yüzyıl başlarında İsviçreli
psikiyatrist Hermann Rorschach tarafından
											bulunan Rorschach Testi, net
olarak gördüğümüz şeylerden ziyade
											algıya genel yaklaşımımız ile alakalıdır.
											Amatör bir ressam olan Hermann,
											görsel algının kişiden kişiye
nasıl değiştiğinden büyülenmişti.
											Bu ilgisini, bütün duyularımızın 
son derece bağlı olduğunu öğrendiği
											tıp fakültesine taşıdı.
											Algı sürecimizin duyusal girdileri
sadece kaydetmekle kalmayıp
											nasıl dönüştürdüğü üstüne çalıştı.
											İsviçre'nin doğusundaki bir akıl 
hastanesinde çalışmaya başladığında
											bu gizemli sürece 
yeni kavrayış kazandırmak için
											bir dizi kafa karıştırıcı resimler 
çizmeye başladı.
									",How does the Rorschach inkblot test work?,Damion Searls,4:46,"animation,psychology,TED-Ed,mental health,brain,human body,physiology"
"
","
","
","
",How does the Rorschach inkblot test work?,Damion Searls,4:46,"animation,psychology,TED-Ed,mental health,brain,human body,physiology"
"
											Using his inkblot paintings,
											Rorschach began quizzing hundreds 
of healthy subjects
											and psychiatric patients with 
the same question:
											what might this be?
											However, it wasn’t what the test subjects 
saw that was most important to Rorschach,
											but rather, how they approached the task.
											Which parts of the image did they 
focus on or ignore?
											Did they see the image moving?
											Did the color on some inkblots help them 
give better answers,
											or distract and overwhelm them?
									","
											En utilisant ses peintures
de taches d'encre,
											Rorschach a commencé à questionner
des centaines de sujets sains
											et de patients psychiatriques
avec la même question :
											qu'est-ce que ça pourrait être ?
											Ce n'est pas ce que les sujets voyaient
qui importait le plus à Rorschach,
											mais plutôt leur approche de la tâche.
											Sur quelles parties de l'image
se concentraient-ils ou ignoraient-ils ?
											Voyaient-ils l'image bouger ?
											La couleur sur certaines taches
											les aidait-elle à donner
de meilleures réponses
											ou les distrayait-elle
et les submergeait-elle ?
									","
											Usando as suas pinturas 
de manchas de tintas,
											Rorschach começou a interrogar
centenas de pessoas saudáveis
											e doentes psiquiátricos
com a mesma pergunta:
											""O que é que isto lhe parece?""
											Mas não era o que as pessoas viam no teste
que era o mais importante para Rorschach,
											era sobretudo como elas
abordavam a resposta.
											Que partes da imagem
eles destacavam ou ignoravam?
											Veriam a imagem a mover-se?
											A cor de algumas das manchas
ajudava-os a dar respostas melhores
											ou distraía-os e dominava-os?
									","
											Mürekkep lekeli resimlerini kullanarak
											Rorschach yüzlerce sağlıklı insana 
ve psikiyatrik hastaya aynı soruyu sordu:
											""Bu ne olabilir?""
											Ama Rorschach'a göre önemli olan
deneklerin ne gördüğünden ziyade
											göreve nasıl yanaştıklarıydı.
											Resmin hangi kısımlarına odaklandılar 
ya da göz ardı ettiler?
											Resmin hareket ettiğini gördüler mi?
											Mürekkep lekelerindeki renk daha iyi
cevaplar vermelerine yardımcı mı oldu,
											yoksa dikkatlerini dağıttı
ve onları bunalttı mı?
									",How does the Rorschach inkblot test work?,Damion Searls,4:46,"animation,psychology,TED-Ed,mental health,brain,human body,physiology"
"
","
","
","
",How does the Rorschach inkblot test work?,Damion Searls,4:46,"animation,psychology,TED-Ed,mental health,brain,human body,physiology"
"
											He developed a system to code 
people’s responses,
											reducing the wide range of interpretations
to a few manageable numbers.
											Now he had empirical measures to quantify 
all kinds of test takers:
											the creative and imaginative,
											the detail-oriented, the 
big-picture perceivers,
											and flexible participants able 
to adapt their approach.
											Some people would get stuck,
											offering the same answer 
for multiple blots.
											Others gave unusual and 
delightful descriptions.
											Responses were as varied as the inkblots,
											which offered different kinds of 
perceptual problems–
											some easier to interpret than others.
											But analyzing the test-taker’s 
overall approach
											yielded real insights into 
their psychology.
											And as Rorschach tested more 
and more people,
											patterns began to pile up.
											Healthy subjects with the same 
personalities
											often took remarkably similar approaches.
											Patients suffering from the same 
mental illnesses
											also performed similarly,
											making the test a reliable 
diagnostic tool.
											It could even diagnose some conditions
											difficult to pinpoint with other 
available methods.
									","
											Il a développé un système
pour coder la réponse des gens,
											réduisant l'éventail d'interprétations
à quelques nombres.
											Il avait des mesures empiriques
pour quantifier les sujets du test :
											les créatifs et imaginatifs,
											les minutieux, ceux ayant
une vision globale
											et les participants flexibles
capables d'adapter leur approche.
											Certains étaient bloqués
											et offraient la même réponse
pour plusieurs taches.
											D'autres offraient des descriptions
inhabituelles et ravissantes.
											Les réponses étaient aussi variées
que les taches d'encre,
											qui offraient différents types
de problèmes perceptifs —
											certains plus faciles
à interpréter que d'autres.
											Mais analyser l'approche générale
du test par le sujet
											offraient des informations
pour comprendre sa psychologie.
											Alors que Rorschach testait
de plus en plus de gens,
											des tendances se sont accumulées.
											Les sujets sains avec la même personnalité
											avaient souvent des approches
remarquablement similaires.
											Les patients souffrant
de la même maladie mentale
											étaient également similaires,
											faisant du test un outil
de diagnostic fiable.
											Il pouvait même diagnostiquer
certaines maladies
											difficiles à identifier
avec les autres méthodes existantes.
									","
											Desenvolveu um sistema para codificar
as respostas das pessoas,
											reduzindo a ampla gama de interpretações
a alguns números fáceis de tratar.
											Assim, ficou com medições empíricas
											para quantificar todos os tipos
de pessoas testadas:
											as criativas e imaginativas,
											as orientadas para pormenores,
as que percecionavam o quadro geral
											e os participantes flexíveis
capazes de adaptar a sua abordagem.
											Algumas pessoas ficavam bloqueadas,
											oferecendo a mesma resposta
para diferentes manchas.
											Outras davam descrições
invulgares e deliciosas.
											As respostas eram tão variadas
como as manchas de tinta
											o que oferecia diversos tipos
de problemas de perceção
											— alguns mais fáceis de interpretar
do que outros.
											Mas analisando a abordagem genérica
das pessoas testadas,
											proporcionava visões reais
sobre a sua psicologia.
											À medida que Rorschach testava
cada vez mais pessoas,
											os padrões começaram a acumular-se.
											As pessoas saudáveis 
com a mesma personalidade,
											tinham com frequência uma abordagem
espantosamente semelhante.
											Os doentes com a mesma doença mental
											também tinham o mesmo comportamento,
											tornando o teste um instrumento
de diagnóstico de confiança.
											Até podia diagnosticar certas perturbações
											difíceis de detetar
com os métodos disponíveis.
									","
											Çok çeşitli yorumlamaları birkaç 
başa çıkılabilir sayılara indirgeyerek
											insanların cevaplarını
kodlamak için bir sistem geliştirdi.
											Böylelikle testi yapan kişilerin
her türünün niceliğini belirlemek için
											deneysel önlemleri vardı: 
yaratıcı ve hayalperest,
											detaycı ve büyük resmi görenler
											ve yaklaşımlarını adapte
edebilen uysal katılımcılar.
											Bazı insanlar birçok mürekkep lekesine
											aynı cevabı vererek
işin içinden çıkamazdı.
											Diğerleri ise sıradışı 
ve güzel tanımlar verirdi.
											Cevaplar mürekkep lekeleri 
kadar çeşitliydi.
											Ki bu farklı türde algısal
problemlere yol açarken
											bazılarını yorumlamak 
diğerlerinden daha kolaydı.
											Fakat testi yapanların
genel yaklaşımını analiz etmek
											psikolojilerinin gerçek iç yüzünü
anlamayı sağladı.
											Rorschach gittikçe daha fazla insanı
test ettikçe kalıplar birikmeye başladı.
											Aynı kişilikteki sağlıklı insanlar
											genellikle şaşırtıcı bir biçimde 
benzer yaklaşımlar gösterdiler.
											Aynı akıl hastalığından 
muzdarip olan hastalar da
											benzer şekilde yaklaşım gösterdiler.
											Ki bu testi güvenilir 
bir teşhis aracı yaptı.
											Diğer mevcut yöntemlerle saptanması zor
bazı durumlara bile teşhis koyabiliyordu.
									",How does the Rorschach inkblot test work?,Damion Searls,4:46,"animation,psychology,TED-Ed,mental health,brain,human body,physiology"
"
","
","
","
",How does the Rorschach inkblot test work?,Damion Searls,4:46,"animation,psychology,TED-Ed,mental health,brain,human body,physiology"
"
											In 1921,
											Rorschach published his coding system 
alongside the ten blots he felt
											gave the most nuanced picture of people’s
perceptual approach.
											Over the next several decades,
											the test became wildly popular in 
countries around the world.
											By the 1960s,
											it had been officially administered 
millions of times in the U.S. alone.
											Unfortunately, less than a year after 
publishing the test,
											Hermann Rorschach had died suddenly.
											Without its inventor to keep it on track,
											the test he had methodically gathered 
so much data to support
											began to be used in all sorts 
of speculative ways.
									","
											En 1921,
											Rorschach a publié
son système de codification
											ainsi que les dix taches d'encre
qui, à son avis,
											offraient l'aperçu le plus nuancé
de l'approche perceptive des gens.
											Durant les décennies à suivre,
											le test est devenu très populaire
à travers le monde.
											Dans les années 60,
											il avait été officiellement administré
des millions de fois aux États-Unis.
											Malheureusement, moins d'un an
après avoir publié le test,
											Hermann Rorschach mourut soudainement.
											Sans son inventeur pour garder le cap,
											le test pour lequel il avait
méthodiquement récolté tant de données
											a commencé à être utilisé
de façon spéculative.
									","
											Em 1921,
											Rorschach publicou o sistema
de codificação e as dez manchas
											que, segundo ele, davam
uma imagem mais matizada
											da abordagem percetual das pessoas.
											Durante dezenas de décadas seguintes,
											o teste tornou-se muito popular
em países de todo o mundo.
											Nos anos 60,
											já tinha sido utilizado oficialmente
milhões de vezes, só nos EUA.
											Infelizmente, menos de um ano
após publicar o teste,
											Hermann Rorschach morreu subitamente.
											Sem o seu inventor para o controlar,
											o teste criado com base em tantos dados
metodicamente recolhidos
											começou a ser usado
de todas as formas especulativas.
									","
											1921'de Rorschach insanların algısal 
yaklaşımının en incelikli resmi olduğunu
											hissettiği on mürekkep lekesiyle birlikte
kodlama sistemini yayımladı.
											Sonraki birkaç on yıl boyunca test, tüm
dünya ülkelerinde bir hayli popüler oldu.
											1960'lı yıllarda sadece 
Amerika Birleşik Devletleri'nde
											milyonlarca kez resmi olarak kullandı.
											Ne yazık ki testi yayımladıktan 
bir yıl kadardan az süre içinde
											Hermann Rorschach aniden öldü.
											Yolunda gitmesini 
sağlayacak mucidi olmadan
											desteklemek için birçok veriyi 
düzenli olarak bir araya getirdiği test
											her çeşit spekülatif yolla 
kullanılmaya başlandı.
									",How does the Rorschach inkblot test work?,Damion Searls,4:46,"animation,psychology,TED-Ed,mental health,brain,human body,physiology"
"
","
","
","
",How does the Rorschach inkblot test work?,Damion Searls,4:46,"animation,psychology,TED-Ed,mental health,brain,human body,physiology"
"
											Researchers gave the test 
to Nazi war criminals,
											hoping to unlock the psychological roots 
of mass murder.
											Anthropologists showed the images to 
remote communities
											as a sort of universal personality test.
											Employers made prejudiced hiring decisions
based on reductive decoding charts.
											As the test left clinics and entered 
popular culture
											its reputation among medical 
professionals plummeted,
											and the blots began to fall 
out of clinical use.
									","
											Des chercheurs ont fait passer le test
à des criminels de guerre nazis
											en espérant révéler les origines
psychologiques du génocide.
											Des anthropologistes ont montré les images
à des communautés isolées
											comme un test de personnalité universel.
											Des employeurs ont décidé d'embauches
d'après ce décodage réducteur.
											Alors que le test a quitté la clinique
au profit de la culture populaire,
											sa réputation parmi les professionnels
médicaux s'est effondrée
											et les taches ont arrêté
d'avoir une utilisation clinique.
									","
											Investigadores fizeram o teste
aos criminosos de guerra nazis
											na esperança de descobrir
											as raízes psicológicas
do assassínio de massas.
											Antropólogos mostraram as imagens
a comunidades longínquas
											como uma espécie de teste
de personalidade universal.
											Patrões tomaram decisões
de contratação preconceituosa
											com base nos gráficos
de descodificação redutores.
											Quando o teste saiu da clínica
e entrou na cultura popular,
											a sua reputação entre os profissionais
de medicina caiu
											e as manchas começaram a deixar
de ser usadas clinicamente.
									","
											Araştırmacılar, toplu katliamın 
pskikolojik kökenlerini
											ortaya çıkarma umuduyla 
Nazi savaşı suçlularına testi uyguladılar.
											Antropologlar bir tür 
evrensel kişilik testi olarak
											resimleri uzaktaki topluluklara gösterdi.
											İşverenler indirgeyici
kodlama tablolarına dayanan
											önyargılı işe alma kararları verdi.
											Test, klinikleri terk ettikçe 
ve popüler kültüre girdikçe
											tıp alanında ünü azaldı
											ve mürekkep lekelerinin 
klinik kullanımı azalmaya başladı.
									",How does the Rorschach inkblot test work?,Damion Searls,4:46,"animation,psychology,TED-Ed,mental health,brain,human body,physiology"
"
","
","
","
",How does the Rorschach inkblot test work?,Damion Searls,4:46,"animation,psychology,TED-Ed,mental health,brain,human body,physiology"
"
											Today, the test is still controversial,
											and many people assume 
it has been disproven.
											But a massive 2013 review of all the 
existing Rorschach research
											showed that when administered properly 
the test yields valid results,
											which can help diagnose mental illness
											or round out a patient’s 
psychological profile.
											It’s hardly a stand-alone key 
to the human mind–
											no test is.
											But its visual approach and lack 
of any single right answer
											continue to help psychologists paint
a more nuanced picture
											of how people see the world.
											Bringing us one step closer
											to understanding the patterns 
behind our perceptions.
									","
											Aujourd'hui, le test
est encore controversé
											et beaucoup de gens présument
qu'il a été réfuté.
											Mais en 2013, un examen de toute
la recherche existante de Rorschach
											a montré qu'administré correctement,
le test offrait des résultats valides
											pouvant aider à diagnostiquer
des maladies mentales
											ou à compléter le profil
psychologique d'un patient.
											Ce n'est pas une clé
universelle de l'esprit humain,
											aucun test ne l'est.
											Mais son approche visuelle
et l'absence d'une unique bonne réponse
											continue à aider les psychologues
à dresser un tableau plus nuancé
											de la vision que les gens ont du monde.
											Nous rapprochant un peu plus
											de la compréhension des structures
derrière nos perceptions.
									","
											Hoje, o teste continua polémico
											e muita gente julga que foi reprovado.
											Mas um enorme estudo em 2013,
da investigação existente de Rorschach
											mostrou que, quando bem administrado,
o teste produz resultados válidos
											que podem ajudar a diagnosticar
doenças mentais
											ou traçar um perfil psicológico do doente.
											Dificilmente será uma chave, por si só,
para o espírito humano
											— nenhum teste é.
											Mas a sua abordagem visual
e a falta de qualquer resposta certa
											continua a ajudar os psicólogos
a desenhar uma imagem mais matizada,
											de como as pessoas veem o mundo,
											aproximando-nos mais um pouco
											da compreensão dos padrões
por detrás das nossas perceções.
									","
											Günümüzde test hala tartışmaya açık
											ve birçok insan yanlış olduğu 
ispatlanmış olduğunu farz ediyor.
											Ama 2013'te mevcut tüm Rorschach
araştırmasının kapsamlı bir incelemesi
											düzgünce uygulandığında testin
akıl hastalıklarını teşhis etmeye
											yardımcı olabilen ya da hastanın
psikolojik profilini çıkaran
											mantıklı sonuçlar verdiğini gösterdi.
											Test, insan zihni için tek başına
bir anahtar sayılmaz —
											hangi test öyle ki.
											Ama görsel yaklaşımı ve tek
bir doğru cevabının olmaması
											psikologlara insanların 
dünyayı nasıl gördüğünün
											daha incelikli bir resmini çizmesinde
yardımcı olmaya devam ediyor.
											Algılarımızın arkasındaki kalıpları 
anlamaya bizi bir adım yaklaştırıyor.
									",How does the Rorschach inkblot test work?,Damion Searls,4:46,"animation,psychology,TED-Ed,mental health,brain,human body,physiology"
"
","
","
","
",How does the Rorschach inkblot test work?,Damion Searls,4:46,"animation,psychology,TED-Ed,mental health,brain,human body,physiology"
