en,pt,es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
","
",Why does your voice change as you get older?,Shaylin Schundler,4:55,"TED-Ed,biology,science,vocals,sound,communication"
"
											In the mid-16th century,
											Italians were captivated by a type 
of male singer
											whose incredible range contained notes
											previously thought impossible 
for adult men.
											However, this gift came at a high price.
											To prevent their voices from breaking,
											these singers had been 
castrated before puberty,
											halting the hormonal processes 
that would deepen their voices.
											Known as castrati, their light, angelic 
voices were renowned throughout Europe,
											until the cruel procedure that created 
them was outlawed in the 1800s.
									","
											Em meados do século XVI,
											os italianos eram cativados
por um tipo de cantores masculinos
											com um registo incrível de notas
											que se julgavam impossíveis
num homem adulto.
											Porém, este dom tinha um alto preço.
											Para impedir a alteração da voz,
											esses cantores eram castrados
antes da puberdade,
											impedindo o processo hormonal
que tornaria a voz mais grave.
											Conhecidos por ""castrati"",
											estas vozes agudas e angélicas
eram famosas em toda a Europa,
											até que este cruel procedimento
foi proibido no início do século XIX.
									","
											A mediados del siglo XVI,
											los italianos fueron cautivados por 
el canto de un tipo de voz masculina
											que desplegaba un increíble
registro de notas,
											otrora impensadas en un hombre adulto.
											Pero este don tenía un alto costo.
											Para preservar el tono de voz,
											estos cantantes eran castrados 
antes de la pubertad
											con el fin de detener el proceso hormonal
que producía el cambio de voz.
											Eran los castrati, cuyas voces angelicales
y puras ganaron fama en toda Europa
											hasta el siglo XIX, cuando se decidió
abolir esta práctica tan cruel.
									","
											16. yüzyılın ortalarında,
											İtalyanlar, bir erkek şarkıcının 
inanılmaz aralıklardaki
											ses tonuyla büyülendiler.
											Önceden bunun yetişkin erkekler için 
imkânsız olduğu düşünülüyordu.
											Ancak, bu kabiliyet pahalıya mal olmuştu.
											Seslerinin değişmesini önlemek için,
											bu şarkıcılar seslerini kalınlaştıracak 
hormonal süreçleri
											durdurmak amacıyla ergenlik dönemlerinden
önce hadım edilirler.
											Kastrato olarak bilinen, tiz ve olağanüstü
sesleriyle Avrupa'da tanınıyorlardı,
											ta ki onları yaratan bu zalim prosedür
1800'lü yıllarda yasaklanana kadar.
									","
											À la moitié du 16e siècle,
											les Italiens étaient fascinés
par un type de chanteur masculin
											dont le registre incroyable
contenait des notes
											auparavant considérées
comme impossibles pour les hommes.
											Néanmoins, ce don coûtait cher.
											Pour empêcher que leur voix se casse,
											ces chanteurs étaient castrés 
avant leur puberté,
											freinant les processus hormonaux
qui rendraient leur voix grave.
											Appelés castrats, leur voix douce
et angélique était célèbre en Europe,
											jusqu'à ce que l'opération cruelle
soit proscrite vers l'an 1800.
									","
											In der Mitte des 16ten Jahrhunderts
											waren die Italiener von einer Art 
männlichem Sänger fasziniert,
											deren unglaubliche Reichweite
Noten beinhaltete,
											die zuvor für erwachsene Männer 
für unmöglich gehalten wurden.
											Diese Gabe kam jedoch
mit einem schweren Preis.
											Um ihren Stimmbruch zu verhindern,
											wurden die Sänger 
vor der Pubertät kastriert,
											was die normalen hormonellen Prozesse 
verhinderte, die die Stimme vertiefen.
											Bekannt als ""Castrati"", waren ihre hellen,
himmlischen Stimmen europaweit bekannt,
											bis das grausame Verfahren,
das sie erschaffen hatte,
											in den 1800er verboten wurde.
									",Why does your voice change as you get older?,Shaylin Schundler,4:55,"TED-Ed,biology,science,vocals,sound,communication"
"
","
","
","
","
","
",Why does your voice change as you get older?,Shaylin Schundler,4:55,"TED-Ed,biology,science,vocals,sound,communication"
"
											Though stunting vocal growth can produce 
an extraordinary musical range,
											naturally developing voices 
are already capable of incredible variety.
											And as we age, our bodies undergo two
major changes which explore that range.
											So how exactly does our voice box work,
and what causes these shifts in speech?
									","
											Embora o crescimento vocal retardado
											possa produzir um registo
musical extraordinário,
											as vozes que evoluem naturalmente
conseguem uma variedade enorme.
											À medida que envelhecemos, o nosso corpo
sofre duas importantes mudanças
											que exploram essa amplitude.
											Como é que funciona a nossa caixa vocal
e quais as causas dessas mudanças?
									","
											Si bien detener el desarrollo vocal
											puede dar lugar a una gama
musical extraordinaria,
											las voces que se desarrollan
de manera natural
											también son capaces
de una increíble variedad tonal.
											Con la edad, el organismo 
experimenta dos grandes cambios
											que recorren esa gama.
											¿Cómo funciona el aparato fonador
y cómo se producen estos cambios de voz?
									","
											Vokal gelişimi engellemek olağanüstü
bir müzikal çeşitlilik ortaya koysa da,
											doğal olarak gelişen seslerin zaten 
inanılmaz bir çeşitliliği vardır.
											Yaşlandıkça, vücudumuz bu çeşitliliği
keşfeden iki büyük değişiklik geçirir.
											Öyleyse, gırtlağımız 
tam olarak nasıl çalışıyor
											ve konuşmadaki bu değişikliğe
neler sebep oluyor?
									","
											Bien qu'une voix d'enfant accède
à un registre musical extraordinaire,
											une voix développée naturellement
est à même d'avoir une variété incroyable.
											En vieillissant, le corps subit
deux changements majeurs,
											qui explorent ce registre.
											Alors comment le larynx
fonctionne-t-il réellement,
											et quelles sont les causes
de ces changements de voix ?
									","
											Obwohl das Hemmen des Stimmwachstums
eine unglaubliche musikalische Reichweite
											produzieren kann,
											haben natürlich entwickelte Stimmen
schon eine unglaubliche Vielfalt.
											Unsere Körper untergehen zwei
Hauptveränderungen während wir altern,
											welche diese Reichweite erforschen.
											Wie funktioniert unser Kehlkopf, und 
was löst diese Sprachveränderungen aus?
									",Why does your voice change as you get older?,Shaylin Schundler,4:55,"TED-Ed,biology,science,vocals,sound,communication"
"
","
","
","
","
","
",Why does your voice change as you get older?,Shaylin Schundler,4:55,"TED-Ed,biology,science,vocals,sound,communication"
"
											The specific sound of a speaking voice is
the result of many anatomical variables,
											but it’s mostly determined by the age 
and health of our vocal cords
											and the size of our larynxes.
											The larynx is a complex system 
of muscle and cartilage
											that supports and moves the vocal cords,
											or, as they’re more accurately known, 
the vocal folds.
											Strung between the thyroid 
and arytenoid cartilages,
											these two muscles form an elastic curtain
that opens and shuts across the trachea,
											the tube that carries 
air through the throat.
											The folds are apart when we’re breathing,
											but when we speak, they slam shut.
											Our lungs push air 
against the closed folds,
											blowing them open and vibrating
the tissue to produce sound.
											Unlike the deliberate focus required 
for playing an external instrument,
											we effortlessly change notes as we speak.
											By pushing air faster or slower,
											we change the frequency and amplitude 
of these vibrations,
											which respectively translate to the pitch 
and volume of our voices.
											Rapid and small vibrations create 
high-pitched, quiet tones,
											while slow, large vibrations 
produce deep, bellowing rumbles.
											Finally, by moving the laryngeal muscles 
between the cartilages,
											we can stretch and contract those folds
											to intuitively play 
our internal instruments.
									","
											O som específico duma voz é o resultado
de muitas variáveis anatómicas,
											mas é sobretudo determinada pela idade
e pela saúde das cordas vocais
											e pela dimensão da laringe.
											A laringe é um complexo sistema
de músculos e cartilagens
											que sustentam e fazem mover
as cordas vocais
											ou, como são designadas
mais rigorosamente, as pregas vocais.
											Esticadas entre a tiroide
e as cartilagens aritenoides,
											estes dois músculos
formam uma cortina elástica
											que se abre e se fecha na traqueia,
											o tubo que transporta o ar pela garganta.
											As pregas afastam-se quando respiramos,
											mas, quando falamos, fecham-se.
											Os pulmões empurram o ar
contra as pregas fechadas,
											forçando-as a abrir e pondo 
o tecido a vibrar para produzir sons.
											Ao contrário da concentração necessária
para tocar um instrumento exterior,
											nós mudamos as notas
sem qualquer esforço, quando falamos.
											Empurrando o ar mais depressa
ou mais devagar,
											mudamos a frequência
e a amplitude dessas vibrações
											que se traduzem, respetivamente,
pelo tom e volume da nossa voz.
											As vibrações rápidas e curtas
criam sons estridentes,
											enquanto as vibrações lentas e grandes
produzem roncos profundos.
											Por fim, ao movermos os músculos
da laringe, entre as cartilagens,
											podemos esticar e contrair essas pregas
											para tocar intuitivamente
o nosso instrumento interno.
									","
											El sonido específico de una voz
											es el resultado de numerosas
variables anatómicas,
											pero está mayormente determinado
											por la edad y la salud 
de las cuerdas vocales,
											y por el tamaño de la laringe.
											La laringe es un complejo sistema
de músculos y cartílagos
											que contiene y mueve las cuerdas vocales,
											también conocidas por su nombre
más preciso, los ""pliegues vocales"".
											Ubicados entre la tiroides
y los cartílagos aritenoides,
											estos dos músculos
forman una cortina elástica
											que se abre y se cierra en la tráquea,
											el tubo que transporta 
el aire por la garganta.
											Cuando respiramos,
los pliegues se separan,
											pero cuando hablamos, se cierran.
											El aire expulsado por los pulmones
choca contra los pliegues cerrados,
											los abre y hace vibrar 
el tejido para producir sonido.
											Cuando ejecutamos un instrumento musical,
debemos centrar nuestra atención,
											pero no hacemos ningún esfuerzo
cuando cambiamos de notas al hablar.
											Según la velocidad
con que expulsamos el aire,
											cambiamos la frecuencia
y la amplitud de estas vibraciones,
											las cuales determinan el tono 
y el volumen de la voz, respectivamente.
											Las vibraciones rápidas y cortas
producen tonos agudos y sostenidos,
											en tanto que las vibraciones lentas
y largas producen tonos graves,
											con efecto de retumbo.
											Por último, si movemos los músculos
laríngeos entre los cartílagos,
											podemos estirar y contraer esos pliegues
											para tocar de manera intuitiva
nuestros ""instrumentos"" internos.
									","
											Bir konuşma sesini özel kılan şey, birçok
anatomik değişkenin sonucu olmasıdır,
											ancak çoğunlukla yaşa, vokal kortların
durumuna ve gırtlak genişliğine
											göre değişmektedir.
											Gırtlak, vokal kortları ya da 
daha bilinen haliyle ses tellerini
											hareket ettiren ve bir arada tutan
											karmaşık bir kas ve kıkırdak sistemidir.
											Tiroid ve aritenoid kıkırdak arasında
dizili bu iki kas,
											boğaz yoluyla hava taşıyan 
trakea borusunda
											açılıp kapanan 
elastik bir perde oluşturur.
											Ses telleri, nefes aldığımızda ayrılırken,
											konuştuğumuzda birbirleriyle çarpışırlar.
											Akciğerlerimiz havayı kapalı 
ses tellerine doğru iter,
											açılmalarını sağlar ve sesin çıkması için
dokuyu titreştirir.
											Bir enstrüman çalmak için gerekli 
olan kasıtlı odaklanmanın aksine,
											konuşurken çaba harcamadan 
ses tonumuz değişir.
											Havayı daha hızlı ya da 
daha yavaş iterek,
											sırasıyla sesimizin perdesini 
ve şiddetini aktaran
											bu titreşimlerin frekansını 
ve genliğini değiştirir.
											Hızlı ve küçük titreşimler, tiz ve alçak
tonlarda ses üretirken,
											yavaş ve büyük titreşimler 
derin ve ağır sesler üretir.
											Son olarak, kıkırdaklar arasındaki 
larenks kasların hareket etmesiyle,
											bu ses telleri iç enstrümanlarımızı
											sezgisel olarak çalmak için 
gerilebilir ve kısalabilir.
									","
											Le son spécifique d'une parole résulte
de beaucoup de variables anatomiques,
											mais il est surtout déterminé par l'âge
et la santé de nos cordes vocales
											et par la taille de notre larynx.
											Le larynx est un système complexe
de muscles et de cartilage
											qui supporte et déplace les cordes vocales
											connus plus précisément
sous le nom de plis vocaux.
											Enfilés entre les cartilages
thyroïdiens et aryténoïdes,
											ces deux muscles forment un rideau souple
qui ouvre et ferme la trachée,
											le tube qui transporte l'air
à travers la gorge.
											Les plis sont séparés quand on respire,
											mais quand on parle, elles claquent.
											Nos poumons poussent l'air
contre les plis fermées,
											ce qui les ouvre et fait vibrer le tissu
pour produire des sons.
											Contrairement à la concentration requise
pour jouer d'un instrument extérieur,
											on change de notes sans effort
lorsque l'on parle.
											En faisant varier la vitesse de l'air,
											on change la fréquence
et l'amplitude de ces vibrations
											qui déterminent respectivement
la hauteur et le volume de notre voix.
											Des vibrations rapides et faibles
créent des tonalités aiguës et douces,
											alors que des vibrations lentes et amples
génèrent des grondements graves et forts.
											Finalement, en faisant bouger les muscles 
laryngiens entre les cartilages,
											on peut étirer et contracter ces plis
											pour jouer intuitivement
de nos instruments intérieurs.
									","
											Das spezifische Geräusch
einer sprechenden Stimme
											ist die Folge vieler anatomischer Faktoren
											aber sie wird vor allem von Alter und
Gesundheit unserer Stimmbänder bestimmt,
											und der Größe unsere Laryngen.
											Der Larynx ist ein komplexes System
aus Muskeln und Knorpel,
											das die Stimmbänder stützt und bewegt,
											oder, wie sie exakter heißen,
die Stimmfalten.
											Zwischen Schild- und Aryknorpel
											bilden die zwei Muskeln einen elastischen
Vorhang, der sich über derTrachee
											— die Röhre die Luft durch den Hals bringt —
											öffnet und schließt.
											Die Falten sind beim Atmen auseinander,
											aber wenn wir reden schließen sie sich.
											Unsere Lungen drücken Luft 
gegen die geschlossenen Falten,
											blasen sie auseinander und vibrieren
das Gewebe um Geräusche zu erzeugen.
											Wogegen zum Spielen eines Instruments
bewusste Konzentration notwendig ist,
											verändern wir Noten 
mühelos während wir reden.
											Indem Luft schneller 
oder langsamer gepresst wird,
											verändern wir die Frequenz 
und Amplitude dieser Vibrationen,
											was sich in Tonhöhe und Lautstärke
unserer Stimmen übersetzt.
											Rasche und kleine Vibrationen 
verursachen schrille, leise Töne,
											während langsame, große Vibrationen 
tiefe, brüllende Grollen produzieren.
											Schließlich, durch Bewegung der 
Kehlkopfmuskeln zwischen dem Knorpel
											können wir diese Falten strecken
oder zusammenziehen
											um unsere internen Instrumente
intuitiv zu spielen.
									",Why does your voice change as you get older?,Shaylin Schundler,4:55,"TED-Ed,biology,science,vocals,sound,communication"
"
","
","
","
","
","
",Why does your voice change as you get older?,Shaylin Schundler,4:55,"TED-Ed,biology,science,vocals,sound,communication"
"
											This process is the same from 
your first words to your last,
											but as you age, your larynx ages too.
											During puberty, 
the first major shift starts,
											as your voice begins to deepen.
											This happens when 
your larynx grows in size,
											elongating the vocal folds and
opening up more room for them to vibrate.
											These longer folds have slower, 
larger vibrations,
											which result in a lower baseline pitch.
									","
											Este processo é o mesmo
											desde as nossas primeiras
palavras até às últimas,
											mas, à medida que envelhecemos,
a laringe também envelhece.
											Durante a puberdade, começa
a primeira grande mudança
											quando a voz começa
a ficar mais grave.
											Isto acontece quando
a laringe aumenta de tamanho,
											alongando as pregas vocais
e criando mais espaço para elas vibrarem.
											Estas pregas mais longas têm
vibrações mais lentas, maiores,
											que resultam num tom mais baixo.
									","
											Este proceso se repite desde nuestras
primeras palabras hasta las últimas,
											pero, a medida que envejecemos,
también lo hace la laringe.
											El primer gran cambio
se produce en la pubertad,
											cuando la voz se hace más gruesa.
											Esto ocurre cuando la laringe
aumenta de tamaño,
											las cuerdas vocales se estiran y dan lugar
a mayor espacio para poder vibrar.
											Estos pliegues más largos producen 
vibraciones más lentas y prolongadas,
											y crean tonos más bajos.
									","
											Bu işlem, ilk sözcüğünüzden son 
sözcüğünüze kadar aynı şekildedir,
											ancak siz yaşlandıkça 
gırtlağınız da yaşlanır.
											Ergenlik döneminde,
sesiniz derinleşmeye başladığında,
											ilk büyük değişiklik de başlamış olur.
											Bu, gırtlağınız hacimce büyüdüğünde,
ses telleri uzayarak
											ve ses tellerini titretmek için 
daha fazla yer açarak gerçekleşir.
											Bu uzun ses tellerinin, temel bir 
ses perdesi ile sonuçlanan
											daha yavaş ve daha geniş aralıklarla
titreşimleri olur.
									","
											Ce procédé reste le même
des premiers mots jusqu'aux derniers,
											mais en vieillissant,
le larynx vieillit aussi.
											Pendant la puberté, le premier 
changement majeur commence
											lorsque la voix commence à muer.
											Cela arrive quand le larynx s'agrandit,
											ce qui allonge les plis vocaux
et leur donne plus d'espace pour vibrer.
											Ces plis plus longs vibrent
plus lentement et plus amplement,
											ce qui rend plus grave
la hauteur générale.
									","
											Dieser Prozess ist der selbe von deinen
ersten Wörter bis deiner letzten,
											aber während du älter wirst,
wird dein Kehlkopf auch älter.
											Während der Pubertät beginnt
der erste großer Umschwung
											als deine Stimme tiefer wird.
											Dies passiert wenn dein Kehlkopf 
größer wird,
											die Stimmfalten sich verlängern
und mehr Raum zum vibrieren öffnen.
											Diese Falten haben langsamere,
größere Vibrationen,
											was zu einer niedrigeren
Grundlinienhöhe führt.
									",Why does your voice change as you get older?,Shaylin Schundler,4:55,"TED-Ed,biology,science,vocals,sound,communication"
"
","
","
","
","
","
",Why does your voice change as you get older?,Shaylin Schundler,4:55,"TED-Ed,biology,science,vocals,sound,communication"
"
											This growth is especially dramatic
in many males,
											whose high testosterone levels
lead first to voice cracks,
											and then to deeper, more booming voices,
											and laryngeal protrusions 
called Adam’s apples.
									","
											Este crescimento é especialmente
significativo em muitos rapazes,
											cujo alto nível de testosterona
provoca primeiro falhas de voz,
											e depois uma voz mais profunda,
mais pujante
											e uma saliência laríngea
chamada ""maçã de Adão"".
									","
											Este crecimiento es muy marcado 
en la mayoría de los varones,
											cuyos altos niveles de testosterona
producen primero quiebres en la voz
											y luego la tornan más grave y estridente,
											y favorecen el desarrollo
de una protuberancia laríngea
											llamada ""nuez de Adán"".
									","
											Bu büyüme, yüksek testosteron 
seviyelerinin ilk olarak
											ses çatlaklarına ardından daha 
derinleşen daha gür seslere
											ve Adem elması adı verilen 
laringeal çıkıntılara
											sebep olduğu çoğu erkekte 
özellikle dramatiktir.
									","
											Cette croissance est particulièrement
flagrante chez les hommes,
											dont le taux élevé de testostérone
leur casse d'abord la voix,
											puis la rend plus grave et retentissante,
											et crée une excroissance laryngienne
nommée la pomme d'Adam.
									","
											Dieses Wachstum ist bei Männern
besonders dramatisch,
											deren hohe Testosteronspiegel 
erstmals zu Stimmenbrüche,
											und danach zu tieferen, 
eher dröhnenden Stimmen führen
											und Kehlkopfvorsprünge,
die Adamsapfel heißen.
									",Why does your voice change as you get older?,Shaylin Schundler,4:55,"TED-Ed,biology,science,vocals,sound,communication"
