pt,tr,fr,title,speaker,duration,tags
"
","
","
",How the blockchain is changing money and business,Don Tapscott,18:49,"business,collaboration,computers,data,economics,future,innovation,Internet,privacy,security,society,software,technology,trust,blockchain,cryptocurrency"
"
											A tecnologia que provavelmente
terá o maior impacto
											nas próximas décadas, está aqui.
											E não são os ""media"" sociais.
Não é ""big data"".
											Não é a robótica.
Nem sequer é a inteligência artificial.
											Ficarão surpreendidos por saber
											que é a tecnologia subjacente
às moedas digitais, como a BitCoin.
											Ela chama-se ""cadeia de blocos"".
Cadeia de blocos.
									","
											Önümüzdeki birkaç yıl içerisinde
en büyük etkiyi yapması
											muhtemel olan teknoloji
											kapıya dayandı.
											Bu, sosyal medya değil.
											Büyük veriler değil.
											Robot bilimi değil.
											Yapay zekâ bile değil.
											Öğrenince şaşıracaksınız.
											Bu sanal para gibi dijital para
birimlerinin altında yatan teknoloji.
											Buna blok zinciri deniyor. Blok zinciri.
									","
											La technologie qui aura 
probablement le plus d'impact
											sur les prochaines décennies
											est arrivée.
											Et ce ne sont pas les médias sociaux.
											Ça n'est pas le big data.
											Ça n'est pas la robotique.
											Ce n'est même pas 
l'intelligence artificielle.
											Vous serez surpris d'apprendre
											que c'est la technologie sous-jacente
des monnaies numériques comme Bitcoin.
											On l'appelle la blockchain, 
ou chaîne de blocs.
									",How the blockchain is changing money and business,Don Tapscott,18:49,"business,collaboration,computers,data,economics,future,innovation,Internet,privacy,security,society,software,technology,trust,blockchain,cryptocurrency"
"
","
","
",How the blockchain is changing money and business,Don Tapscott,18:49,"business,collaboration,computers,data,economics,future,innovation,Internet,privacy,security,society,software,technology,trust,blockchain,cryptocurrency"
"
											Não é o termo mais sonoro do mundo,
											mas acredito que é
											a próxima geração da Internet,
											muito promissora para todos
os negócios, todas as sociedades
											e todos vós, individualmente.
									","
											Dünyadaki en tantanalı kelime değil.
											Ama ben artık bunun,
											internetin gelecek jenerasyonu olduğuna
											ve her ticari kuruluş ve toplum için
büyük ümit vaat ettiğine inanıyorum,
											tek tek her birimiz için durum bu.
									","
											OK, ce n'est pas 
le plus joli mot du monde,
											mais je crois qu'il s'agit désormais
											de la prochaine génération d'internet
											et qu'elle est très prometteuse 
pour toute entreprise, toute société
											et pour vous tous, individuellement.
									",How the blockchain is changing money and business,Don Tapscott,18:49,"business,collaboration,computers,data,economics,future,innovation,Internet,privacy,security,society,software,technology,trust,blockchain,cryptocurrency"
"
","
","
",How the blockchain is changing money and business,Don Tapscott,18:49,"business,collaboration,computers,data,economics,future,innovation,Internet,privacy,security,society,software,technology,trust,blockchain,cryptocurrency"
"
											Durante as últimas décadas,
tivemos a Internet da informação.
											Quando vos envio correio eletrónico,
um ficheiro PowerPoint, ou outra coisa,
											não estou a enviar o original,
estou a enviar uma cópia.
											E isso é ótimo.
											É a informação democratizada.
											Mas no que toca a ativos
											— coisas como dinheiro,
											ativos financeiros
como ações e obrigações,
											pontos de lealdade,
propriedade intelectual,
											música, arte, um voto,
											créditos de carbono e outros ativos —
											enviar uma cópia é péssima ideia.
											Se vos enviar 100 dólares,
											é bastante importante
que eu não continue a ter esse dinheiro...
									","
											Bildiğiniz gibi, son birkaç senede
bilgi anlamında internete sahibiz.
											Size e-posta veya PowerPoint dosyası
veya başka bir şey gönderdiğimde,
											aslında size orijinal
dosyayı yollamıyorum,
											kopyasını gönderiyorum.
											Bu harika.
											Bu demokratikleştirilmiş bilgi.
											Ama konu mal varlığı olduğunda —
											ki burada kast ettiğim şeyler, para
											hisse senedi, bono gibi finansal varlıklar
											sadakat meseleleri, entellektüel mülk,
											müzik, sanat, bir oy,
											karbon kredisi ve diğer mal varlıkları—
											size bunların kopyasını
yollamak çok kötü bir fikir.
											Eğer size 100 dolar yollarsam,
											bu paranın hâlen bende
bulunmaması gerçekten önemli —
									","
											Depuis quelques décennies,
nous avons l'internet de l'information.
											Quand je vous envoie un e-mail,
un fichier PowerPoint ou autre chose,
											je ne vous envoie en fait pas l'original,
											je vous envoie une copie.
											Et c'est super.
											C'est l'information démocratisée.
											Mais quand il s'agit d'actifs —
											de choses comme de l'argent,
											des actifs financiers 
telles des actions et obligations,
											des points de fidélité, 
de la propriété intellectuelle,
											de la musique, de l'art, un vote,
											des crédits carbone et d'autres actifs —
											vous envoyer une copie 
est une très mauvaise idée.
											Si je vous envoie 100 dollars,
											c'est vraiment important
que je n'ai plus cet argent —
											(Rires)
									",How the blockchain is changing money and business,Don Tapscott,18:49,"business,collaboration,computers,data,economics,future,innovation,Internet,privacy,security,society,software,technology,trust,blockchain,cryptocurrency"
"
","
","
",How the blockchain is changing money and business,Don Tapscott,18:49,"business,collaboration,computers,data,economics,future,innovation,Internet,privacy,security,society,software,technology,trust,blockchain,cryptocurrency"
"
											(Risos)
									","
											(Kahkahalar)
									","
											et que je ne puisse pas 
vous l'envoyer.
											Cela a été appelé 
le problème des « double-dépenses »
											par les cryptographes depuis longtemps.
									",How the blockchain is changing money and business,Don Tapscott,18:49,"business,collaboration,computers,data,economics,future,innovation,Internet,privacy,security,society,software,technology,trust,blockchain,cryptocurrency"
"
","
","
",How the blockchain is changing money and business,Don Tapscott,18:49,"business,collaboration,computers,data,economics,future,innovation,Internet,privacy,security,society,software,technology,trust,blockchain,cryptocurrency"
"
											... e que não possa voltar a enviá-lo
a outra pessoa.
											O problema é chamado pelos criptógrafos
""gasto duplo"", há muito tempo.
									","
											ki o durumda bunu size gönderemem.
											Bu duruma, şifreleme uzmanları tarafından
											uzun zamandır ""çifte harcama"" deniyor.
									","
											Donc, aujourd'hui, nous comptons 
entièrement sur de grands intermédiaires
											comme les banques, le gouvernement,
											les grandes entreprises de médias sociaux,
les sociétés de cartes de crédit etc.
											pour établir la confiance 
dans notre économie.
											Ces intermédiaires exercent toute 
la logique d'affaires et de transaction
											de tous les types de commerce,
											de l'authentification
et identification des personnes,
											à la compensation, le règlement
et la tenue des registres.
											Et dans l'ensemble, 
ils font du très bon travail.
											Mais il y a des problèmes grandissants.
									",How the blockchain is changing money and business,Don Tapscott,18:49,"business,collaboration,computers,data,economics,future,innovation,Internet,privacy,security,society,software,technology,trust,blockchain,cryptocurrency"
