en,es,tr,de,title,speaker,duration,tags
"
","
","
","
",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
											Great things happen at intersections.
											In fact, I would argue
that some of the most interesting things
											of the human experience
occur at the intersections,
											in the liminal space,
											where by liminal
I mean the space in-between.
											There's freedom in that in-between,
											freedom to create from the indefiniteness
of not-quite-here, not-quite-there,
											a new self-definition.
											Some of the great intersections
of the world come to mind,
											like the Arc de Triomphe in Paris,
											or Times Square in New York City,
											both bustling with the excitement
of a seemingly endless stream of people.
											Other intersections,
											like the Edmund Pettus Bridge
in Selma, Alabama,
											or Canfield Drive and Copper Creek Court
in Ferguson, Missouri, also come to mind
											because of the tremendous energy
at the intersection of human beings,
											ideologies and the ongoing
struggle for justice.
									","
											En las intersecciones
ocurren grandes cosas.
											De hecho, diría que ocurren
cosas de las más interesantes
											de la experiencia humana
en las intersecciones,
											en el espacio liminal.
											Y por liminal me refiero
al espacio del medio.
											Hay libertad en ese espacio medio;
											libertad de crear a partir de la
indefinición, del ni aquí ni allí,
											una nueva auto-definición.
											Me vienen a la mente las grandes
intersecciones del mundo,
											como el Arco del Triunfo en París,
											o Times Square en Nueva York,
											ambos repletos de la emoción de un flujo
aparentemente incesante de personas.
											Pienso en otras intersecciones,
											como el puente Edmund Pettus
en Selma, Alabama,
											o Canfield Drive y Copper Creek Court
en Ferguson, Missouri,
											debido a la tremenda energía que
hay en la intersección de personas,
											ideologías y la lucha por
la justicia que está en curso.
									","
											Müthiş şeyler kesişim noktalarında olur.
											Aslında, insan deneyimlerindeki
											en enteresan şeyler kesişimlerde,
											eşikte meydana gelir.
											Bu eşik ile kastettiğim yer; 
aradaki boşluktur.
											Bu aradaki boşluk özgürlüktür,
											ne o tarafta olma,
ne de bu tarafta olmanın 

											sonsuzluğunu yaratmak için özgürlük;
											yeni bir öz tanım.
											Dünyanın akla gelen mükemmel kesişimleri;
											Paris'teki Zafer Takı
											veya New York'taki Times meydanı,
											her ikisi de insanların heyecanlı, 
sonsuz akışı ile hareketlenmiş.
											Diğer kesişimler,
											Alabama, Selma'daki Edmund Pettus Köprüsü
											veya Missouri, Ferguson'daki Canfield Drive 
ve Copper Creek Court gibi yerler akla gelir.
											Çünkü buralarda insanlığın 
kesişimindeki muhteşem enerji,
											ideolojiler ve adalet için 
süregelen bir çaba vardır.
									","
											Große Dinge passieren an Kreuzungspunkten.
											Manche der interessantesten Dinge
menschlicher Erfahrung
											geschehen an Kreuzungspunkten,
											in dem Grenzbereich,
											wobei ich den Raum dazwischen meine.
											Da ist Freiheit in
dem ""Dazwischen sein"" —
											Freiheit durch die Unbestimmtheit,
noch nicht hier, noch nicht dort zu sein,
											eine neue Selbstbestimmung.
											Große Kreuzungspunkte der Welt
kommen ins Gedächtnis,
											wie der Arc de Triomphe in Paris,
											oder der Times Square in New York City —
											beide von einem nahezu endlosen
Strom geschäftiger Menschen belebt.
											Andere Kreuzungspunkte,
											wie die Edmund Pettus Bridge 
in Selma, Alabama,
											oder Canfield Drive und Copper Creek Court
in Ferguson, Missouri, fallen uns ein,
											aufgrund der vibrierenden Energie
am Kreuzungspunkt von Menschen,
											Idealen und des ständigen Kampfes 
um Gerechtigkeit ein.
									",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
","
","
","
",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
											Beyond the physical
landscape of our planet,
											some of the most famous celestial images
are of intersections.
											Stars are born at the messy
intersection of gas and dust,
											instigated by gravity's irrevocable pull.
											Stars die by this same intersection,
this time flung outward
											in a violent collision of smaller atoms,
											intersecting and efficiently fusing
into altogether new and heavier things.
											We can all think of intersections
that have special meaning to us.
											To be intersectional, then,
											is to occupy a position
at an intersection.
									","
											Más allá del paisaje físico
de nuestro planeta,
											algunas de las imágenes celestiales
más famosas son de intersecciones.
											Las estrellas nacen en la intersección
desordenada de gas y polvo,
											instigada por el impulso
irrevocable de la gravedad.
											Las estrellas mueren por esta misma
intersección, esta vez expulsadas
											en una violenta colisión de átomos
											que se intersectan y fusionan con
eficiencia en cosas nuevas más pesadas.
											Todos podemos pensar intersecciones
que tienen un significado especial.
											Que sea liminal, entonces,
											significa que ocupa una posición
en una intersección.
									","
											Gezegenimizin fiziksel 
görüntüsünün ardında,
											bazı çok ünlü göksel imgeler 
kesişimlerdir.
											Yıldızlar, gazın ve toz bulutunun 
kesişmesinden doğmuş,
											yerçekiminin geri dönülemez 
çekimi ile başlamıştır.
											Yıldızlar, aynı kesişim 
ile yok olmuşlar, bu sefer ise,
											daha küçük atomların 
şiddetli çarpışması ile dışa doğru fırlamışlardır;
											yeni ve daha ağır şeyler bir araya gelip 
kesişerek ve etkili bir biçimde kaynaşarak.
											Hepimiz, kesişimleri bize ayrı bir 
anlam kattığı şekliyle düşünebiliriz.
											Kesişimsel olmak, o halde
											kesişimdeki bir yeri işgal etmek demektir.
									","
											Jenseits der physischen Welt
unseres Planeten
											entstanden einige der bekanntesten
Sternbilder an Kreuzungspunkten.
											Sterne werden an der chaotischen Kreuzung 
von Gas und Staub geboren,
											initiiert durch die unwiderstehliche 
Anziehungskraft der Gravitation.
											Sterne sterben an der gleichen Kreuzung,
dieses mal nach außen geworfen,
											durch den Rückstoß 
heftigster Zusammenstöße leichter Atome,
											die an Kreuzungslinien
zu schwereren Atomen fusionieren.
											Jeder von uns kennt Kreuzungspunkte,
die spezielle Bedeutung für uns haben.
											Ein Grenzgänger zu sein,
											bedeutet eine Position 
an einem Kreuzungspunkt zu besetzen.
									",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
","
","
","
",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
											I've lived the entirety of my life
in the in-between,
											in the liminal space
between dreams and reality,
											race and gender,
											poverty and plenty,
											science and society.
											I am both black and a woman.
											Like the birth of stars in the heavenlies,
											this robust combination of knowing
results in a shining example
											of the explosive fusion of identities.
									","
											Yo he vivido toda mi vida
en el espacio del medio,
											en el espacio liminal entre
los sueños y la realidad,
											entre raza y género,
											pobreza y abundancia,
											ciencia y sociedad.
											Soy a la vez negra y mujer.
											Como el nacimiento de
las estrellas del firmamento,
											esta combinación robusta de 
conocimiento da un ejemplo brillante
											de la fusión explosiva de identidades.
									","
											Ben hayatım tümünü, bu iki arada;
											hayaller ve gerçek,
											ırk ve cinsiyet,
											yoksulluk ve bolluk,
											bilim ve toplum arasındaki eşikte yaşadım.
											Ben hem siyahiyim hem bir kadınım.
											Eşsizlik içinde yıldızların doğduğu gibi,
											bilmenin bu güçlü bileşimi, 
kimliklerin patlayıcı birleşmesinin
											parıldayan bir örneği ile neticelendi.
									","
											Ich lebte mein ganzes Leben
im ""Dazwischen"",
											im Grenzbereich zwischen
Traum und Wirklichkeit,
											Ethnie und Geschlechterrolle,
											Armut und Reichtum,
											Wissenschaft und Gesellschaft.
											Ich bin beides, schwarz und eine Frau.
											Wie bei der Geburt der Sterne im All
											führt diese starke Kombination
des Wissens zu einem leuchtenden Beispiel
											einer kraftvollen Vereinigung 
von Identitäten.
									",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
","
","
","
",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
											I am also an astrophysicist.
											I study blazars, supermassive,
hyperactive black holes
											that sit at the centers
of massive galaxies
											and shoot out jets
nearby those black holes
											at speeds approaching the speed of light
											in a process we are still trying
to completely understand.
									","
											También soy astrofísica.
											Estudio los blazares, agujeros negros
hiperactivos, supermasivos,
											que se sitúan en el centro 
de galaxias masivas
											y disparan chorros en las cercanías 
de esos agujeros negros
											a velocidades cercanas a las de la luz
											en un proceso que aún tratamos
de comprender cabalmente.
									","
											Ben aynı zamanda bir astrofizikçiyim.
											Ben blazerlar,
devasa galaksilerin merkezine oturan
											ve kara deliklerin yanındaki jetleri
											-bizim de hala bütünüyle 
anlamaya çalıştığımız bir süreçte-
											ışık hızına yaklaşan bir hızda 
dışarı iten süper kütleli,
											aşırı etkin kara delikler 
üzerine çalışıyorum.
									","
											Ich bin auch Astrophysikerin.
											Ich untersuche Blazare, supermassive,
hyperaktive schwarze Löcher,
											die in den Zentren
massereicher Galaxien sitzen
											und nahe dieser schwarzen Löcher
Strahlen ausstoßen,
											die nahezu Lichtgeschwindigkeit erreichen,
											auf eine Weise, die wir noch immer
vollständig zu verstehen versuchen.
									",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
","
","
","
",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
											I have dreamed
of becoming an astrophysicist
											since I was 12 years old.
											I had no idea that at that time,
											according to Dr. Jamie Alexander's archive
of African-American women in physics,
											only 18 black women in the United States
had ever earned a PhD
											in a physics-related discipline,
											and that the first black woman to graduate
with a PhD in an astronomy-related field
											did so just one year before my birth.
									","
											Soñé con ser astrofísica
											desde los 12 años.
											No tenía idea de que en ese momento,
											según el archivo del Dr. Jamie Alexander
de mujeres afro de EE.UU. en la física,
											solo 18 mujeres negras en EE.UU.
habían conseguido un doctorado.
											en disciplinas relacionadas con física,
											y que la primera mujer negra en graduarse
con un doctorado en astronomía
											lo hizo solo un año antes
de mi nacimiento.
									","
											12 yaşımdan beri
											bir astrofizikçi olmayı hayal ettim.
											O zamanlar bu konu 
hakkında hiçbir şey bilmiyordum.
											Dr. Jamie Alexander'ın fizik alanındaki 
Afro-Amerikalı kadınlar arşivine göre,
											Birleşik Devletler'de 
sadece 18 siyahi kadın,
											fizik ile bağlantılı bir alanda 

											doktora derecesi elde etmiş
											ve antronomi alanı ile 
bağlantılı bir alanda 

											doktora derecesi elde eden ilk
siyahi kadının mezuniyeti
											benim doğumumdan 
bir yıl önceye denk geliyor.
									","
											Seit ich 12 Jahre alt war,
träumte ich davon, 

											Astrophysikerin zu werden.
											Ich hatte keine Ahnung, dass zu der Zeit,
											nach Dr. Jamie Alexanders Archiv der 
afro-amerikanischen Frauen in der Physik,
											nur 18 Frauen jemals einen Doktortitel
in einer physikbezogenen Disziplin
											in den USA erlangt hatten.
											Die erste schwarze Frau, die in Astronomie
einen Doktortitel erlangte,
											schaffte das ein Jahr vor meiner Geburt.
									",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
","
","
","
",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
											As I journeyed along my path,
											I encountered the best and worst
of life at an intersection:
											the tremendous opportunity to self-define,
											the collision of expectation
and experience,
											the exhilaration
of victorious breakthroughs
											and, sometimes,
											the explosive pain of regeneration.
									","
											A lo largo del camino
											encontré lo mejor y lo peor
de la vida en la intersección:
											la tremenda oportunidad
de la autodefinición,
											la colisión de expectativa y experiencia,
											la euforia de los avances victoriosos
											y, a veces,
											el dolor explosivo de la regeneración.
									","
											Yolumda ilerledikçe
											kesişim noktasında hayatın 

											en iyi ve en kötü kısımları 
ile karşılaştım:
											kendini tanımlamak için muazzam fırsatlar,
											beklentinin ve tecrübenin 
bir araya gelmesi,
											çığır açan galibiyetlerin neşesi
											ve bazen de
											yenilenmenin getirdiği acı.
									","
											Auf meinem weiterem Lebensweg
											erlebte ich das Beste und Schlechteste
im Leben an Kreuzungspunkten:
											die riesige Möglichkeit der Selbstfindung,
											das Zusammentreffen
von Erwartung und Erfahrung,
											das Glücksempfinden
bei erfolgreichen Durchbrüchen
											und, manchmal,
											den beißenden Schmerz eines Neuanfangs.
									",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
","
","
","
",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
											I began my college experience
just after my family had fallen apart.
											Our financial situation disintegrated
											just after my father's
departure from our lives.
											This thrust my mother, my sister and I
											out of the relative comfort
of middle-class life
											and into the almost constant struggle
to make ends meet.
											Thus, I was one of roughly
60 percent of women of color
											who find finances to be a major barrier
to their educational goals.
											Thankfully, Norfolk State University
provided me with full funding,
											and I was able to achieve
my bachelor's in physics.
									","
											Empecé mi experiencia universitaria
cuando mi familia se había desmoronado.
											Nuestra situación financiera se deshizo
											ni bien mi padre dejó nuestras vidas.
											Esta madre abandonada, mi hermana y yo,
											dejamos la comodidad relativa
de una vida de clase media
											para adentrarnos en la lucha constante
por llegar a fin de mes.
											Fui una de casi un 60 %
de mujeres negras
											que enfrentan la limitación financiera
en sus objetivos educativos.
											Afortunadamente, la Universidad Estatal
de Norfolk me dio financiación completa
											y pude hacer mi licenciatura en física.
									","
											Üniversite hayatıma tam da 
ailemin ayrıldığı dönemde başladım.
											Babamın evi terk etmesinden hemen sonra
											Finansal durumumuz parçalanmıştı.
											Bu zorluk, annemi, kız kardeşimi ve beni
											orta sınıf yaşamın getirdiği 
nisbi rahatlığın dışına itti
											ve bizi iki yakamızı bir 
araya getirme adına 

											sürekli bir çaba içine soktu.
											Böylece ben, eğitimsel
amaçlarını gerçekleştirmek için 

											büyük finansal sıkıntılarla karşı karşıya
											kalan siyahi kadınların 
yüzde 60'ından birisi oldum.
											Şükür ki Norfolk Devlet Üniversitesi 
bana bir fon sağladı
											ve fizik lisans eğitimimi tamamlayabildim.
									","
											Ich begann meine Hochschullaufbahn direkt
nachdem meine Familie zerbrochen war.
											Unsere finanzielle Situation
geriet ins Wanken,
											nachdem mein Vater
aus unserem Leben verschwunden war.
											Das warf meine Mutter, 
meine Schwester und mich
											aus dem relativen Wohlstand
eines Mittelstandslebens
											in einen fast ständigen Überlebenskampf.
											Daher war ich eine 
von etwa 60 % schwarzer Frauen,
											für die Geldmangel ein großes Hindernis
für ihre Bildungsziele darstellte.
											Zum Glück gab mir die 
Norfolk State University ein Stipendium
											und ich konnte meinen 
Bachelor in Physik machen.
									",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
","
","
","
",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
											After graduation, and despite knowing
that I wanted a PhD in astrophysics,
											I fell through the cracks.
											It was a poster that saved my dream,
											and some really incredible
people and programs.
											The American Physical Society
had this beautiful poster
											encouraging students of color
to become physicists.
											It was striking to me
because it featured a young black girl,
											probably around 12 years old,
											looking studiously
at some physics equations.
											I remember thinking
											I was looking directly back
at the little girl
											who first dared to dream this dream.
											I immediately wrote to the Society
											and requested my personal
copy of the poster,
											which to this day
still hangs in my office.
											I described to them in the email
my educational path,
											and my desire to find myself again
in pursuit of the PhD.
											They directed me to the Fisk-Vanderbilt
University Bridge Program,
											itself an intersection
of the master's and PhD degrees
											at two institutions.
											After two years out of school,
they accepted me into the program,
											and I found myself again
on the path to the PhD.
									","
											Tras graduarme, y a pesar de saber
que quería doctorarme en astrofísica,
											caí en las grietas.
											Pero un cartel salvó mi sueño,
											y algunas personas
y programas increíbles.
											La Sociedad Estadounidense de Física
tenía este cartel hermoso
											que animaba a los estudiantes
negros a ser físicos.
											Me sorprendió porque destacaba
una niña negra,
											quizá de unos 12 años,
											que miraba con atención
unas ecuaciones de física.
											Recuerdo haber devuelto
											la mirada a la pequeña niña
											que primero se animó a soñar este sueño.
											De inmediato escribí a la Sociedad
											y solicité una copia del cartel,
											que aún hoy cuelga en mi oficina.
											Les describí en mi correo
mi trayectoria educativa,
											y mi deseo de embarcarme nuevamente
en la búsqueda de la tesis doctoral.
											Me dirigieron al Programa Puente
de la Universidad Fisk-Vanderbilt,
											una intersección de grados
de maestría y doctorado
											en dos instituciones.
											Tras dos años fuera de la escuela,
me aceptaron en el programa,
											y me encontré nuevamente
en camino al doctorado.
									","
											Mezuniyetten sonra ve astrofizik alanında 
doktora yapmak istediğimi bilmeme rağmen
											boşluğa düştüm.
											Hayallerimi kurtaran şey bir posterdi
											ve bazı mükemmel insanlar ve programlar.
											Amerikan Fizik Birliğinin 
şöyle güzel bir posteri vardı;
											her renkten öğrencileri 
fizikçi olmaya teşvik eden bir poster.
											Bu benim için çarpıcıydı, 
çünkü posterde genç, siyahi bir kız vardı,
											muhtemelen 12 yaşlarında,
											titizce bazı 
fizik denklemlerine bakıyordu.
											İlk defa
											bu hayali kuran o küçük kıza
											baktığımı hatırladım.
											Hemen Birliğe yazdım
											ve kendim için bir tane istedim.
											Bu zamana kadar ofisimde asılıdır.
											Onlara, eğitim hayatımı
											ve doktora yapma isteğimi 
bir e-mail ile anlattım
											Beni, Fisk-Vanderbild Üniversiteleri arasındaki 
geçiş programına yönlendirdiler;
											bu program da iki üniversitedeki, 
yüksek lisans ile doktora programları arasında
											bir kesişim noktasıydı.
											Mezun olmamdan iki yıl sonra, 
beni programlarına kabul ettiler
											ve ben kendimi tekrardan 
doktora eğitimi sürecinde buldum.
									","
											Nach dem Abschluss fiel ich in ein Loch,
obwohl ich wusste,
											dass ich in Astrophysik 
promovieren wollte.
											Ein Poster rettete meinen Traum,
											und einige wirklich erstaunlichen
Menschen und Programme.
											Die ""American Physical Society""
hatte dieses schöne Poster,
											das farbige Studenten aufforderte,
Physiker zu werden.
											Mich beeindruckte, das es ein
junges schwarzes Mädchen zeigte,
											wahrscheinlich etwa 12 Jahre alt,
											das einige physikalische Gleichungen
eingehend studierte.
											Ich erinnere mich an meine Gedanken,
											als ich das kleine Mädchen ansah,
											das zum ersten Mal wagte,
diesen Traum zu träumen.
											Ich schrieb sofort an die Gesellschaft
											und bat um ein Kopie des Posters,
											das bis heute in meinem Büro hängt.
											In der E-Mail beschrieb ich
meinen Bildungsweg
											und meinen Wunsch, dass ich nun wieder
meine Promotion weiter verfolgen will.
											Sie empfahlen mir das Fisk-Vanderbilt
Universitäts-Brückenprogramm,
											ein Zwischending aus Master und Promotion
											an zwei Institutionen.
											Sie nahmen mich ins Programm auf, 
nach zwei Jahren ohne Schule,
											und so war ich wieder
auf dem Weg zur Promotion.
									",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
","
","
","
",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
											After receiving my master's at Fisk,
											I went on to Yale to complete my PhD.
											Once I was physically occupying
the space that would ultimately give way
											to my childhood aspirations,
											I anticipated a smooth glide to the PhD.
									","
											Tras conseguir mi maestría en física,
											fui a Yale a terminar el doctorado.
											Tras ocupar físicamente el espacio
que en última instancia daría paso
											a mis aspiraciones de la infancia,
											anticipé un suave camino al doctorado.
									","
											Fisk Üniversitesinde yüksek lisans 
eğitimimi tamamladıktan sonra,
											doktoramı yapmak için Yale'e gittim.
											En sonunda çocukluk hayallarimin kapıldığı
											fiziki boşluğu dolduruyordum;
											doktora eğitimine pürüzsüz 
bir kayış gerçekleştirdim.
									","
											Nachdem ich meinen Master 
bei Fisk erhielt,
											ging ich nach Yale, 
um die Promotion abzuschließen.
											Als ich persönlich den Ort erreichte,

											an dem mein Kindheitstraum
in Erfüllung gehen würde,
											erwartete ich, die Promotion
würde flutschen.
									",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
","
","
","
",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
											(Laughter)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Lachen)
									",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
"
","
","
","
",The untapped genius that could change science for the better,Jedidah Isler,13:42,"TED Fellows,astronomy,future,goal-setting,identity,inequality,physics,potential,race,science,society,space,universe,women"
