en,fr,tr,pt,title,speaker,duration,tags
"
","
","
","
",How Thor got his hammer,Scott A. Mellor,4:39,"animation,history,TED-Ed"
"
											Loki the mischief-maker, was writhing
uncomfortably in Thor’s iron grip.
											The previous night, while the rest of the
gods slept, he’d snuck up on Thor’s wife
											Sif and shorn off her beautiful hair.

											It’d seemed like a funny 
prank at the time,
											but now Thor was about to
break every bone in his body.
											Loki had to think of some
way to fix what he’d done.
											Yet who could replace Sif’s matchless
hair, golden like a field of summer wheat?
									","
											Loki, le fauteur de troubles, se tordait
de douleur sous la main de fer de Thor.
											La nuit précédente, alors que les dieux
dormaient, il surprit la femme de Thor Sif
											et lui coupa ses beaux cheveux.
											Cela semblait être une farce
amusante sur le moment,
											mais Thor était sur le point de lui
briser tous les os du corps.
											Loki devait trouver un moyen
de réparer ce qu'il avait fait.
											Mais qui pourrait remplacer
les cheveux incomparables de Sif,
											dorés comme un champ de blé en été ?
									","
											Baş belası Loki, Thor'un demir kabzasında
huzursuzca kıvranıyordu.
											Bir önceki gece, diğer tanrılar
uykudayken Thor'un eşi
											Sif'i kandırdı ve güzel saçlarını kesti.
											O anda komik bir şakaymış gibi görünüyordu
											fakat Thor, Loki'nin vücudundaki
her bir kemiği kırmak üzereydi.
											Loki, yaptığını düzeltmek için 
bir yol düşünmeliydi.
											Sif'in, yaz buğdayı tarlasının altın rengi
eşsiz saçlarını kim geri verebilirdi?
									","
											Loki, o trapaceiro, estrebucha
desconfortável na mão de ferro de Thor.
											Na noite anterior,
enquanto os deuses dormiam,
											Loki esgueirou-se sorrateiramente
junto de Sif, a mulher de Thor
											e cortou-lhe o seu belo cabelo.
											Na altura, pareceu-lhe ser
uma partida divertida,
											mas agora Thor estava quase
a partir-lhe todos os ossos do corpo.
											Loki tinha de pensar numa forma
de reparar o que tinha feito.
											Mas quem podia substituir o cabelo
incomparável de Sif,
											dourado como um campo de trigo no verão?
									",How Thor got his hammer,Scott A. Mellor,4:39,"animation,history,TED-Ed"
"
","
","
","
",How Thor got his hammer,Scott A. Mellor,4:39,"animation,history,TED-Ed"
"
											The dwarves! – their legendary
smiths could make anything.
											So Loki rushed to their realm, 
deep within the mountains of the earth.
											Even before he arrived, the wily Loki was
already scheming
											how he would get the
dwarves to do his bidding.
											He decided that his best bet was to pit
two families against each other.
											He first visited the masterful
sons of Ivaldi. 

											He told them that their rivals,
a pair of brothers named Brokk and Eitri,
											had claimed that they were the best
craftsmen in the world
											and were determined to prove
it in a competition.
											The rules were that each family had to 
create three gifts for the gods,
											including, for the Ivaldis, golden hair.

									","
											Les nains ! Leurs légendaires
forgerons pouvaient tout fabriquer.
											Loki se précipita donc dans leur royaume,
au plus profond des montagnes de la Terre.
											Avant même d'arriver, le rusé Loki
était déjà en train d'élaborer un plan
											pour que les nains obéissent à ses ordres.
											Il décida que sa meilleure chance
											était de monter deux familles
l'une contre l'autre.
											Il rendit d'abord visite
aux talentueux fils d'Ivaldi.
											Il leur dit que leurs rivaux,
deux frères nommés Brokk et Eitri,
											avaient affirmé qu'ils étaient
les meilleurs artisans du monde
											et qu'ils étaient déterminés
à le prouver lors d'un concours.
											Les règles étaient que chaque famille
devait créer trois cadeaux pour les dieux,
											dont, pour les Ivaldis, des cheveux d'or.
									","
											Cüceler! - efsanevi demircileri
her şeyi yapabilirdi.
											Loki, dünya dağlarının
derinliklerindeki diyarlarına gitti.
											Kurnaz Loki oraya varmadan önce, 
çoktan cüceleri
											nasıl kendi buyruğu altına alacağının 
planını yapıyordu.
											Yapacağı en iyi şeyin iki aileyi
birbirine düşürmek olduğuna karar verdi.
											İlk önce, Ivaldi'nin
usta oğullarını ziyaret etti.
											Onlara, kendilerini dünyadaki
en iyi ustalar olduklarını söyleyen
											ve kendilerini bir yarışmada
kanıtlamaya kararlı olan
											rakipleri, Brokk ve Eitri
kardeşlerden bahsetti.
											Kurallara göre, her aile,
tanrılar için 3 tane hediye yapacaktı
											ve içinde Ivaldis için,
altın saçlarda olacaktı.
									","
											Os anões! — os lendários ferreiros
podiam fazer tudo.
											Loki corre até ao reino deles,
no interior das montanhas da Terra.
											Antes de lá chegar, o astuto Loki
já estava a congeminar
											como iria levar os anões
a fazerem o que ele queria.
											Concluiu que a melhor forma era 
pôr duas famílias uma contra a outra.
											Primeiro, visitou os magistrais
filhos de Ivaldi.
											Disse-lhes que os seus rivais,
dois irmãos chamados Brokk e Eitri,
											tinham afirmado que eram
os melhores artesãos do mundo
											e estavam apostados
em prová-lo numa competição.
											As regras eram que cada família
criasse três presentes para os deuses,
											incluindo, para os Ivaldis,
uma cabeleira de ouro.
									",How Thor got his hammer,Scott A. Mellor,4:39,"animation,history,TED-Ed"
"
","
","
","
",How Thor got his hammer,Scott A. Mellor,4:39,"animation,history,TED-Ed"
"
											Then Loki visited Brokk and Eitri,
and told them the same thing, 

											only now claiming that the sons
of Ivaldi had issued the challenge.

											But Brokk and Eitri couldn’t 
be fooled so easily,
											and only agreed to participate
if Loki put his own head on the line.
											Literally—if Brokk and Eitri won, 
Loki would forfeit his head to them.
									","
											Puis Loki rendit visite à Brokk et Eitri,
et leur dit la même chose,
											en prétendant cependant que les fils
d'Ivaldi avaient lancé le défi.
											Mais Brokk et Eitri n'étaient pas dupes,
											et n'acceptèrent de participer
que si Loki mettait sa tête en jeu.
											Littéralement, si Brokk et Eitri
gagnaient, Loki perdrait sa tête.
									","
											Loki, Brokk ve Eitri'yi
ziyaret etti ve aynılarını söyledi,
											fakat Ivaldi'nin oğullarının
düelloyu ortaya attıklarını söyledi.
											Brokk ve Eitri kolayca kandırılamazdı
											ve sadece Loki kellesini
düelloya koyarsa katılacaklardı.
											Eğer Brokk ve Eitri düelloyu
kazanırsa Loki başını kaybedecekti.
									","
											Depois, Loki visitou Brokk e Eitri,
e disse-lhes a mesma coisa,
											mas afirmando que tinham sido
os filhos de Ivaldi a lançar o desafio.
											Mas Brokk e Eitri não se deixavam
enganar tão facilmente
											e só concordaram em participar
se Loki pusesse a cabeça em jogo.
											Literalmente — se Brokk e Eitri ganhassem,
ganhariam a cabeça de Loki.
									",How Thor got his hammer,Scott A. Mellor,4:39,"animation,history,TED-Ed"
"
","
","
","
",How Thor got his hammer,Scott A. Mellor,4:39,"animation,history,TED-Ed"
"
											Loki had no choice but to agree,
and to save himself had to find a way
											to make sure the sons of
Ivaldi emerged victorious.
											Both sets of dwarves got to work.

											Eitri set Brokk to man the bellows and
told him not to stop for any reason,
											or the treasures would be ruined.
											Soon a strange black fly
flew into the room.
											As a piece of pigskin was placed in the
forge, the fly stung Brokk’s hand,
											but he didn’t flinch.

											Next, while Eitri worked a block of gold,
the fly bit Brokk on the neck.

											The dwarf carried on.
											Finally, Eitri placed a piece
of iron in the furnace.
											This time the fly landed right on Brokk’s
eyelid and bit as hard as it could.
											And for just a split second,
Brokk’s hand left the bellows.
									","
											Loki n'avait pas d'autre choix
que d'accepter, et pour se sauver,
											il devait s'assurer que les fils
d'Ivaldi sortent victorieux.
											Les deux groupes de nains
se mirent au travail.
											Eitri mit Brokk en charge du soufflet
											et lui dit de ne s'arrêter
sous aucun prétexte,
											au risque d'abîmer les trésors.
											C'est alors qu'une étrange mouche
noire survola la pièce.
											Alors qu'une peau de porc venait
d'être placée dans la forge,
											la mouche piqua la main de Brokk,
											mais il ne réagit pas.
											Puis, alors qu'Eitri travailla un bloc
d'or, la mouche mordit Brokk au cou.
											Le nain continua.
											Enfin, Eitri plaça un morceau
de fer dans le four.
											Cette fois-ci, la mouche atterrit
sur la paupière de Brokk
											et le mordit aussi fort que possible.
											Et pendant une fraction de seconde,
la main de Brokk lâcha le soufflet.
									","
											Loki'nin kabul etmekten
ve Ivaldi'nin oğullarının
											galip gelmeleri için kendini kurtarmanın
bir yolunu bulmaktan başka şansı yoktu.
											İki cüce takımı da çalışmaya koyuldu.
											Eitri, Brokk'un körüğü alması
ve ne olursa olsun durmaması için
											emir verdi, yoksa hazineler mahvolacaktı.
											Kısa süre sonra, tuhaf görünümlü 
bir sinek odaya girdi.
											Bir parça domuz derisi 
tav ocağına yerleştirilmişti
											ve sinek Brokk'un elini ısırdı
ama o hareket bile etmedi.
											Sonra, Eitri bir altın kütlesini döverken
sinek Brokk'u boynundan ısırdı.
											Cüce işine devam etti.
											Son olarak, Eitri bir parça
demiri ocağa yerleştirdi.
											Bu sefer sinek Brokk'un göz kapağına
kondu ve en sert şekilde ısırdı.
											Bir anlığına , Brokk
elindeki körüğü bıraktı.
									","
											Loki não tinha hipótese senão concordar,
e, para se salvar, tinha de arranjar forma
											de garantir que os filhos de Ivaldi
sairiam vitoriosos.
											Os dois grupos de anões
deitaram-se ao trabalho.
											Eitri pôs Brokk a dar ao fole
e disse-lhe para não parar,
											fosse por que motivo fosse,
											senão os tesouros ficariam arruinados.
											Em breve, uma esquisita mosca preta
esvoaçou pelo compartimento.
											Quando um bocado de pele de porco
foi colocado na forja,
											a mosca picou a mão de Brokk,
											mas ele não vacilou.
											A seguir, quando Eitri estava
a trabalhar um bloco de ouro,
											a mosca mordeu Eitri no pescoço,
											mas o anão não se deteve.
											Por fim, Eitri colocou um pedaço
de ferro na fornalha.
											Desta vez, a mosca aterrou
na pálpebra de Brokk
											e picou-a com toda a força possível.
											Durante uma fração de segundo,
a mão de Brokk largou o fole.
									",How Thor got his hammer,Scott A. Mellor,4:39,"animation,history,TED-Ed"
"
","
","
","
",How Thor got his hammer,Scott A. Mellor,4:39,"animation,history,TED-Ed"
"
											That’s all it took; their final treasure
hadn’t stayed in the fire long enough.
											Loki now reappeared in his normal form,
overjoyed by their failure,
											and accompanied the dwarves to present
their treasures to the gods.
									","
											C'est tout ce qu'il fallut ;
											leur dernier trésor n'était pas resté
assez longtemps dans le feu.
											Loki réapparut alors sous sa forme
humaine, ravi de leur échec,
											et accompagna les nains pour
présenter leurs trésors aux dieux.
									","
											Bütün gereken buydu; son hazine
ocakta yeterince durmamıştı.
											Loki normal şeklinde tekrar geldi,
başarısızlıklarından zevk alıyordu
											ve cücelerin tanrılara hediyeleri
sunmaları için onlara eşlik etti.
									","
											Foi o suficiente; o tesouro final
não esteve no fogo o tempo necessário.
											Loki reapareceu na sua forma normal,
delirante com o fracasso deles
											e acompanhou os anões a apresentar
os seus tesouros aos deuses.
									",How Thor got his hammer,Scott A. Mellor,4:39,"animation,history,TED-Ed"
