en,fr,es,title,speaker,duration,tags
"
","
","
",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
											Every other night in Japan,
											I step out of my apartment,
											I climb up a hill for 15 minutes,
											and then I head into my local health club,
											where three ping-pong tables
are set up in a studio.
											And space is limited,
											so at every table,
											one pair of players practices forehands,
											another practices backhands,
											and every now and then,
the balls collide in midair
											and everybody says, ""Wow!""
											Then, choosing lots,
we select partners and play doubles.
											But I honestly couldn't
tell you who's won,
											because we change partners
every five minutes.
											And everybody is trying really hard
											to win points,
											but nobody is keeping track
of who is winning games.
											And after an hour or so
of furious exertion,
											I can honestly tell you
											that not knowing who has won
											feels like the ultimate victory.
									","
											Un soir sur deux au Japon,
											je sors de mon appartement,
											je grimpe une colline pendant 15 minutes
											et je vais dans mon club de sport local,
											où trois tables de ping-pong
sont installées dans un studio.
											L'espace est limité
											alors à chaque table,
											une paire de joueurs
exerce son coup droit,
											une autre pratique son revers
											et de temps en temps,
les balles entrent en collision
											et tout le monde dit : « Waouh ! »
											Puis nous formons des paires
et jouons en double.
											Mais honnêtement, je ne pourrais pas
vous dire qui gagne,
											car nous changeons de partenaire
toutes les cinq minutes.
											Et tout le monde s'efforce
											de gagner des points
											mais personne ne garde trace
de qui gagne les matchs.
											Après environ une heure
de féroces efforts,
											je peux vous dire
											que ne pas savoir qui a gagné
											semble être la victoire ultime.
									","
											Cada dos noches en Japón,
											salgo de mi apartamento,
											subo una colina por 15 minutos,
											y me dirijo a mi gimnasio local,
											donde se han instalado
tres mesas de pimpón.
											Hay poco espacio,
											entonces en cada mesa,
											un par de jugadores dan golpes de derecha,
											mientras que los otros
dan golpes de revés,
											y cada vez que las bolas
chocan en el aire,
											todos dicen: ""¡Guau!"".
											Luego, echamos a suertes
los equipos y jugamos dobles.
											Pero nunca sé quién acaba ganando,
											porque cambiamos de compañeros
cada cinco minutos.
											Y todos se esfuerzan mucho
para ganar puntos,
											pero nadie lleva cuenta
de las victorias y las derrotas.
											Tras alrededor de una hora
de esfuerzo extremo,
											les puedo decir sinceramente
											que no saber quién ha ganado
se siente como la victoria definitiva.
									",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
","
","
",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
											In Japan, it's been said,
											they've created a competitive spirit
without competition.
									","
											Au Japon, on dit qu'ils ont créé
un esprit de compétition sans compétition.
									","
											En Japón, se ha dicho
											que se ha establecido un espíritu
competitivo sin la competencia.
									",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
","
","
",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
											Now, all of you know that geopolitics
is best followed by watching ping-pong.
									","
											Or, vous savez tous que la meilleure façon
de suivre la géopolitique
											est en regardant du ping-pong.
									","
											Todos saben que, tras la geopolítica,
lo mejor es ver el pimpón.
									",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
","
","
",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
","
","
",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
											The two strongest powers in the world
were fiercest enemies
											until, in 1972, an American ping-pong team
											was allowed to visit Communist China.
											And as soon as the former adversaries
											were gathered around
some small green tables,
											each of them could claim a victory,
											and the whole world
could breathe more easily.
											China's leader, Mao Zedong,
											wrote a whole manual on ping-pong,
											and he called the sport
""a spiritual nuclear weapon.""
											And it's been said that the only
honorary lifelong member
											of the US Table Tennis Association
											is the then-President Richard Nixon,
											who helped to engineer
this win-win situation
											through ping-pong diplomacy.
											But long before that,
											really, the history of the modern world
											was best told through
the bouncing white ball.
									","
											Les deux plus grandes puissances du monde
étaient deux grands ennemis
											jusqu'à ce qu'en 1972,
une équipe américaine de ping-pong
											ait été autorisée à rendre visite
à la Chine communiste.
											Dès que les anciens adversaires
											ont été réunis autour
de petites tables vertes,
											chacun a pu revendiquer une victoire
											et le monde entier a pu
respirer plus aisément.
											Le dirigeant chinois, Mao Zedong,
											a écrit un manuel entier sur le ping-pong
											et a dit du sport qu'il était
« une arme nucléaire spirituelle ».
											Il a été dit que le seul
membre d'honneur à vie
											de l'association américaine
de tennis de table
											est l'ancien président Richard Nixon,
											qui a aidé à organiser
cette situation gagnant-gagnant
											grâce à la diplomatie du ping-pong.
											Mais longtemps avant cela,
											vraiment, l'histoire du monde moderne
											se racontait mieux à travers
la balle blanche rebondissante.
									","
											Las dos potencias mundiales más fuertes
eran feroces enemigos
											hasta 1972, cuando un equipo
de pimpón estadounidense
											tuvo permiso para visitar
la China comunista.
											Y en cuanto los antiguos adversarios
											se reunieron alrededor
de unas pequeñas mesas verdes,
											cada uno de ellos
podía afirmar una victoria,
											y todo el mundo podía
respirar más fácilmente.
											El líder de China, Mao Zedong,
											escribió un manual de pimpón,
											y describió el deporte como
""un arma nuclear espiritual"".
											Se ha dicho que el único miembro
honorario de toda la vida
											de la Asociación de Tenis
de Mesa estadounidense
											es el entonces presidente Richard Nixon,
											que ayudó a elaborar esta situación
en la que todos ganan
											a través de la diplomacia de pimpón.
											Pero mucho antes de eso,
la historia del mundo moderno
											se contaba mejor
con la pelota blanca de pimpón.
									",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
","
","
",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
											""Ping-pong"" sounds
like a cousin of ""sing-song,""
											like something Eastern,
											but actually, it's believed
that it was invented by high-class Brits
											during Victorian times,
											who started hitting wine corks
over walls of books after dinner.
									","
											« Ping-pong », c'est chantant,
											comme quelque chose d'oriental,
											mais on croit qu'il a été inventé
par des Britanniques de haut rang
											durant l'époque victorienne
											qui ont commencé à taper
dans des bouchons de vin
											au-dessus de murs de livres
après le dîner.
									","
											El ""pimpón"" suena como
un primo de ""canción,""
											como algo del Oriente,
											pero, de hecho, se cree que fue inventado
por británicos de clase alta
											en la época victoriana,
											que golpeaban corchos de vino
contra paredes de libros después de cenar.
									",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
","
","
",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
","
","
",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
											No exaggeration.
									","
											Je n'exagère pas.
									","
											No estoy exagerando.
									",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
","
","
",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
","
","
",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
											And by the end of World War I,
											the sport was dominated by players
from the former Austro-Hungarian Empire:
											eight out of nine
early world championships
											were claimed by Hungary.
											And Eastern Europeans grew so adept
											at hitting back everything
that was hit at them
											that they almost brought
the whole sport to a standstill.
											In one championship match
in Prague in 1936,
											the first point is said to have lasted
two hours and 12 minutes.
											The first point!
											Longer than a ""Mad Max"" movie.
											And according to one of the players,
the umpire had to retire with a sore neck
											before the point was concluded.
									","
											A la fin de la Première Guerre mondiale,
											le sport était dominé par des joueurs
de l'ancien Empire austro-hongrois :
											huit des neuf premiers
championnats du monde
											ont été remportés par la Hongrie.
											Les Européens de l'Est
sont devenus si habiles
											pour renvoyer tout ce qu'on leur envoyait
											qu'ils ont failli tuer ce sport.
											Dans un match de championnat
à Prague en 1936,
											on dit que le premier point a duré
deux heures et 12 minutes.
											Le premier point !
											Plus long qu'un film de « Mad Max ».
											D'après l'un des joueurs, l'arbitre
a dû se retirer du fait de maux de cou
											avant que le point ne soit conclu.
									","
											Y al final de la Primera Guerra Mundial,
											el deporte estaba dominado por jugadores
del antiguo Imperio austrohúngaro:
											Hungría ganó ocho de los nueve
primeros campeonatos mundiales.
											Y los europeos del este
se convirtieron en expertos
											en el arte de devolver todo
lo que se golpeaba hacia ellos,
											hasta tal punto que casi
paralizaron el deporte.
											Durante un partido de pimpón
en Praga en 1936,
											se cuenta que el primer punto
duró dos horas y 12 minutos.
											¡Solo el primer punto!
											Duró más que una película de ""Mad Max"".
											Y según uno de los jugadores, el árbitro
debió retirarse por dolor de cuello
											antes de que se terminara el punto.
									",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
"
","
","
",What ping-pong taught me about life,Pico Iyer,12:43,"humanity,life,personal growth,history,sports,culture"
