en,es,fr,pt,tr,title,speaker,duration,tags
"
","
","
","
","
",The surprising reason our muscles get tired,Christian Moro,4:12,"animation,TED-Ed,health,human body,healthcare,health care,exercise,science,biology,physiology"
"
											You're lifting weights.
											The first time feels easy,
											but each lift takes more and more effort 
until you can’t continue.
											Inside your arms,
											the muscles responsible for the lifting
have become unable to contract.
											Why do our muscles get fatigued?
											We often blame lactic acid 
or running out of energy,
											but these factors alone don’t account 
for muscle fatigue.
											There’s another major contributor:
											the muscle’s ability to respond 
to signals from the brain.
									","
											Estás levantando pesas.
											La primera vez se siente fácil,
											pero cada vez requiere más esfuerzo, 
hasta que no puedes continuar.
											Dentro de los brazos,
											los músculos encargados del levantamiento 
ya no pueden contraerse.
											¿Por qué se fatigan los músculos?
											A menudo culpamos al ácido láctico
o a la falta de energía,
											pero esos factores por sí mismos
no justifican la fatiga muscular.
											Existe otro contribuyente importante:
											la capacidad del músculo para responder
a las señales del cerebro.
									","
											Vous faites de la musculation.
											La première fois, ça semble facile,
											mais chaque mouvement
demande plus d'effort
											au point de ne plus pouvoir continuer.
											Dans vos bras,
											les muscles n'arrivent plus
à se contracter.
											Pourquoi les muscles se fatiguent-ils ?
											On blâme souvent l'acide lactique
ou le manque d'énergie,
											mais ces facteurs ne sont pas les seuls
responsables de la fatigue musculaire.
											Il y a un autre facteur majeur :
											la capacité du muscle de répondre
aux signaux cérébraux.
									","
											Estamos a levantar pesos.
											A primeira vez é fácil
											mas cada levantamento exige
cada vez mais esforço
											até que não podemos continuar.
											No interior dos nossos braços
											os músculos responsáveis pelo levantamento
deixaram de se poder contrair.
											Porque é que os músculos se cansam?
											Muitas vezes culpamos o ácido lático
ou a falta de energia
											mas esses fatores, só por si,
não são responsáveis pela fadiga muscular.
											Há outro fator importante para tal:
											a capacidade de os músculos reagirem
aos sinais do cérebro.
									","
											Ağırlık kaldırıyorsunuz.
											İlk seferde kolay geliyor
											ancak devam edemeyecek hâle gelene kadar
her hareket daha çok çaba gerektiriyor.
											Kollarınızın içindeki ağırlık kaldırmadan 
sorumlu kaslar kasılamaz hâle geliyor.
											Peki kaslarımız neden yoruluyor?
											Bunun için genelde laktik asidi
veya enerjimizin bitmesini suçluyoruz
											fakat bu faktörler kas yorgunluğu için 
tek başına yeterli değil.
											Bir başka büyük sebep daha var:
											Kasların beyinden gelen 
sinyallere cevap verme becerisi.
									",The surprising reason our muscles get tired,Christian Moro,4:12,"animation,TED-Ed,health,human body,healthcare,health care,exercise,science,biology,physiology"
"
","
","
","
","
",The surprising reason our muscles get tired,Christian Moro,4:12,"animation,TED-Ed,health,human body,healthcare,health care,exercise,science,biology,physiology"
"
											To understand the roots of muscle fatigue,
											it helps to know how a muscle contracts 
in response to a signal from a nerve.
											These signals travel from the brain to the
muscles in a fraction of a second
											via long, thin cells called motor neurons.
											The motor neuron and the muscle cell 
are separated by a tiny gap,
											and the exchange of particles 
across this gap enables the contraction.
									","
											Para entender el origen 
de la fatiga muscular,
											es bueno saber cómo se contrae un músculo
en respuesta a una señal de un nervio.
											Estas señales van desde el cerebro hasta 
los músculos en una fracción de segundo
											a través de unas células largas y delgadas
llamadas neuronas motoras.
											La neurona motora y la célula muscular
están separadas por un espacio pequeño,
											y el intercambio de partículas a través
de este espacio permite la contracción.
									","
											Pour comprendre les racines
de la fatigue musculaire,
											il faut savoir comment
un muscle se contracte
											en réponse à un signal nerveux.
											Ces signaux passent du cerveau
aux muscles en une fraction de seconde
											à travers de cellules longues
et fines appelées motoneurones.
											Le motoneurone et la cellule musculaire
sont séparés par une petite ouverture,
											et l'échange de particules à travers
cette ouverture permet la contraction.
									","
											Para perceber as raízes da fadiga muscular
											convém saber como se contrai um músculo
em resposta a um sinal de um nervo.
											Esses sinais viajam do cérebro 
até aos músculos numa fração de segundo
											através das células delgadas e longas,
chamadas nervos motores.
											O nervo motor e a célula muscular
estão separados por uma minúscula fissura,
											e é a troca de partículas
											através desta fissura,
o que permite a contração.
									","
											Kas yorgunluğunun kaynağını anlamak için
											sinirlerden sinyal gelince bir kasın 
nasıl kasıldığını bilmek işe yarayacaktır.
											Bu sinyaller, motor sinir hücreleri denen 
uzun, ince hücreler aracılığı ile
											bir anda beyinden kaslara gidiyor.
											Motor sinir hücresi ve kas hücresi
küçük bir açıklıkla ayrılmaktadır
											ve bu açıklık boyunca parçacıkların
değiş tokuşu kasılmayı sağlıyor.
									",The surprising reason our muscles get tired,Christian Moro,4:12,"animation,TED-Ed,health,human body,healthcare,health care,exercise,science,biology,physiology"
"
","
","
","
","
",The surprising reason our muscles get tired,Christian Moro,4:12,"animation,TED-Ed,health,human body,healthcare,health care,exercise,science,biology,physiology"
"
											On one side of the gap,
											the motor neuron contains a 
neurotransmitter called acetylcholine.
											On the other side,
											charged particles, or ions,
											line the muscle cell’s membrane:
											potassium on the inside, 
and sodium on the outside.
									","
											A un lado del espacio,
											la neurona motora contiene 
un neurotransmisor llamado acetilcolina.
											Al otro lado,
											unas partículas cargadas, o iones,
											revisten la membrana 
de la célula muscular:
											potasio en el interior
y sodio en el exterior.
									","
											D'un côté de l'ouverture,
											le motoneurone contient
un neurotransmetteur appelé acétylcholine.
											De l'autre côté,
											des particules chargées, ou ions,
											recouvrent la membrane
de la cellule musculaire :
											le potassium à l'intérieur
et le sodium à l'extérieur.
									","
											De um lado da fissura
											o nervo motor contém
um neurotransmissor chamado acetilcolina.
											Do outro lado,
partículas com carga, ou iões,
											revestem a membrana da célula muscular:
											potássio do lado de dentro,
e sódio do lado de fora.
									","
											Aralığın bir tarafında
											motor sinir hücresi asetilkolin denen 
bir sinir taşıyıcısı içeriyor.
											Diğer tarafta ise
											yüklü parçacıklar veya iyonlar
											kas hücresinin zarında sıralanıyorlar;
											yani içeride potasyum, 
dışarıda sodyum oluyor.
									",The surprising reason our muscles get tired,Christian Moro,4:12,"animation,TED-Ed,health,human body,healthcare,health care,exercise,science,biology,physiology"
"
","
","
","
","
",The surprising reason our muscles get tired,Christian Moro,4:12,"animation,TED-Ed,health,human body,healthcare,health care,exercise,science,biology,physiology"
"
											In response to a signal from the brain,
											the motor neuron releases acetylcholine,
											which triggers pores on the muscle 
cell membrane to open.
											Sodium flows in, and potassium flows out.
											The flux of these charged particles 
is a crucial step for muscle contraction:
											the change in charge creates an electrical
signal called an action potential
											that spreads through the muscle cell,
											stimulating the release of calcium
that’s stored inside it.
											This flood of calcium causes 
the muscle to contract
											by enabling proteins buried in the muscle 
fibers to lock together
											and ratchet towards each other,
											pulling the muscle tight.
											The energy used to power the contraction
comes from a molecule called ATP.
											ATP also helps pump the ions back 
across the membrane afterward,
											resetting the balance of sodium 
and potassium on either side.
									","
											En respuesta a una señal del cerebro,
											la neurona motora libera acetilcolina,
											y esto hace que se abran los poros 
de la membrana celular.
											El sodio entra y el potasio sale.
											Este flujo de partículas cargadas 
es crucial para la contracción muscular:
											el cambio en la carga crea una señal 
eléctrica llamada potencial de acción
											que se esparce a través de
la célula muscular
											y estimula la liberación del calcio
almacenado en ella.
											Esta inundación de calcio causa
la contracción del músculo
											ya que permite que las proteínas dentro
de las fibras musculares se junten
											y se traben, tirando del 
músculo con fuerza.
											La energía usada para la contracción
proviene de una molécula llamada TFA.
											La TFA también ayuda a bombear de vuelta
a los iones a través de la membrana,
											restableciendo el equilibrio de sodio
y potasio en cada lado.
									","
											En réponse au signal cérébral,
											le motoneurone produit de l'acétylcholine,
											qui fait ouvrir les pores
de la membrane cellulaire du muscle.
											Le sodium y rentre
et le potassium en sort.
											Le flux de ces particules chargées
											est une étape cruciale
pour la contraction du muscle :
											le changement de charge cause un signal
électrique appelé potentiel d'action
											qui se répand à travers
la cellule musculaire,
											en stimulant la libération de calcium
qui est stocké à l'intérieur.
											Cette inondation de calcium
cause la contraction du muscle
											en permettant aux protéines
dans les fibres musculaires
											de se verrouiller, de se rapprocher,
											et de contracter le muscle.
											L'énergie utilisée
pour activer la contraction
											vient d'une molécule appelée ATP.
											L'ATP aide aussi à renvoyer les ions
à travers la membrane,
											reréglant l'équilibre de sodium
et potassium de chaque côté.
									","
											Em resposta a um sinal do cérebro,
											o nervo motor liberta acetilcolina
											que provoca a abertura dos poros
da membrana da célula muscular.
											O sódio entra na célula e o potássio sai.
											O fluxo destas partículas carregadas
											é um passo fundamental
para a contração muscular:
											a troca de cargas cria um sinal elétrico
chamado um potencial de ação
											que se espalha pela célula muscular,
											estimulando a libertação de cálcio
que está armazenado no interior dela.
											O fluxo de cálcio provoca
a contração do músculo,
											permitindo que as proteínas encerradas
nas fibras musculares se juntem
											e se bloqueiem,
umas de encontro às outras,
											endurecendo o músculo.
											A energia usada para ativar a contração
provém de uma molécula chamada ATP.
											A ATP também ajuda a bombar os iões
através da membrana,
											repondo, posteriormente, o equilíbrio
do sódio e do potássio, de cada lado.
									","
											Beyinden gelen bir sinyale karşılık
											motor sinir hücresi,
kas hücresinin zarındaki
											gözeneklerin açılmasını 
tetikleyen asetilkolini salgılıyor.
											Sodyum içeri sızıyor
ve potasyum da dışarı sızıyor.
											Bu yüklü parçacıkların değişimi
kas kasılması için çok önemli bir adım.
											Yükteki değişim, 
kas hücresi boyunca yayılan
											aksiyon potansiyeli denen
bir elektrik sinyali yaratıyor,
											böylelikle içeride depolanan
kalsiyumun salınımını uyarıyor.
											Bu kalsiyum seli, kalsiyum liflerinde 
gömülü olan proteinlerin
											birbirlerine doğru kenetlenmesini 
sağlayarak kası sıkı bir şekilde çekerek
											kasın kasılmasına neden oluyor.
											Kasılmayı güçlendirmek için kullanılan
enerji ATP denen bir molekülden geliyor.
											ATP aynı zamanda iyonları daha sonra zar
boyunca geri pompalamaya yardımcı oluyor,
											böylece her iki tarafta da sodyum
ve potasyum dengesini kuruyor.
									",The surprising reason our muscles get tired,Christian Moro,4:12,"animation,TED-Ed,health,human body,healthcare,health care,exercise,science,biology,physiology"
"
","
","
","
","
",The surprising reason our muscles get tired,Christian Moro,4:12,"animation,TED-Ed,health,human body,healthcare,health care,exercise,science,biology,physiology"
"
											This whole process repeats 
every time a muscle contracts.
											With each contraction,
											energy in the form of ATP gets used up,
											waste products like lactic 
acid are generated,
											and some ions drift away from the muscle’s
cell membrane,
											leaving a smaller and 
smaller group behind.
									","
											Todo este proceso se repite
cada vez que se contrae un músculo.
											Con cada contracción,
											la energía en forma de TFA se agota,
											se generan productos de desecho 
como el ácido láctico
											y algunos iones se alejan de
la membrana de la célula muscular
											dejando atrás un grupo 
cada vez más pequeño.
									","
											Ce processus se répète
à chaque fois qu'un muscle se contracte.
											À chaque contraction,
											on épuise de l'énergie sous forme d'ATP,
											on génère des déchets
comme l'acide lactique,
											et quelques ions s'éloignent
de la membrane cellulaire du muscle,
											en laissant derrière un groupe
toujours plus petit.
									","
											Este processo repete-se
sempre que um músculo se contrai.
											Em cada contração,
											gasta-se energia sob a forma de ATP,
											geram-se desperdícios 
como o ácido lático
											e alguns iões desligam-se da membrana
da célula muscular,
											deixando para trás um grupo
cada vez mais pequeno.
									","
											Tüm bu süreç, kas her defasında
kasıldığında tekrarlanıyor.
											Her kasılmayla birlikte
											ATP formundaki enerji kullanılıyor,
											laktik asit gibi atıklar üretiliyor
											ve bazı iyonlar kasın 
hücre zarından uzaklaşıyor,
											arkasında çok daha 
küçük bir grup bırakıyor.
									",The surprising reason our muscles get tired,Christian Moro,4:12,"animation,TED-Ed,health,human body,healthcare,health care,exercise,science,biology,physiology"
