en,es,pt,fr,de,title,speaker,duration,tags
"
","
","
","
","
",Can you really tell if a kid is lying?,Kang Lee,13:36,"body language,communication,decision-making,intelligence,teaching,motivation,parenting,children,psychology,emotions"
"
											Hi.
											Let me ask the audience a question:
											Did you ever lie as a child?
											If you did, could you please
raise your hand?
											Wow! This is the most honest
group of people I've ever met.
									","
											Hola.
											Permítanme hacerles una pregunta:
											¿alguna vez mintieron de niños?
											Si es así, ¿podrían por favor
levantar la mano?
											¡Este es el grupo de personas
más honesto que conocí!
									","
											Olá.
											Permitam-me que lhes faça
uma pergunta:
											Alguma vez mentiram quando eram crianças?
											Se a resposta for sim, 
por favor levantem a mão.
											Uau! Este é o grupo de pessoas
mais honesto que já conheci.
									","
											Bonjour.
											Laissez-moi vous poser une question :
											enfant, vous arrivait-il de mentir ?
											Si oui, levez la main.
											C'est le groupe de personnes
le plus honnête que j'ai rencontré.
									","
											Hallo.
											Ich möchte Ihnen eine Frage stellen:
											Haben Sie als Kind je gelogen?
											Wenn ja, heben Sie bitte die Hand.
											Wow! Das ist das ehrlichste Publikum,
das ich je gehabt habe!
									",Can you really tell if a kid is lying?,Kang Lee,13:36,"body language,communication,decision-making,intelligence,teaching,motivation,parenting,children,psychology,emotions"
"
","
","
","
","
",Can you really tell if a kid is lying?,Kang Lee,13:36,"body language,communication,decision-making,intelligence,teaching,motivation,parenting,children,psychology,emotions"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									","
											(Lachen)
									",Can you really tell if a kid is lying?,Kang Lee,13:36,"body language,communication,decision-making,intelligence,teaching,motivation,parenting,children,psychology,emotions"
"
","
","
","
","
",Can you really tell if a kid is lying?,Kang Lee,13:36,"body language,communication,decision-making,intelligence,teaching,motivation,parenting,children,psychology,emotions"
"
											So for the last 20 years,
											I've been studying
how children learn to tell lies.
											And today, I'm going to share with you
											some of the discoveries we have made.
									","
											Durante los últimos 20 años
											he estado estudiando cómo
aprenden los niños a mentir.
											Y hoy compartiré algunos de los
descubrimientos que hicimos.
									","
											Nos últimos 20 anos
											tenho vindo a estudar a forma
como as crianças aprendem a mentir.
											E hoje vou partilhar convosco
											algumas das descobertas que fizemos.
									","
											Les vingt dernières années,
											j'ai étudié la façon
dont les enfants apprennent à mentir.
											Aujourd'hui je vais partager avec vous
											certaines des découvertes que j'ai faites.
									","
											In den letzten 20 Jahren
											habe ich erforscht, 
wie Kinder das Lügen lernen.
											Heute werde ich einige der
gewonnen Erkenntnisse mit Ihnen teilen.
									",Can you really tell if a kid is lying?,Kang Lee,13:36,"body language,communication,decision-making,intelligence,teaching,motivation,parenting,children,psychology,emotions"
"
","
","
","
","
",Can you really tell if a kid is lying?,Kang Lee,13:36,"body language,communication,decision-making,intelligence,teaching,motivation,parenting,children,psychology,emotions"
"
											But to begin, I'm going to tell you
a story from Mr. Richard Messina,
											who is my friend and an elementary
school principal.
											He got a phone call one day.
											The caller says,
											""Mr. Messina, my son Johnny
will not come to school today
											because he's sick.""
									","
											Pero para empezar, contaré
la historia de Richard Messina,
											mi amigo y director de
una escuela primaria.
											Un día recibió una llamada telefónica.
											El que llamó le dijo:
											""Sr. Messina, mi hijo Johnny
no vendrá a la escuela hoy
											porque está enfermo"".
									","
											Mas para começar, vou contar-lhes
uma história do Sr. Richard Messina,
											que é meu amigo e diretor
de uma escola primária.
											Um dia ele recebeu uma chamada.
											A pessoa diz:
											""Sr. Messina, o meu filho Johnny
não vai à escola hoje
											""porque está doente.""
									","
											Mais pour commencer, je vais vous raconter
une anecdote sur M. Richard Messina,
											qui est mon ami
et le principal d'une école primaire.
											Un jour, il a reçu un appel.
											On lui a dit :
											« M. Messina, mon fils Johnny
ne viendra pas à l'école aujourd'hui
											parce qu'il est malade. »
									","
											Aber erst erzähle ich Ihnen 
die Geschichte von Richard Messina,
											einem Freund und Grundschulleiter.
											Er bekam einen Anruf.
											Der Anrufer sagte:
											""Herr Messina, mein Sohn Johnny
kann heute nicht in die Schule kommen,
											er ist krank.""
									",Can you really tell if a kid is lying?,Kang Lee,13:36,"body language,communication,decision-making,intelligence,teaching,motivation,parenting,children,psychology,emotions"
"
","
","
","
","
",Can you really tell if a kid is lying?,Kang Lee,13:36,"body language,communication,decision-making,intelligence,teaching,motivation,parenting,children,psychology,emotions"
"
											Mr. Messina asks,
											""Who am I speaking to, please?""
									","
											Y el Sr. Messina preguntó:
											""¿Con quién estoy hablando por favor?""
									","
											O Sr. Messina pergunta:
											""Com quem estou a falar, por favor?""
									","
											M. Messina a demandé :
											« A qui est-ce que je parle ? »
									","
											Herr Messina fragte:
											""Mit wem spreche ich denn?""
									",Can you really tell if a kid is lying?,Kang Lee,13:36,"body language,communication,decision-making,intelligence,teaching,motivation,parenting,children,psychology,emotions"
