en,tr,fr,pt,title,speaker,duration,tags
"
","
","
","
",This is the side hustle revolution,Nicaila Matthews Okome,3:32,"work,work-life balance,money,business"
"
											I can't think of anyone
who just has one interest in life,
											and that's all they want to do
for the rest of their life.
									","
											Hayatta yalnızca tek bir ideali olan
											ve hayatları boyunca sadece onu
yapmak isteyen kimseyi tanımıyorum.
									","
											Je ne peux imaginer personne avec
un seul centre d'intérêt dans la vie
											et qui ne voudrait faire que ça
pour le reste de sa vie.
									","
											Não consigo pensar em ninguém
que tenha apenas um interesse na vida
											e só queira fazer aquilo
pelo resto da vida.
									",This is the side hustle revolution,Nicaila Matthews Okome,3:32,"work,work-life balance,money,business"
"
","
","
","
",This is the side hustle revolution,Nicaila Matthews Okome,3:32,"work,work-life balance,money,business"
"
											[The Way We Work]
									","
											[Çalışma Şeklimiz]
									","
											[Notre façon de travailler]
									","
											[A Maneira Como Trabalhamos]
									",This is the side hustle revolution,Nicaila Matthews Okome,3:32,"work,work-life balance,money,business"
"
","
","
","
",This is the side hustle revolution,Nicaila Matthews Okome,3:32,"work,work-life balance,money,business"
"
											Around 15 percent of American workers
don't have traditional full-time jobs.
											They're half-time, part-time,
contract workers or temps.
											The term ""side hustle""
just seems to fit with this ethos
											where people are putting together
a few different things to make a living.
									","
											Amerikan işçilerinin yaklaşık %15'inin
geleneksel tam zamanlı işi yok.
											Yarı zamanlı, tam zamanlı,
geçici veya dönemsel çalışanlar.
											İşte ''side hustle'' terimi de
bu noktada devreye giriyor,
											insanların geçinmek için birkaç şeyi
bir araya getirdiği bir durum.
									","
											Près de 15% des travailleurs américains
n'ont pas d'emplois traditionnels
											à temps plein.
											Ils sont à mi-temps, temps partiel,
contractuels ou intérims.
											Le terme « side hustle » semble coller
parfaitement avec cet esprit
											où les gens mettent en place différents 
petits moyens pour gagner leur vie.
									","
											Cerca de 15% dos trabalhadores nos EUA
não têm emprego a tempo inteiro.
											Trabalham a meio tempo, ""part-time"",
a contrato ou temporariamente-
											O termo ""atividade paralela""
parece ser compatível com esse cenário
											em que as pessoas combinam
coisas diferentes para ganhar a vida.
									",This is the side hustle revolution,Nicaila Matthews Okome,3:32,"work,work-life balance,money,business"
"
","
","
","
",This is the side hustle revolution,Nicaila Matthews Okome,3:32,"work,work-life balance,money,business"
"
											The word ""side hustle"" has its roots
in popular African American newspapers.
											In the 1920s, these papers
used the word ""hustle""
											to refer to some kind of scam.
											By the 1950s, they were
using ""side hustle""
											to refer to legitimate work, too.
											A side hustle is a little different
than a second job.
											A second job is about necessity.
											While a side hustle can certainly
bring in extra income,
											it's a little more aspirational.
											Side hustle captures a certain kind
of scrappy, entrepreneurial spirit.
									","
											''Side hustle'' sözünün kökeni popüler
Afro Amerikan gazetelerine dayanıyor.
											1920'lerde bu gazeteler ''hustle''
kelimesini kullanarak
											bir tür düzenbazlıktan bahsetmişlerdi.
											1950'lere gelindiğinde ise
''side hustle'' sözünü kullanarak
											meşru işlerden bahsediyorlardı.
											''Side hustle'' ikinci bir işten
biraz farklı.
											İkinci iş bir gereklilik.
											Side hustle ile ek gelir
elde edilebiliyor tabii
											ama biraz daha geleceğe yönelik.
											''Side hustle'' kişinin atik
ve girişimci ruhuna hitap ediyor.
									","
											Le terme « side hustle »
trouve ses origines
											dans les journaux populaires 
afro-américains.
											Dans les années 20, ces journaux
utilisaient le mot « hustle »
											pour faire référence 
à des sortes d'arnaques.
											Dans les années 50,
on utilisait « side hustle »
											pour faire référence 
au travail légitime aussi.
											Un Side Hustle est un peu différent 
d'un second emploi.
											Un second emploi
											est une question de nécessité.
											Même si un Side Hustle
											peut sûrement permettre
											d'arrondir les fins de mois,
											ça reste un peu plus ambitieux.
									","
											A palavra ""atividade paralela"" tem origem
nos jornais populares afro-americanos.
											Nos anos 20,
											estes jornais usavam o termo
""atividade paralela""
											referindo-se a algum tipo de fraude
											Nos anos 50, começaram
a utilizar o termo ""atividade paralela""
											para se referirem também
a trabalho legítimo.
											A atividade paralela é diferente
de um segundo trabalho
											que tem a ver com a necessidade.
											Enquanto que uma atividade paralela
pode trazer dinheiro extra,
											e é um pouco mais aspiracional.
											A atividade paralela capta um certo tipo
de espírito empreendedor, lutador.
									",This is the side hustle revolution,Nicaila Matthews Okome,3:32,"work,work-life balance,money,business"
"
","
","
","
",This is the side hustle revolution,Nicaila Matthews Okome,3:32,"work,work-life balance,money,business"
"
											I've interviewed more than
100 women of color
											on Side Hustle Pro
											who started successful side hustles.
											Nailah Ellis-Brown started
Ellis Island Tea out of her trunk.
											Arsha Jones started her famous
Capital City Co Mambo Sauce
											with one product and a PayPal link.
											All these women are running side hustles.
											What exactly does this tell us?
									","
											Yüzden fazla beyaz olmayan kadınla
											Side Hustle Pro'da mülakat yaptım,
											hepsinin başarılı yan işleri vardı.
											Nailah Ellis-Brown, Ellis Island Tea'yi
kamyonetiyle başlatmıştı.
											Arsha Jones meşhur
Capital City Co Mambo Sauce'u
											tek bir ürün ve bir PayPal linkiyle.
											Tüm bu kadınlar yan işler yürütüyor.
											Bu bize ne fikir veriyor?
									","
											Le Side Hustle incarne une sorte 
d'esprit entrepreneurial.
											J'ai interviewé plus de 100 femmes Noires
											sur Side Hustle Pro,
											qui ont lancé des activités prospères.
											Nailah Ellis-Brown a lancé
Ellis Island Tea
											depuis le coffre de sa voiture.
											Arsha Jones a créé sa fameuse
Capital City Co Mambo Sauce
											avec un seul produit et un lien PayPal.
											Toutes ces femmes 
dirigent des Side Hustles.
											Qu'est-ce que cela nous dit exactement ?
									","
											Eu entrevistei mais de 100 mulheres de cor
no Side Hustle Pro
											que iniciaram atividades
paralelas de sucesso.
											Nailah Ellis-Brown iniciou
o Ellis Island Tea na mala do seu carro.
											Arsha Jones iniciou o seu famoso
Capital City Co Mambo Sauce
											com um produto e uma ligação ao PayPal.
											Estas mulheres estão a gerir
atividades paralelas.
											O que é que isto nos diz exatamente?
									",This is the side hustle revolution,Nicaila Matthews Okome,3:32,"work,work-life balance,money,business"
"
","
","
","
",This is the side hustle revolution,Nicaila Matthews Okome,3:32,"work,work-life balance,money,business"
"
											First, that people are seeing opportunity
within their communities.
											The goal here isn't necessarily
to be the next Coca-Cola or Google.
											Scale is great, but there's also beauty
in a successful business
											that's built for a specific audience.
									","
											Bir, insanlar toplulukları içinde
fırsatlar fark ediyorlar.
											Burada amaç yeni Coca-Cola
veya Google olmak değil.
											Yelpaze geniş ama belli
bir kitle için inşa edilmiş
											başarılı işletmelerin de güzel yanı var.
									","
											D'abord, que les gens voient 
des opportunités
											au sein de leur communauté.
											Le but ici n'est pas forcément d'être
le futur Coca-Cola ou Google.
											La taille, c'est bien, 
mais la beauté se trouve aussi
											dans une entreprise prospère qui soit
conçue pour un public spécifique.
									","
											Primeiro, as pessoas estão a encontrar
oportunidades nas suas comunidades.
											O objetivo aqui não é necessariamente
ser a próxima Coca-Cola ou a Google.
											Crescer é ótimo, mas também há beleza
											num negócio de sucesso
criado para um público específico.
									",This is the side hustle revolution,Nicaila Matthews Okome,3:32,"work,work-life balance,money,business"
"
","
","
","
",This is the side hustle revolution,Nicaila Matthews Okome,3:32,"work,work-life balance,money,business"
