en,fr,title,speaker,duration,tags
"
","
",Why it's so hard to make healthy decisions,David Asch,16:53,"behavioral economics,health care,psychology,motivation,health,humanity,decision-making,TEDMED"
"
											It's April of 2007,
											and Jon Corzine,
the Governor of New Jersey,
											is in this horrific car accident.
											He's in the right front
passenger seat of this SUV
											when it crashes on
the Garden State Parkway.
											He's transported
to a New Jersey trauma center
											with multiple broken bones
and multiple lacerations.
											He needs immediate surgery,
seven units of blood,
											a mechanical ventilator
to help him breathe
											and several more operations along the way.
											It's amazing he survived.
											But perhaps even more amazing,
											he was not wearing a seat belt.
											And, in fact, he never wore a seat belt,
											and the New Jersey state troopers
who used to drive Governor Corzine around
											used to beg him to wear a seat belt,
											but he didn't do it.
									","
											Avril 2017,
											le gouverneur du New Jersey, Jon Corzine,
											a un terrible accident de voiture.
											Il est assis à la place
du convoyeur de son 4x4
											quand il a un accident
sur la Garden State Parkway.
											Il est transporté aux urgences.
											Il a de multiples fractures et coupures.
											Il doit être opéré immédiatement,
il lui faut sept poches de sang,
											un respirateur mécanique
											et plusieurs opérations supplémentaires
pour survivre.
											C'est un miracle qu'il ait survécu.
											Ce qui était encore plus incroyable,
											c'est qu'il n'avait pas mis sa ceinture.
											D'ailleurs, il ne la mettait jamais.
											Les policiers de l'État
qui lui servaient de chauffeurs
											le suppliaient de la mettre,
											mais il ne le faisait pas.
									",Why it's so hard to make healthy decisions,David Asch,16:53,"behavioral economics,health care,psychology,motivation,health,humanity,decision-making,TEDMED"
"
","
",Why it's so hard to make healthy decisions,David Asch,16:53,"behavioral economics,health care,psychology,motivation,health,humanity,decision-making,TEDMED"
"
											Now, before Corzine
was Governor of New Jersey,
											he was the US Senator from New Jersey,
											and before that, he was
the CEO of Goldman Sachs,
											responsible for taking
Goldman Sachs public,
											making hundreds of millions of dollars.
											Now, no matter what you think
of Jon Corzine politically
											or how he made his money,
											nobody would say that he was stupid.
											But there he was,
											an unrestrained passenger
in a car accident,
											at a time when every American knows
that seat belts save lives.
									","
											Avant que Corzine devienne gouverneur,
											il était le sénateur du New Jersey.
											Et avant ça, il était le PDG
de Goldman Sachs.
											Il avait présidé son entrée en bourse,
											et fait des millions
de dollars de bénéfice.
											Peu importe ce qu'on pense
de Corzine en tant que politicien
											ou de la manière dont il s'est enrichi,
											personne ne peut dire qu'il est stupide.
											Et pourtant,
											il a eu un accident alors
qu'il n'avait pas mis sa ceinture,
											quand tous les Américains savent que les
ceintures de sécurité sauvent des vies.
									",Why it's so hard to make healthy decisions,David Asch,16:53,"behavioral economics,health care,psychology,motivation,health,humanity,decision-making,TEDMED"
"
","
",Why it's so hard to make healthy decisions,David Asch,16:53,"behavioral economics,health care,psychology,motivation,health,humanity,decision-making,TEDMED"
"
											This single story reflects
a fundamental weakness
											in our approach
to improving health behavior.
											Nearly everything we tell doctors
and everything we tell patients
											is based on the idea
that we behave rationally.
											If you give me information, I will process
that information in my head,
											and my behavior will change as a result.
											Do you think Jon Corzine didn't know
that seat belts save lives?
											Do you think he, like,
just didn't get the memo?
									","
											Cette histoire illustre
une faiblesse fondamentale
											dans notre approche pour améliorer
les comportements liés à la santé.
											Presque tout ce que nous enseignons
aux docteurs et disons aux patients
											est basé sur l'idée que
nous agissons rationnellement.
											Si j'apprends quelque chose
de nouveau, je vais y réfléchir
											et je vais changer mon comportement.
											Pensez-vous que Corzine ignorait
que les ceintures sauvent des vies ?
											Qu'il n'était pas au courant ?
									",Why it's so hard to make healthy decisions,David Asch,16:53,"behavioral economics,health care,psychology,motivation,health,humanity,decision-making,TEDMED"
"
","
",Why it's so hard to make healthy decisions,David Asch,16:53,"behavioral economics,health care,psychology,motivation,health,humanity,decision-making,TEDMED"
"
											(Laughter)
									","
											(Rires)
									",Why it's so hard to make healthy decisions,David Asch,16:53,"behavioral economics,health care,psychology,motivation,health,humanity,decision-making,TEDMED"
"
","
",Why it's so hard to make healthy decisions,David Asch,16:53,"behavioral economics,health care,psychology,motivation,health,humanity,decision-making,TEDMED"
"
											Jon Corzine did not have
a knowledge deficit,
											he had a behavior deficit.
											It's not that he didn't know better.
											He knew better.
											It's that he didn't do better.
									","
											Le problème n'était pas
ses connaissances lacunaires,
											mais son comportement.
											Ce n'était pas qu'il ne le savait pas,
											il le savait très bien.
											C'était qu'il ne le faisait pas.
									",Why it's so hard to make healthy decisions,David Asch,16:53,"behavioral economics,health care,psychology,motivation,health,humanity,decision-making,TEDMED"
