en,es,tr,fr,de,pt,title,speaker,duration,tags
"
","
","
","
","
","
","The 3,000-year history of the hoodie",Paola Antonelli,3:32,"fashion,design,society,history"
"
											The hoodie is an amazing object.
											It's one of those timeless objects
that we hardly think of,
											because they work so well
that they're part of our lives.
											We call them ""humble masterpieces.""
									","
											La capucha es un objeto increíble.
											Es uno de esos objetos atemporales
en que apenas pensamos,
											porque funciona tan bien
que forma parte de nuestra vida.
											Los llamamos ""humildes obras maestras"".
									","
											Kapşon inanılmaz bir şey.
											Düşünmekte zorlandığımız
o zamanı olmayan şeylerden biri
											o kadar işe yarıyorlar ki
hayatlarımızın bir parçası.
											Onlara ''mütevazı şaheserler'' diyoruz.
									","
											Le pull à capuche est
un vêtement incroyable.
											C'est un de ces objets intemporels
auxquels nous pensons à peine
											car ils marchent si bien
qu'ils font partie de notre vie.
											Ce sont « d'humbles chefs-d’œuvre ».
									","
											Der Kapuzenpullover
ist eine tolle Erfindung.
											Über dieses zeitlose Kleidungsstück
denken wir kaum noch nach,
											denn er ist so praktisch,
er ist Teil unseres Lebens.
											Man nennt ihn ""einfaches Meisterwerk"".
											[Kleines Ding.]
									","
											O capuz é um objeto fantástico.
											É um daqueles objetos intemporais
em que não pensamos muito,
											porque se integra muito bem
no nosso quotidiano.
											Chamamos-lhe ""modesta obra de arte"".
									","The 3,000-year history of the hoodie",Paola Antonelli,3:32,"fashion,design,society,history"
"
","
","
","
","
","
","The 3,000-year history of the hoodie",Paola Antonelli,3:32,"fashion,design,society,history"
"
											[Small thing.]
											[Big idea.]
									","
											[Cosa pequeña.]
											[Idea grande.]
									","
											[Küçük şey.]
											[Büyük fikir.]
									","
											[Petite chose.]
											[Grande idée]
									","
											[Große Idee.]
									","
											[Algo pequeno.]
											[Grande ideia.]
									","The 3,000-year history of the hoodie",Paola Antonelli,3:32,"fashion,design,society,history"
"
","
","
","
","
","
","The 3,000-year history of the hoodie",Paola Antonelli,3:32,"fashion,design,society,history"
"
											[Paola Antonelli on
the Hoodie]
									","
											[Paola Antonelli habla
de la capucha]
									","
											[Paola Antonelli 
Kapşon hakkında konuşuyor.]
									","
											[Paola Antonelli au sujet
du pull à capuche]
									","
											[Paola Antonelli spricht
vom Kapuzenpulli.]
									","
											[Paula Antonelli fala sobre o capuz]
									","The 3,000-year history of the hoodie",Paola Antonelli,3:32,"fashion,design,society,history"
"
","
","
","
","
","
","The 3,000-year history of the hoodie",Paola Antonelli,3:32,"fashion,design,society,history"
"
											The hoodie has been —
even if it was not called so —
											it's been an icon throughout history
for good and for bad reasons.
											The earliest ones that we can trace
											are from ancient Greece and ancient Rome.
											The Middle Ages, you see a lot of monks
											that were wearing garments
that were cape-like, with hoods attached,
											so therefore, ""hoodies.""
											Ladies in the 17th century
would wear hoodies
											to kind of hide themselves
when they were going to meet their lovers.
											And then, of course,
there's the legend, there's fantasy.
											There's the image of the hoodie
connected to the grim reaper.
											There's the image of the hoodie
connected to the executioner.
											So there's the dark side of the hoodie.
									","
											La capucha, aunque 
no se haya denominado así,
											es un icono a través de la historia
por razones buenas y malas.
											Las capuchas más tempranas 
que encontramos
											proceden de la antigua Grecia
y la antigua Roma.
											Durante la Edad Media,
muchos monjes llevaban trajes
											parecidos a túnicas con ""capa"",
											de allí, ""capucha"".
											En el siglo XVII, las damas 
llevaban prendas con capuchas
											para esconderse en camino
a estar con su amante.
											Y luego, claro,
está la leyenda, la fantasía.
											La capucha se asocia con la Parca.
											La capucha se asocia con el verdugo.
											Así que la capucha tiene un lado oscuro.
									","
											Kapşon, tarih boyunca
hem iyi hem kötü sebeplerden
											öyle anılmasa da
hep bir simge olmuştur.
											Bildiğimiz ilk örnekleri
											antik Yunanistan ve antik Roma'daydı.
											Orta Çağlarda keşişlerin
											başlık kısımları olan pelerin gibi 
giysiler giydiğini biliyoruz,
											bu yüzden adı ''kapşon.''
											17. yüzyılda leydiler
aşıklarıyla buluşacakları zaman
											kendilerini gizlemek için
kapşon giyerlerdi.
											Sonra tabii
efsane ve fantezi de vardı.
											Kapşonun Azrail'le ilişkilendirilen
bir imajı var.
											Kapşonun cellatla ilişkilendirilen
bir imajı var.
											Yani kapşonun karanlık bir yüzü var.
									","
											Le pull à capuche fut —
même si cela n'a pas été dit —
											ce fut une icône à travers l'histoire
pour de bonnes et de mauvaises raisons.
											Les premiers dont
nous avons retrouvé la trace
											viennent de la Grèce ancienne
et de la Rome antique.
											Au Moyen-Âge, beaucoup de moines
											portaient des vêtements
ressemblant à des capes avec des capuches,
											des pulls à capuche.
											Au XVIIe siècle, les dames
portaient des pulls à capuche
											pour se cacher quand elles allaient
retrouver leur amant.
											Et puis, bien sûr,
il y a les légendes, il y a l'imaginaire.
											Il y a l'image du pull à capuche
liée à la sinistre faucheuse.
											Il y a l'image du pull à capuche
liée au bourreau.
											Il y a le côté sombre du pull à capuche.
									","
											Der Kapuzenpullover ist,
auch wenn nicht so genannt,
											eine Ikone der Menschheitsgeschichte
wegen positiver und negativer Ursachen.
											Die frühesten Kapuzenpullover erscheinen
											im alten Griechenland und im alten Rom.
											Im Mittelalter trugen die Mönche Gewänder
											mit kapuzenähnlicher Kopfbedeckung,
											also die Kapuzenpullover.
											Die Damen des 17. Jahrhunderts
hatten die Kapuzenshirts an,
											um nicht erkannt zu werden, wenn sie
ein Rendezvous haben wollten.
											Dann ist da natürlich auch
die Legende und die Dichtung.
											Das düstere Bild des Todes,
der im Kapuzenshirt erscheint.
											Oder das Bild des Henkers.
											Das ist der finstere Aspekt der Kapuze.
									","
											Embora não seja referenciado como tal,

											o capuz tem sido um ícone ao longo
da história por boas e más razões.
											As primeiras que conseguimos encontrar
											surgem na Grécia e em Roma antigas.
											Na Idade Média, encontram-se muitos monges
											que usam vestimentas
estilo capas, com capuz,
											daí a ênfase no capuz.
											As senhoras do século XVII usavam capuz
											para se esconderem
quando iam ter com os seus amantes.
											Mas também existem
as lendas, a fantasia.
											Há a imagem do Anjo da Morte a usar capuz.
											Há a imagem do carrasco a usar capuz.
											Portanto, há um lado sombrio do capuz.
									","The 3,000-year history of the hoodie",Paola Antonelli,3:32,"fashion,design,society,history"
"
","
","
","
","
","
","The 3,000-year history of the hoodie",Paola Antonelli,3:32,"fashion,design,society,history"
"
											The modern incarnation of the hoodie —
											a garment that's made
usually of cotton jersey,
											that has a hood attached
with a drawstring;
											sometimes it has a marsupial pocket —
											was introduced in the 1930s
by Knickerbocker Knitting Company.
											Now it's called Champion.
											It was meant to keep athletes warm.
											Of course, though, it was
such a functional, comfortable garment
											that it was very rapidly adopted
by workmen everywhere.
											And then, around the 1980s,
it also gets adopted
											by hip-hop and B-boys, skateboarders,
											and it takes on this kind of
youth street culture.
											It was, at the same time,
super-comfortable,
											perfect for the streets
											and also had that added value of anonymity
											when you needed it.
											And then we have Mark Zuckerberg,
											who defies convention
of respectable attire for businesspeople.
											But interestingly, it's also a way to show
how power has changed.
											If you're wearing a two-piece suit,
you might be the bodyguard.
											The real powerful person is wearing
a hoodie with a T-shirt and jeans.
									","
											La encarnación moderna
de la capucha...
											una prenda normalmente
de jersey de algodón,
											que tiene una capucha pegada
y tiene un cordón,
											a veces tiene bolsillo marsupial,
											fue presentada en los años 30
por Knickerbocker Knitting Company.
											Ahora se llama Champion.
											La idea era mantener
la temperatura de los atletas.
											Pero claro, es una prenda
tan funcional y cómoda
											que fue adoptada enseguida
por obreros en todas partes.
											Y luego en los años 80,
es adoptada también
											por el hip-hop y los b-boys, los skaters,
											y representa un tipo de cultura urbana.
											Es a la vez súper cómoda,
perfecta para llevar en la calle,
											y tiene ese valor adicional de anonimato
											cuando la necesitas.
											Y luego tenemos a Mark Zuckerberg,
											que desafía las normas de vestimenta
respetable para la gente de negocios.
											Curiosamente, también es una manera
de demostrar cómo ha cambiado el poder.
											Si llevas un traje de dos piezas,
quizás eres el guardaespaldas,
											y la persona poderosa de verdad
lleva una capucha
											con una camiseta y jeans.
									","
											Kapşonun çağdaş kullanımı şöyle;
											genellikle pamuktan yapılmış bir giysi
											ve kendisine bağlı bir büzme ipi var:
											bazen kese şeklinde cebi de var —
											ilk olarak 1930'larda Knickerbocker
Knitting Company tarafından yapıldı.
											Şimdi ise adı Champion.
											Asıl amacı sporcuları sıcak tutmaktı.
											Tabii o kadar işlevsel, 
rahat bir giysiydi ki
											her yerde çalışan erkekler tarafından
hızla benimsendi.
											Sonra 1980'lerde
hip hop, B-boys, kaykaycılar
											tarafından da benimsendi
											ve bir tür genç sokak 
kültürüyle özdeşleşti.
											Aynı zamanda inanılmaz rahattı,
											sokaklar için kusursuzdu
											ve ihtiyacınız olduğunda 
kendinizi gizleme
											ekstra avantajı da vardı.
											Marc Zuckerberg örneğimiz var,
											iş insanları için saygıdeğer
kıyafet uygulamasına karşı çıkıyor.
											Ancak işin ilginç yanı, gücün
nasıl değiştiğini gösteriyor olması.
											İki parçalı bir takım giyiyorsanız
özel koruma olabilirsiniz.
											Asıl güçlü kişi ise kapşonlu
bir tişört ve kot pantolon giyiyor.
									","
											L'incarnation moderne du pull à capuche —
											un vêtement fait généralement
d'un pull en coton,
											qui a une capuche attachée avec un cordon,
											parfois avec une poche marsupiale —
											a été introduite dans les années 30
par Knickerbocker Knitting Company.
											Maintenant appelée Champion.
											C'était prévu pour
tenir chaud aux athlètes.
											Bien sûr, c'était un vêtement
si fonctionnel et confortable
											qu'il a rapidement été adopté
partout par les ouvriers.
											Puis, vers les années 80,
il a également été adopté
											par les danseurs de hip-hop
et de breakdance, les skaters
											et a revêtu ce genre
de culture des jeunes de la rue.
											Il était à la fois super confortable,
											parfait pour la rue
											et avait comme valeur ajoutée l'anonymat
											quand vous en aviez besoin.
											Puis il y a Mark Zuckerberg,
											qui défie les conventions des tenues
respectables pour les hommes d'affaires.
											De façon intéressante, c'est une façon
de montrer comment le pouvoir a changé.
											Avec un costume deux pièces,
c'est le garde du corps.
											La personne qui a vraiment du pouvoir
											porte un pull à capuche,
un t-shirt et un jean.
									","
											Die moderne Verkörperung
des Kapuzenpullis —
											gewöhnlich eine Baumwollbekleidung,
											die eine Kapuze hat,
die mit einer Kordel versehen ist
											— und manchmal auch
einer beutelartigen Tasche —
											wurde 1930 von der Knickerbocker
Knitting Company hergestellt.
											Heute heißt die Firma Champion.
											Der Zweck war,
die Sportler warm zu halten.
											Da sie so praktisch und
angenehm zu tragen waren,
											wurden sie schnell überall
von Arbeitern übernommen.
											In den 1980er Jahren
wurde der Kapuzenpulli dann
											von Hip-Hop-, B-Boying-Tänzern
und Skateboardfahrern übernommen
											und mit jugendaffiner
Straßenkultur assoziiert.
											Gleichzeitig waren sie sehr bequem,
											straßentauglich und
nötigenfalls anonymisierend.
											Und dann gibt es Mark Zuckerberg,
											der die Tradition des Anzuges
der Geschäftsmänner herausforderte.
											Das ist auch das Mittel, das zeigt,
wie die Macht sich verändert hat.
											Ein zweiteiliger Anzug?
Dann sind Sie vielleicht ein Leibwächter.
											Ein wirklich mächtiger Mann trägt
den Kapuzenpulli mit T-Shirt und Jeans.
									","
											Enquanto que nos tempos modernos,
											o capuz faz parte de peças de roupa,

											muitas vezes feito de algodão,
e a elas ligado por um cordão.
											Por vezes, essas roupas
têm um bolso marsupial.
											Foi introduzido nos anos 30
pela Knickerbocker Knitting Company.
											Agora, a empresa chama-se Champion.
											A intenção era aquecer os atletas.
											Mas é claro que, como era
uma roupa prática e confortável,
											foi adotado rapidamente
por trabalhadores em todo o lado.
											Depois, por volta dos anos 80, foi adotado
pelos ""hip-hop"" e pelos jovens
											que praticavam ""breakdance""
e que andavam de ""skate"",
											fazendo com que o capuz ganhasse
uma imagem de cultura dos jovens da rua.
											Ao mesmo tempo, era muito confortável
											era perfeito para andar na rua,
											assim como tinha o valor
adicional do anonimato
											quando fosse necessário.
											Depois, temos Mark Zuckerberg,
											que desafia o padrão
de trajes formais para empresários.
											É interessante como isto também mostra
a mudança da imagem do poder.
											Agora, os que usam fato completo
podem ser os guarda-costas.
											As pessoas de poder usam um capuz
com uma ""T-shirt"" e ""jeans"".
									","The 3,000-year history of the hoodie",Paola Antonelli,3:32,"fashion,design,society,history"
