en,de,fr,tr,pt,es,title,speaker,duration,tags
"
","
","
","
","
","
",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
											When I was a kid,
I was the quintessential nerd.
											I think some of you were, too.
									","
											Als Kind war ich der typische Nerd.
											Ich glaube, das waren 
manche von Ihnen auch.
									","
											Quand j'étais enfant,
j'étais l'exemple parfait de l'intello.
											Certains d'entre vous
devaient l'être aussi.
									","
											Çocukken tam bir inektim.
											Galiba bazılarınız da inektiniz.
									","
											Quando eu era miúdo,
era um grandessíssimo ""nerd"".
											Acho que alguns de vocês também eram.
									","
											Cuando era niño,
era un nerd por excelencia.
											Creo que algunos de Uds. también.
									",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
","
","
","
","
","
",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
											(Laughter)
									","
											(Gelächter)
									","
											(Rires)
									","
											(Kahkaha)
									","
											(Risos)
									","
											(Risas)
									",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
","
","
","
","
","
",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
											And you, sir, who laughed the loudest,
you probably still are.
									","
											Sie, der am lautesten gelacht hat, 
Sie sind es wohl immer noch.
									","
											Et vous, monsieur, qui avez ri
le plus fort, devez encore l'être.
									","
											Ve siz beyefendi, en sesli gülen,
siz muhtemelen hala ineksiniz.
									","
											E o senhor, que riu mais alto, 
provavelmente ainda é.
									","
											Y Ud. señor, el que se rio más fuerte,
probablemente aún lo sea.
									",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
","
","
","
","
","
",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
											(Laughter)
									","
											(Gelächter)
									","
											(Rires)
									","
											(Kahkaha)
									","
											(Risos)
									","
											(Risas)
									",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
","
","
","
","
","
",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
											I grew up in a small town
in the dusty plains of north Texas,
											the son of a sheriff
who was the son of a pastor.
											Getting into trouble was not an option.
											And so I started reading
calculus books for fun.
									","
											Ich wuchs in einer Kleinstadt in 
den staubigen Ebenen Nordtexas' auf,
											der Sohn eines Sheriffs, 
der der Sohn eines Pastors war.
											Ich durfte keinen Ärger machen.
											Ich fing aus Vergnügen an, 
Mathebücher zu lesen.
									","
											J'ai grandi dans une petite ville
des plaines poussiéreuses du Texas,
											fils d'un shérif
qui était fils de pasteur.
											Hors de question de m'attirer des ennuis.
											J'ai donc commencé à lire
des livres de calcul pour le plaisir.
									","
											Kuzey Teksas'ın tozlu düz arazilerinde 
küçük bir kasabada büyüdüm.
											Babam şerif, 
büyükbabam ise bir papazdı.
											Başımı belaya sokmak 
hiç kaçınılmaz değildi.
											Bu yüzden öylesine matematik 
kitapları okumaya başladım.
									","
											Cresci numa cidade pequena
											nas planícies empoeiradas
do norte do Texas,
											filho de um xerife
que era filho de um pastor.
											Meter-me em sarilhos estava fora de causa.
											Por isso, comecei a ler 
livros de cálculo por diversão.
									","
											Crecí en un pueblo pequeño
en los llanos del norte de Tejas,
											hijo de un comisario, 
que fue hijo de un pastor.
											Meterse en problemas
no era una opción.
											Así es que comencé a 
leer libros de cálculo por diversión.
									",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
","
","
","
","
","
",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
"
											(Laughter)
									","
											(Gelächter)
									","
											(Rires)
									","
											(Kahkaha)
									","
											(Risos)
									","
											(Risas)
									",Don't fear superintelligent AI,Grady Booch,10:20,"AI,algorithm,brain,cognitive science,communication,data,computers,engineering,design,future,fear,identity,humanity,intelligence,innovation,language,invention,mind,machine learning,robots,philosophy,society,science,technology,software"
