en,es,tr,fr,pt,title,speaker,duration,tags
"
","
","
","
","
",What causes heartburn?,Rusha Modi,4:55,"science,TED-Ed,health,human body,heart health,disease,public health,healthcare,physiology,health care,biology"
"
											Just between your chest and abdomen
											is where you’ll find one of the most
important muscles
											you probably didn't know you had:
											the lower esophageal sphincter, or LES.
											When functioning properly,
											this ring of tissue plays a crucial
role in helping us eat.
											But when the LES malfunctions,
											it becomes the main player in heartburn

											—a searing, sometimes sour-tasting
chest-spasm
											that many people will experience
at some point in their lives.
									","
											Justo entre tu pecho y abdomen
											es donde se encuentra uno de
los músculos más importantes
											que probablemente no sabías que tenías:
											el esfínter esofágico inferior o EEI.
											Cuando funciona bien,
											el anillo de tejido juega un papel
crucial ayudándonos a comer.
											Pero cuando no funciona bien,
											se convierte en el principal factor
del ardor estomacal,
											un abrasador, a veces amargo
espasmo de pecho
											que mucha gente experimentará
en algún momento de su vida.
									","
											Karınla göğüs arası, 

											önemli kas grublarından birini 
bulabileceğiniz bir yerdir.
											Büyük ihtimalle bu kas grubuna
sahip olduğunuzu bilmiyorsunuzdur:
											Alt özofagel sfinkter veya LES.
											Doğru şekilde işlediği zaman
											dairesel doku yemek yememize 
yardımcı olmada önemli bir rol oynar.
											Fakat LES işlevini yitirdiği zaman,
											yanma, bazen ekşimeyle 
birlikte göğüs spazmı gibi
											mide yanmasında başrolü oynar,
											birçoğumuz hayatımızın bir
noktasında yaşamışızdır.
									","
											Juste entre votre poitrine
et votre abdomen,
											vous trouverez l’un des muscles
les plus importants
											que vous ne connaissiez probablement pas :
											le sphincter inférieur
de l’œsophage, ou SIO.
											Lorsqu'il fonctionne bien,
											cet anneau de tissu joue un rôle crucial
pour nous aider à manger.
											Mais quand le SIO fonctionne mal,
											il devient le principal fautif
des brûlures d'estomac.
											Un spasme thoracique fulgurant et acide
											que de nombreuses personnes 
expérimenteront dans leur vie.
									","
											É entre o peito e o abdómen
											que encontram um dos músculos
mais importantes
											que, provavelmente,
nem sabiam que têm:
											o esfíncter do esófago inferior, ou EEI
											Quando funciona devidamente,
											o anel de tecido desempenha
um papel fundamental
											ajudando-nos a comer.
											Mas quando este músculo funciona mal,
											torna-se o principal culpado da azia
											— um espasmo abrasador,
por vezes de sabor ácido
											que muitas pessoas sentem
algures na sua vida.
									",What causes heartburn?,Rusha Modi,4:55,"science,TED-Ed,health,human body,heart health,disease,public health,healthcare,physiology,health care,biology"
"
","
","
","
","
",What causes heartburn?,Rusha Modi,4:55,"science,TED-Ed,health,human body,heart health,disease,public health,healthcare,physiology,health care,biology"
"
											We know that humans have
been battling heartburn
											for hundreds, if not thousands of years.
											But recently the incidence has risen,
											making it a common stomach 
complaint worldwide.
											When the symptoms of heartburn become more
more regular and intense

											—such as twice a week or more—
											it’s diagnosed as Gastroesophageal
Reflux Disease, or GERD.
											But what causes this problem,
											and how can it be stopped?
									","
											Sabemos que los humanos
han estado batallando con esto
											por cientos, si no miles de años.
											Pero recientemente, 
la incidencia ha aumentado,
											convirtiéndolo en una queja
estomacal común en el mundo.
											Cuando los síntomas del ardor
se vuelven más regulares e intensos,
											como dos veces por semana o más,
											se diagnostica como reflujo 
gastroesofágico o ERGE.
											¿Pero qué causa este problema,
											y cómo podría ser detenido?
									","
											İnsanların, mide yanmasıyla 
yüzlerce yıldır,
											belki de binlerce yıldır, bir savaş
içerisinde olduğunu biliyoruz.
											Ama son zamanlarda bu 
oranda bir artış var,
											mide şikâyeti dünya çapında 
sıradan bir durum olarak görülüyor.
											Mide yanmasının belirtileri haftada
iki veya daha fazla şeklinde
											daha sık ve düzenli ise
											Gastro özofajial reflü hastalığı
veya GERD olarak teşhis edilir.
											Peki bu probleme sebep olan şey nedir
											ve nasıl durdurulur?
									","
											Nous savons que les hommes en souffrent
											depuis la nuit des temps.
											Cependant, l'incidence
a récemment augmenté,
											devenant ainsi
un problème d'ampleur mondiale.
											Lorsque les symptômes deviennent
réguliers et intenses,
											plus de deux fois par semaine,
											il s'agit alors
de reflux gastro-œsophagien.
											Qu'est-ce qui cause cette douleur
											et comment s'en débarrasser ?
									","
											Sabemos que os seres humanos
têm combatido a azia
											há centenas ou milhares de anos.
											Mas, recentemente, 
a incidência da azia aumentou,
											tornando-a numa queixa de estômago
vulgar, a nível mundial.
											Quando os sintomas da azia
se tornam mais regulares e intensos
											— ou seja, duas vezes
por semana, ou mais —
											é diagnosticada como
doença de refluxo gastroesofágico, DRGE.
											Mas o que é que causa este problema
											e como podemos impedi-la?
									",What causes heartburn?,Rusha Modi,4:55,"science,TED-Ed,health,human body,heart health,disease,public health,healthcare,physiology,health care,biology"
"
","
","
","
","
",What causes heartburn?,Rusha Modi,4:55,"science,TED-Ed,health,human body,heart health,disease,public health,healthcare,physiology,health care,biology"
"
											Heartburn starts in an area called
											the gastroesophageal junction, 
where the LES resides.
											This smooth, muscular ring of the LES
											is moderated by an intricate 
tree of nerve roots
											that connect to the brain, 
the heart, and the lungs.
											After food enters the stomach
from the esophagus,
											the muscle’s task is to stop it
											from surging back up again.
											The LES contracts, squeezing 
the stomach entrance
											and creating a high pressure zone
											that prevents digestive acids 
from seeping out.
									","
											El ardor estomacal comienza en el área
											llamada unión gastroesofágica,
donde reside el EEI.
											Este suave y muscular anillo del EEI
											es regulado por una intrincada red
de raíces nerviosas
											que se conecta con el cerebro,
el corazón y los pulmones.
											Después de que la comida entra
en el estómago por el esófago,
											la tarea del músculo es evitar

											que la comida vuelva a subir.
											El EEI se contrae, apretando
la entrada del estómago
											y creando una zona de alta presión
											que evita que se filtren 
los ácidos digestivos.
									","
											Mide yanması, gastroözofageal kesişimi
											diye adlandırılan LES'in 
bulunduğu yerde başlar.
											Buradaki yumuşak ve dairesel kaslara 
sahip olan LES
											çapraşık ağaç şeklindeki sinir kökleri 
tarafından kontrol edilir.
											Bu kısım beyin, kalp ve 
böbreklere bağlıdır.
											Yemek, yemek borusundan 
mideye indiği zaman
											kasın görevi yemeğin
											yukarı doğru gitmesini önlemektir.
											LES mide girişinin kasılmasına neden olur
											ve yüksek basınç noktası oluşturur,
											bu da sindirimi düzenleyen asitlerin 
sızılmasını önler.
									","
											Elle débute dans une zone appelée
											jonction gastro-œsophagienne,
où est situé le SIO.
											Cet anneau lisse et musculaire du SIO
											est modéré par un arbre complexe
de racines nerveuses
											qui relient le cerveau,
le cœur et les poumons.
											Une fois les aliments entrés
dans l'estomac par l'œsophage,
											le rôle du muscle est de les empêcher
											de remonter.
											Le SIO se contracte,
comprimant l'entrée de l'estomac
											et créant ainsi une zone de haute pression
											qui empêche les acides digestifs
de s'échapper.
									","
											A azia começa numa área
											chamada junção gastroesofágica
onde reside o EEI.
											Este anel muscular mole do EEI
											é moderado por uma intrincada
árvore de raízes nervosas
											que estão ligadas ao cérebro,
ao coração e aos pulmões.
											Depois de a comida entrar no estômago,
a partir do esófago,
											a tarefa dos músculos é impedir
											que ela volte atrás.
											O EEI contrai-se,
apertando a entrada do estômago
											e criando uma zona de alta pressão
											que impede os ácidos digestivos
de refluírem.
									",What causes heartburn?,Rusha Modi,4:55,"science,TED-Ed,health,human body,heart health,disease,public health,healthcare,physiology,health care,biology"
"
","
","
","
","
",What causes heartburn?,Rusha Modi,4:55,"science,TED-Ed,health,human body,heart health,disease,public health,healthcare,physiology,health care,biology"
"
											But if the LES relaxes at the
wrong moment or gradually weakens,
											it becomes like a faulty, ill-fitting lid,
											causing the area to depressurize.
											That allows burning stomach acid—
											and even chunks of food—to spurt into the
											esophagus, sometimes going 
as far up as the mouth.
									","
											Pero si el EEI se relaja en 
el momento equivocado
											o se debilita gradualmente,
											se convierte en una tapa
defectuosa, mal ajustada,
											lo que hace que el área se despresurice.
											Eso permite que el ácido 
ardiente del estómago,
											e incluso trozos de comida,
											salgan por el esófago, 
que a veces suben a la altura de la boca.
									","
											Fakat LES yanlış bir zamanda gevşerse veya
yavaş yavaş kasılma zayıflarsa
											kusurlu ve hastalıklı bir 
kapakçık hâline gelip
											bölgedeki basıncı düşürmeye sebep olur.
											Bu da mide asidinin yanmasına ve bazen
											yemek parçalarının aniden
											yemek borusundan yukarıya, 
ağıza bile çıkmasına neden olur.
									","
											Mais si le SIO se détend au mauvais moment
ou s'affaiblit progressivement,
											il devient comme un couvercle
défectueux et mal ajusté,
											provoquant ainsi
la dépressurisation de la zone.
											Cela permet à l'acide gastrique brûlant,
											et même à des morceaux de nourriture,
de jaillir dans l'œsophage
											remontant parfois jusqu'à la bouche.
									","
											Mas se o EEI se descontrai
no momento errado,
											ou enfraquece gradualmente
											torna-se numa tampa defeituosa,
mal encaixada,
											provocando uma despressurização da área.
											Isso permite que o ácido do estômago
											— e até pedaços de comida —
voltem a entrar no esófago,
											por vezes chegando mesmo até à boca.
									",What causes heartburn?,Rusha Modi,4:55,"science,TED-Ed,health,human body,heart health,disease,public health,healthcare,physiology,health care,biology"
"
","
","
","
","
",What causes heartburn?,Rusha Modi,4:55,"science,TED-Ed,health,human body,heart health,disease,public health,healthcare,physiology,health care,biology"
"
											The cause of all this internal drama
											has long been put down to diet.
											Foods like caffeine and peppermint contain
											ingredients that may have a
relaxing affect on the LES,
											which makes it incapable of doing its job.
											Other acidic foods, 
like citrus and tomatoes,
											can worsen irritation of the esophagus
											when they leach out with stomach acid.
											Carbonated beverages can similarly
											bubble up in the stomach,
											forcing open the valve.
									","
											La causa de todo ese drama interno
											ha sido largamente sometido a dieta.
											Comidas como cafeína y menta contienen
											ingredientes que pueden tener
un efecto relajante en el EEI,
											lo que lo hace incapaz 
de hacer su trabajo.
											Otras comidas ácidas, 
como cítricos y tomates,
											pueden empeorar la irritación del esófago
											cuando se filtran con ácido estomacal.
											Las bebidas carbonatadas pueden igualmente
											burbujear en el estómago,
											forzando a abrir la válvula.
									","
											Bu iç durumun sorunu
											diyet ile çözümlenebilir.
											Kafein ve nane içeren besinler
											LES üzerinde rahatlatıcı 
bir etki sağlayabilir
											ve bu da işlevini düzgün bir şekilde
yapması için önemli bir rol oynar.
											Turunçgiller ve domates 
gibi asitli besinler,
											yemek borusundan mide asidine indiği zaman
											mideyi daha fazla rahatsız eder.
											Karbonatlı içecekler benzer şekilde
											midenin köpürmesine sebep olur
											ve kapakçığı açmak için baskı uygular.
									","
											L'alimentation
a longtemps été désignée comme
											la cause de tout ce drame interne.
											Certains aliments comme la caféine
et la menthe poivrée contiennent
											des ingrédients qui peuvent avoir
un effet relaxant sur le SIO,
											l'empêchant alors de faire son travail.
											D'autres aliments acides,
comme les agrumes et les tomates,
											peuvent aggraver
l'irritation de l'œsophage
											lorsqu'ils sont dissous
par l'acide gastrique.
											De même, les boissons gazeuses
											peuvent gonfler dans l'estomac
											et forcer l'ouverture de la valve.
									","
											A causa de todo este drama interior
											há muito que foi atribuída à dieta.
											Alimentos como a cafeína e a hortelã
											contêm ingredientes que podem ter
um efeito relaxante sobre o EEI,
											o que o torna incapaz
de cumprir a sua função.
											Outros alimentos ácidos,
como o limão e o tomate
											podem agravar a irritação do esófago
											quando lixiviam com o ácido do estômago.
											As bebidas gasosas também podem
											borbulhar no estômago,
											forçando a abrir a válvula.
									",What causes heartburn?,Rusha Modi,4:55,"science,TED-Ed,health,human body,heart health,disease,public health,healthcare,physiology,health care,biology"
