fr,en,tr,de,es,pt,title,speaker,duration,tags
"
","
","
","
","
","
","Archeology, animal photography, BBQ ...",Nathan Myhrvold,17:14,"animals,dinosaurs,entertainment,exploration,fish,humor,photography,archaeology"
"
											Donc, je suis au Chili,
											dans le désert d'Atacama, assis à la réception d'un hôtel,
											car c'est le seul endroit où je peux trouver une connexion Wi-Fi
											et j'ai cette photo sur mon écran,
											et une femme arrive derrière moi.
											Elle dit, ""Oh, c'est superbe.
											Qu'est-ce que c'est ? C'est Jackson Pollock ? ""
											Et malheureusement, il m'arrive d'être un peut trop honnête.
											J'ai dit, ""Non, c'est — c'est de la merde de pingouin.""
									","
											So, I'm in Chile,
											in the Atacama desert, sitting in a hotel lobby,
											because that's the only place that I can get a Wi-Fi connection,
											and I have this picture up on my screen,
											and a woman comes up behind me.
											She says, ""Oh, that's beautiful.
											What is it? Is that Jackson Pollock?""
											And unfortunately, I can be a little too honest.
											I said, ""No, it's — it's penguin shit.""
									","
											Şile'deyim,
											Atamaca Çölünde, bir otel lobisinde oturuyorum,
											çünkü Wi-Fi bağlantısı aldığım tek yer burası,
											ve ekranımda da bu fotoğraf var,
											ve kadının biri arkamdan bana yaklaşıyor.
											""Oh, bu çok güzel.
											Nedir bu? Bu Jackson Pollock mu yoksa?""
											Ve maalesef bazen fazlaca dürüst olabiliyorum.
											""Hayır"" dedim, ""Bu penguen boku.""
									","
											So, ich bin in Chile,
											in der Atacama-Wüste und sitze in einer Hotel-Lobby,
											weil es der einzige Ort ist, an dem ich eine WiFi-Verbindung habe,
											und habe dieses Bild auf dem Schirm,
											als eine Frau von hinten kommt.
											Sie sagt, ""Oh, das ist schön.
											Was ist das? Ist das Jackson Pollock?""
											Und leider kann ich ein bisschen zu ehrlich sein.
											Ich sagte, ""Nein, es ist – es ist Pinguinscheiße.""
									","
											Así que estoy en Chile,
											en el desierto de Atacama, sentado en el vestíbulo de un hotel,
											porque es el único sitio donde hay conexión Wi-Fi;
											tengo esta fotografía en la pantalla,
											y una señora se me acerca por detrás.
											Y dice: ""¡Ah, qué bonito!
											¿Qué es? ¿Es un Jackson Pollock?""
											Y, desgraciadamente, yo puedo ser demasiado honesto.
											Y digo: ""No, eso es, es caca de pingüino""
									","
											Eu estou no Chile,
											no deserto de Atacama,
sentado no átrio de um hotel,
											porque é o único sítio
onde tenho ligação Wi-Fi,
											e tenho esta imagem no meu ecrã.
											Aparece uma mulher
por detrás de mim e diz:
											""Oh, que beleza!
											""O que é isso? É um Jackson Pollock?""
											Infelizmente, sou sincero demais e digo:
											""Não. É caca de pinguim"".
									","Archeology, animal photography, BBQ ...",Nathan Myhrvold,17:14,"animals,dinosaurs,entertainment,exploration,fish,humor,photography,archaeology"
"
","
","
","
","
","
","Archeology, animal photography, BBQ ...",Nathan Myhrvold,17:14,"animals,dinosaurs,entertainment,exploration,fish,humor,photography,archaeology"
"
											(Rire)
									","
											(Laughter)
									","
											Kahkahalar
									","
											(Gelächter)
									","
											(Risas)
									","
											(Risos)
									","Archeology, animal photography, BBQ ...",Nathan Myhrvold,17:14,"animals,dinosaurs,entertainment,exploration,fish,humor,photography,archaeology"
"
","
","
","
","
","
","Archeology, animal photography, BBQ ...",Nathan Myhrvold,17:14,"animals,dinosaurs,entertainment,exploration,fish,humor,photography,archaeology"
"
											Et, vous savez, ""Pardon ? ""
											Et je pouvais sentir
											qu'elle pensait que je parlais par synecdoque.
									","
											And, you know, ""Excuse me!""
											And I could sense
											that she thought I was speaking synecdochically.
									","
											Ve, bilirsiniz ""Özür dilerim!""
											Ve kapsamlama yaparak
											konuştuğumu düşündüğünü de hissettim.
									","
											Und dann sagt sie: ""Wie bitte?!""
											Und ich spürte,
											sie dachte ich hätte figurativ gesprochen.
									","
											Y, ya saben, ""¡Perdone!""
											Y podía sentir
											que ella creía que le hablaba sinecdoquicamente.
									","
											""Desculpe?""
											Pude perceber que ela
pensou que eu estava a gozar.
									","Archeology, animal photography, BBQ ...",Nathan Myhrvold,17:14,"animals,dinosaurs,entertainment,exploration,fish,humor,photography,archaeology"
"
","
","
","
","
","
","Archeology, animal photography, BBQ ...",Nathan Myhrvold,17:14,"animals,dinosaurs,entertainment,exploration,fish,humor,photography,archaeology"
"
											(Rire)
									","
											(Laughter)
									","
											kahkahalar
									","
											(Gelächter)
									","
											(Risas)
									","
											(Risos)
									","Archeology, animal photography, BBQ ...",Nathan Myhrvold,17:14,"animals,dinosaurs,entertainment,exploration,fish,humor,photography,archaeology"
"
","
","
","
","
","
","Archeology, animal photography, BBQ ...",Nathan Myhrvold,17:14,"animals,dinosaurs,entertainment,exploration,fish,humor,photography,archaeology"
"
											Donc, je dis, ""Non, non, vraiment — c'est de la merde de pingouin.""
									","
											So, I said, ""No, no, really — it's penguin shit.""
									","
											Ve ""Hayır, hayır, cidden—bu penguen boku"" dedim
									","
											Also sagte ich, ""Nein, nein, wirklich – es ist Pinguinscheiße.""
									","
											Así que le dije: ""No, no, de verdad. Es caca de pingüino.""
									","
											Por isso, disse:
""Não, a sério. É mesmo caca de pinguim"".
									","Archeology, animal photography, BBQ ...",Nathan Myhrvold,17:14,"animals,dinosaurs,entertainment,exploration,fish,humor,photography,archaeology"
