en,tr,fr,es,title,speaker,duration,tags
"
","
","
","
","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
											My parents gave me an extraordinary name:
											Baratunde Rafiq Thurston.
											Now, Baratunde is based
on a Yoruba name from Nigeria,
											but we're not Nigerian.
									","
											Anne ve babam
bana sıra dışı bir isim verdiler:
											Baratunde Rafiq Thurston.
											Baratunde, Nijerya'dan bir Yoruba ismi
											ama Nijeryalı değiliz.
									","
											Mes parents m'ont donné
un nom extraordinaire :
											Baratunde Rafiq Thurston.
											Baratunde vient
d'un nom yoruba du Nigeria,
											mais nous ne sommes pas nigérians.
									","
											Mis padres me dieron
un nombre extraordinario:
											Baratunde Rafiq Thurston.
											Baratunde se basa en
un nombre yoruba de Nigeria,
											Pero, no somos nigerianos.
									","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
","
","
","
","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
											(Laughter)
									","
											(Gülme sesleri)
									","
											(Rires)
									","
											(Risas)
									","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
","
","
","
","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
											That's just how black my mama was.
									","
											Annem işte bu kadar siyahiydi.
									","
											Voilà à quel point ma mère était noire.
									","
											Esto es solo lo negra que era mi mamá.
									","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
","
","
","
","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Risas)
									","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
","
","
","
","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
											""Get this boy the blackest name possible.
What does the book say?""
									","
											'Verilebilecek en siyahi ismi verelim.
Kitap ne tavsiye ediyor?''
									","
											« Donne à ce garçon
le nom le plus noir possible.
											Que dit le livre ? »
									","
											""Da a este chico el nombre 
más oscuro posible ¿Qué dice el libro?""
									","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
","
","
","
","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Risas)
									","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
","
","
","
","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
											Rafiq is an Arabic name,
but we are not Arabs.
											My mom just wanted me to have difficulty
boarding planes in the 21st century.
									","
											Rafiq, Arapça bir isim
ama Arap da değiliz.
											Annem 21. yüzyılda
uçağa binerken zorluk çekmemi istemiş.
									","
											Rafiq est un nom arabe,
mais nous ne sommes pas arabes.
											Ma mère voulait que j'ai du mal
à prendre l'avion au XXIe siècle.
									","
											Rafiq es un nombre árabe,
pero no somos árabes.
											Mi madre solo quería que tuviera 
en el siglo XXI. problemas de embarque.
									","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
","
","
","
","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Risas)
									","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
","
","
","
","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
											She foresaw America's turn
toward nativism.
											She was a black futurist.
									","
											Amerika'nın milliyetçiliğe eğilimini
önceden görmüş.
											O aslında siyahi bir fütüristti.
									","
											Elle avait anticipé que l'Amérique
se tourne vers le nativisme.
											C'était une futuriste noire.
									","
											Ella previó el cambio de EE. UU. 
hacia el nativismo.
											Ella fue una futurista negra.
									","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
","
","
","
","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Risas)
									","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
","
","
","
","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
											Thurston is a British name,
but we are not British.
											Shoutout to the multigenerational,
dehumanizing economic institution
											of American chattel slavery, though.
											Also, Thurston makes
for a great Starbucks name.
											Really expedites the process.
									","
											Thurston bir İngiliz ismi
ama İngiliz de değiliz.
											Bu da o çok nesilli,
insanlık dışı bir ekonomik yapı olan
											Amerikan köleliğine benden çağrı olsun.
											Ha bir de Thurston
harika bir Sturbucks ismi oluyor.
											Süreci gerçekten hızlandırıyor.
									","
											Thurston est un nom britannique,
mais nous ne sommes pas Britanniques.
											Dédicace à l'institution économique
multigénérationnelle et déshumanisante
											de l'esclavage de Noirs en Amérique.
											Thurston est également
un super nom pour Starbucks.
											Cela accélère le processus.
									","
											Thurston es un nombre británico, 
pero no somos británicos.
											Pero es un clamor para la institución 
económica multigeneracional
											deshumanizante de
la propiedad esclava estadounidense.
											Además, Thurston queda bien
para un nombre de Starbucks.
											En serio, eso acelera el proceso.
									","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
","
","
","
","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Risas)
									","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
","
","
","
","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
											My mother was a renaissance woman.
											Arnita Lorraine Thurston
											was a computer programmer,
former domestic worker,
											survivor of sexual assault,
											an artist and an activist.
											She prepared me for this world
with lessons in black history,
											in martial arts, in urban farming,
											and then she sent me in the seventh grade
to the private Sidwell Friends School,
											where US presidents send their daughters,
											and where she sent me looking like this.
									","
											Annem bir Rönesans kadınıydı.
											Arnita Lorraine Thurston
											bilgisayar programcısı,
eski ev işleri yardımcısı,
											cinsel taciz mağduru,
											bir sanatçı ve de bir aktivist.
											Beni bu dünyaya,
siyahi tarihinden derslerle hazırladı;
											dövüş sanatları, kırsal çiftçilik
											ve yedinci sınıfta beni özel
Sidwell Friends Okulu'na gönderdi,
											ABD başkanlarının
kızlarını gönderdiği yere.
											Ve beni bu şekilde gönderdi.
									","
											Ma mère était une femme de la Renaissance.
											Arnita Lorraine Thurston
											était programmeuse informatique,
ancienne employée de maison,
											survivante d'une agression sexuelle,
											une artiste et une activiste.
											Elle m'a préparé à ce monde
avec des leçons sur l'histoire noire,
											des arts martiaux,
de l'agriculture urbaine
											puis elle m'a envoyé en 5ème
à l'école privée de Sidwell Friends,
											où les présidents américains
envoient leurs filles
											et elle m'y a envoyé ainsi.
									","
											Mi madre fue una mujer renacentista.
											Arnita Lorraine Thurston
											fue programadora de computadoras,
extrabajadora doméstica
											fue sobreviviente del asalto sexual,
											artista y activista.
											Ella me ha preparado para este mundo 
con lecciones de la historia de los negros
											en arte marcial, en el cultivo urbano,
											y luego me envió al colegio privado
de Sidwell Friends en el 7º
											donde los presidentes estadounidenses
mandan a sus hijas
											y donde ella me envió cuando yo era así.
									","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
"
","
","
","
","How to deconstruct racism, one headline at a time",Baratunde Thurston,16:50,"race,social change,humanity,activism,law,violence,United States,community,society,inequality,history"
