en,es,fr,de,pt,title,speaker,duration,tags
"
","
","
","
","
",What makes a hero?,Matthew Winkler,4:21,"TED-Ed,storytelling,literature,personal growth"
"
											What do Harry Potter,
											Katniss Everdeen, and Frodo
											all have in common
with the heroes of ancient myths?
											(Roar)
											What if I told you they are all variants
of the same hero?
											Do you believe that?
											Joseph Campbell did.
											He studied myths from all over the world
and published a book called
											""The Hero with a Thousand Faces,""
											retelling dozens of stories
											and explaining how each
represents the mono-myth,
											or Hero's Journey.
									","
											¿Qué tienen Harry Potter,
											Katniss Everdeen
											y Frodo
											en común con los héroes mitológicos?
											¿Qué tal si les digo que todos son 
variantes del mismo héroe?
											¿Lo creerían?
											Joseph Cambpell lo creyó.
											Estudió mitos de todo el mundo
											y publicó un libro llamado
											""El héroe de las mil caras"",
											en el que recuenta docenas de historias
											y explica cómo cada una representa el monomito
											o el viaje del héroe.
									","
											Qu'est-ce que Harry Potter,
											Katniss Everdeen,
											et Frodon
											ont en commun avec les héros des mythes anciens ?
											Et si je vous dis qu'ils sont tous 
des variantes du même héros ?
											Vous le croirez ?
											Joseph Cambpell , oui.
											Il a étudié les mythes du monde entier
											et il a publié un livre intitulé,
											""Le héros aux mille visages""
											qui reformule des dizaines d'histoires
											et explique comment chacune présente 
le mythe unique,
											ou le périple du héros.
									","
											Was haben Harry Potter,
											Katniss Everdeen
											und Frodo
											mit Helden aus alten Mythen gemeinsam?
											Wenn ich sage, dass sie alle
Varianten des gleichen Helden sind,
											glaubst du das?
											Joseph Campbell glaubte es.
											Er untersuchte Mythen aus der ganzen Welt
											und veröffentlichte das Buch
											""Der Heros in tausend Gestalten"".
											Er erzählte Dutzende von Geschichten nach
											und erklärt, wie jede
den Monomythos darstellt,
											auch die Heldenreise genannt.
									","
											O que é que Harry Potter,
											Katniss Everdeen, e Frodo
											têm em comum com os heróis
dos antigos mitos?
											E se eu vos dissesse que todos eles
são variações do mesmo herói?
											Acreditam nisso?
											Joseph Campbell acreditava.
											Estudou mitos de todo o mundo
e publicou um livro intitulado
											""O Herói das Mil Caras"",
											contando dezenas de histórias
											e explicando como cada uma delas
representa o monomito,
											ou seja, o percurso do herói.
									",What makes a hero?,Matthew Winkler,4:21,"TED-Ed,storytelling,literature,personal growth"
"
","
","
","
","
",What makes a hero?,Matthew Winkler,4:21,"TED-Ed,storytelling,literature,personal growth"
"
											So, what is the ""hero's journey""?
									","
											¿Qué es, pues, el ""viaje del héroe""?
									","
											Alors qu'est-ce que ""le périple du héros"" ?
									","
											Was ist die Heldenreise?
									","
											O que é ""o percurso do herói""?
									",What makes a hero?,Matthew Winkler,4:21,"TED-Ed,storytelling,literature,personal growth"
"
","
","
","
","
",What makes a hero?,Matthew Winkler,4:21,"TED-Ed,storytelling,literature,personal growth"
"
											Think of it as a cycle.
											The journey begins and ends
in a hero's ordinary world,
											but the quest passes
through an unfamiliar, special world.
											Along the way, there are some key events.
											Think about your favorite book or movie.
											Does it follow this pattern?
									","
											Piénsenlo como un ciclo.
											El viaje comienza y termina en el 
mundo ordinario de un héroe,
											pero la búsqueda pasa por 
un mundo desconocido y especial.
											Por el camino, hay varios sucesos cruciales.
											Piensen en su libro o película favorita.
											¿Siguen este patrón?
									","
											Imaginez-le comme un cycle.
											Le voyage commence et se termine
dans le monde ordinaire d'un héros,
											mais la quête traverse 
un monde particulier et inconnu.
											Tout au long du chemin, il y a des évènements-clés.
											Pensez à votre livre ou film préféré.
											Est-ce qu'il suit ce modèle ?
									","
											Stelle sie dir als einen Zyklus vor.
											Die Reise beginnt und endet
in der gewohnten Welt des Heldens,
											doch die Reise geht durch
eine unbekannte, besondere Welt.
											Auf dem Weg kommt es zu
einigen entscheidenden Ereignissen.
											Denk an dein Lieblingsbuch
oder deinen Lieblingsfilm.
											Folgen sie diesem Muster?
									","
											Pensem nele como um ciclo.
											O percurso começa e acaba
no mundo vulgar do herói,
											mas a demanda passa
por um mundo estranho, especial.
											Ao longo do caminho,
há acontecimentos fundamentais.
											Pensem no vosso livro
ou filme preferido.
											Não é verdade que segue este padrão?
									",What makes a hero?,Matthew Winkler,4:21,"TED-Ed,storytelling,literature,personal growth"
"
","
","
","
","
",What makes a hero?,Matthew Winkler,4:21,"TED-Ed,storytelling,literature,personal growth"
"
											Status quo, that's where we start.
											1:00: Call to Adventure.
											The hero receives a mysterious message.
											An invitation, a challenge?
											2:00: Assistance
											The hero needs some help,
probably from someone older, wiser.
											3:00: Departure
											The hero crosses the threshold
from his normal, safe home,
											and enters the special
world and adventure.
											We're not in Kansas anymore.
											4:00: Trials
											Being a hero is hard work:
											our hero solves a riddle,
											slays a monster,
											escapes from a trap.
											5:00: Approach
											It's time to face the biggest ordeal,
the hero's worst fear.
											(Roar)
											6:00: Crisis
											This is the hero's darkest hour.
											He faces death and possibly even dies,
											only to be reborn.
											7:00: Treasure
											(Roar)
											As a result, the hero
claims some treasure,
											special recognition, or power.
											8:00: Result
											This can vary between stories.
											Do the monsters bow down before the hero,
											or do they chase him as he flees
from the special world?
											9:00: Return
											After all that adventure,
the hero returns to his ordinary world.
											10:00: New Life
											This quest has changed the hero;
he has outgrown his old life.
											11:00: Resolution
											All the tangled plot lines
get straightened out.
											12:00: Status Quo,
											but upgraded to a new level.
											Nothing is quite the same
once you are a hero.
									","
											Statu quo, es ahí donde empezamos.
											1:00: Llamado a la aventura.
											El héroe recibe un mensaje misterioso,
											¿una invitación?
											¿Un reto?
											2:00: Asistencia
											El héroe necesita cierta ayuda,
											quizá de alguien mayor, más sabio.
											3:00: Partida
											El héroe cruza el umbral de su hogar normal, seguro,
											y entra al mundo especial y a la aventura.
											Ya no estamos en Kansas.
											4:00: Contiendas
											Ser un héroe es un trabajo arduo:
											nuestro héroe soluciona un acertijo,
											ultima a un monstruo,
											escapa de una trampa.
											5:00: Encuentro
											Es hora de enfrentar la mayor prueba,
											el peor miedo del héroe.
											6:00: Crisis
											Esta es la hora más oscura del héroe.
											Se enfrenta con la muerte e incluso puede morir
											sólo para renacer.
											7:00 Tesoro
											Como resultado, el héroe reclama algún tesoro,
											un reconocimiento especial o un poder.
											8:00: Resultado
											Esto puede variar entre historias.
											¿Se doblegarán los monstruos ante el héroe
											o lo perseguirán en su huída del mundo especial?
											9:00 Retorno
											Después de toda la aventura, el héroe 
retorna a su mundo ordinario.
											10:00: Vida nueva
											Esta búsqueda ha cambiado al héroe;
											ha dejado su vida pasada.
											11:00 Resolución
											Todo el enredo de tramas queda enderezado.
											12:00: Statu quo,
											pero llevado a un nuevo nivel.
											Nada es igual una vez que uno es héroe.
									","
											Le statu quo, c'est ici que l'on commence.
											1:00 : L'appel de l'aventure.
											Le héros reçoit un message mystérieux,
											une invitation,
											un défi.
											2:00 : L'aide
											Le héros a besoin d'aide,
											probablement de la part de quelqu'un 
de plus vieux ou plus sage.
											3:00 : Le départ
											Le héros sort de sa vie normale, sûre,
											et pénètre dans un monde et une aventure spéciaux.
											On est en territoire inconnu.
											4:00 : Les épreuves
											Etre un héros est difficile :
											notre héros résoud une énigme,
											tue un monstre,
											échappe à un piège.
											5:00 : L'approche
											Il est temps d'affronter la plus grande épreuve,
											la pire des peurs du héros.
											6:00 : Le moment critique
											C'est l'heure la plus sombre du héros.
											Il est face à la mort et peut même mourrir
											pour mieux renaitre.
											7:00 : Le trésor
											Au final, le héros revendique un trésor quelconque,
											une reconnaissance ou un pouvoir particluler.
											8:00 : Le résultat
											Il peut varier d'une histoire à l'autre.
											Les monstres s'inclinent-ils devant le héros,
											ou le poursuivent-ils pendant qu'il fuit ce monde particulier ?
											9:00 : Le retour
											Après toute cette aventure, le héros rentre 
retrouver son monde ordinair.;
											10:00 La nouvelle vie
											Cette quête a changé le héros ;
											il a dépassé son ancienne vie.
											11:00 : La résolution
											L'intrigue se démêle.
											12:00 : Le statu quo,
											mais en passant au niveau supérieur.
											Rien n'est tout à faire pareil 
une fois que vous êtes un héros.
									","
											Wir beginnen beim Status quo.
											1:00 Aufruf zum Abenteuer
											Der Held erhält eine mysteriöse Nachricht.
											Eine Einladung?
											Eine Herausforderung?
											2:00 Hilfe
											Der Held braucht Hilfe,
											vermutlich von jemandem,
der älter und weiser ist.
											3:00 Aufbruch
											Der Held überschreitet die Grenze
seiner normalen, sicheren Welt
											und tritt in eine besondere Welt ein.
											""Wir befinden uns nicht mehr in Kansas.""
											4:00 Prüfungen
											Held zu sein ist hart:
											Unser Held löst Rätsel,
											erschlägt Monster,
											entkommt einer Falle.
											5:00 Vorstoß
											Zeit für den Helden 
sich seiner größten Aufgabe
											oder seiner größten Angst zu stellen.
											6:00 Krise
											Die schwerste Zeit für den Helden.
											Er sieht dem Tod ins Auge,
stirbt vielleicht auch,
											doch nur um wieder aufzuerstehen.
											7:00 Schatz
											Dadurch fordert er einen Schatz ein,
											besondere Anerkennung oder Kraft.
											8:00 Ergebnis
											Dies kann je nach Geschichte 
unterschiedlich sein.
											Verneigen sich die Monster vor dem Helden
											oder verfolgen sie ihn auf seiner Flucht 
aus der besonderen Welt?
											9:00 Rückkehr
											Nach den Abenteuern kehrt der Held 
in seine normale Welt zurück.
											10:00 Neues Leben
											Die Reise hat den Helden verändert.
											Er ist seinem alten Leben entwachsen.
											11:00 Auflösung
											Alle verworrenen Teile der Handlung 
klären sich.
											12:00 Status Quo,
											doch auf einem neuen,
höheren Niveau.
											Nichts ist mehr das Gleiche,
wenn man erstmal ein Held ist.
									","
											Um ""status quo"", é por onde começamos.
											Uma hora: O chamamento para a aventura.
											O herói recebe uma mensagem misteriosa.
											Um convite, um desafio?
											Duas horas: A ajuda
											O herói precisa de ajuda, provavelmente
de alguém mais velho, mais sábio.
											Três horas: A partida
											O herói atravessa o limiar
da sua casa normal, segura,
											e entra no mundo especial
e na aventura.

											Já não estamos no Kansas.
											Quatro horas: As provas
											Ser herói é um trabalho difícil.
											O nosso herói resolve um enigma,
											chacina um monstro,
											escapa a uma armadilha.
											Cinco horas: A abordagem
											Chega a altura de enfrentar a maior prova,
o pior receio do herói.
											(Rugido)
											Seis horas: A crise
											Esta é a hora mais negra do herói.
											Enfrenta a morte e,
possivelmente, até morre,
											mas depois ressuscita.
											Sete horas: O tesouro
											No final, o herói
reclama um tesouro qualquer,
											um reconhecimento ou um poder especial.
											Oito horas: O resultado
											Isto pode variar conforme as histórias.
											Será que os monstros se curvam
perante o herói,
											ou perseguem-no enquanto ele foge
daquele mundo especial?
											Nove horas: O regresso
											Depois daquela aventura,
o herói regressa ao seu mundo normal.
											Dez horas: A nova vida
											Esta demanda alterou o herói,
ele ultrapassou a sua antiga vida.
											Onze horas: A resolução
											O enredo fica desenredado.
											Doze horas: O ""status quo"",
											mas atualizado num novo nível.
											Nada volta a ser o mesmo
depois de sermos um herói.
									",What makes a hero?,Matthew Winkler,4:21,"TED-Ed,storytelling,literature,personal growth"
"
","
","
","
","
",What makes a hero?,Matthew Winkler,4:21,"TED-Ed,storytelling,literature,personal growth"
"
											Many popular books and movies
											follow this ancient
formula pretty closely.
											But let's see how well ""The Hunger Games""
fits the hero's journey template.
											When does Katniss Everdeen
hear her call to adventure
											that gets the story moving?
											When her sister's name
is called from the lottery.
											How about assistance?
											Is anyone going to help
her on her adventure?
											Haymitch.
											What about departure?
											Does she leave her ordinary world?
											She gets on a train to the capital.
											OK, so you get the idea.
									","
											Muchos libros y películas populares
											siguen este vieja fórmula muy de cerca.
											Veamos qué tan bien se ajusta ""Los juegos del hambre"" a este modelo del viaje del héroe.
											¿Cuándo escucha Katniss Everdeen su llamado
											a la aventura que pone la historia en acción?
											Cuando en la lotería se anuncia 
el nombre de su hermana.
											¿Y la asistencia?
											¿Hay alguien que le ayude en su aventura?
											Haymitch.
											¿Y la partida?
											¿Deja su mundo ordinario?
											Se sube al tren hacia la capital.
											Bien, captaron la idea.
									","
											De nombreux livres et films populaires
											suivent scrupuleusement cette ancienne formule.
											Mais voyons à quel point ""Hunger Games"" 
correspond à ce modèle du périple du héros.
											A quel moment Katniss Everdeen 
entend-elle l'appel de l'aventure
											qui lance l'histoire ?
											Quand on annonce le nom de sa soeur 
tiré à la loterie,
											Et l'assistance ?
											Quelqu'un va-t-il l'aider dans son aventure ?
											Haymitch.
											Et le départ ?
											Est-ce qu'elle quitte son monde ordinaire ?
											Elle prend un train pour aller à la capitale.
											Vous avez compris l'idée.
									","
											Viele berühmte Bücher und Filme
											folgen dieser uralten Formel.
											Mal sehen, wie ""Die Tribute von Panem"" 
zur Vorlage der Heldenreise passt.
											Wann erhält Katniss Everdeen
ihren Aufruf zum Abenteuer,
											der die Geschichte anschiebt?
											Als der Name ihrer Schwester 
ausgelost wird?
											Was ist mit Hilfe?
											Hilft ihr jemand bei ihrem Abenteuer?
											Haymitch.
											Was ist mit dem Aufbruch?
											Verlässt sie ihre normale Welt?
											Sie nimmt einen Zug ins Kapitol.
											Du siehst schon, was ich meine.
									","
											Muitos livros e filmes populares
											seguem esta antiga fórmula
de muito perto.
											Mas vejamos como ""Os Jogos da Fome""
se encaixam no padrão
											do percurso do herói.
											Quando é que Katniss Everdeen
ouve o chamamento
											que põe a história em movimento?
											Quando a lotaria chama
pelo nome da irmã dela.
											E quanto à ajuda?
											Alguém a vai ajudar na sua aventura?
											Haymitch.
											E quanto à partida?
											Ela abandona o seu mundo habitual?
											Vai de comboio para a capital.
											Ok, já devem ter percebido.
									",What makes a hero?,Matthew Winkler,4:21,"TED-Ed,storytelling,literature,personal growth"
