en,es,fr,pt,tr,title,speaker,duration,tags
"
","
","
","
","
",The breathtaking courage of Harriet Tubman,Janell Hobson,4:38,"TED-Ed,Slavery,women"
"
											Escaping slavery;
											risking everything to save her family;
											leading a military raid;
											championing the cause 
of women’s suffrage;
											these are just a handful 
of the accomplishments
											of one of America’s most
courageous heroes.
									","
											Escapó de la esclavitud,
											arriesgó todo para salvar a su familia,
											encabezó un ataque militar
											y defendió la causa del sufragio femenino.
											Estos son solo algunos logros
											de una de las heroínas
más valientes de EE. UU.
									","
											Fuir l'esclavage,
											tout risquer pour sauver sa famille,
											conduire un raid militaire,
											soutenir la cause du vote des femmes,
											ceux-ci sont seulement quelques-uns
des accomplissements
											de l'une des héroïnes
les plus courageuses des USA.
									","
											Fugiu da escravatura;
											arriscou tudo para salvar a família;
											encabeçou um ataque militar;
											defendeu a causa do sufrágio das mulheres.
											Estas são apenas algumas das façanhas
											de uma das heroínas
mais corajosas dos EUA.
									","
											Kölelikten kaçmak,
											ailesini kurtarmak için
her şeyi göze almak,
											askeri bir saldırıya önderlik etmek,
											kadınların oy verme hakkını desteklemek...
											Bunlar Amerika'nın 
en cesur kahramanlarından
											birinin başarılarından yalnızca bazıları.
									",The breathtaking courage of Harriet Tubman,Janell Hobson,4:38,"TED-Ed,Slavery,women"
"
","
","
","
","
",The breathtaking courage of Harriet Tubman,Janell Hobson,4:38,"TED-Ed,Slavery,women"
"
											Harriet Tubman was born Araminta Ross
in Dorchester County, Maryland,
											in the early 1820s.
											Born into chattel slavery, Araminta, 
or Minty, was the fifth of nine children.
									","
											Harriet Tubman nació
bajo el nombre de Araminta Ross
											en el condado de Dorchester, 
Maryland, a principios de 1820.
											Araminta, o Minty, fue esclava
de nacimiento y la quinta de nueve hijos.
									","
											Harriet Tubman est née Araminta Ross, dans
le comté de Dorchester, dans le Maryland,
											au début des années 1820.
											Née esclave, Araminta, ou Minty,
était la cinquième de neuf enfants.
									","
											Harriet Tubman nasceu Araminta Ross
em Dorchester County, em Maryland,
											no início da década de 1820.
											Nascida como escrava, Araminta, ou Minty,
era a quinta de nove filhos.
									","
											Harriet Tubman, Araminta Ross
adıyla 1820'lerin başında,
											Maryland'in Dorchester ilçesinde doğdu.
											Köleliğe doğan Araminta veya Minty,
dokuz çocuktan beşincisiydi.
									",The breathtaking courage of Harriet Tubman,Janell Hobson,4:38,"TED-Ed,Slavery,women"
"
","
","
","
","
",The breathtaking courage of Harriet Tubman,Janell Hobson,4:38,"TED-Ed,Slavery,women"
"
											Two of Minty’s older sisters 
were sold to a chain gang.
											Even as a small child,
											Minty was hired out to different owners,
											who subjected her to whippings 
and punishment.
									","
											Dos de sus hermanas mayores fueron
vendidas a un grupo de prisioneros.
											Aun siendo muy pequeña, 
Minty perteneció a distintos amos
											que la sometieron a latigazos
y a otros castigos.
									","
											Deux des sœurs ainées de Minty
furent vendues à une chaîne de forçats.
											Dès son enfance,
											Minty fut louée à plusieurs maîtres,
											qui la fouettaient et la frappaient.
									","
											Duas das irmãs mais velhas de Minty
foram vendidas a um grupo de prisioneiros.
											Ainda em criança,
											Minty foi alugada a diversos proprietários
											que a submeteram a chicotadas e castigos.
									","
											Minty'nin iki büyük kız kardeşi
prangalı mahkumlar olarak satıldı.
											Minty küçük bir çocukken bile
											onu kırbaçlayan ve cezalandıran
											farklı sahiplere kiralanmıştı.
									",The breathtaking courage of Harriet Tubman,Janell Hobson,4:38,"TED-Ed,Slavery,women"
"
","
","
","
","
",The breathtaking courage of Harriet Tubman,Janell Hobson,4:38,"TED-Ed,Slavery,women"
"
											Young Minty’s life changed forever 
on an errand to a neighborhood store.
											There, an overseer threw a two-pound 
weight at a fugitive enslaved person,
											missed, and struck Minty instead.
											Her injury caused her 
to experience sleeping spells,
											which we know of today as narcolepsy,
											for the rest of her life.
									","
											La vida de la joven Minty cambió para 
siempre una vez que acudió a una tienda.
											Allí, un capataz arrojó un objeto
de casi 1 kg a un esclavo fugitivo
											pero, involuntariamente,
fue Minty quien resultó golpeada.
											La lesión le provocó ataques
de sueño recurrentes,
											un trastorno que hoy conocemos
como narcolepsia,
											y que la aquejó el resto de su vida.
									","
											La vie de la jeune Minty changea à jamais
											lors d'une course
à un magasin du quartier.
											Là, un surveillant lança un poids
d'un kilo sur un esclave fugitif,
											il le manqua et frappa Minty à sa place.
											Cette blessure provoqua en elle
des évanouissements soudains,
											connus aujourd'hui
sous le nom de narcolepsie,
											pour le reste de sa vie.
									","
											A vida da jovem Minty mudou para sempre
											quando, num recado
a uma loja das redondezas,
											um capataz atirou um peso de um quilo
a um escravo fugitivo,
											mas falhou o alvo e atingiu Minty.
											A lesão provocou-lhe ataques de sono,
											um problema que hoje
conhecemos por narcolepsia
											até ao fim da vida.
									","
											Genç Minty'nin hayatı bir komşu
dükkandaki işi ile sonsuza dek değişmişti.
											Orada bir denetmen kaçak bir köleye
iki sterlin attı, onu ıskaladı
											ve Minty'e çarptı.
											Bu yara yaşamının geri kalanında
bugün narkolepsi olarak bildiğimiz,
											uyku büyüsünü
											tecrübe etmesine neden oldu.
									",The breathtaking courage of Harriet Tubman,Janell Hobson,4:38,"TED-Ed,Slavery,women"
"
","
","
","
","
",The breathtaking courage of Harriet Tubman,Janell Hobson,4:38,"TED-Ed,Slavery,women"
"
											Minty’s owner tried to sell her,
											but there were no buyers for an enslaved 
person who fell into sleeping spells.
											She was instead put to work 
with her father, Ben Ross,
											who taught her how to lumber.
											Lumbering increased 
Minty’s physical strength
											and put her in touch with free black 
sailors who shipped the wood to the North.
											From them, Minty learned about 
the secret communications
											that occurred along trade routes,
											information that would prove 
invaluable later in her life.
									","
											El amo de Minty intentó venderla,
											pero nadie quiso comprar una esclava
que padecía este trastorno del sueño.
											Fue entonces encomendada 
a trabajar con su padre, Ben Ross,
											quien le enseñó a cortar madera.
											Esta actividad dotó a Minty
de una buena fortaleza física
											y la puso en contacto 
con marineros negros libres
											que transportaban
la madera hacia el norte.
											Fue entonces cuando Minty se familiarizó
con las comunicaciones secretas
											que circulaban en las rutas comerciales,
											y que le serían de gran utilidad
más adelante en su vida.
									","
											Son maître essaya de la vendre,
											mais il n'y avait pas d'acheteur pour
une esclave qui s'évanouissait.
											Alors, elle commença à travailler
avec son père, Ben Ross,
											qui lui apprit à travailler le bois.
											Ce travail augmenta
la force physique de Minty
											et la mit en contact avec les marins noirs
libres qui envoyaient le bois au Nord.
											Grâce à eux, Minty découvrit
les communications secrètes
											qui avaient lieu le long
des voies commerciales,
											des connaissances qui se révélèrent
inestimables plus tard dans sa vie.
									","
											O dono de Minty tentou vendê-la,
											mas não havia compradores para uma escrava
que caía em sonos profundos.
											Por isso, foi posta a trabalhar
com o pai dela, Ben Ross,
											que lhe ensinou a cortar madeira.
											Esse trabalho aumentou a força
física de Minty
											e pô-la em contacto
com marinheiros negros livres
											que embarcavam a madeira para o Norte.
											Com eles, Minty aprendeu
as comunicações secretas
											que circulavam ao longo
das rotas comerciais,
											informações que, mais tarde,
lhe seriam de grande valor.
									","
											Minty'nin sahibi onu satmayı denedi,
											fakat uyku büyüsüne düşmüş bir köleyi
satın almak isteyen kimse yoktu.
											Bunun yerine ona ağaç kesmeyi
öğreten babası Ben Ross ile
											çalışmaya koyuldu.
											Ağaç kesmek Minty'nin fiziksel
gücünü arttırdı
											ve odunları gemiyle kuzeye götüren
özgür siyahi denizcilerle tanıştırdı.
											Minty, onlardan ticari
güzergâhlar boyunca
											meydana gelen gizli iletişimleri,
											hayatında daha sonra çok değerli olduğunu
kanıtlayacak bilgileri öğrendi.
									",The breathtaking courage of Harriet Tubman,Janell Hobson,4:38,"TED-Ed,Slavery,women"
