en,pt,es,title,speaker,duration,tags
"
","
","
",How the West can adapt to a rising Asia,Kishore Mahbubani,17:53,"global development,global issues,Asia,Europe,world cultures,United States,collaboration,future,cooperation,culture,government,humanity"
"
											About 200 years ago,
											Napoleon famously warned ...
											He said, ""Let China sleep,
											for when she wakes,
											she will shake the world.""
											Despite this early warning,
											the West chose to go to sleep
											at precisely the moment
when China and India
											and the rest of Asia woke up.
											Why did this happen?
											I'm here to address this great mystery.
									","
											Há uns 200 anos,
											Napoleão avisou:
											""Deixem a China dormir,
											""porque, quando ela acordar,
											""vai abalar o mundo"".
											Apesar deste aviso antigo,
											o Ocidente decidiu adormecer
											precisamente na altura
em que a China e a Índia
											e o resto da Ásia, acordaram.
											Porque é que isto aconteceu?
											Venho aqui falar deste grande mistério.
									","
											Hace unos 200 años,
											Napoleón dijo una famosa
frase de advertencia:
											Dijo:
											""Dejen que China duerma,
											porque cuando despierte,
											el mundo temblará"".
											A pesar de esta advertencia temprana,
											Occidente eligió dormirse
											en el preciso momento
en que China y la India,
											junto al resto de Asia, se despertaron.
											¿Por qué ocurrió esto?
											Estoy aquí para descifrar
este gran misterio.
									",How the West can adapt to a rising Asia,Kishore Mahbubani,17:53,"global development,global issues,Asia,Europe,world cultures,United States,collaboration,future,cooperation,culture,government,humanity"
"
","
","
",How the West can adapt to a rising Asia,Kishore Mahbubani,17:53,"global development,global issues,Asia,Europe,world cultures,United States,collaboration,future,cooperation,culture,government,humanity"
"
											Now what do I mean when I say
the West chose to go to sleep?
											Here I'm referring
to the failure of the West
											to react intelligently and thoughtfully
											to a new world environment
that's obviously been created
											by the return of Asia.
											As a friend of the West
I feel anguished by this,
											so my goal to today
is to try to help the West.
											But I have to begin the story first
											by talking about how the West
actually woke up the rest of the world.
									","
											O que é que eu quero dizer, quando digo
que o Ocidente decidiu adormecer?
											Refiro-me ao fracasso do Ocidente
											em reagir de forma inteligente e cuidadosa
											a um novo ambiente mundial
que, obviamente, tem sido criado
											com o regresso da Ásia.
											Enquanto amigo do Ocidente,
sinto-me angustiado com isto,
											por isso o meu objetivo hoje
é tentar ajudar o Ocidente.
											Mas, primeiro, tenho de começar a história
											falando de como o Ocidente
acordou o resto do mundo.
									","
											¿Qué quiero decir con que
Occidente eligió dormirse?
											Me refiero a la incapacidad de Occidente
											de reaccionar de manera
inteligente y consciente
											ante un nuevo escenario mundial
que obviamente ha sido creado
											por el retorno de Asia.
											Como amigo de Occidente,
me angustia esta situación,
											entonces mi objetivo hoy
es intentar ayudar a Occidente.
											Pero tengo que empezar la historia
											explicando cómo Occidente
despertó al resto del mundo.
									",How the West can adapt to a rising Asia,Kishore Mahbubani,17:53,"global development,global issues,Asia,Europe,world cultures,United States,collaboration,future,cooperation,culture,government,humanity"
"
","
","
",How the West can adapt to a rising Asia,Kishore Mahbubani,17:53,"global development,global issues,Asia,Europe,world cultures,United States,collaboration,future,cooperation,culture,government,humanity"
"
											Look at chart one.
											From the year one through the year 1820,
											the two largest economies of the world
were always those of China and India.
											So it's only in the last 200 years
that Europe took off,
											followed by North America.
											So the past 200 years of world history
											have therefore been
a major historical aberration.
											All aberrations come to a natural end
											and this is what we are seeing.
											And if you look at chart two,
											you'll see how quickly and how forcefully
											China and India are coming back.
									","
											Reparem no gráfico um.
											Desde o ano um ao ano 1820,
											as duas maiores economias do mundo
foram sempre as da China e da Índia.
											Só nos últimos 200 anos
é que a Europa avançou,
											seguida pela América do Norte.
											Os últimos 200 anos da história mundial
											foram, pois, uma grande
aberração histórica.
											Todas as aberrações chegam
a um fim natural
											e é isso que estamos a ver.
											Se observarmos o gráfico dois,
											vemos com que rapidez e pujança
											a China e a Índia estão a regressar.
									","
											Fíjense en el primer gráfico.
											Desde el año 1 hasta el año 1820,
											las dos economías más grandes del mundo
siempre fueron las de China y de la India.
											La economía de Europa floreció
recién en los últimos 200 años,
											seguida por la de Norteamérica.
											Entonces, los últimos 200 años
de la historia mundial
											han sido una gran aberración histórica.
											Todas las aberraciones
llegan a un fin natural
											y esto es lo que se observa.
											Si se fijan en el segundo gráfico,
											podrán ver la rapidez y la fuerza
											con las que están creciendo
China y la India.
									",How the West can adapt to a rising Asia,Kishore Mahbubani,17:53,"global development,global issues,Asia,Europe,world cultures,United States,collaboration,future,cooperation,culture,government,humanity"
"
","
","
",How the West can adapt to a rising Asia,Kishore Mahbubani,17:53,"global development,global issues,Asia,Europe,world cultures,United States,collaboration,future,cooperation,culture,government,humanity"
"
											The big question is:
											Who woke up China and India?
											The only honest answer to this question
is that it was Western civilization
											that did so.
											We all know that the West was the first
to successfully modernize,
											transform itself;
											initially it used its power
to colonize and dominate the world.
											But over time, it shared the gifts
of Western wisdom
											with the rest of the world.
									","
											O grande problema é:
											Quem acordou a China e a Índia?
											A única resposta honesta a esta pergunta
											é que foi a civilização ocidental
que fez isso.
											Todos sabemos que o Ocidente
foi o primeiro a modernizar-se com êxito,
											a transformar-se,
											a usar inicialmente o seu poder
para colonizar e dominar o mundo.
											Mas, com o tempo, partilhou os dons
da sabedoria ocidental
											com o resto do mundo.
									","
											La pregunta principal es:
											¿quién despertó a China y a la India?
											La única respuesta honesta a esta pregunta
											es que la civilización occidental lo hizo.
											Bien sabemos que Occidente fue el primero
que logró modernizarse, transformarse.
											Al principio utilizó su poder
para colonizar y dominar al mundo.
											Pero, con el tiempo, compartió
el don de la sabiduría occidental
											con el resto del mundo.
									",How the West can adapt to a rising Asia,Kishore Mahbubani,17:53,"global development,global issues,Asia,Europe,world cultures,United States,collaboration,future,cooperation,culture,government,humanity"
"
","
","
",How the West can adapt to a rising Asia,Kishore Mahbubani,17:53,"global development,global issues,Asia,Europe,world cultures,United States,collaboration,future,cooperation,culture,government,humanity"
"
											Let me add here that I have
personally benefited
											from the sharing of Western wisdom.
											When I was born in Singapore,
											which was then a poor British colony,
											in 1948,
											I experienced, like three-quarters
of humanity then,
											extreme poverty.
											Indeed, on the first day
when I went to school
											at the age of six,
											I was put in a special feeding program
											because I was technically undernourished.
											Now as you can see I'm overnourished.
									","
											Vou acrescentar que,
pessoalmente, beneficiei
											com a partilha da sabedoria do Ocidente,
											Quando nasci, em Singapura,
											que, na altura, em 1948, 
era uma pobre colónia britânica,
											tal como três quartos
da humanidade, nessa época.
											vivi em extrema pobreza.
											No primeiro dia em que fui
para a escola, aos seis anos,
											fui colocado num programa
especial de alimentação
											porque, tecnicamente,
fui considerado malnutrido.
											Como veem, agora estou muito bem nutrido.
									","
											Me gustaría añadir que, 
en lo personal, me he beneficiado
											de la difusión de la sabiduría occidental.
											Al nacer en Singapur,
											por entonces una colonia británica pobre,
											en 1948,
											viví, al igual que tres cuartas partes
de la humanidad,
											en la pobreza extrema.
											De hecho, en mi primer día de escuela,
a la edad de seis años,
											me inscribieron
en un programa de alimentación
											porque, técnicamente, estaba desnutrido.
											Ahora no hay duda
de que estoy sobrealimentado.
									",How the West can adapt to a rising Asia,Kishore Mahbubani,17:53,"global development,global issues,Asia,Europe,world cultures,United States,collaboration,future,cooperation,culture,government,humanity"
