en,fr,es,title,speaker,duration,tags
"
","
","
",The future of storytelling,Shonda Rhimes and Cyndi Stivers,21:58,"television,storytelling,future,creativity,media,culture,work,family,parenting,writing,entertainment"
"
											Cyndi Stivers: So, future of storytelling.
											Before we do the future,
											let's talk about what is never
going to change about storytelling.
									","
											Cyndi Stivers : L'avenir de la narration.
											Avant de parler de l'avenir,
											parlons de ce qui ne changera jamais
dans la narration.
									","
											Cindy Stivers: El futuro de la narración.
											Antes de hablar sobre el futuro
											hablemos de lo que nunca
cambiará en la narración.
									",The future of storytelling,Shonda Rhimes and Cyndi Stivers,21:58,"television,storytelling,future,creativity,media,culture,work,family,parenting,writing,entertainment"
"
","
","
",The future of storytelling,Shonda Rhimes and Cyndi Stivers,21:58,"television,storytelling,future,creativity,media,culture,work,family,parenting,writing,entertainment"
"
											Shonda Rhimes:
What's never going to change.
											Obviously, I think good stories
are never going to change,
											the need for people to gather together
and exchange their stories
											and to talk about the things
that feel universal,
											the idea that we all feel
a compelling need to watch stories,
											to tell stories, to share stories —
											sort of the gathering around the campfire
											to discuss the things
that tell each one of us
											that we are not alone in the world.
											Those things to me
are never going to change.
											That essence of storytelling
is never going to change.
									","
											Shonda Rhimes : Ce qui ne changera jamais.
											Je pense que les bonnes histoires
ne changeront jamais,
											le besoin des gens de se réunir
et d'échanger leurs histoires,
											de parler des choses
qui semblent universelles,
											nous avons tous
un irrésistible besoin de regarder,
											de raconter, de partager des histoires —
											en quelque sorte, se réunir autour du feu
											pour discuter des choses
qui nous indiquent tous
											que nous ne sommes pas seuls au monde.
											Pour moi, ces choses ne changeront jamais.
											Cette essence de la narration
ne changera jamais.
									","
											Shonda Rhimes: Lo que nunca cambiará.
											Obviamente, creo que las buenas
historias nunca cambiarán,
											la necesidad de las personas
de juntarse e intercambiar historias
											y hablar de las cosas trascendentales,
											la idea de que todos sentimos una 
imperiosa necesidad de conocer historias,
											de contarlas, de compartirlas...
											de reunirnos en torno a una fogata
											para hablar de las cosas que nos indican
											que no estamos solos en el mundo.
											Para mí, esas cosas nunca cambiarán.
											La esencia de la narración nunca cambiará.
									",The future of storytelling,Shonda Rhimes and Cyndi Stivers,21:58,"television,storytelling,future,creativity,media,culture,work,family,parenting,writing,entertainment"
"
","
","
",The future of storytelling,Shonda Rhimes and Cyndi Stivers,21:58,"television,storytelling,future,creativity,media,culture,work,family,parenting,writing,entertainment"
"
											CS: OK. In preparation
for this conversation,
											I checked in with Susan Lyne,
											who was running ABC Entertainment
											when you were working
on ""Grey's Anatomy"" —
									","
											CS : En préparation à cette conversation,
											j'ai discuté avec Susan Lyne
											qui dirigeait ABC Entertainment
											quand vous travailliez
sur « Grey's Anatomy »
									","
											CS: Bien. Cuando me preparaba
para esta conversación,
											contacté a Susan Lyne,
											que estaba a cargo de ABC Entertainment
											cuando trabajabas en ""Anatomía de Grey"".
									",The future of storytelling,Shonda Rhimes and Cyndi Stivers,21:58,"television,storytelling,future,creativity,media,culture,work,family,parenting,writing,entertainment"
"
","
","
",The future of storytelling,Shonda Rhimes and Cyndi Stivers,21:58,"television,storytelling,future,creativity,media,culture,work,family,parenting,writing,entertainment"
"
											SR: Yes.
									","
											SR : Oui.
									","
											SR: Sí.
									",The future of storytelling,Shonda Rhimes and Cyndi Stivers,21:58,"television,storytelling,future,creativity,media,culture,work,family,parenting,writing,entertainment"
"
","
","
",The future of storytelling,Shonda Rhimes and Cyndi Stivers,21:58,"television,storytelling,future,creativity,media,culture,work,family,parenting,writing,entertainment"
"
											CS: And she said that there was
this indelible memory she had
											of your casting process,
											where without discussing it
with any of the executives,
											you got people coming in
to read for your scripts,
											and every one of them
was the full range of humanity,
											you did not type anyone in any way,
											and that it was completely surprising.
											So she said, in addition
to retraining the studio executives,
											you also, she feels,
											and I think this is — I agree,
											retrained the expectations
of the American TV audience.
											So what else does the audience
not yet realize that it needs?
									","
											CS : Elle m'a dit qu'elle avait
ce souvenir indélébile,
											quand vous distribuiez les rôles,
											sans en discuter avec les exécutifs,
											vous faisiez venir des gens
pour lire vos scripts
											et chacun d'entre eux était
un éventail complet de l'humanité,
											vous n'en supprimiez aucun des scripts
											et c'était très surprenant.
											Elle a dit qu'en plus de recycler
les exécutifs du studio,
											elle avait l'impression,
											et je suis d'accord,
											que vous réformiez les attentes
du public américain.
											Qu'y a-t-il d'autre dont le public
ne réalise pas encore qu'il a besoin ?
									","
											CS: Y ella me dijo que tenía
un recuerdo imborrable
											de tu proceso de selección,
											en el que, sin discutirlo
con ninguno de los ejecutivos,
											invitaste a gente a venir
a leer tus guiones,
											y en ellos había todo tipo de personas,
											no consultaste con nadie en ninguna forma,
											y eso fue totalmente sorprendente.
											Ella me dijo que además de volver
a enseñar algo nuevo a los ejecutivos,
											y a ti, ella siente,
											y creo que es... concuerdo,
											es cambiar las expectativas de 
la audiencia televisiva de EE.UU.
											¿De qué otra cosa la audiencia
no se ha dado cuenta que necesita?
									",The future of storytelling,Shonda Rhimes and Cyndi Stivers,21:58,"television,storytelling,future,creativity,media,culture,work,family,parenting,writing,entertainment"
"
","
","
",The future of storytelling,Shonda Rhimes and Cyndi Stivers,21:58,"television,storytelling,future,creativity,media,culture,work,family,parenting,writing,entertainment"
