en,tr,title,speaker,duration,tags
"
","
",What we're getting wrong in the fight to end hunger,Jasmine Crowe,12:11,"food,entrepreneur,technology,big problems,community,compassion,humanity,society,philanthropy,poverty"
"
											In June of 2017,
											I volunteered with a group
at a local food pantry
											on the south side of my home city
											in Atlanta, Georgia.
											It was a Friday afternoon,
											the day of their weekly food giveaway.
											And as I drove up,
											I saw people beginning to arrive,
											many with their rolling carts in tow,
											prepared to receive
their food supply for the week.
											As I was walking in the door,
there were about 40 people outside
											waiting in line.
											And I was so excited,
											because there are very few things
I enjoy more than giving back.
									","
											2017 yılının Haziran ayında
											Atlanta, Georgia'nın güneyindeki
yerel bir aşevinde
											bir grup insanla birlikte gönüllü oldum.
											Günlerden cumaydı, öğleden sonraydı,
aşevinin haftalık yemek bağışlama günü.
											Oraya vardığımda
insanlar gelmeye başlamıştı.
											Birçoğunun yanında market arabası vardı,
											haftalık gıda ihtiyaçlarını
almak için hazırlardı.
											Ben içeri girerken dışarıda
sırada bekleyen kırk kadar kişi vardı.
											Çok heyecanlıydım
											çünkü vermekten daha çok
hoşlandığım çok az şey var.
									",What we're getting wrong in the fight to end hunger,Jasmine Crowe,12:11,"food,entrepreneur,technology,big problems,community,compassion,humanity,society,philanthropy,poverty"
"
","
",What we're getting wrong in the fight to end hunger,Jasmine Crowe,12:11,"food,entrepreneur,technology,big problems,community,compassion,humanity,society,philanthropy,poverty"
"
											But then, as I entered the room where
the volunteer meeting was taking place,
											I immediately realized:
											we weren't about to give
these people any real meals.
											We were essentially just giving them food.
											I took my place on the assembly line,
where — get this —
											I was in charge of making sure
that the Weight Watchers Ding Dongs
											made it into every family's bag.
									","
											Ama sonra gönüllü toplantısının
olduğu odaya girdiğimde
											hemen fark ettim ki o insanların hiçbirine
gerçek bir öğün vermeyecektik,
											sadece yiyecek veriyorduk.
											Paketleme hattındaki yerimi aldım.
											Görevim, her çantaya Weight Watchers'ın
Ding Dong keklerinin girmesini sağlamaktı.
									",What we're getting wrong in the fight to end hunger,Jasmine Crowe,12:11,"food,entrepreneur,technology,big problems,community,compassion,humanity,society,philanthropy,poverty"
"
","
",What we're getting wrong in the fight to end hunger,Jasmine Crowe,12:11,"food,entrepreneur,technology,big problems,community,compassion,humanity,society,philanthropy,poverty"
"
											As the bags started to come around,
											I'm thinking to myself:
											What on earth are we doing here?
											Each bag contained
two 20-ounce diet Snapples,
											a gallon of barbecue sauce,
											a bag of kettle potato chips,
											a box of superhero-shaped
vegetable-enriched macaroni noodles,
											a box of belVita breakfast bars,
											a can of refried beans,
											a can of sweet peas,
											a miniature can of corn,
											I can't forget about those Ding Dongs
											and french fried green onions,
											you know, the kind that go
on top of a green bean casserole.
											And that was it.
											We made over a hundred
of those bags that day,
											and people indeed
stood in line to receive one.
											But a feeling came over me;
											I felt bad and a little angry.
											It was like, how could I even feel good
about the work that I was doing
											when I knew for a fact
that not one meal was to come
											from the food we had just given
to over 100 families?
											I mean, who wants to have
a meal with barbecue sauce and Ding Dongs?
									","
											Çantalar gelmeye başladığında
kendi kendime düşünüyordum.
											""Burada ne yapıyoruz?""
											Her çantada şunlar vardı:
İki adet 600 ml Snapples diyet soğuk çay,
											3,5 litre barbekü sosu,
											bir paket patates cipsi,
											bir kutu süper kahraman şekilli
sebzeli makarna,
											bir kutu belVita kahvaltı barı,
											bir konserve fasulye püresi,
											bir konserve bezelye,
											küçük bir konserve mısır,
											Ding Dong keklerini unutmadan edemem
											ve kızarmış taze soğan,
											güveçte yeşil fasulye yemeğinin
üzerine atılan türdekilerden.
											Bu kadardı.
											O gün yüzden fazla çanta hazırladık
											ve ihtiyacı olanlar
bir tane almak için sırada bekledi.
											Ama bir duyguya kapıldım,
kötü ve biraz da kızgın hissettim.
											Yüzden fazla aileye verdiğimiz yiyecekten
bir öğün bile çıkmayacağından eminken
											yaptığım işten nasıl keyif alabilirdim ki?
											Demek istediğim, barbekü sosu
ve Ding Dong kekiyle kim bir öğün ister?
									",What we're getting wrong in the fight to end hunger,Jasmine Crowe,12:11,"food,entrepreneur,technology,big problems,community,compassion,humanity,society,philanthropy,poverty"
"
","
",What we're getting wrong in the fight to end hunger,Jasmine Crowe,12:11,"food,entrepreneur,technology,big problems,community,compassion,humanity,society,philanthropy,poverty"
"
											(Laughter)
									","
											(Gülme sesleri)
									",What we're getting wrong in the fight to end hunger,Jasmine Crowe,12:11,"food,entrepreneur,technology,big problems,community,compassion,humanity,society,philanthropy,poverty"
"
","
",What we're getting wrong in the fight to end hunger,Jasmine Crowe,12:11,"food,entrepreneur,technology,big problems,community,compassion,humanity,society,philanthropy,poverty"
"
											And the reality is,
											I've been part
of this process all my life.
											I've participated in food drives,
											I've collected cans since I was a kid,
											I've donated in the grocery store
more times than I can count,
											I've volunteered at shelters,
I've worked in food pantries,
											and I'm sure, like me,
so many of you have, too.
											In 2013, I even created
a pop-up restaurant,
											called Sunday Soul.
											And I rented tables and chairs and linens
											and I printed out menus
											and I took these experiences to alleyways,
											underneath bridges and in parks
											to allow people that were
experiencing homelessness
											to dine with dignity.
											So I've invested in this fight
for quite some time.
									","
											Gerçek şu ki hayatım boyunca
bu sürecin bir parçası oldum.
											Yiyecek kampanyalarına katıldım,
küçüklüğümden beri konserve topladım,
											sayabileceğimden daha fazla defa
marketlere bağışta bulundum,
											barınaklarda gönüllü oldum,
aşevlerinde çalıştım
											ve eminim ki benim gibi
çoğunuz da bunları yapmışsınızdır.
											2013'te Sunday Soul isimli
gezici bir lokanta bile açtım.
											Masa, sandalye ve masa örtüsü kiralayıp
menüler çıktı aldım.
											Bu deneyimi sokak aralarına,
köprü altlarına ve parklara taşıdım,
											evsizliği tecrübe eden kişiler
onurlu bir şekilde yemek yiyebilsin diye.
											Dolayısıyla uzun bir süredir
bu mücadeleye katkıda bulunuyorum.
									",What we're getting wrong in the fight to end hunger,Jasmine Crowe,12:11,"food,entrepreneur,technology,big problems,community,compassion,humanity,society,philanthropy,poverty"
