en,es,fr,de,title,speaker,duration,tags
"
","
","
","
",Embrace the shake,Phil Hansen,10:01,"disability,art,personal growth"
"
											So, when I was in art school,
											I developed a shake in my hand,
											and this was the straightest line I could draw.
											Now in hindsight, it was actually good for some things,
											like mixing a can of paint or shaking a Polaroid,
											but at the time this was really doomsday.
											This was the destruction of my dream of becoming an artist.
									","
											Cuando estaba en la escuela de arte,
											empecé a tener 
un temblor en mi mano
											y esta era la línea más recta
que podía dibujar.
											Ahora, en retrospectiva, en realidad
eso era bueno para algunas cosas,
											como mezclar una lata de pintura
o agitar una Polaroid,
											pero en ese momento 
era el fin del mundo.
											Era la destrucción de mi sueño
de convertirme en artista.
									","
											Pendant mes études d'art,
											ma main s'est mise à trembler,
											et voici la ligne la plus droite dont j'étais capable.
											Maintenant avec le recul, c'était bien pratique
pour certaines choses
											par exemple mélanger un pot de peinture
ou secouer un Polaroid,
											mais à l'époque c'était une catastrophe.
											C'était la fin de mon rêve de devenir artiste.
									","
											Als ich in der Kunstschule war,
											entwickelte ich ein Zittern in meiner Hand,
											und die geradeste Linie, 
die ich zeichnen konnte, sah so aus.
											Im Nachhinein war diese Situation 
vorteilhaft gewesen,
											z. B. beim Farbmischen oder 
beim Schütteln eines Polaroidfotos,
											aber damals war es absolut katastrophal.
											Mein Traum, Künstler zu werden, wurde zerstört.
									",Embrace the shake,Phil Hansen,10:01,"disability,art,personal growth"
"
","
","
","
",Embrace the shake,Phil Hansen,10:01,"disability,art,personal growth"
"
											The shake developed out of, really,
											a single-minded pursuit of pointillism,
											just years of making tiny, tiny dots.
											And eventually these dots went from being perfectly round
											to looking more like tadpoles, because of the shake.
											So to compensate, I'd hold the pen tighter,
											and this progressively made the shake worse,
											so I'd hold the pen tighter still.
											And this became a vicious cycle that ended up
											causing so much pain and joint issues,
											I had trouble holding anything.
											And after spending all my life wanting to do art,
											I left art school, and then I left art completely.
									","
											En realidad, el temblor se manifestó
											en una búsqueda decidida del puntillismo,
											luego de años de 
hacer diminutos puntos.
											Finalmente, estos puntos pasaron
de ser perfectamente redondos
											a parecer unos renacuajos,
por causa del temblor.
											Así, para compensar,
sostenía la pluma más fuerte,
											y esto no hizo más 
que empeorar el temblor,
											por eso la sostuve aún más fuerte.
											Se tornó un ciclo 
vicioso que terminó
											causando mucho dolor 
y problemas articulares.
											Me costaba sostener cualquier cosa.
											Y después de pasar toda mi vida
con ganas de hacer arte,
											abandoné la escuela de arte
y luego el arte, por completo.
									","
											Le tremblement était en fait le résultat
											de mon entêtement
à utiliser la technique pointilliste,
											des années à faire des petits points minuscules.
											Et à la longue, ces points qui, au départ,
étaient parfaitement ronds
											ont commencé à ressembler à des têtards,
à cause du tremblement
											Donc pour compenser, je serrais
le stylo de plus en plus fort,
											ce qui a progressivement aggravé le tremblement,
											et donc je serrais mon stylo encore plus fort.
											Et c'est devenu un cercle vicieux qui a fini
											par causer tant de douleurs
et de problèmes d'articulation
											que j'avais du mal à tenir quoi que ce soit.
											Après avoir passé toute ma vie
à vouloir faire de l'art,
											j'ai quitté l'académie,
puis j'ai complètement abandonné l'art.
									","
											Das Zittern entstand aus
											einem zielstrebigen Verfolgen 
des Pointillismus,
											dem jahrelangen Zeichnen 
von winzigen Pünktchen.
											Diese Pünktchen, die vorher 
perfekt rund waren,
											sahen durch das Zittern 
wie Kaulquappen aus.
											Ich hielt den Stift fester, 
um das Zittern zu kompensieren,
											jedoch verschlechterte sich das Zittern dadurch,
											also hielt ich den Stift noch fester.
											Ich geriet in einen Teufelskreis.
											Das führte zu vielen Schmerzen und 
Problemen mit den Gelenken,
											sodass ich fast nichts mehr halten konnte.
											Mein ganzes Leben wollte ich mich 
nur der Kunst widmen,
											aber ich verließ die Kunstschule und 
hörte danach ganz mit dem Malen auf.
									",Embrace the shake,Phil Hansen,10:01,"disability,art,personal growth"
"
","
","
","
",Embrace the shake,Phil Hansen,10:01,"disability,art,personal growth"
"
											But after a few years, I just couldn't stay away from art,
											and I decided to go to a neurologist about the shake
											and discovered I had permanent nerve damage.
											And he actually took one look at my squiggly line,
											and said, ""Well, why don't you just embrace the shake?""
									","
											Pero unos años después,
no podía estar alejado del arte,
											y decidí consultar a 
un neurólogo por el temblor
											y descubrí que tenía un daño 
neurológico permanente.
											Y, al mirar mi trazo serpenteante,
											dijo: ""Bueno, ¿por qué simplemente
no aceptas el temblor?""
									","
											Mais après quelques années,
je ne pouvais pas en rester éloigné ;
											j'ai donc décidé d'aller voir
un neurologue pour mon tremblement,
											et j'ai découvert que j'avais
des lésions nerveuses permanentes.
											Il a regardé ma ligne en zigzag
											et a dit : « Eh bien, pourquoi ne pas simplement
accepter votre tremblement ? »
									","
											Nach einigen Jahren war mir 
die Kunst jedoch immer noch sehr wichtig
											und daher beschloss ich wegen dem Zittern 
einen Neurologen aufzusuchen.
											Es wurde festgestellt, dass ich 
permanente Nervenschädigungen hatte.
											Der Neurologe schaute sich 
meine kritzelige Linie an
											und sagte, „Warum versuchen Sie nicht, 
Ihre Einschränkung zu akzeptieren?""
									",Embrace the shake,Phil Hansen,10:01,"disability,art,personal growth"
"
","
","
","
",Embrace the shake,Phil Hansen,10:01,"disability,art,personal growth"
"
											So I did. I went home, I grabbed a pencil,
											and I just started letting my hand shake and shake.
											I was making all these scribble pictures.
											And even though it wasn't the kind of art
											that I was ultimately passionate about, it felt great.
											And more importantly, once I embraced the shake,
											I realized I could still make art.
											I just had to find a different approach
											to making the art that I wanted.
									","
											Y así hice. Fui a casa, 
agarré un lápiz
											y dejé que la mano empezara 
a temblar y temblar.
											Hice todos estos garabatos.
											Si bien no era 
el tipo de arte
											que en última instancia 
me apasionaba, me gustó mucho.
											Y, lo más importante,
una vez que acepté el temblor,
											me di cuenta de que 
aún podía hacer arte.
											Solo tenía que encontrar
un enfoque diferente
											para hacer el arte que quería.
									","
											C'est ce que j'ai fait. Je suis rentré chez moi,
j'ai attrapé un crayon,
											et j'ai laissé ma main s'agiter et trembloter.
											Je dessinais tous ces gribouillis.
											Et même si ce n'était pas le type de dessin
											qui me passionnait vraiment,
c'était très bien quand même.
											Et surtout, une fois que
j'eus accepté mon tremblement,
											j'ai réalisé que je pouvais encore faire de l'art.
											Il fallait simplement que je trouve
une approche différente
											pour produire les œuvres que je voulais.
									","
											Ich probierte es. Ich ging nach Hause, 
schnappte mir meinen Bleistift
											und ließ meine Hand einfach zittern.
											Ich kritzelte einfach so drauf los.
											Obwohl mir diese Art von Kunst
											nicht am Herzen lag, tat es sehr gut.
											Aber was noch wichtiger war, sobald ich
meine Einschränkung zu akzeptieren begann,
											erkannte ich: ich bin immer noch ein Künstler.
											Ich musste nur 
an einem anderen Punkt ansetzen
											um die Kunst zu machen, 
die ich machen wollte.
									",Embrace the shake,Phil Hansen,10:01,"disability,art,personal growth"
"
","
","
","
",Embrace the shake,Phil Hansen,10:01,"disability,art,personal growth"
"
											Now, I still enjoyed the fragmentation of pointillism,
											seeing these little tiny dots come together
											to make this unified whole.
											So I began experimenting with other ways to fragment images
											where the shake wouldn't affect the work,
											like dipping my feet in paint and walking on a canvas,
											or, in a 3D structure consisting of two-by-fours,
											creating a 2D image by burning it with a blowtorch.
											I discovered that, if I worked on a larger scale and with bigger materials,
											my hand really wouldn't hurt,
											and after having gone from a single approach to art,
											I ended up having an approach to creativity
											that completely changed my artistic horizons.
											This was the first time I'd encountered this idea
											that embracing a limitation could actually drive creativity.
									","
											Todavía disfrutaba la
fragmentación del puntillismo,
											ver esos puntos 
diminutos que se unen
											para formar un todo unificado.
											Empecé a experimentar otras formas
de fragmentar imágenes
											en las que el temblor 
no afectara la obra,
											como mojar mis pies en pintura
y caminar sobre un lienzo,
											o en una estructura 3D
de dos por cuatro,
											o crear una imagen 2D y 
quemarla con un soplete.
											Descubrí que, si trabajaba a una escala 
más grande y con materiales más grandes,
											mi mano no interferiría,
											y después de pasar de 
un único enfoque hacia el arte,
											a un enfoque hacia la creatividad
											que cambió completamente
mis horizontes artísticos.
											Esta fue la primera vez
que vi que esta idea
											de adoptar una limitación
podía impulsar la creatividad.
									","
											Certes, j'aimais toujours
le caractère fragmentaire du pointillisme,
											voir tous ces petits points minuscules se réunir
											pour former un tout unifié.
											Alors j'ai essayé d'autres façons
de fragmenter les images
											où mon tremblement n'affecterait pas la composition,
											par exemple tremper mes pieds dans la peinture
et marcher sur une toile,
											ou encore créer, sur une structure
tridimensionnelle faite de poutres,
											une image en deux dimensions
à l'aide d'un chalumeau.
											J'ai découvert que si je travaillais à une plus grande échelle avec des matériaux plus grands,
											ma main ne me faisait pas mal
											et après être parti d'une approche unique de l'art,
											j'ai fini par adopter une approche de la créativité
											qui a complètement changé mes horizons artistiques.
											C'était la première fois que l'idée m'est venue
											qu'assumer un handicap pouvait
en fait stimuler la créativité.
									","
											Nun, mir gefiel die Fragmentierung 
des Pointillismus,
											die Zusammenstellung 
der winzigen Pünktchen
											in einem Ganzen zu vereinen.
											So versuchte ich, Bilder auf eine andere 
Art und Weise zu fragmentieren,
											wobei das Zittern 
keinen Einfluss auf das Bild hatte,
											wie z. B. mit meinen in Farbe getauchten Füßen 
auf einer Leinwand herum laufen,
											oder aus einer 3D-Holzkonstruktion
											ein 2D-Bild mit einer Lötlampe kreieren.
											Ich stellte fest, dass meine Hand nicht weh tat,
											wenn ich mit Großformaten arbeitete.
											Nachdem ich mich davon abgewandt hatte, nur auf 
eine einzige Art und Weise Kunst zu erzeugen,
											hatte ich letztendlich 
eine kreative Methode für mich entdeckt,
											die meinen künstlerischen Horizont ganz veränderte.
											Das war das erste Mal, 
dass ich auf die Idee kam,
											dass eine Einschränkung 
die Kreativität sogar noch fördern könnte.
									",Embrace the shake,Phil Hansen,10:01,"disability,art,personal growth"
