en,fr,es,de,title,speaker,duration,tags
"
","
","
","
",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
											Hi. My name is Aparna.
											I am a shopaholic —
									","
											Bonjour, je m'appelle Aparna,
											je suis une acheteuse compulsive
									","
											Hola, me llamo Aparna.
											Soy una compradora compulsiva...
									","
											Hey, mein Name ist Aparna.
											Ich bin ein Shopaholic —
									",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
","
","
","
",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
","
","
","
",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
											and I'm addicted to online returns.
									","
											et je suis accro aux retours en ligne.
									","
											y soy adicta a las devoluciones en línea.
									","
											und ich bin süchtig nach Online-Rückgaben.
									",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
","
","
","
",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
","
","
","
",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
											Well, at least I was.
											At one time, I had two or three
packages of clothing delivered to me
											every other day.
											I would intentionally buy the same item
											in a couple different sizes
and many colors,
											because I did not know
what I really wanted.
											So I overordered, I tried things on,
and then I sent what didn't work back.
											Once my daughter was watching me
return some of those packages back,
											and she said, ""Mom,
I think you have a problem.""
									","
											Du moins, je l'étais.
											À une époque, je recevais
deux ou trois paquets
											par jour.
											Délibérément, j'achetais le même article
											de différentes tailles,
de plusieurs couleurs,
											parce que je ne savais pas vraiment
ce que je voulais.
											Donc je surcommandais, je les essayais,
et retournais ce qui ne me plaisait pas.
											Un jour, ma fille me regardait
retourner l'un de ces colis
											et me dit : « Maman, tu as un problème. »
									","
											Bueno, era.
											Hubo un tiempo en el que recibía de
dos a tres paquetes de prendas de vestir
											día por medio.
											Compraba la misma prenda a propósito
											en tallas y colores diferentes
											porque no sabía exactamente lo que quería.
											Así que compraba extras, las probaba
y devolvía lo que no me servía.
											Una vez mi hija me observó cuando
devolvía algunos de esos paquetes
											y me dijo: ""Mamá, creo
que tienes un problema"".
									","
											Na gut, zumindest war ich es.
											Früher bekam ich zwei oder 
drei Pakete mit Kleidung geliefert,
											nahezu jeden Tag.
											Ich kaufte absichtlich 
das gleiche Kleidungsstück
											in verschiedenen Größen und Farben,
											weil ich nicht wusste, 
was ich wirklich wollte:
											Ich bestellte zu viel, probierte alles an
und schickte zurück, was nicht passte.
											Einmal beobachtete meine Tochter mich
bei der Rückgabe einiger dieser Pakete.
											und sie sagte: ""Mama,
ich glaube, du hast ein Problem.""
									",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
","
","
","
",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
","
","
","
",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
											I didn't think so.
											I mean, it's free shipping
and free returns, right?
									","
											Je ne l'ai pas crue.
											Après tout, c'est envoi et retour
gratuits, non ?
									","
											Yo no lo veía así.
											El envío y la devolución
son gratis, ¿cierto?
									","
											Das fand ich nicht.
											Es heißt doch kostenloser Versand
und Rücksendung, oder?
									",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
","
","
","
",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
","
","
","
",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
											I didn't even think twice about it,
											until I heard a statistic
at work that shocked me.
									","
											Je n'y ai même pas réfléchi à deux fois,
											jusqu'à ce que j'entende au travail
une statistique qui m'a choquée.
									","
											No lo pensaba dos veces,
											hasta que escuché unos datos estadísticos
en el trabajo que me sorprendieron.
									","
											Ich habe mir nichts dabei gedacht,
											bis ich auf der Arbeit von einer 
schockierenden Statistik erfuhr.
									",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
","
","
","
",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
											You see, I'm a global solutions
director for top-tier retail,
											and we were in a meeting
with one of my largest customers,
											discussing how to streamline costs.
											One of their biggest concerns
was managing returns.
											Just this past holiday season alone,
											they had 7.5 million pieces
of clothing returned to them.
									","
											Je suis Directrice des Solutions Mondiales
dans un magasin haut de gamme,
											et nous étions en réunion avec
l'un de nos plus gros clients,
											pour rationaliser les coûts.
											Leur préoccupation majeure était
la gestion des retours.
											Juste sur la période des fêtes,
											ils venaient de recevoir 7,5 millions
de vêtements retournés.
									","
											Soy directora de soluciones globales
para comercio minorista de alto nivel
											y estábamos en una reunión con uno
de nuestros clientes más importantes
											hablando sobre cómo optimizar los costos.
											Una de sus mayores preocupaciones
era administrar las devoluciones.
											En la temporada alta de ventas pasada
											habían recibido 7,5 millones de prendas
de vestir en devoluciones.
									","
											Ich arbeite nämlich als Direktorin
globaler Lösungen im Top-Einzelhandel.
											Wir waren in einem Meeting mit 
einem meiner größten Kunden
											und diskutierten über 
die Optimierung der Ausgaben.
											Eines ihrer größten Sorgen
war das Retourenmanagement.
											Allein in der letzten Weihnachtssaison
											hatten sie 7,5 Mio Kleidungsstücke 
zurückgeschickt bekommen.
									",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
","
","
","
",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
											I could not stop thinking about it.
											What happens to all
these returned clothes?
											So I came home and researched.
											And I learned that every year,
											four billion pounds of returned clothing
ends up in the landfill.
											That's like every resident in the US
did a load of laundry last night
											and decided to throw it
in the trash today.
									","
											Je n'arrêtais pas d'y penser :
											« Qu'advient-il de tous
ces vêtements retournés ? »
											Donc je suis rentrée chez moi et
j'ai commencé mes recherches.
											J'ai appris que chaque année,
											deux milliards de tonnes de vêtements
retournés finissent dans les décharges.
											C'est comme si tous les habitants des USA
avaient fait leur lessive hier soir
											et décidaient de tout jeter à la poubelle.
									","
											No podía dejar de pensar en eso.
											¿Qué ocurre con toda
la ropa que se devuelve?
											Así que al llegar a casa
comencé a investigar.
											Y descubrí que todos los años
											casi dos mil millones de kilos de prendas
devueltas terminan en el vertedero.
											Es como si cada habitante de EE. UU.
lavara una carga de ropa la noche anterior
											y la tirara hoy a la basura.
									","
											Der Gedanke ließ mir keine Ruhe.
											Was passiert mit all der
zurückgeschickten Kleidung?
											Als ich zu Hause war, begann 
ich meine Onlinerecherche.
											Ich erfuhr, dass jedes Jahr
											1,8 Mio Tonnen der zurückgeschickten 
Kleidung auf dem Müll landen.
											Das wäre so als hätte jeder US-Bürger
letzte Nacht eine Maschine Wäsche
											gewaschen und sich dazu entschieden,
sie heute in den Müll zu werfen.
									",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
","
","
","
",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
											I was horrified.
											I'm like, ""Of all people,
											I should be able to help prevent this.""
									","
											J'étais horrifiée.
											Je me suis dit : « Mieux que quiconque,
											je suis capable d'éviter cela. »
									","
											Estaba horrorizada.
											Pensaba: ""De todos,
											yo soy la que debería ayudar
a prevenir esto"".
									","
											Ich war entsetzt.
											Ich dachte: ""Ausgerechnet ich
											sollte dazu beitragen, 
dem Ganzen entgegenzuwirken.""
									",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
","
","
","
",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
											(Laughter)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
","
","
","
",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
											My job is to find solutions
to logistical issues like these —
											not create them.
											So this issue became very personal to me.
											I said, ""You know what?
We have to solve this.""
											And we can, with some of the existing
systems we already have in place.
									","
											Mon travail est de trouver des solutions
à de telles questions logistiques —
											pas de les créer.
											Ce problème est devenu très personnel.
											« Eh bien oui, nous allons corriger ça. »
											À l'aide de systèmes déjà existants.
									","
											Mi trabajo consiste en buscar soluciones
a problemas logísticos como estos...
											no crearlos.
											Así que el problema se hizo personal.
											Entonces dije: ""Vamos a resolverlo"".
											Y ya es posible con algunos
de los sistemas que existen.
									","
											Mein Job ist es, logistische Lösungen für 
Probleme dieser Art zu finden —
											und nicht sie zu verursachen.
											Das Thema wurde
für mich also sehr persönlich.
											Ich sagte: ""Wissen Sie was, wir
müssen eine Lösung finden.""
											Das können wir, mit einigen der 
bereits existierenden Systeme.
									",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
"
","
","
","
",Where do your online returns go?,Aparna Mehta,7:38,"fashion,pollution,environment,sustainability,consumerism,business,social change,materials"
