en,pt,de,title,speaker,duration,tags
"
","
","
",How a long-forgotten virus could help us solve the antibiotics crisis,Alexander Belcredi,11:13,"biology,bacteria,science,microbiology,medical research,pharmaceuticals,disease,medicine,health,virus,illness,innovation,biotech"
"
											Take a moment
											and think about a virus.
											What comes to your mind?
											An illness?
											A fear?
											Probably something really unpleasant.
											And yet, viruses are not all the same.
											It's true, some of them cause
devastating disease.
											But others can do the exact opposite —
they can cure disease.
											These viruses are called ""phages.""
									","
											Quero que parem por instantes
											e pensem num vírus.
											O que lhes vem à cabeça?
											Doença?
											Medo?
											Muito provavelmente algo desagradável.
											No entanto, nem todos os vírus são iguais.
											É certo que alguns causam
doenças devastadoras.
											Mas certos vírus podem fazer
o oposto — curar doenças.
											Estes vírus são chamados ""fagos"".
									","
											Nehmen Sie sich einen Moment
											und denken Sie an einen Virus.
											Was fällt Ihnen dazu ein?
											Krankheit?
											Angst?
											Vermutlich etwas Unangenehmes.
											Dennoch sind Viren nicht alle gleich.
											Einige verursachen
verheerende Krankheiten.
											Doch andere tun genau das Gegenteil:
sie können Krankheiten heilen.
											Diese Viren heißen ""Phagen"".
									",How a long-forgotten virus could help us solve the antibiotics crisis,Alexander Belcredi,11:13,"biology,bacteria,science,microbiology,medical research,pharmaceuticals,disease,medicine,health,virus,illness,innovation,biotech"
"
","
","
",How a long-forgotten virus could help us solve the antibiotics crisis,Alexander Belcredi,11:13,"biology,bacteria,science,microbiology,medical research,pharmaceuticals,disease,medicine,health,virus,illness,innovation,biotech"
"
											Now, the first time I heard
about phages was back in 2013.
											My father-in-law, who's a surgeon,
											was telling me about a woman
he was treating.
											The woman had a knee injury,
required multiple surgeries,
											and over the course of these,
											developed a chronic
bacterial infection in her leg.
											Unfortunately for her,
											the bacteria causing the infection
also did not respond
											to any antibiotic that was available.
											So at this point, typically, the only
option left is to amputate the leg
											to stop the infection
from spreading further.
											Now, my father-in-law was desperate
for a different kind of solution,
											and he applied for an experimental,
last-resort treatment using phages.
											And guess what? It worked.
											Within three weeks of applying the phages,
the chronic infection had healed up,
											where before, no antibiotic was working.
											I was fascinated by this weird conception:
											viruses curing an infection.
											To this day, I am fascinated
by the medical potential of phages.
											And I actually quit my job last year
to build a company in this space.
									","
											A primeira vez que eu ouvi falar 
em fagos foi em 2013.
											O meu sogro, que é cirurgião,
											estava a falar-me de uma paciente dele
											que tinha uma lesão no joelho 
que obrigara a várias cirurgias.
											No decorrer dessas cirurgias,
											desenvolvera uma infecção 
bacteriana crónica na perna.
											Lamentavelmente,
											a bactéria responsável
pela infecção, não reagiu
											a nenhum antibiótico disponível.
											A este ponto, habitualmente, 
a única opção é amputar a perna
											para evitar que a infecção 
se espalhe ainda mais.
											O meu sogro estava desesperado
por encontrar outro tipo de solução,
											e assim, recorreu a um tratamento
experimental, de último recurso com fagos.
											E sabem que mais? Resultou.
											Três semanas após a administração
de fagos, a infecção crónica tinha sarado,
											algo que nenhum antibiótico
tinha conseguido fazer.
											Fiquei fascinado com esta estranha noção:
											um vírus capaz de curar infecções.
											Ainda hoje fico fascinado
pelo potencial médico dos fagos.
											Na verdade, demiti-me o ano passado
para criar uma empresa neste ramo.
									","
											Das erste Mal hörte ich 2013 von ihnen.
											Mein Schwiegervater, ein Chirurg,
											erzählte mir von seiner Patientin.
											Die Frau hatte eine Knieverletzung,
brauchte mehrere Eingriffe,
											und im Laufe dieser
											bekam sie eine chronische,
bakterielle Infektion in ihrem Bein.
											Leider sprachen die Bakterien,
											welche die Infektion verursachten,
											auf kein verfügbares Antibiotikum an.
											An diesem Punkt ist Amputation
normalerweise die einzige Lösung,
											um die Ausbreitung
der Infektion aufzuhalten.
											Mein Schwiegervater suchte verzweifelt
nach einer anderen Lösung
											und beantragte eine experimentelle
Behandlungsmethode mit Phagen.
											Wissen Sie was? Es funktionierte.
											Drei Wochen nach der Behandlung mit Phagen
war die chronische Infektion geheilt,
											wo zuvor kein Antibiotikum gewirkt hatte.
											Ich war fasziniert von
diesem komischen Konzept:
											Viren heilen eine Infektion.
											Bis heute fasziniert mich
das medizinische Potenzial der Phagen.
											Tatsächlich kündigte ich
letztes Jahr meinen Job,
											um ein Biotech-Unternehmen zu gründen.
									",How a long-forgotten virus could help us solve the antibiotics crisis,Alexander Belcredi,11:13,"biology,bacteria,science,microbiology,medical research,pharmaceuticals,disease,medicine,health,virus,illness,innovation,biotech"
"
","
","
",How a long-forgotten virus could help us solve the antibiotics crisis,Alexander Belcredi,11:13,"biology,bacteria,science,microbiology,medical research,pharmaceuticals,disease,medicine,health,virus,illness,innovation,biotech"
"
											Now, what is a phage?
											The image that you see here was taken
by an electron microscope.
											And that means what we see on the screen
is in reality extremely tiny.
											The grainy thing in the middle
with the head, the long body
											and a number of feet —
											this is the image of a prototypical phage.
											It's kind of cute.
									","
											O que é um fago?
											Esta imagem foi captada
por um microscópio electrónico.
											Isso significa que o que vêem no ecrã
é extremamente minúsculo.
											Aquela coisa granulosa no centro,
com a cabeça, o corpo alongado
											e com vários membros
											— este é o aspecto de um fago prototípico.
											Até que é fofinho.
									","
											Was ist eine Phage?
											Dieses Bild wurde mit Hilfe eines
Elektronenmikroskops aufgenommen.
											Das bedeutet, was wir hier sehen
ist in Wirklichkeit extrem klein.
											Das körnige Ding in der Mitte,
mit dem Kopf, dem langen Körper
											und einigen Beinchen —
											das ist eine prototypische Phage.
											In gewisser Weise süß.
									",How a long-forgotten virus could help us solve the antibiotics crisis,Alexander Belcredi,11:13,"biology,bacteria,science,microbiology,medical research,pharmaceuticals,disease,medicine,health,virus,illness,innovation,biotech"
"
","
","
",How a long-forgotten virus could help us solve the antibiotics crisis,Alexander Belcredi,11:13,"biology,bacteria,science,microbiology,medical research,pharmaceuticals,disease,medicine,health,virus,illness,innovation,biotech"
"
											(Laughter)
									","
											(Risos)
									","
											(Lachen)
									",How a long-forgotten virus could help us solve the antibiotics crisis,Alexander Belcredi,11:13,"biology,bacteria,science,microbiology,medical research,pharmaceuticals,disease,medicine,health,virus,illness,innovation,biotech"
"
","
","
",How a long-forgotten virus could help us solve the antibiotics crisis,Alexander Belcredi,11:13,"biology,bacteria,science,microbiology,medical research,pharmaceuticals,disease,medicine,health,virus,illness,innovation,biotech"
"
											Now, take a look at your hand.
											In our team, we've estimated
that you have more than 10 billion phages
											on each of your hands.
											What are they doing there?
									","
											Agora, olhem bem para a vossa mão.
											A nossa equipa calculou que existem
mais de 10 mil milhões de fagos
											em cada uma das nossas mãos.
											Que fazem eles ali?
									","
											Betrachten Sie Ihre Hand.
											Unser Team schätzt, dass Sie
mehr als 10 Milliarden Phagen
											auf jeder ihrer Hände haben.
											Was haben sie dort zu suchen?
									",How a long-forgotten virus could help us solve the antibiotics crisis,Alexander Belcredi,11:13,"biology,bacteria,science,microbiology,medical research,pharmaceuticals,disease,medicine,health,virus,illness,innovation,biotech"
