pt,en,fr,title,speaker,duration,tags
"
","
","
",The unstoppable walk to political reform,Lawrence Lessig,13:44,"corruption,democracy,government,politics"
"
											Um ""chip"", um poeta e um rapaz.
									","
											So a chip, a poet and a boy.
									","
											Une puce électronique, 
un poète, et un garçon.
									",The unstoppable walk to political reform,Lawrence Lessig,13:44,"corruption,democracy,government,politics"
"
","
","
",The unstoppable walk to political reform,Lawrence Lessig,13:44,"corruption,democracy,government,politics"
"
											Aqui há 20 anos,
											em junho de 1994, a Intel anunciou
											que havia um defeito
											no núcleo de seu ""chip"" Pentium.
											Escondido no código do algoritmo SRT
											que calcula os quocientes 
intermédios necessários
											para pontos flutuantes 
iterativos das divisões
											— não sei o que isso é, 
mas é o que vem na Wikipedia —
											havia um defeito e um erro,
											ou seja, havia uma certa probabilidade
											de o resultado do cálculo sair errado.
											E essa probabilidade
											era de uma em 360 mil milhões de cálculos.
											A Intel disse que a nossa folha de cálculo
											poderia ter um erro 
uma vez em cada 27 000 anos.
											Achavam que isso era insignificante
											mas a comunidade ficou indignada.
											A comunidade, os técnicos, disseram:
											""Esta falha tem que ser corrigida.
											""Não vamos ficar descansados,
											""enquanto a Intel 
não nos der esses ""chips"".""
											Houve uma revolução em todo o mundo.
											Pessoas manifestaram-se para exigir
											(Risos)
											— bem, não foi exatamente assim —
											mas protestaram
											e exigiram que a Intel 
corrigisse o defeito.
											A Intel gastou 475 milhões de dólares
											para pagar a substituição 
de milhões de ""chips""
											e corrigir esse defeito.
											Milhares de milhões de dólares 
da nossa sociedade
											foram gastos para corrigir um problema
											que aconteceria uma vez 
em cada 360 mil milhões de cálculos.
									","
											It's just about 20 years ago,
											June 1994, when Intel announced
											that there was a flaw
											at the core of their Pentium chip.
											Deep in the code of the SRT algorithm
											to calculate intermediate quotients necessary
											for iterative floating points of divisions —
											I don't know what that means, but 
it's what it says on Wikipedia —
											there was a flaw and an error
											that meant that there was a certain probability
											that the result of the calculation would be an error,
											and the probability was one out of every
											360 billion calculations.
											So Intel said your average spreadsheet
											would be flawed once every 27,000 years.
											They didn't think it was significant,
											but there was an outrage in the community.
											The community, the techies, said, this flaw
											has to be addressed.
											They were not going to stand by quietly
											as Intel gave them these chips.
											So there was a revolution across the world.
											People marched to demand —
											okay, not really exactly like that —
											but they rose up and they demanded
											that Intel fix the flaw.
											And Intel set aside 475 million dollars
											to fund the replacement of millions of chips
											to fix the flaw.
											So billions of dollars in our society
											was spent to address a problem
											which would come once out of every 360 billion
											calculations.
									","
											Il y a environ 20 ans,
											en juin 1994, Intel a annoncé
											qu'il y avait un défaut
											dans le coeur de leur puce Pentium.
											L'algorithme SRT
											qui calculait les quotients intermédiaires
											des divisions à virgule flottante —
											je ne sais pas ce que c'est, 
mais c'est ce que dit Wikipédia —
											il y avait un défaut et une erreur
											ce qui signifiait qu'il était possible
											que le résultat d'un calcul soit faux,
											et la probabilité était d'un calcul faux
											tous les 360 milliards de calculs.
											Intel a dit que votre feuille de calcul
											serait erronée une fois 
tous les 27 000 ans.
											Ils ne pensaient pas
											que c'était important, 
mais la communauté a crié au scandale.
											Les technophiles, ont dit que ce défaut
											devait être résolu.
											Ils n'allaient pas rester sans rien faire
											alors qu'Intel leur donnait ces puces.
											Il y a eu une révolution dans le monde.
											Les gens ont défilé pour demander —
											bon, pas exactement comme ça —
											mais ils se sont révoltés pour demander
											à Intel de résoudre ce défaut.
											Intel a investi 475 millions de dollars
											pour remplacer des millions de puces
											pour réparer le défaut.
											Des milliards de dollars 
dans notre société
											ont été dépensés pour résoudre un problème
											qui n'émergerait qu'une fois 
sur 360 milliards de calculs.
									",The unstoppable walk to political reform,Lawrence Lessig,13:44,"corruption,democracy,government,politics"
"
","
","
",The unstoppable walk to political reform,Lawrence Lessig,13:44,"corruption,democracy,government,politics"
"
											Número dois, um poeta.
											Este é Martin Niemöller.
											Devem conhecer a sua poesia.
											No auge do período nazi,
											ele começou a repetir os versos:
											""Primeiro levaram os comunistas,
											""mas eu não me importei,
											""não falei porque não era comunista.
											""Levaram os socialistas (...)
											""Levaram os sindicalistas (...)
											""Levaram os judeus.
											""Agora levam-me a mim.
											""Mas já não restava ninguém 
para me defender.""
											Agora, Niemöller está 
a propor uma certa ideia.
											É uma ideia que está 
no âmago da inteligência.
											Podemos chamar-lhe 
""aptidão para juntar pistas"".
											É como se fosse um teste:
											poderemos reconhecer
											uma ameaça escondida e reagir?
											Conseguiremos salvar-nos 
ou salvar os nossos semelhantes?
											As formigas são boas nisso.
											As vacas nem por isso.
											(Risos)
											Conseguimos reconhecer o padrão?
											Conseguimos ver um padrão e reconhecê-lo
											e depois fazer alguma coisa?
											Número três, um rapaz.
											Este é o meu amigo Aaron Swatz.
											É amigo do Tim.
											É amigo de muitos de vocês nesta plateia.
											Há sete anos,
											Aaron fez-me uma pergunta.
											Foi antes de eu fazer 
a minha primeira TED Talk.
											Eu estava orgulhoso. 
Falei-lhe sobre a minha palestra.
											""Leis que sufocam a criatividade.""
											Então Aaron olhou pra mim,
											estava um bocado impaciente, e disse-me:
											""Então quando é que vais resolver um dia
											""os problemas de que vais falar?
											""Direitos de autor, política para a Internet,
											""Como é que vais resolver esses problemas,
											""enquanto houver esta corrupção de base
											""no modo como funciona o nosso governo ?""
									","
											Number two, a poet.
											This is Martin Niemöller.
											You're familiar with his poetry.
											Around the height of the Nazi period,
											he started repeating the verse,
											""First they came for the communists,
											and I did nothing,
											did not speak out because I was not a communist.
											Then they came for the socialists.
											Then they came for the trade unions.
											Then they came for the Jews.
											And then they came for me.
											But there was no one left to speak for me.""
											Now, Niemöller is offering a certain kind of insight.
											This is an insight at the core of intelligence.
											We could call it cluefulness.
											It's a certain kind of test:
											Can you recognize
											an underlying threat and respond?
											Can you save yourself or save your kind?
											Turns out ants are pretty good at this.
											Cows, not so much.
											So can you see the pattern?
											Can you see a pattern and then recognize
											and do something about it? Number two.
											Number three, a boy.
											This is my friend Aaron Swartz.
											He's Tim's friend.
											He's friends of many of you in this audience,
											and seven years ago,
											Aaron came to me with a question.
											It was just before I was going
to give my first TED Talk.
											I was so proud. I was telling him about my talk,
											""Laws that choke creativity.""
											And Aaron looked at me
											and was a little impatient, and he said,
											""So how are you ever
											going to solve the problems you're talking about?
											Copyright policy, Internet policy,
											how are you ever going to address those problems
											so long as there's this fundamental corruption
											in the way our government works?""
									","
											Numéro 2 : un poète.
											Voici Martin Niemöller.
											Vous connaissez sa poésie.
											Pendant l'apogée du régime nazi,
											il a commencé à répété les vers,
											« D'abord, ils sont venus
pour les communistes,
											et je n'ai rien fait,
											je n'ai rien dit
car je n'étais pas communiste.
											Puis pour les socialistes.
											Puis pour les syndicalistes.
											Puis pour les juifs.
											Puis ils sont venus pour moi.
											Mais il ne restait plus personne 
pour me défendre. »
											Niemöller offre une forme de perspicacité.
											C'est une perspicacité 
au coeur de l'intelligence.
											Nous pourrions l'appeler intelligibilité.
											C'est une forme de test :
											pouvez-vous reconnaître
											une menace sous-jacente et y répondre ?
											Pouvez-vous sauvez votre espèce 
ou vous-même ?
											Les fourmis s'avèrent bonnes à ça.
											Les vaches, pas vraiment.
											Pouvez-vous voir le cheminement ?
											Pouvez-voir voir un motif, le reconnaître
											et y faire quelque chose ? 
Numéro 2.
											Numéro 3 : un garçon.
											Voici mon ami Aaron Swartz.
											C'est l'ami de Tim.
											C'est l'ami de beaucoup d'entre vous ici,
											et il y a 7 ans,
											Aaron m'a posé une question.
											C'était juste avant 
ma première présentation à TED.
											J'étais si fier.
Je lui parlais de ma présentation,
											« Les lois qui asphyxient la créativité »
											et Aaron m'a regardé,
											il était un peu impatient, et il a dit :
											« Comment vas-tu un jour
											résoudre les problèmes dont tu parles ?
											Les droits d'auteur, Internet,
											comment vas-tu un jour 
réussir à résoudre ces problèmes
											du moment qu'il y a 
cette corruption intrinsèque
											à la façon dont fonctionne 
notre gouvernement ? »
									",The unstoppable walk to political reform,Lawrence Lessig,13:44,"corruption,democracy,government,politics"
"
","
","
",The unstoppable walk to political reform,Lawrence Lessig,13:44,"corruption,democracy,government,politics"
"
											Fiquei desconcertado com aquilo.
											Ele não participava da minha alegria.
											E eu disse-lhe:
											""Sabes, Aaron, isso não é a minha área.""
									","
											So I was a little put off by this.
											He wasn't sharing in my celebration.
											And I said to him, ""You know, Aaron,
											it's not my field, not my field.""
									","
											J'étais un peu décontenancé par ça.
											Il ne prenait pas part à la fête.
											Je lui ai dit :
											« Tu sais, Aaron, 
ce n'est pas mon domaine. »
									",The unstoppable walk to political reform,Lawrence Lessig,13:44,"corruption,democracy,government,politics"
"
","
","
",The unstoppable walk to political reform,Lawrence Lessig,13:44,"corruption,democracy,government,politics"
"
											Ele disse: ""Estás a dizer que
essa área não é tua?""
									","
											He said, ""You mean as an
academic, it's not your field?""
									","
											Il m'a dit :
« Ce n'est pas ton domaine académique ? »
									",The unstoppable walk to political reform,Lawrence Lessig,13:44,"corruption,democracy,government,politics"
