en,pt,tr,title,speaker,duration,tags
"
","
","
",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
											It's funny the things you forget.
											I went to see my mother the other day,
and she told me this story
											that I'd completely
forgotten about
											how, when we were driving together,
she would pull the car over,
											and by the time she had
gotten out of the car,
											and gone around the car
to let me out of the car,
											I would have already gotten out of the car
											and pretended to have died.
									","
											É engraçado as coisas que esquecemos.
											Fui visitar a minha mãe, um dia destes,
e ela contou-me uma história
											de que me tinha esquecido completamente:
											Quando andávamos de carro,
ela estacionava o carro,
											e, enquanto ela saía do carro
											e dava a volta para me abrir a porta,
											eu já tinha saído do carro
											e fingia ter morrido.
									","
											Unuttuğunuz şeyler komik oluyor.
											Geçen gün annemi görmeye gittim,
bana şu anıyı anlattı,
											tamamen unutmuşum gitmiş,
											birlikte yolculuk yaparken,
arabayı kenara çekmiş,
											arabadan inip beni çıkarmak için
											arabanın etrafında dolaşana kadar
											ben çoktan arabadan çıkmışım
											ve ölü numarası yapmışım.
									",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
","
","
",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
","
","
",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
											(Applause)
									","
											(Aplausos)
									","
											(Alkış)
									",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
","
","
",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
											Because that's how you die.
									","
											Porque é assim que morremos.
									","
											Tam da böyle ölünür ya.
									",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
","
","
",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
","
","
",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
											And I remember, that was a game
I used to play with myself
											to entertain myself whenever
I was bored or frustrated.
									","
											Lembro-me de que era um jogo
que costumava jogar comigo mesmo
											para me entreter sempre que me sentia
aborrecido ou frustrado.
									","
											Hatırlıyorum da, kendi kendime
oynadığım bir tür oyundu bu,
											sıkılınca kendimi
neşelendirmek için yapardım.
									",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
","
","
",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
","
","
",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
											Settle down.
									","
											Acalmem-se.
									","
											Uslu durun.
									",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
","
","
",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
","
","
",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
											People say we live in an age
of information overload. Right?
											I don't know about that,
											but I just know that I get
too many marketing emails.
											I got a marketing email
from a supermarket firm,
											which will remain nameless
											for predominantly legal reasons,
											but which I'm going to call ""SafeMart.""
									","
											Diz-se que vivemos numa era
de sobrecarga de informação, certo?
											Nada sei sobre isso,
											só sei que recebo demasiados
""emails"" publicitários.
											Recebi um ""email"" publicitário
de um supermercado
											que permanecerá anónimo
											por razões predominantemente legais,
											mas a que vou chamar ""SafeMart"".
									","
											İnsanlar aşırı bilgi çağında
yaşadığımızı söylüyor, değil mi?
											Ben onu bunu bilmem,
											ama çok fazla ticari
ileti aldığımı biliyorum.
											Süpermarketin birinden
bir ticari ileti aldım,
											adını vermeyeceğim,
											ağırlıklı olarak yasal nedenlerden,
											fakat adına ""SafeMart"" diyebilirim.
									",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
","
","
",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
											(Laughter)
									","
											(Risos)
									","
											(Gülüşmeler)
									",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
","
","
",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
											I got an email from them,
and it went like this, it said:
									","
											Recebi um ""email"" deles que dizia assim:
									","
											Bir ileti aldım
ve iletinin içeriği şöyleydi:
									",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
","
","
",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
											""Just three weeks until SafeMart
at King's Cross opens!!!""
									","
											""Só faltam três semanas para o SafeMart
da rua King's Cross abrir!""
									","
											""SafeMart'ın King's Cross'ta açılışına
yalnızca üç hafta kaldı!!!""
									",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
"
","
","
",The agony of trying to unsubscribe,James Veitch,7:40,"communication,comedy,technology,humor,business"
