en,es,tr,pt,title,speaker,duration,tags
"
","
","
","
",How we can stop Africa's scientific brain drain,Kevin Njabo,8:35,"Africa,education,science,conservation"
"
											So many of us who care
about sustainable development
											and the livelihood of local people
											do so for deeply personal reasons.
									","
											Muchos de nosotros preocupados
por el desarrollo sostenible
											y el sustento de la gente local,
											lo estamos por razones muy personales.
									","
											Sürdürülebilir kalkınmayı ve
yerel halkın geçimini
											önemseyenlerimizin çoğu
											bunu kişisel sebeplerden yapıyor.
									","
											Muitos de nós que se preocupam
com o desenvolvimento sustentado
											e a subsistência das populações locais
											fazem-no por profundas razões pessoais.
									",How we can stop Africa's scientific brain drain,Kevin Njabo,8:35,"Africa,education,science,conservation"
"
","
","
","
",How we can stop Africa's scientific brain drain,Kevin Njabo,8:35,"Africa,education,science,conservation"
"
											I grew up in Cameroon,
											a country of enchanting beauty
and rich biodiversity,
											but plagued by poor governance,
environmental destruction, and poverty.
											As a child, like we see with most children
in sub-Saharan Africa today,
											I regularly suffered from malaria.
											To this day, more than one million people
die from malaria every year,
											mostly children under the age of five,
											with 90 percent occurring
in sub-Saharan Africa.
									","
											Crecí en Camerún,
											un país con una belleza de ensueño
y una rica biodiversidad,
											pero plagado de mala gestión,
destrucción ambiental y pobreza.
											De niño, como vemos con la mayoría de 
los niños en el África subsahariana hoy,
											regularmente sufría de malaria.
											Hoy en día mueren por malaria 
más de un millón de personas al año,
											en su mayoría niños 
menores de cinco años,
											con el 90 % de las muertes
en el África subsahariana.
									","
											Ben Kamerun'da
											büyüleyici güzelliğin ve zengin
biyolojik çeşitliliğin ülkesinde büyüdüm.
											Ama ülke zayıf yönetim, çevresel yıkım 
ve fakirlikle boğulmuş durumda.
											Bir çocuk olarak, Sahra Altı Afrika'daki 
tüm çocuklar gibi
											ben de sürekli sıtmaya yakalandım.
											Her yıl, çoğunluğu 5 yaş altı olan
											1 milyon insan hayatını bu hastalık
yüzünden kaybediyor
											ve bu insanların
%90'ı Sahar Altı Afrika'dan.
									","
											Eu cresci nos Camarões,
											um país duma beleza encantadora
e de rica biodiversidade,
											mas sujeito a uma governação fraca,
à destruição ambiental e à pobreza.
											Enquanto criança, como acontece
com a maioria das crianças
											na África subsaariana de hoje,
											eu sofria regularmente de malária.
											Hoje ainda, mais de um milhão de pessoas
morrem de malária, todos os anos,
											na maioria crianças
com menos de cinco anos,
											em que 90% ocorrem na África subsaariana.
									",How we can stop Africa's scientific brain drain,Kevin Njabo,8:35,"Africa,education,science,conservation"
"
","
","
","
",How we can stop Africa's scientific brain drain,Kevin Njabo,8:35,"Africa,education,science,conservation"
"
											When I was 18, I left Cameroon
											in search of better
educational opportunities.
											At the time, there was
just one university in Cameroon,
											but Nigeria next door
offered some opportunities
											for Cameroonians of English extraction
to be trained in various fields.
											So I moved there,
											but practicing my trade,
											upon graduation
as an ecologist in Nigeria,
											was an even bigger challenge.
											So I left the continent
											when I was offered a scholarship
to Boston University for my PhD.
									","
											A los 18 años salí de Camerún
											en busca de mejores
oportunidades educativas.
											En ese momento, había solo 
una universidad en Camerún,
											pero la vecina Nigeria 
ofrecía algunas oportunidades
											a cameruneses con instrucción inglesa
para ser entrenados en varias áreas.
											Me mudé allí,
											pero practicar mi oficio,
											tras graduarme como ecologista en Nigeria,
											fue un desafío aún mayor.
											Así que dejé el continente
											cuando me ofrecieron una beca doctoral 
en la Universidad de Boston.
									","
											Daha iyi bir eğitim arayışı için,
											18 yaşımda Kamerun'u terk ettim.
											Çünkü o zamanlar orada sadece
tek bir üniversite vardı.
											Ama komşumuz Nijerya,
İngilizce eğitim için
											birçok alanda fırsatlar sunuyordu.
											Oraya taşındım
											ama bir ekolojist olarak
mezun olduktan sonra
											Nijerya'da çalışmak,
											daha büyük bir problemdi.
											Boston Üniversitesi
											beni doktora programına kabul edince,
bu sefer kıtayı terk ettim.
									","
											Quando fiz 18 anos, saí dos Camarões,
											à procura de melhores
oportunidades educativas.
											Na época, só havia
uma universidade nos Camarões,
											mas a Nigéria, ali ao lado,
oferecia algumas oportunidades
											para os camaroneses de ascendência
inglesa se formarem em diversas áreas.
											Por isso, fui para lá.
											Mas praticar a minha profissão,
											depois de formado em ecologia na Nigéria,
											era um problema ainda maior.
											Por isso, saí do continente
quando me ofereceram uma bolsa
											na Universidade de Boston,
para o meu doutoramento.
									",How we can stop Africa's scientific brain drain,Kevin Njabo,8:35,"Africa,education,science,conservation"
"
","
","
","
",How we can stop Africa's scientific brain drain,Kevin Njabo,8:35,"Africa,education,science,conservation"
"
											It is disheartening to see that,
											with all our challenges,
											with all the talents,
											with all the skills we have
in Africa as a continent,
											we tend to solve our problems
											by parachuting in experts
from the West for short stays,
											exporting the best
and brightest out of Africa,
											and treating Africa as a continent
in perpetual need of handouts.
									","
											Es desalentador ver eso,
											con todos nuestros desafíos,
											con todos los talentos,
											con todas las habilidades que tenemos
en África como continente,
											solemos resolver nuestros problemas
											convocando expertos occidentales
que vienen por estancias cortas,
											exportamos lo mejor 
y más brillante de África,
											y tratamos a África como un continente
en perpetua necesidad de limosna.
									","
											Hayatta yaşadığımız onca zorluğa,
											Afrika'nın kattığı
											tüm yeteneklere rağmen,
											bu güzel ve parlak ülkeyi yardıma
											muhtaç topraklar olarak görerek,
											problemlerimizi geçici konaklayacağımız
											batı ülkelerinde çözmeye gitmek
											gerçekten çok üzücü.
									","
											É desconsolador ver isto
											com todos os nossos problemas,
											com todos os talentos,
											com as competências que temos
em África, enquanto continente,
											temos a tendência de resolver
os nossos problemas
											indo buscar especialistas
do Ocidente para curtas estadias,
											e exportando os melhores
e mais brilhantes de África,
											tratando África como um continente
com permanente necessidade de apoio.
									",How we can stop Africa's scientific brain drain,Kevin Njabo,8:35,"Africa,education,science,conservation"
"
","
","
","
",How we can stop Africa's scientific brain drain,Kevin Njabo,8:35,"Africa,education,science,conservation"
"
											After my training at Boston University,
											I joined a research team
											at the University of California's
											Institute of the Environment
and Sustainability
											because of its reputation
for groundbreaking research
											and the development
of policies and programs
											that save the lives
of millions of people the world over,
											including in the developing world.
											And it has been shown
											that for every skilled African
that returns home,
											nine new jobs are created
in the formal and informal sectors.
											So as part of our program, therefore,
to build a sustainable Africa together,
											we are leading a multi-initiative
to develop the Congo Basin Institute,
											a permanent base
											where Africans can work in partnership
with international researchers,
											but working out their own solutions
to their own problems.
											We are using our interdisciplinary
approach to show how universities,
											NGOs and private business
											can partner in international development.
											So instead of parachuting in experts
from the West for short stays,
											we are building a permanent
presence in Africa,
											a one-stop shop for logistics, housing
											and development of collaborative projects
											between Africans
and international researchers.
									","
											Luego de mi formación 
en la Universidad de Boston,
											me uní a un equipo de investigación
											en la Universidad de California,
											en el Instituto de 
Medioambiente y Sostenibilidad
											por su reputación en investigación pionera
											y el desarrollo de políticas y programas
											que salvan las vidas de millones 
de personas en el mundo,
											incluso en el mundo en desarrollo.
											Y se ha demostrado
											que por cada africano experto
que vuelve a casa,
											se crean nueve nuevos empleos en 
la economía formal e informal del sector.
											Como parte de nuestro programa,
construir juntos una África sostenible,
											lideramos una iniciativa para desarrollar 
el Instituto de la Cuenca del Congo,
											una base permanente donde los africanos
											puedan trabajar en asociación
con investigadores internacionales,
											pero trabajando en soluciones
propias a sus propios problemas.
											Usamos nuestra interdisciplinariedad
para mostrar cómo las universidades,
											las ONGs y empresas privadas
											pueden asociarse en temas
de desarrollo internacional.
											Por eso en vez de convocar expertos 
occidentales por estancias cortas,
											estamos construyendo una presencia 
permanente en África,
											una ventanilla única 
para logística, vivienda
											y desarrollo de proyectos colaborativos
											entre investigadores africanos
e internacionales.
									","
											Boston Üniversitesi'ndeki 
eğitimimden sonra
											California Üniversitesi,
											Çevre ve Sürdürülebilirlik Enstitüsü'nde
											bir araştırma grubuna katıldım.
											Çünkü gelişmekte olan ülkeler de dahil
											çığır açan araştırmaları ve
geliştirdiği ilke ve programlarıyla,
											milyonlarca insanın hayatını kurtaran
											ünlü bir araştırma grubu.
											Ve sonuçlar gösterdi ki
											eve geri dönen her vasıflı Afrikalı için
											resmi veya gayri resmi kurumlarda
dokuz iş olanağı var.
											Bu yüzden programımızın bir parçası olarak
kalkınabilir Afrika inşa etmek için
											Kongo Basin Enstitüsünü geliştirmek için 
bir çok girişime öncülük ediyoruz.
											Burası Afrikalıların
											uluslararası araştırmacılarla
kendi problemlerini,
											kendilerinin çözebileceği
kalıcı bir yer.
											Üniversitelerin, STK'ların,
özel şirketlerin uluslararası kalkınmada
											nasıl ortak olabileceklerini 
göstermek için
											disiplinler arası bir yaklaşım
benimsiyoruz.
											Beklenmedik anlarda Batı'dan
kısa süreli uzmanlar almak yerine
											Afrika'da kalıcı bir varlık inşa ediyoruz.
											Afrikalı ve uluslararası
araştırmacılar arasında
											lojistik, konut ve ortak projelerin
geliştirilmesi için
											tek noktadan bir hizmet noktası.
									","
											Depois da formação
na Universidade de Boston,
											integrei uma equipa de investigação
											no Instituto do Ambiente
e Sustentabilidade
											da Universidade da Califórnia
											dada a sua reputação
em investigação revolucionária
											e no desenvolvimento
de políticas e programas
											que salvam a vida a milhões
de pessoas do mundo inteiro,
											incluindo no mundo em desenvolvimento.
											Foi demonstrado
											que, por cada africano especializado
que regressa ao seu país,
											criam-se nove empregos novos
nos setores formal e informal.
											De acordo com o nosso programa
para criar uma África sustentável
											estamos a liderar uma multi-iniciativa
											para desenvolver
o Instituto da Bacia do Congo,
											uma base permanente
											onde os africanos possam trabalhar
											em parceria com investigadores
internacionais,
											mas desenvolvendo as suas soluções
para os seus problemas.
											Estamos a usar uma abordagem
multidisciplinar para mostrar
											como as universidades,
as ONG e os negócios privados
											podem ser parceiros
no desenvolvimento internacional.
											Em vez de ir buscar especialistas
do Ocidente para curtas estadias,
											estamos a criar uma presença
permanente em África,
											uma empresa de serviços única
para a logística, para o alojamento
											e desenvolvimento
de projetos colaborativos
											entre africanos
e investigadores internacionais.
									",How we can stop Africa's scientific brain drain,Kevin Njabo,8:35,"Africa,education,science,conservation"
