en,fr,de,title,speaker,duration,tags
"
","
","
",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
											This is Lee Sedol.
											Lee Sedol is one of the world's
greatest Go players,
											and he's having what my friends
in Silicon Valley call
											a ""Holy Cow"" moment —
									","
											Voici Lee Sedol.
											Lee Sedol est l'un des meilleurs
joueurs de go au monde,
											et il vient d'avoir ce que mes amis
de Silicon Valley appellent
											un moment « Mince alors... »
									","
											Das hier ist Lee Sedol.
											Lee Sedol ist einer der besten Go-Spieler.
											Er erlebt hier, was meine
Freunde im Silicon Valley
											einen ""Heiliger Strohsack""-Moment nennen.
									",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
","
","
",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
											(Laughter)
									","
											(Rires)
									","
											(Gelächter)
									",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
","
","
",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
											a moment where we realize
											that AI is actually progressing
a lot faster than we expected.
											So humans have lost on the Go board.
What about the real world?
									","
											Ce moment où nous réalisons
											que l'intelligence artificielle progresse
plus rapidement que prévu.
											Les hommes ont donc perdu au jeu de go.
Qu'en est-il du monde réel ?
									","
											Ein Moment, in dem wir bemerken,
											dass die KI schneller vorankommt,
als wir erwartet haben.
											Menschen verloren also bei Go.
											Was ist mit der echten Welt?
									",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
","
","
",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
											Well, the real world is much bigger,
											much more complicated than the Go board.
											It's a lot less visible,
											but it's still a decision problem.
											And if we think about some
of the technologies
											that are coming down the pike ...
											Noriko [Arai] mentioned that reading
is not yet happening in machines,
											at least with understanding.
											But that will happen,
											and when that happens,
											very soon afterwards,
											machines will have read everything
that the human race has ever written.
											And that will enable machines,
											along with the ability to look
further ahead than humans can,
											as we've already seen in Go,
											if they also have access
to more information,
											they'll be able to make better decisions
in the real world than we can.
											So is that a good thing?
											Well, I hope so.
									","
											Eh bien, le monde réel est
bien plus grand,
											plus compliqué d'un plateau de go.
											C'est beaucoup moins visible
											mais ça reste un problème de décision.
											Si nous pensons à certaines technologies
											qui apparaissent...
											Noriko [Arai] a dit que la lecture n'est
pas encore au point pour les machines,
											du moins avec compréhension.
											Mais cela se produira,
											et quand ça se produira,
											très peu de temps après,
											les machines liront tout
ce que la race humaine a jamais écrit.
											Cela permettra aux machines,
											qui ont la capacité de voir plus loin
que les hommes ne le peuvent,
											comme démontré avec le jeu de go,
											si elles ont accès à plus d'informations,
											de prendre de meilleures 
décisions dans le monde réel que nous.
											Est-ce donc une bonne chose ?
											Eh bien, je l'espère.
									","
											Die echte Welt ist viel größer
											und komplizierter als ein Go-Brett.
											Sie ist weniger einsehbar,
											aber trotzdem entscheidbar.
											Wenn wir an ein paar Technologien denken,
											die auf uns zukommen —
											Noriko [Arai] erwähnte,
dass Maschinen noch nicht lesen können,
											jedenfalls nicht mit Verständnis.
											Aber das wird kommen.
											Wenn es so weit kommt,
											werden Maschinen
sehr bald alles gelesen haben,
											was Menschen je geschrieben haben.
											Das wird Maschinen ermöglichen,
											neben der Fähigkeit
weiter vorauszuschauen als Menschen,
											wie wir bei Go schon sahen —
											wenn sie auch noch mehr Information haben,
											werden sie in der echten Welt bessere
Entscheidungen treffen können als wir.
											Ist das gut?
											Ich hoffe es.
									",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
","
","
",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
											Our entire civilization,
everything that we value,
											is based on our intelligence.
											And if we had access
to a lot more intelligence,
											then there's really no limit
to what the human race can do.
											And I think this could be,
as some people have described it,
											the biggest event in human history.
											So why are people saying things like this,
											that AI might spell the end
of the human race?
											Is this a new thing?
											Is it just Elon Musk and Bill Gates
and Stephen Hawking?
									","
											Notre civilisation tout entière,
tout ce que nous apprécions,
											est basé sur notre intelligence.
											Et si nous avions accès
à une plus large intelligence,
											alors il n'y aurait aucune limite
à ce que la race humaine peut faire.
											Je pense que cela pourrait être,
comme certains l'ont décrit,
											le plus grand moment
de l'histoire humaine.
											Alors, pourquoi les gens
racontent-ils des choses comme :
											« l'IA pourrait signifier
la fin de la race humaine ? »
											Est-ce une chose nouvelle ?
											Cela ne concerne-t-il qu' Elon Musk, 
Bill Gates et Stephen Hawking ?
									","
											Unsere gesamte Zivilisation,
alles, was wir wertschätzen,
											basiert auf unserer Intelligenz.
											Wenn wir Zugriff
auf mehr Intelligenz hätten,
											dann kann die Menschheit alles erreichen.
											Ich glaube, das könnte,
wie manche Leute es beschrieben,
											das größte Ereignis in der
Geschichte der Menschheit sein.
											Warum sagen Leute also,
											dass KI das Ende der
Menschheit bedeuten könnte?
											Ist das neu?
											Sind es nur Elon Musk, Bill Gates
und Stephen Hawking?
									",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
","
","
",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
											Actually, no. This idea
has been around for a while.
											Here's a quotation:
											""Even if we could keep the machines
in a subservient position,
											for instance, by turning off the power
at strategic moments"" —
											and I'll come back to that
""turning off the power"" idea later on —
											""we should, as a species,
feel greatly humbled.""
											So who said this?
This is Alan Turing in 1951.
											Alan Turing, as you know,
is the father of computer science
											and in many ways,
the father of AI as well.
											So if we think about this problem,
											the problem of creating something
more intelligent than your own species,
											we might call this ""the gorilla problem,""
											because gorillas' ancestors did this
a few million years ago,
											and now we can ask the gorillas:
											Was this a good idea?
									","
											En fait, non.
Cette idée existe depuis un moment.
											Voici une citation :
											« Même si nous pouvions garder les
machines dans une position subalterne,
											par exemple, en coupant
l'énergie à des moments stratégiques... »
											et je reviendrai sur cette idée
de « couper l'énergie » plus tard...
											« Nous devrions, en tant qu'espèce,
faire preuve d'humilité. »
											Donc qui a dit ça ?
C'est Alan Turing en 1951.
											Alan Turing, vous le savez,
est le père de l'informatique
											et à bien des égards,
le père de l'IA également.
											Si nous pensons à ce problème,
											celui de créer quelque chose de plus
intelligent que notre propre espèce,
											appelons cela
« le problème du gorille »,
											parce que leurs ancêtres ont vécu cela
il y a quelques millions d'années,
											nous pouvons donc leur demander :
											« Était-ce une bonne idée ? »
									","
											Nein. Diese Idee gibt es schon länger.
											Hier ist ein Zitat:
											""Selbst wenn wir die Maschinen
in unterwürfiger Stellung halten könnten,
											z. B. indem wir den Strom abschalten"" —
											ich werde später auf
diese Idee eingehen —
											""sollten wir uns als
Spezies demütig fühlen.""
											Wer hat das gesagt? Alan Turing, 1951.
											Alan Turing, wie Sie wissen,
ist der Vater der Informatik
											und in vielerlei Hinsicht auch der KI.
											Wenn wir also über
dieses Problem nachdenken,
											etwas Intelligenteres als unsere
eigene Art zu entwerfen,
											könnten wir es als
""Gorilla-Problem"" bezeichnen,
											weil die Vorfahren der Gorillas
das vor Jahrmillionen taten.
											Wir können die Gorillas jetzt fragen:
											War das eine gute Idee?
									",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
","
","
",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
											So here they are having a meeting
to discuss whether it was a good idea,
											and after a little while,
they conclude, no,
											this was a terrible idea.
											Our species is in dire straits.
											In fact, you can see the existential
sadness in their eyes.
									","
											Donc, ils ont eu une réunion
pour savoir si c'était une bonne idée
											et après un petit moment,
ils conclurent que non,
											c'était une mauvaise idée.
											« Notre espèce est en difficulté. »
											En fait, vous pouvez voir de la tristesse
existentielle dans leurs yeux.
									","
											Hier sind sie bei einem Meeting
und besprechen, ob es eine gute Idee war.
											Sie kommen zu dem Schluss, nein,
											es war eine schlechte Idee.
											Unsere Spezies ist in arger Not.
											Sie können die existenzielle
Traurigkeit in ihren Augen sehen.
									",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
","
","
",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
											(Laughter)
									","
											(Rires)
									","
											(Gelächter)
									",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
","
","
",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
											So this queasy feeling that making
something smarter than your own species
											is maybe not a good idea —
											what can we do about that?
											Well, really nothing,
except stop doing AI,
											and because of all
the benefits that I mentioned
											and because I'm an AI researcher,
											I'm not having that.
											I actually want to be able
to keep doing AI.
									","
											Ce sentiment gênant d'avoir créé
quelque chose de plus intelligent
											que votre propre espèce alors que
ce n'est peut-être pas une bonne idée...
											« Que pouvons-nous y faire ? »
											Eh bien, rien,
sauf abandonner l'IA.
											Mais à cause de tous les avantages
que j'ai mentionnés
											et parce que je suis chercheur en IA,
											je ne peux m'y résoudre.
											Je veux réellement continuer
à travailler sur l'IA.
									","
											Das mulmige Gefühl, dass es
eine schlechte Idee sein könnte,
											etwas Intelligenteres
als uns selbst zu erstellen,
											was können wir dagegen tun?
											Nichts so richtig, außer
keine KI mehr zu entwickeln.
											Wegen all der Vorteile,
die ich schon erwähnte,
											und weil ich ein KI-Forscher bin,
werde ich das nicht zulassen.
											Ich will weiter KI erforschen.
									",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
","
","
",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
"
											So we actually need to nail down
the problem a bit more.
											What exactly is the problem?
											Why is better AI possibly a catastrophe?
									","
											Nous avons besoin de définir
un peu plus le problème.
											Quel est donc le problème ?
											Pourquoi une meilleure IA
pourrait être une catastrophe ?
									","
											Wir müssen das Problem
also genauer festnageln.
											Was genau ist das Problem?
											Warum könnte bessere KI
eine Katastrophe sein?
									",3 principles for creating safer AI,Stuart Russell,17:35,"AI,code,communication,algorithm,humanity,machine learning,innovation,intelligence,choice,data,future,computers,programming,robots,technology,morality,science"
