en,tr,es,de,title,speaker,duration,tags
"
","
","
","
",How the military fights climate change,David Titley,7:41,"climate change,military,nature,global issues,natural disaster,sustainability,weather"
"
											So I'd like to tell you a story
about climate and change,
											but it's really a story about people
and not polar bears.
									","
											Size iklim değişikliği hakkında
bir hikâye anlatmak istiyorum
											ama bu kutup ayılarıyla ilgili değil
insanlarla ilgili.
									","
											Quiero contarles una historia
sobre el cambio climático,
											pero habla de humanos 
y no de osos polares.
									","
											Ich möchte Ihnen eine Geschichte
über den Klimawandel erzählen,
											aber es ist eigentlich eine
über Menschen und nicht über Eisbären.
									",How the military fights climate change,David Titley,7:41,"climate change,military,nature,global issues,natural disaster,sustainability,weather"
"
","
","
","
",How the military fights climate change,David Titley,7:41,"climate change,military,nature,global issues,natural disaster,sustainability,weather"
"
											So this is our house
that we lived in in the mid-2000s.
											I was the chief operating officer
for the Navy's weather and ocean service.
											It happened to be down at a place
called Stennis Space Center
											right on the Gulf Coast,
											so we lived in a little town
called Waveland, Mississippi,
											nice modest house, and as you can see,
it's up against a storm surge.
											Now, if you ever wonder
											what a 30-foot or nine-meter
storm surge does
											coming up your street,
											let me show you.
											Same house.
											That's me, kind of wondering what's next.
											But when we say we lost our house —
this is, like, right after Katrina —
											so the house is either all the way
up there in the railway tracks,
											or it's somewhere down there
in the Gulf of Mexico,
											and to this day,
we really, we lost our house.
											We don't know where it is.
									","
											Bu 2000'lerin ortalarında
yaşadığımız evimiz.
											Deniz Kuvvetleri'nin hava ve
okyanus servisi sorumlusuydum.
											Körfez Kıyısı'nın hemen yanında,
Stennis Uzay Servisi
											adlı bir yerdeydim.
											Missisippi'de Waveland adlı küçük
bir kasabada yaşıyorduk.
											Tatlı ve mütevazi bir ev ve
gördüğünüz gibi fırtınaya hazır.
											Ve eğer 9 metrelik bir fırtına dalgasının
											sokaklarınıza ve evinize ne yapabileceğini
											görmek isterseniz
											size hemen göstereyim.
											Aynı ev.
											Sağdaki ben, sırada ne var
diye düşünüyorum.
											Ancak biz evimizi kaybettik dediğimizde,
bu, Katrina'dan hemen sonra,
											yani ev ya bütün hâliyle demir
yolu üzerinde ya da
											Meksika Körfezi'ndeki bir yerlerde.
											Ve bugüne kadar,
evi gerçekten kaybetmiştik.
											Nerede olduğunu bilmiyorduk.
									","
											Esta es mi casa en la que vivimos
a mediados de los años 2000.
											Era jefe de operaciones del servicio
de clima y océanos de la Armada.
											Estaba en un lugar llamado
Stennis Space Center,
											en la costa del Golfo,
											y vivíamos en un pequeño pueblo
llamado Waveland en Mississippi.
											Como pueden ver, una casa muy bonita
diseñada para evitar la marejada.
											Si se preguntan
											qué les pasaría si se enfrentaran
a una marejada de 9 metros,
											se los mostraré.
											La misma casa.
											Y allí estoy yo, preguntándome
qué voy a hacer ahora.
											Cuando digo que perdimos la casa
—esto fue después de Katrina—
											es porque la casa quizás llegó allá arriba
donde están las vías del tren,
											o quizás acabó en algún otro sitio 
allá abajo en el Golfo de México,
											y hasta hoy la casa sigue desaparecida.
											No sabemos dónde está.
									","
											Das ist unser Haus in den 2000ern.
											Ich war Chef des operativen Bereichs
des Wetter- und Ozeandienstes der Marine.
											Ich arbeitete am Stennis Space Center
											direkt an der Golfküste,
											daher wohnten wir in einer Kleinstadt
namens Waveland, Mississippi.
											Schönes, bescheidenes Haus und,
wie man sieht, gerüstet gegen Sturmfluten.
											Wenn Sie sich jemals fragten,
											was eine 9 Meter hohe Sturmflut macht,
											wenn sie die Straße heraufkommt,
											dann lassen Sie es mich Ihnen zeigen.
											Das gleiche Haus.
											Das bin ich und frage mich,
was als Nächstes passiert.
											Doch wenn wir sagen, wir verloren
unser Haus — direkt nach Katrina —,
											dann findet man die Überreste
entweder in den Eisenbahnschienen
											oder irgendwo im Golf von Mexico,
											und bis heute ist unser Haus verloren.
											Wir wissen nicht, wo es ist.
									",How the military fights climate change,David Titley,7:41,"climate change,military,nature,global issues,natural disaster,sustainability,weather"
"
","
","
","
",How the military fights climate change,David Titley,7:41,"climate change,military,nature,global issues,natural disaster,sustainability,weather"
"
											(Laughter)
									","
											(Gülüşmeler)
									","
											(Risas)
									","
											(Lachen)
									",How the military fights climate change,David Titley,7:41,"climate change,military,nature,global issues,natural disaster,sustainability,weather"
"
","
","
","
",How the military fights climate change,David Titley,7:41,"climate change,military,nature,global issues,natural disaster,sustainability,weather"
"
											You know, it's gone.
									","
											Bilirsiniz, gitti.
									","
											Se perdió.
									","
											Es ist eben weg.
									",How the military fights climate change,David Titley,7:41,"climate change,military,nature,global issues,natural disaster,sustainability,weather"
"
","
","
","
",How the military fights climate change,David Titley,7:41,"climate change,military,nature,global issues,natural disaster,sustainability,weather"
"
											So I don't show this for pity,
											because in many ways, we were
the luckiest people on the Gulf Coast.
											One of the things is, we had insurance,
											and that idea of insurance
is probably pretty important there.
											But does this scale up,
you know, what happened here?
											And I think it kind of does,
because as you've heard,
											as the sea levels come up,
											it takes weaker and weaker storms
to do something like this.
									","
											Bunu kendimi acındırmak için göstermiyorum
											çünkü bir çok açıdan,
Körfez Kıyısı'ndaki en şanslı insanlardık.
											İlk olarak, sigortamız vardı
											ve şu an sigortanın ne kadar
önemli olduğu bariz.
											Ama bu, burada yaşanan şeyi
karşılar mı?
											Yani, aslında sayılır. 
Çünkü bildiğiniz gibi,
											denizlerdeki su seviyesi yükseldikçe
											rüzgarların bu kadar zarar vermesi
git gide artacak.
									","
											No les muestro esto para que sientan pena
											porque de alguna manera fuimos
los más afortunados en la costa del Golfo.
											Por una parte teníamos seguro,
											y la idea del seguro 
es probablemente muy importante.
											Pero ¿acaso lo que nos pasó aquí
va incluso más allá?
											Creo que sí porque, 
como seguramente han escuchado,
											a medida que aumentan los niveles del mar,
											puede ocurrir algo como esto
incluso con tormentas más débiles.
									","
											Ich sage das nicht, um Mitleid auszulösen,
											denn wir waren in vielerlei Weise
die glücklichsten Menschen der Golfküste.
											Wir hatten immer noch unsere Versicherung,
											die Idee der Versicherung
ist hier ziemlich wichtig.
											Doch nimmt das zu, was dort passiert ist?
											In gewisser Weise schon,
											denn da bekannterweise
der Meeresspiegel ansteigt,
											sind schon schwächere Stürme
in der Lage, so etwas zu tun.
									",How the military fights climate change,David Titley,7:41,"climate change,military,nature,global issues,natural disaster,sustainability,weather"
"
","
","
","
",How the military fights climate change,David Titley,7:41,"climate change,military,nature,global issues,natural disaster,sustainability,weather"
