en,es,fr,de,tr,title,speaker,duration,tags
"
","
","
","
","
",Could the sun be good for your heart?,Richard Weller,12:59,"TEDx,biology,chemistry,disease,health,heart health,medicine,science,health care,medical research,environment,illness,physiology,Nobel Prize,molecular biology"
"
											So, before I became a dermatologist,
											I started in general medicine,
											as most dermatologists do in Britain.
											At the end of that time, I went off to Australia,
											about 20 years ago.
											What you learn when you go to Australia
											is the Australians are very competitive.
											And they are not magnanimous in victory.
											And that happened a lot:
											""You pommies, you can't play cricket, rugby.""
											I could accept that.
									","
											Antes de convertirme en dermatólogo,
											comencé en medicina general,
											como lo hace la mayoría de los dermatólogos en Gran Bretaña.
											Al final de aquel tiempo, me fui a Australia,
											hace cerca de 20 años.
											Lo que uno aprende cuando va a Australia
											es que los australianos son muy competitivos.
											Y no son magnánimos en la victoria.
											Pasa con frecuencia:
											""Uds. los ingleses, no saben jugar al cricket, ni al rugby"".
											Eso lo podía aceptar.
									","
											Avant de devenir dermatologue,
											j'étais médecin généraliste,
											comme la plupart des dermatologues en Angleterre.
											À la fin de cette période, je suis parti pour l'Australie,
											il y a une vingtaine d'année.
											Ce qu'on découvre en allant en Australie
											c'est qu'ils sont très compétitifs.
											Ils ne sont pas nobles dans la victoire.
											Et ça arrive souvent :
											« Vous les rosbifs, vous ne savez pas jouer au criquet, ni au rugby. »
											Ça, je pouvais l'accepter.
									","
											Bevor ich Dermatologe wurde,
											war ich in der Allgemeinmedizin tätig,
											so wie die meisten Dermatologen 
in Großbritannien.
											Am Ende dieser Zeit ging ich nach Australien,
											vor etwa 20 Jahren.
											Wenn man nach Australien geht, merkt man,
											dass die Australier sehr vom
Konkurrenzdenken geprägt sind.
											Und dass sie keine 
großherzigen Gewinner sind.
											Und das ist oft passiert:
											""Ihr Briten könnt weder Cricket noch Rugby.""
											Das konnte ich akzeptieren.
									","
											Dermatolog olmadan önce
											genel tıpla işe başladım,
											Britanya'daki çoğu dermatoloğun
yaptığı gibi.
											Bu sürecin ardından Avustralya'ya gittim
											yaklaşık 20 sene önce.
											Avustralya'ya gidince öğrendiğiniz şey
											Avustralyalıların çok
rekabetçi olduklarıdır.
											Zafer karşısında alçak gönüllü değiller.
											Şu çok olur:
											""Siz İngilizler, İskoçlar yok mu,
											kriket, ragbi oynayamıyorsunuz.""
									",Could the sun be good for your heart?,Richard Weller,12:59,"TEDx,biology,chemistry,disease,health,heart health,medicine,science,health care,medical research,environment,illness,physiology,Nobel Prize,molecular biology"
"
","
","
","
","
",Could the sun be good for your heart?,Richard Weller,12:59,"TEDx,biology,chemistry,disease,health,heart health,medicine,science,health care,medical research,environment,illness,physiology,Nobel Prize,molecular biology"
"
											But moving into work —
											and we have each week what's called a journal club,
											when you'd sit down with the other doctors
											and you'd study a scientific paper
											in relation to medicine.
											And after week one, it was about cardiovascular mortality,
											a dry subject — how many people die of heart disease,
											what the rates are.
											And they were competitive about this:
											""You pommies, your rates of heart disease are shocking.""
									","
											Pero volviendo al trabajo,
											teníamos cada semana lo que llamábamos, un club de revistas,
											donde uno se sienta con los otros médicos
											a estudiar artículos científicos
											sobre medicina.
											Y después de la primera semana, se trataba de la mortalidad cardiovascular,
											una materia árida —cuánta gente muere por enfermedades cardiovasculares,
											cuáles son la tasas de mortalidad.
											Y ellos fueron competitivos en esto:
											""Ingleses; sus tasas de enfermedades cardiovasculares son estremecedoras"".
									","
											Coté travail —
											nous avions chaque semaine ce qu’on appelait un club de lecture,
											quand vous vous asseyez avec les médecins
											et que vous étudiez
											des publications scientifiques médicales.
											La première semaine, c’était au sujet de la mortalité cardio-vasculaire,
											un sujet difficile — combien de personne meurent de maladie cardiaque,
											quels sont les taux.
											Ils avaient l'esprit de compétition à ce propos également :
											« Vous les rosbifs, vos taux de maladies cardiaques sont choquants. ».
									","
											Aber bei der Arbeit –
											und wir hatten jede Woche einen
so genannten Journal-Club,
											wo man zusammen mit den anderen Ärzten
											einen wissenschaftlichen Artikel
											aus der Medizin besprach.
											Einmal ging es um die Sterblichkeitsrate
bei Herz-Kreislauf-Erkrankungen,
											ein trockenes Thema – wie viele
Leute sterben an Herzkrankheiten,
											was sind die Raten.
											Und wieder waren sie besser als wir:
											""Ihr Briten und eure Sterblichkeitsrate
bei Herzkrankheiten ist schockierend.""
									","
											Bunu kabul edebilirdim.
											Ama işe dönecek olursak—
											her hafta dergi kulübümüz olurdu,
											diğer doktorlarla oturur
											ve tıpla ilgili bilimsel
bir makale üzerinde çalışırdık.
											Ve ilk haftadan sonra,
konu kalp ve damarla ilgili ölüm oranıydı,
											yavan bir konu —
kaç kişi kalp rahatsızlığından ölüyor,
											
oranlar nedir.
											Ve bu konu hakkında da yarışırlardı;
											""Britanya halkı yok mu, sizdeki
kalp rahatsızlığı oranı şok edici.""
									",Could the sun be good for your heart?,Richard Weller,12:59,"TEDx,biology,chemistry,disease,health,heart health,medicine,science,health care,medical research,environment,illness,physiology,Nobel Prize,molecular biology"
"
","
","
","
","
",Could the sun be good for your heart?,Richard Weller,12:59,"TEDx,biology,chemistry,disease,health,heart health,medicine,science,health care,medical research,environment,illness,physiology,Nobel Prize,molecular biology"
"
											And of course, they were right.
											Australians have about a third less heart disease than we do —
											less deaths from heart attacks, heart failure, less strokes —
											they're generally a healthier bunch.
											And of course they said this was because of
											their fine moral standing, their exercise,
											because they're Australians and we're weedy pommies, and so on.
									","
											Y claro está, estaban en lo cierto.
											Los australianos tienen cerca de un tercio menos de enfermedades del corazón que nosotros
											—menos muertes por ataques al corazón, fallos del corazón, menos infartos—
											son en general mucho más saludables.
											Y por supuesto dicen que esto se debe a
											su elevada integridad moral, su ejercicio,
											porque ellos son australianos y nosotros debiluchos ingleses, y cosas así.
									","
											Bien sûr, ils avaient raison.
											Les Australiens ont près d’un tiers de maladies cardiaques en moins que nous –
											moins de décès par crise cardiaque ou par insuffisance cardiaque, moins d'arrêt —
											ils sont globalement en bien meilleure santé.
											Évidement, d’après eux, c’est grâce à leur mode de vie sain,
											le sport, parce qu’ils sont australiens,
											parce que nous sommes des rosbifs… et ainsi de suite…
									","
											Und natürlich hatten sie Recht.
											Australien hat ein Drittel weniger 
Herz-Kreislauf-Erkrankungen als wir –
											weniger Tote aufgrund von Herzinfarkten, 
Herzversagen, weniger Schlaganfälle –
											sie sind einfach allgemein viel gesünder.
											Und natürlich behaupteten sie,
dass dies an ihrer
											hervorragenden Moral und 
ihrer Fitness liegen würde,
											weil sie Australier sind und wir 
schmächtige Briten, und so weiter.
									","
											Ve evet, haklıydılar.
											Avustralyalılar bizden 3 kat
daha az kalp rahatsızlığı oranına sahip.
											Daha az kalp krizi kaynaklı ölüm,
kalp yetmezliği, daha az inme,
											genel olarak daha sağlıklı bir gruplar.
											Ve tabii ki bunu dediler,
											çünkü iyi bir ahlaki duruşa, 
egzersize sahipler,
											çünkü onlar Avustralyalı ve biz 
kırmızı yanaklı Britanya halkıyız, falan.
									",Could the sun be good for your heart?,Richard Weller,12:59,"TEDx,biology,chemistry,disease,health,heart health,medicine,science,health care,medical research,environment,illness,physiology,Nobel Prize,molecular biology"
"
","
","
","
","
",Could the sun be good for your heart?,Richard Weller,12:59,"TEDx,biology,chemistry,disease,health,heart health,medicine,science,health care,medical research,environment,illness,physiology,Nobel Prize,molecular biology"
"
											But it's not just Australia that has better health than Britain.
											Within Britain, there is a gradient of health —
											and this is what's called standardized mortality,
											basically your chances of dying.
											This is looking at data from the paper about 20 years ago,
											but it's true today.
											Comparing your rates of dying 50 degrees north —
											that's the South, that's London and places —
											by latitude, and 55 degrees —
											the bad news is that's here, Glasgow.
											I'm from Edinburgh. Worse news, that's even Edinburgh.
									","
											Pero no es solo en Australia donde se tiene mejor salud que en Gran Bretaña.
											Dentro de Gran Bretaña existe un gradiente de salud,
											que se denomina mortalidad estandarizada,
											básicamente, son las probabilidades de muerte.
											Estos son datos de un artículo de hace cerca de 20 años
											pero sigue siendo cierto hoy.
											Comparando las tasas de muerte 50 grados norte
											—esto es el sur, esto es Londres y alrededores—
											de latitud y 55 grados...
											La mala noticia está aquí, en Glasgow.
											Yo soy de Edimburgo. Peores noticias aún en Edimburgo.
									","
											Mais ce n’est pas uniquement l’Australie 
qui est en meilleure santé que l’Angleterre.
											Au sein même de la Grande-Bretagne, il y a des différences -
											– et c’est ce qu’on appelle la mortalité standard, en clair,
											vos chances de mourir.
											C’est calculé en prenant en compte les données des publications d’il y a 20 ans environ,
											mais c’est encore vrai aujourd’hui.
											En comparant le taux de mortalité à 50° Latitude Nord —
											c’est le sud, c'est Londres et ses environs –
											et 55° Latitude Nord
											la mauvaise nouvelle c’est que c’est ici, Glasgow.
											Je suis d’Edimbourg. Pire nouvelle, c’est même Edimbourg.
									","
											Aber nicht nur Australier 
sind gesünder als die Briten.
											Innerhalb Großbritanniens 
gibt es ein Gesundheitsgefälle –
											man nennt das standardisierte 
Mortalitätsrate,
											quasi Ihre Sterbewahrscheinlichkeit.
											Das sind Daten aus einem Artikel
von vor etwa 20 Jahren,
											aber sie stimmen noch heute.
											Vergleichen wir die Sterblichkeitsrate
am 50. Breitengrad Nord –
											das ist im Süden, London und so weiter –
											mit dem 55. Breitengrad –
											die schlechte Nachricht: hier liegt Glasgow.
											Ich bin aus Edinburgh. 
Edinburgh ist leider auch da.
									","
											Ama sağlığı Britanya'dan daha iyi
olan yalnızca Avustralya değil.
											Britanya içinde,
dereceli bir sağlık durumu var
											ve buna standartlaştırılmış
ölüm oranı deniyor,
											esasen sizin ölme ihtimaliniz.
											Bu baktığımız raporun verileri
yaklaşık 20 sene öncesine aittir
											ama bugün de doğru.
											50 derece kuzeydeki ölüm
oranlarına kıyasla
											burası Güney bölgesi, Londra ve çevresi —
											enlemle 55 derece—
											kötü haber burası, Glasgow.
											Ben Edinburgh'danım. Daha kötü haber,
orası aynı zamanda Edinburgh.
									",Could the sun be good for your heart?,Richard Weller,12:59,"TEDx,biology,chemistry,disease,health,heart health,medicine,science,health care,medical research,environment,illness,physiology,Nobel Prize,molecular biology"
"
","
","
","
","
",Could the sun be good for your heart?,Richard Weller,12:59,"TEDx,biology,chemistry,disease,health,heart health,medicine,science,health care,medical research,environment,illness,physiology,Nobel Prize,molecular biology"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									","
											(Kahkahalar)
									",Could the sun be good for your heart?,Richard Weller,12:59,"TEDx,biology,chemistry,disease,health,heart health,medicine,science,health care,medical research,environment,illness,physiology,Nobel Prize,molecular biology"
