en,fr,pt,es,title,speaker,duration,tags
"
","
","
","
",What is HPV and how can you protect yourself from it?,Emma Bryce,4:11,"TED-Ed,stigma,animation,sex,cancer,disease,illness,medicine,medical research,health care,health,healthcare,public health,biology,human body,science,Vaccines,education"
"
											At some point,
											most sexually active people will be 
infected with human papillomavirus,
											or ‘HPV.’
											There are over 100 types of HPV,
											and most of the time the body 
eliminates infections without symptoms–
											but some strains can pose serious 
health risks down the line.
									","
											Un jour,
											la plupart des personnes sexuellement
actives seront infectées
											par le virus du papillome humain, le VPH.
											Il y a plus de 100 types de VPH,
											et la plupart du temps, l'organisme
élimine l'infection, sans symptôme.
											Mais certaines souches posent
de graves problèmes pour la santé.
									","
											Em determinada altura,
											a maioria das pessoas sexualmente ativas
podem ser infetadas com VPH,
											ou seja, o Vírus do Papiloma Humano.
											Há mais de 100 tipos de VPH
											e, na maioria das vezes, o corpo
elimina as infeções, sem sintomas,
											mas algumas estirpes podem causar
graves problemas de saúde.
									","
											En algún momento, gran parte 
de la población sexualmente activa
											contraerá el virus del papiloma humano,
											o VPH.
											Existen más de 100 tipos de VPH,
											y si bien el cuerpo suele eliminar
las infecciones sin mostrar síntomas,
											algunas cepas pueden causar
graves problemas de salud en el futuro.
									",What is HPV and how can you protect yourself from it?,Emma Bryce,4:11,"TED-Ed,stigma,animation,sex,cancer,disease,illness,medicine,medical research,health care,health,healthcare,public health,biology,human body,science,Vaccines,education"
"
","
","
","
",What is HPV and how can you protect yourself from it?,Emma Bryce,4:11,"TED-Ed,stigma,animation,sex,cancer,disease,illness,medicine,medical research,health care,health,healthcare,public health,biology,human body,science,Vaccines,education"
"
											HPV causes contact infections,
											which means the virus stays in the cells
near the point of infection
											rather than spreading throughout
the whole body.
											Since HPV is often transmitted through 
sexual activity,
											this usually means the cells of the 
vagina, vulva, penis, anus,
											mouth and throat.
											We can test for HPV in cells from 
these areas,
											but while testing for the virus 
is scientifically possible,
											it isn’t common.
											The main reason is that,
											while there are treatments for the 
adverse health effects caused by HPV,
											there’s no treatment for the virus itself.
											So testing for HPV would yield many, 
many positives,
											and although most of them won’t 
be cause for concern,
											there is still no treatment plan for 
clearing the body of the virus.
									","
											Le VPH provoque des infections
par contact,
											c'est-à-dire que le virus reste dans
les cellules proches de l'infection
											et ne se répand pas dans tout le corps.
											Comme le VPH est transmissible
sexuellement,
											on parle principalement des cellules du
vagin, de la vulve, du pénis, de l'anus,
											de la bouche et de la gorge.
											On peut faire un dépistage sur ces zones.
											Mais en dépit du fait que
c'est scientifiquement possible,
											ce test reste peu fréquent.
											La raison principale est
											que si des traitements existent pour
soigner les symptômes causés par le VPH,
											il n'y a pas de traitement
contre le virus lui-même.
											Dépister le VPH entraînerait
un grand nombre de résultats positifs
											alors que peu d'entre eux
seront une source de soucis,
											et il n'y a de toute façon pas
de traitement pour l'éliminer.
									","
											O VPH provoca infeções por contacto,
											ou seja, o vírus mantém-se nas células
perto do ponto da infeção
											em vez de se espalhar por todo o corpo.
											Como o VPH se transmite sobretudo
através da atividade sexual,
											trata-se normalmente
das células da vagina,
											da vulva, do pénis, do ânus,
											da boca e da garganta.
											Podemos detetar o VPH
nas células destas áreas,
											mas embora a análise para este vírus
seja possível cientificamente,
											não é muito comum.
											A principal razão para isso
é que, embora haja tratamentos
											para os efeitos adversos
causados pelo VPH,
											não há tratamento para o vírus.
											Portanto, procurar o VPH levaria
a muitos resultados positivos
											e, embora a maioria deles
não seja motivo de preocupação,
											ainda não há plano de tratamento 
para limpar o vírus do corpo.
									","
											El VPH se contagia por contacto,
											es decir que el virus permanece
en la célula cerca del punto de infección
											en lugar de diseminarse
al resto del cuerpo.
											Como el VPH se transmite
casi siempre por vía sexual,
											las células infectadas suelen estar
en la vagina, la vulva, el pene,
											el ano, la boca y la garganta.
											Analizando las células de esos órganos,
es posible detectar el VPH.
											Sin embargo, aun con la posibilidad
de detectarlo científicamente,
											no es una práctica habitual.
											Esto sucede porque, básicamente,
											aunque se puedan tratar los efectos
adversos del VPH en la salud,
											no hay procedimientos 
para tratar el virus en sí.
											Ocurre que un análisis de VPH podría 
arrojar una gran cantidad de positivos,
											y si bien la mayoría 
no son motivo de alarma,
											aún no se ha encontrado tratamiento
para eliminar el virus del organismo.
									",What is HPV and how can you protect yourself from it?,Emma Bryce,4:11,"TED-Ed,stigma,animation,sex,cancer,disease,illness,medicine,medical research,health care,health,healthcare,public health,biology,human body,science,Vaccines,education"
"
","
","
","
",What is HPV and how can you protect yourself from it?,Emma Bryce,4:11,"TED-Ed,stigma,animation,sex,cancer,disease,illness,medicine,medical research,health care,health,healthcare,public health,biology,human body,science,Vaccines,education"
"
											But there are other good ways to 
protect yourself from HPV.
											We’re going to walk through how 
HPV can cause harm,
											who’s at risk, and how to 
minimize those risks.
									","
											Mais il existe d'autres manières
efficaces de se protéger du VPH.
											Nous allons d'abord voir les dangers
du VPH pour notre santé,
											les personnes à risque et comment
minimiser ces risques.
									","
											Mas há outras boas formas
de nos protegermos do VPH.
											Vamos percorrer as formas
como o VPH pode causar danos,
											quem corre riscos
e como minimizar esses riscos.
									","
											Pero hay otras maneras efectivas 
de protegerse del VPH.
											Repasaremos los mecanismos del VPH
para perjudicar el organismo,
											cuáles son las personas susceptibles
y cómo minimizar los riesgos.
									",What is HPV and how can you protect yourself from it?,Emma Bryce,4:11,"TED-Ed,stigma,animation,sex,cancer,disease,illness,medicine,medical research,health care,health,healthcare,public health,biology,human body,science,Vaccines,education"
"
","
","
","
",What is HPV and how can you protect yourself from it?,Emma Bryce,4:11,"TED-Ed,stigma,animation,sex,cancer,disease,illness,medicine,medical research,health care,health,healthcare,public health,biology,human body,science,Vaccines,education"
"
											The body’s immune system is able to
eradicate most strains of HPV
											before they cause any harm—
											and without people even knowing 
they’ve been infected.
											Certain other strains–
											like HPV 6 and 11–
											cause abnormalities in the cells of the 
infected tissue,
											which can develop into genital warts.
											While these are infectious 
and require treatment,
											usually with topical creams,
											wart-causing strains don’t create 
longer-term damage.
											But another 13 strains can cause DNA
mutations that cause cells to divide
											at a much faster pace than normal,
											propelling the development of 
cancerous growths.
											The cells of the cervix are 
especially at risks.
											Two in particular–
											HPV 16 and 18–
											are responsible for the majority of 
cases of cervical cancer,
											which is now the fourth most common
type of cancer in women.
									","
											Notre système immunitaire peut éliminer
la plupart des souches du VPH
											avant que celles-ci ne deviennent
dangereuses
											sans même que nous nous apercevions
avoir été infectés.
											D'autres souches,
											le VPH6 et 11 notamment,
											provoquent des anomalies
dans les cellules des tissus infectés
											qui peuvent se développer
en condylomes génitaux.
											Ce sont des infections
qui nécessitent un traitement,
											généralement une crème topique,
											les souches qui provoquent les condylomes
ne créent pas de lésions à long terme.
											Mais 13 autres souches causent
des mutations de l'ADN
											qui augmentent la rapidité
de la division cellulaire,
											entraînant le développement
de tumeurs cancéreuses.
											Les cellules du col de l'utérus
y sont particulièrement sensibles.
											Deux souches précises,
											VPH16 et 18,
											sont responsables de la majorité
des cancers du col de l'utérus,
											qui est devenu le quatrième cancer
le plus courant chez les femmes.
									","
											O sistema imunitário do corpo consegue
erradicar a maioria das estirpes do VPH
											antes de causarem qualquer dano
											e sem que as pessoas reparem
que estão infetadas.
											Mas determinadas estirpes
											— como os VPH 6 e 11 —
											provocam anomalias nas células
do tecido infetado
											que podem evoluir em verrugas genitais.
											Embora estas sejam infecciosas
e exijam tratamento,
											normalmente com cremes tópicos,
											as estirpes que provocam verrugas
não criam danos a longo prazo.
											Mas outras 13 estirpes podem provocar
mutações no ADN
											que levam as células a dividir-se
											a um ritmo muito mais rápido
do que o normal.
											fomentando o desenvolvimento
de tumores cancerosos.
											As células do colo do útero,
em especial, correm grande risco.
											Dois deles em particular
											— os VPH 16 e 18 —
											são responsáveis pela maioria
das causas do cancro do colo do útero
											que é atualmente o quarto tipo de cancro
mais comum nas mulheres.
									","
											Nuestro sistema inmunitario puede
erradicar casi todas las cepas del VPH
											antes de que causen daño,
											y sin que la persona infectada
siquiera se dé cuenta.
											Pero otras cepas del VPH,
											como los tipos 6 y 11,
											causan anormalidades 
en las células del tejido infectado
											y pueden derivar en verrugas genitales.
											Si bien son formaciones contagiosas
que requieren tratamiento,
											generalmente con cremas de uso tópico,
											las cepas que dan lugar a estas verrugas 
no causan daño a largo plazo.
											Pero hay otras 13 cepas que pueden 
inducir mutaciones en el ADN,
											acelerar divisiones celulares
a un ritmo superior al normal
											y propiciar el crecimiento
de formaciones tumorales.
											En este sentido, las células del cérvix
son particularmente propensas.
											Dos cepas específicas, los tipos 16 y 18,
											son responsables de la mayoría
de los cánceres uterinos,
											actualmente el cuarto tipo de cáncer
más frecuente entre las mujeres.
									",What is HPV and how can you protect yourself from it?,Emma Bryce,4:11,"TED-Ed,stigma,animation,sex,cancer,disease,illness,medicine,medical research,health care,health,healthcare,public health,biology,human body,science,Vaccines,education"
"
","
","
","
",What is HPV and how can you protect yourself from it?,Emma Bryce,4:11,"TED-Ed,stigma,animation,sex,cancer,disease,illness,medicine,medical research,health care,health,healthcare,public health,biology,human body,science,Vaccines,education"
"
											It can take up to 20 years for cancer 
symptoms to appear,
											but with regular screening,
											we can discover cellular abnormalities
in the cervix
											before they develop into cancer.
											Women over 21 can undergo a regular 
pap smear,
											where a sample of tissue is gently 
scraped from the lining of the cervix
											to test for abnormal cells.
											A positive test doesn’t mean the person
has cervical cancer,
											but rather that there are irregular 
cells in the cervix
											that could develop into cancer
in the future.
									","
											Les symptômes du cancer peuvent
nécessiter 20 ans avant d'apparaître.
											Mais un dépistage régulier
											permet de détecter les anomalies
cellulaires dans le col de l'utérus
											avant le développement du cancer.
											Les femmes de moins de 21 ans peuvent
faire un frottis cervical régulier.
											On extrait délicatement un échantillon
de tissus externes du col de l'utérus
											pour analyser les cellules anormales.
											Un résultat positif ne signifie pas
un cancer du col de l'utérus
											mais seulement la présence de cellules
anormales dans cet organe
											susceptibles de devenir
cancéreuses à l'avenir.
									","
											Os sintomas do cancro podem demorar
mais de 20 anos a aparecer,
											mas, com um rastreio regular,
											podemos descobrir anomalias
celulares no colo do útero
											antes de evoluírem num cancro.
											As mulheres, a partir dos 21 anos,
podem realizar uma análise Papanicolau
											em que se faz um esfregaço
do revestimento do colo do útero
											para procurar células anormais.
											Um teste positivo não significa
que a pessoa tem um cancro cervical
											mas que há células irregulares
no colo do útero
											que podem evoluir num cancro,
futuramente.
									","
											Los síntomas del cáncer pueden
tardar hasta 20 años en aparecer,
											pero los estudios de rutina
											permiten detectar anomalías
celulares en el cuello uterino
											antes de que deriven en un cáncer.
											Las mujeres mayores a 21 años pueden
hacerse pruebas de Papanicolaou de rutina,
											que consisten en la extracción 
de una pequeña muestra de tejido uterino
											para detectar células anormales.
											Un resultado positivo no indica
que la mujer tenga cáncer cervical,
											sino más bien que el cuello uterino 
presenta células irregulares
											que podrían derivar en un cáncer a futuro.
									",What is HPV and how can you protect yourself from it?,Emma Bryce,4:11,"TED-Ed,stigma,animation,sex,cancer,disease,illness,medicine,medical research,health care,health,healthcare,public health,biology,human body,science,Vaccines,education"
