es,fr,title,speaker,duration,tags
"
","
",4 powerful poems about Parkinson's and growing older,Robin Morgan,11:57,"aging,disease,health,personal growth,poetry"
"
											Cuando tenía solo 3 o 4 años,
											me enamoré de la poesía,
											con los ritmos
y la música de la lengua;
											con el poder de la metáfora
y del imaginario
											poesía en su esencia
para la comunicación -
											la disciplina, la destilación.
											Y después de tantos años,
los poemas que voy a leer hoy
											son de mi recién terminado
séptimo libro de poesía.
									","
											Quand j'avais trois ou quatre ans,
											je suis tombée amoureuse de la poésie,
											avec les rythmes
et la musique du langage,
											avec le pouvoir de la métaphore
et du symbolisme,
											la poésie étant
l'essence de la communication —
											la discipline, la distillation.
											Et des années plus tard,
les poèmes que je vais lire
											viennent de mon 7ème livre de poésie,
que je viens de finir.
									",4 powerful poems about Parkinson's and growing older,Robin Morgan,11:57,"aging,disease,health,personal growth,poetry"
"
","
",4 powerful poems about Parkinson's and growing older,Robin Morgan,11:57,"aging,disease,health,personal growth,poetry"
"
											Hace cinco años, me diagnosticaron
la enfermedad de Parkinson.
											Aunque no hay cura todavía,
											los avances en el tratamiento
son realmente impresionantes.
											Pero se pueden imaginar
que me sorprendió saber
											que las mujeres no son incluidas, en 
general, en los ensayos de investigación,
											a pesar de que los hallazgos médicos
específicos de género han demostrado
											que en realidad no somos 
solo pequeños hombres —
									","
											Il y a 5 ans, on a découvert que j'étais
atteinte de la maladie de Parkinson.
											Et bien qu'il n'y ait aucun traitement,
											les avancées sont très impressionnantes.
											Mais vous pouvez imaginer 
que j'étais choquée d'apprendre
											que les femmes sont généralement écartées 
des tests de recherche pharmaceutiques,
											bien que des études aient démontré
											que nous ne sommes pas
simplement de petits hommes —
									",4 powerful poems about Parkinson's and growing older,Robin Morgan,11:57,"aging,disease,health,personal growth,poetry"
"
","
",4 powerful poems about Parkinson's and growing older,Robin Morgan,11:57,"aging,disease,health,personal growth,poetry"
"
											(Risas)
									","
											(Rires)
									",4 powerful poems about Parkinson's and growing older,Robin Morgan,11:57,"aging,disease,health,personal growth,poetry"
"
","
",4 powerful poems about Parkinson's and growing older,Robin Morgan,11:57,"aging,disease,health,personal growth,poetry"
"
											con diferentes 
sistemas reproductivos.
											La medicina específica de género
es también buena para hombres.
									","
											avec des systèmes
de reproduction différents.
											Un traitement spécifique selon le sexe
est aussi bon pour les hommes.
									",4 powerful poems about Parkinson's and growing older,Robin Morgan,11:57,"aging,disease,health,personal growth,poetry"
"
","
",4 powerful poems about Parkinson's and growing older,Robin Morgan,11:57,"aging,disease,health,personal growth,poetry"
"
											Pero esto conlleva una crisis
sobre que eres como persona
											incluyendo el momento
que has aprendido a invocar
											a través del cuidado apasionado
y a través de la acción,
											los cuales requieren
energía, pero también la crean.
											Empecé como activistaen 
la Fundación Enfermedad de Parkinson
											que es pdf.org —
											para crear una importante iniciativa
											para colocar a las mujeres
en el mapa de la enfermedad de Parkinson
											Y como poetisa, 
comencé a trabajar con este tema,
											buscando lo trágico, lo hilarante,
y a veces incluso lo alegre.
											No me siento disminuida 
por el Parkinson.
											Me siento filtrada por él,
											y, en realidad, muy parecida 
a la mujer en la que estoy derivando.
									","
											Mais, lors d'une crise,
vous êtes la personne que vous êtes,
											ce qui inclut l'élan
que vous avez appris à invoquer
											via une bienveillance passionnée 
et via vos actions,
											qui, toutes demandent, 
mais aussi créent, de l'énergie.
											Donc, en tant qu'activiste,
											j'ai commencé à travailler avec la
Fondation Contre la Maladie de Parkinson
											— ce qui donne pdf.org —
											pour créer une initiative qui montre
les femmes atteintes de cette maladie.
											En tant que poète,
j'ai commencé à travailler sur ce sujet,
											le trouvant tragique, hilarant
et parfois même joyeux.
											Je ne me sens pas diminuée par Parkinson ;
											je me sens distillée,
											et j'aime beaucoup la femme que je deviens
grâce à ce processus de distillation.
									",4 powerful poems about Parkinson's and growing older,Robin Morgan,11:57,"aging,disease,health,personal growth,poetry"
"
","
",4 powerful poems about Parkinson's and growing older,Robin Morgan,11:57,"aging,disease,health,personal growth,poetry"
"
											""No hay señales de lucha""
									","
											« Aucun Signe de Lutte » 

									",4 powerful poems about Parkinson's and growing older,Robin Morgan,11:57,"aging,disease,health,personal growth,poetry"
"
","
",4 powerful poems about Parkinson's and growing older,Robin Morgan,11:57,"aging,disease,health,personal growth,poetry"
