es,en,title,speaker,duration,tags
"
","
",Get your next eye exam on a smartphone,Andrew Bastawrous,6:33,"TED Fellows,health,invention,public health,sight,blindness"
"
											Existen 39 millones de personas
											ciegas en el mundo.
											El 80% de ellas
											vive en países de bajos 
recursos como Kenia,
											y la inmensa mayoría
											no tendría por qué estar ciega.
											Existe ceguera por enfermedades
											que se pueden curar o 
prevenir completamente.
									","
											There are 39 million people in the world
											who are blind.
											Eighty percent of them
											are living in low-income countries such as Kenya,
											and the absolute majority
											do not need to be blind.
											They are blind from diseases
											that are either completely curable or preventable.
									",Get your next eye exam on a smartphone,Andrew Bastawrous,6:33,"TED Fellows,health,invention,public health,sight,blindness"
"
","
",Get your next eye exam on a smartphone,Andrew Bastawrous,6:33,"TED Fellows,health,invention,public health,sight,blindness"
"
											Sabiendo esto, 
me mudé a Kenia
											con mi joven familia.
											Conseguimos equipo médico,
											fondos, vehículos, preparamos 
un grupo de trabajo,
											instalamos cientos de clínicas por
											el gran valle del Rift
											para tratar y entender 
una simple pregunta:
											¿Por qué la gente 
sufre de ceguera
											y qué podemos hacer?
									","
											Knowing this, with my young family,
											we moved to Kenya.
											We secured equipment,
											funds, vehicles, we trained a team,
											we set up a hundred clinics throughout
											the Great Rift Valley
											to try and understand a single question:
											why are people going blind,
											and what can we do?
									",Get your next eye exam on a smartphone,Andrew Bastawrous,6:33,"TED Fellows,health,invention,public health,sight,blindness"
"
","
",Get your next eye exam on a smartphone,Andrew Bastawrous,6:33,"TED Fellows,health,invention,public health,sight,blindness"
"
											Los retos fueron grandes.
											A donde fuera
que íbamos,
											instalábamos nuestro 
equipo de alta tecnología.
											Rara vez había energía 
eléctrica disponible.
											Teníamos que utilizar 
generadores de gasolina
											para utilizar nuestro equipo.
											Y entonces algo 
se me ocurrió:
											tenía que haber 
una manera más fácil,
											porque los pacientes 
que más necesitan
											acceso a atención ocular
											son los que menos la tienen.
									","
											The challenges were great.
											When we got to where we were going,
											we set up our high-tech equipment.
											Power was rarely available.
											We'd have to run our equipment
											from petrol power generators.
											And then something occurred to me:
											There has to be an easier way,
											because it's the patients who are the most in need
											of access to eye care
											who are the least likely to get it.
									",Get your next eye exam on a smartphone,Andrew Bastawrous,6:33,"TED Fellows,health,invention,public health,sight,blindness"
"
","
",Get your next eye exam on a smartphone,Andrew Bastawrous,6:33,"TED Fellows,health,invention,public health,sight,blindness"
"
											En Kenia y en el África negra
											más gente tiene acceso
											a un teléfono celular
											que a agua corriente limpia.
											Así que pensamos, 
¿podríamos aprovechar
											el poder de la tecnología móvil
											para brindar atención 
ocular de una nueva manera?
											Entonces desarrollamos Peek,
											un sistema para teléfonos 
inteligentes que permite
											la comunicación entre 
los trabajadores de la salud
											y los faculta para brindar 
atención donde sea.
											Estamos reemplazando el equipo 
tradicional de los hospitales,
											que es costoso, voluminoso y frágil
											con aplicaciones y harware
											que hacen posible 
examinar a quien sea
											en cualquier lengua 
y de cualquier edad.
											Aquí tengo una demostración
											de un bebé de tres meses al 
que se le examinó certeramente
											la visión usando una app y 
un seguidor del movimiento del ojo.
									","
											More people in Kenya,
											and in sub-Saharan Africa,
											have access to a mobile phone
											than they do clean running water.
											So we said, could we harness
											the power of mobile technology
											to deliver eye care in a new way?
											And so we developed Peek,
											a smartphone [system] that enables
											community healthcare workers
											and empowers them to deliver eye care everywhere.
											We set about replacing
traditional hospital equipment,
											which is bulky, expensive and fragile,
											with smartphone apps and hardware
											that make it possible to test anyone
											in any language and of any age.
											Here we have a demonstration
											of a three-month-old having their vision
											accurately tested using an app and an eye tracker.
									",Get your next eye exam on a smartphone,Andrew Bastawrous,6:33,"TED Fellows,health,invention,public health,sight,blindness"
"
","
",Get your next eye exam on a smartphone,Andrew Bastawrous,6:33,"TED Fellows,health,invention,public health,sight,blindness"
"
											Hemos hecho muchas pruebas
											en comunidades y en escuelas
											y a partir de las lecciones 
que aprendimos en el campo
											nos hemos dado cuenta que 
es extremadamente importante
											compartir los datos 
en un lenguaje coloquial
											que la gente pueda entender
											qué estamos examinando 
y qué significa para ellos.
											Así por ejemplo,
											usamos nuestra aplicación,
											una vez que hemos 
medido la visión,
											les enseñamos a 
los cuidadores y maestros
											cómo ven el mundo 
estas personas,
											para que empaticen 
con ellos y los ayuden.
									","
											We've got many trials going on
											in the community and in schools,
											and through the lessons that
we've learned in the field,
											we've realized it's extremely important
											to share the data in non-medical jargon
											so that people understand
											what we're examining and what that means to them.
											So here, for example,
											we use our sight sim application,
											once your vision has been measured,
											to show carers and teachers
											what the visual world is like for that person,
											so they can empathize with them and help them.
									",Get your next eye exam on a smartphone,Andrew Bastawrous,6:33,"TED Fellows,health,invention,public health,sight,blindness"
"
","
",Get your next eye exam on a smartphone,Andrew Bastawrous,6:33,"TED Fellows,health,invention,public health,sight,blindness"
"
											Una vez que diagnosticamos 
que alguien tiene una visión pobre,
											el siguiente gran reto 
es averiguar el porqué
											y para lograrlo
											tenemos que entrar 
al interior del ojo.
											Tradicionalmente, 
se requiere equipo costoso
											para examinar 
el área llamada retina.
											La retina es la parte 
de nuestros ojos
											que tiene toneladas de 
información acerca del cuerpo
											y de su salud.
											Desarrollamos un 
hardware de bajo costo
											impreso en 3D
											que cuesta menos 
de USD 5 producir
											que se puede sujetar 
a un teléfono inteligente
											y logra obtener vistas
											de la parte trasera del ojo
											de muy alta calidad.
											Y la belleza de esto es que 
cualquiera puede hacerlo.
											En nuestras pruebas 
en más de 2500 personas
											el teléfono con este complemento
											es similar a una cámara
											que es mucho más costosa
											y mucho más difícil de transportar.
									","
											Once we've discovered somebody has low vision,
											the next big challenge is to work out why,
											and to be able to do that,
											we need to have access to the inside of the eye.
											Traditionally, this requires expensive equipment
											to examine an area called the retina.
											The retina is the single part of the eye that has
											huge amounts of information about the body
											and its health.
											We've developed 3D-printed,
											low-cost hardware
											that comes in at less than five dollars to produce,
											which can then be clipped onto a smartphone
											and makes it possible to get views
											of the back of the eye
											of a very high quality.
											And the beauty is, anybody can do it.
											In our trials on over two and half thousand people,
											the smartphone with the add-on clip
											is comparable to a camera
											that is hugely more expensive
											and hugely more difficult to transport.
									",Get your next eye exam on a smartphone,Andrew Bastawrous,6:33,"TED Fellows,health,invention,public health,sight,blindness"
"
","
",Get your next eye exam on a smartphone,Andrew Bastawrous,6:33,"TED Fellows,health,invention,public health,sight,blindness"
