es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
",How to truly listen,Evelyn Glennie,32:09,"creativity,entertainment,live music,music,performance"
"
											No estoy realmente segura de querer ver
											un redoblante a eso de las 9 de la mañana. (risas)
											Pero de todos modos, es increíble ver un teatro tan lleno,
											y realmente debo agradecerle a Herbie Hancock
											y sus colegas por esta gran presentación.
											Una de las cosas interesantes,
											por supuesto, es la combinación de esa mano directa en el instrumento,
											la tecnología y, por supuesto, lo que dijo acerca de escuchar a nuestros jóvenes.
									","
											Sabahın dokuzu gibi bir saatte bir trampet görmek
											isteyip istemediğimden pek de emin değilim.
											Ama her neyse, böylesi dolu bir salon görmek harika,
											ve gerçekten Herbie Hancock ve meslektaşlarına
											böyle harika bir sunum yaptıkları için teşekkür etmeliyim.
											İlginç şeylerden biri, tabii ki
											o enstrüman üzerindeki saf elin teknoloji ile kombinasyonuydu
											ve elbette genç insanlarımızı dinlemek hakkında soyledikleri.
									","
											Je ne suis pas tout à fait certaine d'avoir vraiment envie de voir
											une caisse claire à neuf heures du matin.
											Mais c'est quand même génial de voir ce théâtre aussi plein
											et je tiens vraiment à remercier Herbie Hancock
											et ses collègues pour leur superbe présentation.
											Ce qui est intéressant
											est évidemment l'association du touché brut de la main sur l'instrument
											et de la technologie, et bien entendu ce qu'il a dit à propos d'écouter les jeunes.
									","
											Ich bin nicht ganz sicher ob ich wirklich
											um ca. 9 Uhr morgens eine Snare Drum sehen möchte.
											Aber auf jeden Fall ist es großartig, so ein gefülltes Haus zu sehen
											und ich muss Herbie Hancock
											und seinen Kollegen wirklich für so eine tolle Präsentation danken.
											Eine der interessanten Sachen ist natürlich
											die Kombination der nackten Hand am Instrument
											und der Technik, und natürlich, was er über das Zuhören zu unseren jungen Leuten gesagt hat.
									",How to truly listen,Evelyn Glennie,32:09,"creativity,entertainment,live music,music,performance"
"
","
","
","
",How to truly listen,Evelyn Glennie,32:09,"creativity,entertainment,live music,music,performance"
"
											Por supuesto, mi trabajo se trata de escuchar,
											y mi objetivo, en realidad, es enseñarle al mundo a escuchar.
											Ese es mi único objetivo verdadero en la vida.
											Y suena bastante simple, pero en realidad es un trabajo muy, muy grande.
											Porque ustedes saben, cuando se mira una pieza musical -por ejemplo,
											si abro mi pequeño bolso- tenemos aquí, espero,
											una pieza de música que está llena de pequeños puntos negros en la página.
											Y saben, la abrimos y leo la música.
											Por lo tanto técnicamente yo puedo leer esto.
											Voy a seguir las instrucciones: las indicaciones de tempo, las dinámicas.
											Voy a hacer exactamente lo que me dice.
											Y así, como el tiempo es corto,
											tocaré literalmente las primeras dos líneas más o menos. Es muy sencillo.
											No hay nada demasiado difícil en la pieza.
											Pero aquí me dice que la pieza de música es muy rápida.
											Me dice en qué parte del redoblante tocar.
											Me dice qué parte de las baquetas debo usar.
											Y me dice la dinámica.
											Y me dice también que el redoblante no tiene bordona.
											Con bordona, sin bordona.
											Por lo tanto, si yo traduzco esta pieza de música, tendremos esta idea.
											Y así sucesivamente. Mi carrera probablemente duraría unos cinco años (risas).
									","
											Tabii ki, benim işim tamamen dinlemekle ilgili,
											ve amacım da, gerçekten, dünyaya dinlemeyi öğretmek.
											Bu benim hayattaki tek gerçek hedefim.
											Ve kulağa çok basit gibi geliyor ama, aslında bu çok çok büyük bir iş.
											Çünkü biliyorsunuz, bir parça müziğe baktığınızda — örneğin,
											eğer sadece şu küçük motorsiklet çantamı açabilirsem — buradaki, umarım,
											üzeri küçük siyah noktalarla dolu sayfanın üzerinde bir parça müzik var.
											Ve biliyorsunuz, biz onu açarız ve ben müziği okurum.
											Yani teknik olarak, ben bunu hakikaten okuyabilirim.
											Açıklamaları takip ederim, tempo işaretlerini, dinamiğini
											Bana söylenenleri aynen yaparım.
											Ve bu yüzden, zaman kısa olduğu için,
											Eğer size yalnızca olduğu gibi ilk belki iki satırı falan çalarsam. Bu çok basit.
											Bu eserin zor olan hiç bir tarafı yok.
											Fakat burada bana bu müzik parçasının oldukça hızlı olduğu söyleniyor.
											Çalarken trampetin neresini kullanacağım söyleniyor.
											Sopaların hangi kısmını kullanacağım söyleniyor.
											Ve bana dinamiği söyleniyor.
											Ve ayrıca bana trampetin kirişsiz olacağı da söyleniyor.
											Kirişler takılı, kirişler çıkık
											O halde, eğer bu parçayı tercüme edersem, şöyle bir fikir ortaya çıkar.
											Gibi. Muhtemelen kariyerim beş yıl kadar sürerdi.
									","
											Bien sûr, écouter est mon travail,
											et mon but est véritablement d'enseigner au monde à écouter.
											C'est mon seul vrai but dans la vie.
											Et cela semble fort simple, mais c'est en fait un énorme boulot.
											Parce que, lorsqu'on regarde une partition — par exemple,
											si j'ouvre mon petit sac de moto — il y a, je l'espère,
											une partition remplie de petits points noirs sur la page.
											On l'ouvre, et je lis la musique.
											Donc, techniquement, je suis à même de lire ceci.
											Je suivrai les instructions, les marques de tempo, la dynamique.
											Je ferai exactement ce qu'on me dit.
											Et ainsi donc, le temps étant compté,
											Si je vous joue littéralement juste les 2 premières lignes. C'est très simple.
											Ce morceau n'est pas très difficile.
											Mais ici, on me dit que ce morceau est très rapide.
											On me dit où jouer sur le tambour.
											On me dit quelle partie de la baguette utiliser.
											Et on m'indique la dynamique.
											Et on me dit aussi que la caisse est sans timbre.
											Avec timbre, sans timbre.
											Ainsi donc, si je traduis cette partition, voilà l'idée.
											Et ainsi de suite. Ma carrière durera probablement 5 ans environ.
									","
											Natürlich, in meinem Job geht es immer ums Hören
											und mein Ziel ist es wirklich, die Welt das Hinhören zu lehren.
											Das ist mein einziges, wahres Ziel im Leben.
											Und das hört sich ziemlich einfach an, aber in Wahrheit ist es eine ziemlich große Aufgabe.
											Denn wissen Sie, wenn Sie ein Musikstück anschauen - zum Beispiel,
											ich öffne mal meine kleine Motorradtasche - haben wir hier, hoffentlich,
											ein Musikstück, das voller kleiner schwarzer Punkte auf dem Blatt ist.
											Und, wissen Sie, wir öffnen es und ich lese die Musik
											So, technisch gesehen, kann ich das hier wirklich lesen.
											Ich werde den Instruktionen folgen, den Tempo Markierungen, der Dynamik.
											Ich werde genau das machen, was mir gesagt wird.
											Und deshalb, weil die Zeit knapp ist,
											wenn ich Ihnen jetzt wortgetreu vielleicht nur die ersten zwei Zeilen oder so vorspielen.Es ist sehr unkompliziert.
											Das Stück ist überhaupt nicht kompliziert.
											Aber hier wird mir gesagt, das Musikstück ist sehr schnell.
											Es wird mir gesagt, wo auf der Trommel ich spielen soll.
											Es wird mir gesagt, welchen Teil des Sticks ich benutzen soll.
											Und mir wird die Dynamik gesagt.
											Desweiteren wird mir gesagt, dass die Trommel ohne Snares ist.
											Snares an, Snares aus.
											Also, wenn ich dieses Musikstück übersetze, bekommen wir so etwas.
											Und so weiter. Meine Karriere würde wahrscheinlich etwa 5 Jahre dauern.
									",How to truly listen,Evelyn Glennie,32:09,"creativity,entertainment,live music,music,performance"
"
","
","
","
",How to truly listen,Evelyn Glennie,32:09,"creativity,entertainment,live music,music,performance"
"
											Sin embargo, lo que tengo que hacer como músico es hacer todo lo que no está en la partitura.
											Todo lo que no hay tiempo de aprender de un maestro,
											o incluso de hablar con un maestro.
											Pero son justamente las cosas que uno nota cuando no está con el instrumento
											las que de hecho se vuelven tan interesantes que uno desea explorarlas
											a través de esta pequeña, pequeña superficie de redoblante.
											Bien: experimentamos la traducción. Ahora experimentaremos la interpretación.
											Ahora mi carrera podría durar un poco más! (risas)
									","
											Fakat, bir müzisyen olarak benim yapmam gereken, notada yazılı olmayan herşeydir.
											Bir öğretmenden öğrenmeye zaman olmayan herşeyi,
											bir öğretmenle konuşmaya bile fırsat olmayacak herşeyi yapmaktır.
											Esas enstrümanınızla birlikte değilken farkettiğiniz birtakım şeyler
											inanılmaz ilginç ve trampetin bu küçücük yüzeyi aracılığıyla
											keşfetmek isteyeceğiniz şeylere dönüşüyor.
											Ve işte, tercümenin deneyimine vardık. Şimdi de yorumu tecrübe edeceğiz.
											Şimdi kariyerim birazcık daha uzun sürebilir.
									","
											Néanmoins, en tant que musicienne, je me dois de faire tout ce qui n'est pas dans la musique.
											Tout ce que l'on n'a pas le temps d'apprendre d'un professeur,
											ou même de discuter avec un professeur.
											Mais ce sont les choses que l'on remarque lorsque l'on n'est pas en présence de son instrument
											qui deviennent en fait intéressantes, et que l'on veut explorer
											via la minuscule surface d'un tambour.
											Nous avons ici fait l'expérience de la traduction. Maintenant, faisons l'expérience de l'interprétation.
											Ma carrière durera maintenant un peu plus longtemps !
									","
											Jedenfalls, als Musiker muss ich alles dazutun, das nicht auf dem Musikstück steht.
											Alles, wofür keine Zeit ist, um es von einem Lehrer zu lernen,
											oder wofür der Lehrer keine Zeit hat, um darüber zu reden.
											Aber es sind die Dinge, die man bemerkt, wenn man nicht gerade sein Instrument spielt
											die tatsächlich so interessannt werden, und die man auskundschaften möchte
											durch diese winzig kleine Oberfläche einer Trommel.
											Also — wir haben die Übersetzung gehört. Jetzt werden wir die Interpretation hören.
											Nun könnte meine Karriere etwas länger andauern!
									",How to truly listen,Evelyn Glennie,32:09,"creativity,entertainment,live music,music,performance"
"
","
","
","
",How to truly listen,Evelyn Glennie,32:09,"creativity,entertainment,live music,music,performance"
"
											Pero en cierto modo, saben, es lo mismo si miro y veo
											una resplandeciente joven usando una blusa rosa.
											Veo que está apretando un oso de peluche, etc, etc.
											Así obtengo una idea básica de cómo puede ser, de qué cosas posiblemente le gusten,
											de cuál sea quizás su profesión, etcétera, etcétera.
											Sin embargo esta es sólo la idea inicial que yo tendría, que todos tenemos
											cuando de hecho miramos. Y tratamos de interpretarla,
											pero en realidad es tan increíblemente superficial.
											De la misma manera miro la partitura, tengo una idea básica,
											me pregunto qué es lo que podría resultarme técnicamente difícil, o qué es lo que quiero hacer.
											Sólo la sensación básica.
									","
											Fakat, bir şekilde, siz de biliyorsunuz, bu benim size bakıp pembe bir bluz giymiş
											hoş zeki bir hanımefendi görmemle aynı şey.
											Oyuncak bir ayıya sıkıca sarılmış olduğunuzu görmemle, vesaire vesaire.
											Böylece hakkınızda az çok bir fikre sahip olurum, neleri sevebileceğiniz
											nasıl bir işle meşgul olabileceğiniz, vesaire vesaire.
											Ancak, bu sadece, biliyorsunuz, gerçekten baktığımız zaman hepimizin edindiği
											bir ilk izlenimdir. Ve biz bunu yorumlamaya çalışırız,
											fakat aslında bu inanılmaz derecede yüzeyseldir.
											Aynı şekilde, müziğe bakarım, temel bir fikir edinirim,
											Teknik olarak neyin zor olabileceğini düşünürüm, yada bilirsiniz işte, ne yapmak istediğimi.
											Sedece o temel duyguyu.
									","
											D'une certaine façon, c'est la même chose que si je vous regarde et que je vois
											une jolie jeune femme pétillante portant un haut rose.
											Je vous vois serrer un ours en peluche, et cetera et cetera.
											Alors je me fais une idée générale de ce que vous êtes, ce que vous pourriez aimer
											quelle pourrait être votre profession, et cetera et cetera.
											Pourtant, il s'agit juste de la première impression que nous avons tous
											lorsque nous regardons. Et nous essayons d'interpréter,
											mais ceci est en fait incroyablement superficiel.
											De la même manière, je regarde la musique, je m'en fais une idée de base
											je me demande quelles sont les difficultés techniques ou ce que je veux faire.
											Seulement le sentiment initial.
									","
											Aber auf eine Art, wissen Sie, ist es das gleiche als wenn ich Sie anschaue und
											eine nette, kluge junge Frau mit einem pinken Oberteil sehe.
											Ich sehe, dass Sie einen Teddybär umklammern, und so weiter und so weiter.
											So bekomme ich eine grundlegende Idee davon, wie Sie vielleicht sein könnten, was Sie vielleicht mögen,
											was vielleicht Ihr Beruf ist, und so weiter und so weiter.
											Aber, das ist, wissen Sie, der erste Eindruck den ich vielleicht habe, den wir alle haben
											wenn wir wirklich hinschauen. Und wir versuchen, etwas hinein zu interpretieren,
											aber in Wahrheit ist das unglaublich oberflächlich.
											Auf die gleiche Art sehe ich auf die Musik, bekomme einen ersten Eindruck,
											überlege, was technisch vielleicht schwierig wird, oder, wissen Sie, was ich tun möchte.
											Nur das grundlegende Gefühl dafür.
									",How to truly listen,Evelyn Glennie,32:09,"creativity,entertainment,live music,music,performance"
"
","
","
","
",How to truly listen,Evelyn Glennie,32:09,"creativity,entertainment,live music,music,performance"
"
											Sin embargo, esto simplemente no es suficiente.
											Y creo que lo dijo Herbie - por favor, escuchen, escuchen.
											Tenemos que escucharnos a nosotros mismos, en primer lugar.
											Si yo toco, por ejemplo, sosteniendo la baqueta - en caso de que, literalmente, no me suelte de ella –
											voy a experimentar una gran cantidad de sacudidas subiendo a través del brazo.
											Y uno se siente - créanlo o no -
											bastante desconectada del instrumento y de la baqueta,
											a pesar de que en realidad estoy sujetándola muy firmemente.
											Sujetándola fuerte, me siento extrañamente más separada.
											Si yo simplemente libero mi mano, mi brazo, y le permito ser más un sistema de soporte,
											repentinamente tengo más dinámica con menos esfuerzo. Mucho más.
											Y me siento, por fin, que soy una con la baqueta y una con el redoblante.
											Y estoy haciendo mucho, mucho menos.
									","
											Ancak, bu tek başına yeterli değildir.
											Ve Herbie' nin dediğini düşünürüm — lütfen dinle, dinle.
											Kendimizi dinlemeliyiz, her şeyden önce.
											Eğer çalarsam, örneğin, bageti tutarak — tam anlamıyla bageti bırakmadan tuttuğumda—
											kolunuzdan yukarı gelen şiddetli bir sarsıntıyı hissedersiniz.
											Ve kendinizi, ister inanın ister inanmayın,
											hem enstrümandan hem de bagetten oldukça kopuk hissedersiniz
											aslında bageti oldukça sıkıca tutuyor olmama rağmen.
											Bageti sıkıca tutarak, garip bir şekilde daha kopuk hissediyorum.
											Eğer sadece basitçe bırakırsam ve elimin, kolumun daha çok bir destek sistemi olmasına izin verirsem
											birdenbire daha az çabayla daha fazla dinamiğe sahip oluyorum. Çok daha fazla.
											Ve kendimi, en sonunda, bagetle ve trampetle bir hissediyorum.
											Ve çok çok daha az şey yapıyorum.
									","
											Cependant ce n'est tout simplement pas assez.
											Et je pense à ce qu'a dit Herbie "" Écoute s'il te plaît, écoute.""
											Dans un premier temps, nous devons nous écouter nous-mêmes.
											Si je joue, par exemple en tenant la baguette — de manière à ne pas la laisser aller —
											on ressent beaucoup de choc le long du bras.
											Et croyez le ou non, on se sent vraiment très
											séparé de l'instrument et de la baguette,
											même si, en fait, je tiens la baguette très fermement.
											En la tenant fermement, je me sens étrangement plus détachée.
											Si je lâche prise et que je permets à ma main, mon bras de devenir un dispositif de support
											j'ai soudainement plus de dynamique en fournissant moins d'effort. Beaucoup plus.
											Et enfin, je sens que je ne fais plus qu'un avec la baguette et le tambour.
											Et j'en fais beaucoup, beaucoup moins.
									","
											Aber das ist einfach nicht genug.
											Und ich denke an das, was Herbie sagte - bitte hören Sie zu, hören Sie zu.
											Als erstes müssen wir uns selbst zuhören.
											Wenn ich zum Beispiel spiele, während ich den Stick halte - wenn ich ihn wörtlich nicht loslasse -
											wird man durch den Arm eine ziemlich große Erschütterung spüren.
											Und Sie werden sich - ob Sie es glauben oder nicht -
											abgetrennt von dem Instrument und dem Stick fühlen,
											obwohl ich den Stick wirklich sehr fest halte.
											Weil ich ihn so fest halte fühle ich mich sonderbarerweise noch getrennter.
											Wenn ich einfach locker lasse und meine Hand, meinen Arm eher ein unterstützendes System sein lasse,
											habe ich plötzlich mehr Dynamik mit weniger Anstrengung. Viel mehr.
											Und endlich fühle ich mich eins mit dem Stick und eins mit der Trommel.
											Und ich mache viel, viel weniger.
									",How to truly listen,Evelyn Glennie,32:09,"creativity,entertainment,live music,music,performance"
