en,pt,tr,title,speaker,duration,tags
"
","
","
",Why school should start later for teens,Wendy Troxel,10:33,"sleep,parenting,children,education,TEDx,community,health,personal growth,policy,science,social change,society"
"
											It's six o'clock in the morning,
											pitch black outside.
											My 14-year-old son
is fast asleep in his bed,
											sleeping the reckless,
deep sleep of a teenager.
											I flip on the light and physically
shake the poor boy awake,
											because I know that,
like ripping off a Band-Aid,
											it's better to get it over with quickly.
									","
											São seis horas da manhã,
											está escuro lá fora.
											O meu filho de 14 anos 
está a dormir na sua cama,
											num sono despreocupado 
e profundo de adolescente.
											Eu acendo a luz e sacudo 
o pobre rapaz para o acordar,
											porque sei que, tal como
arrancar um penso rápido,
											é melhor que seja feito depressa.
									","
											Saat sabahın 6'sı,
											dışarısı zifiri karanlık.
											14 yaşındaki oğlum derin uykusunda,
											bir ergenin derin ve kayıtsız uykusunda.
											Işığı açıyorum ve zavallı çocuğu
sarsarak uyandırıyorum
											çünkü bu, biliyorum ki 
yara bandını çıkarmak gibi,
											bu işi çabucak bitirmek daha iyidir.
									",Why school should start later for teens,Wendy Troxel,10:33,"sleep,parenting,children,education,TEDx,community,health,personal growth,policy,science,social change,society"
"
","
","
",Why school should start later for teens,Wendy Troxel,10:33,"sleep,parenting,children,education,TEDx,community,health,personal growth,policy,science,social change,society"
"
											(Laughter)
									","
											(Risos)
									","
											(Kahkahalar)
									",Why school should start later for teens,Wendy Troxel,10:33,"sleep,parenting,children,education,TEDx,community,health,personal growth,policy,science,social change,society"
"
","
","
",Why school should start later for teens,Wendy Troxel,10:33,"sleep,parenting,children,education,TEDx,community,health,personal growth,policy,science,social change,society"
"
											I have a friend who yells ""Fire!""
just to rouse her sleeping teen.
											And another who got so fed up
											that she had to dump cold water
on her son's head
											just to get him out of bed.
											Sound brutal ...
											but perhaps familiar?
									","
											Tenho uma amiga que grita ""Fogo!""
só para acordar o seu adolescente.
											E outra que ficou tão farta
											que atirava água fria à cabeça do filho
											só para tirá-lo da cama.
											Parece brutal...
											mas talvez familiar?
									","
											Çocuğunu uyandırmak için ""Yangın var!""
diye bağıran bir arkadaşım var.
											Ve bir diğeri o kadar bıkmış ki
											sadece oğlunu yataktan
kaldırmak için üzerine soğuk suyu
											boca etmek zorunda kalmıştı.
											Biraz gaddarca sanki,
											ama belki de aşina olduğumuz bir şey.
									",Why school should start later for teens,Wendy Troxel,10:33,"sleep,parenting,children,education,TEDx,community,health,personal growth,policy,science,social change,society"
"
","
","
",Why school should start later for teens,Wendy Troxel,10:33,"sleep,parenting,children,education,TEDx,community,health,personal growth,policy,science,social change,society"
"
											Every morning I ask myself,
											""How can I —
											knowing what I know
											and doing what I do for a living —
											be doing this to my own son?""
											You see,
											I'm a sleep researcher.
									","
											Todas as manhãs me pergunto:
											""Como posso
											— sabendo o que sei
											e tendo o emprego que tenho —
											""fazer isto ao meu próprio filho?""
											Sabem,
											sou investigadora do sono.
									","
											Her sabah kendime soruyorum,
											"" Ben nasıl olur da —
											ne bildiğini bilen
											ve ekmeğini bu işten 
kazanan biri olarak —
											kendi oğluma böyle bir şeyi 
reva görebilirim?
											Anlayacağınız üzere,
											ben bir uyku araştırmacısıyım.
									",Why school should start later for teens,Wendy Troxel,10:33,"sleep,parenting,children,education,TEDx,community,health,personal growth,policy,science,social change,society"
"
","
","
",Why school should start later for teens,Wendy Troxel,10:33,"sleep,parenting,children,education,TEDx,community,health,personal growth,policy,science,social change,society"
"
											(Laughter)
									","
											(Risos)
									","
											(Kahkahalar)
									",Why school should start later for teens,Wendy Troxel,10:33,"sleep,parenting,children,education,TEDx,community,health,personal growth,policy,science,social change,society"
"
","
","
",Why school should start later for teens,Wendy Troxel,10:33,"sleep,parenting,children,education,TEDx,community,health,personal growth,policy,science,social change,society"
"
											So I know far too much about sleep
											and the consequences of sleep loss.
											I know that I'm depriving my son
of the sleep he desperately needs
											as a rapidly growing teenager.
											I also know that by waking him up
											hours before his natural
biological clock tells him he's ready,
											I'm literally robbing him
of his dreams —
											the type of sleep most associated
with learning, memory consolidation
											and emotional processing.
									","
											Por isso, conheço muito sobre o sono
											e sobre as consequências da falta de sono.
											Sei que estou a privar o meu filho do sono
que ele desesperadamente precisa
											como um adolescente em crescimento.
											Também sei que, ao acordá-lo
											horas antes de o seu relógio biológico 
lhe dizer que ele está pronto,
											estou literalmente a roubar-lhe os sonhos,
											o tipo de sono mais associado 
à aprendizagem, à consolidação da memória,
											e ao processamento emocional.
									","
											Evet, uyku hakkında çok şey biliyorum
											ve uyku yetersizliğinin sonuçlarını da.
											Biliyorum ki hızla büyüyen bir ergenin
gerçekten ihtiyaç duyduğu
											uykudan oğlumu mahrum ediyorum.
											Ve biliyorum ki doğal biyolojik saati,
											ona hazır olduğunu söylemeden,
saatler öncesinden uyandırarak,
											tabiri caizse, onun rüyalarını çalıyorum—
											öğrenmeyle, hafıza yoğunlaştırmayla 
ve duygusal işlemlerle
											alakalı olan uykusunu.
									",Why school should start later for teens,Wendy Troxel,10:33,"sleep,parenting,children,education,TEDx,community,health,personal growth,policy,science,social change,society"
"
","
","
",Why school should start later for teens,Wendy Troxel,10:33,"sleep,parenting,children,education,TEDx,community,health,personal growth,policy,science,social change,society"
