en,fr,tr,title,speaker,duration,tags
"
","
","
","Me Too is a movement, not a moment",Tarana Burke,16:15,"sexual violence,social change,women,activism,society,gender,gender equality,humanity,culture,personal growth,leadership"
"
											I've been trying to figure out
what I was going to say here for months.
											Because there's no bigger stage than TED,
											it felt like getting my message right
in this moment
											was more important than anything.
											And so I searched and searched
for days on end,
											trying to find the right
configuration of words.
											And although intellectually,
											I could bullet point the big ideas
that I wanted to share about Me Too
											and this movement that I founded,
											I kept finding myself
falling short of finding the heart.
											I wanted to pour myself into this moment
											and tell you why even the possibility
of healing or interrupting sexual violence
											was worth standing and fighting for.
											I wanted to rally you to your feet
with an uplifting speech
											about the important work of fighting
for the dignity and humanity of survivors.
											But I don't know if I have it.
									","
											Cela fait des mois que j'essaie
de trouver ce que j'allais dire ici.
											Parce qu'il n'y a pas
de plus grande scène que TED,
											j'avais l'impression que faire passer
mon message en ce moment
											était plus important que tout.
											J'ai donc cherché et cherché
pendant des jours,
											en essayant de trouver
la bonne configuration des mots.
											Et même si intellectuellement,
											je pourrais énumérer les grandes idées
que je voulais partager à propos de Me Too
											et ce mouvement que j'ai fondé,
											je ne parvenais pas à trouver l'émotion.
											Je voulais me plonger dans ce moment
											et vous dire pourquoi
même la possibilité de guérir
											ou d'interrompre les violences sexuelles
											valait la peine d'être défendue
et de se battre.
											Je voulais vous rallier à cette cause
par un discours édifiant
											sur l'important travail
											de lutte pour la dignité
et l'humanité des survivants.
											Mais je ne sais pas si j'en suis capable.
									","
											Burada ne söyleyeceğimi
aylardır kurgulamaya çalışıyorum.
											Çünkü TED'den daha büyük bir sahne yok,
											bu sahnede mesajımı doğru açıklayabilmem
											her şeyden daha önemliydi.
											Günlerce ve günlerce düşündüm,
											doğru sözcükleri bulmaya çalıştım.
											Düşünsel olarak sorun yoktu,
											Me Too hakkında paylaşmak istediğim
fikirleri listeleyebilirdim
											ve başlattığım bu akım hakkında
											ama içten gelen duyguyu
yansıtmakta güçlük çekiyordum.
											Bu akımla ilgili tüm duygularımı
dökmek istiyordum
											ve cinsel tacizi durdurma
veya iyileştirme ihtimalinin bile
											niçin savaşmaya değer olduğunu
size anlatmaya.
											Teşvik edici bir konuşmayla
ayaklarınızı yerden kesmek
											ve mağdurların onuru ve insanlığı için
savaşmanın öneminden konuşmak istedim.
											Ama buna sahip miyim bilmiyorum.
									","Me Too is a movement, not a moment",Tarana Burke,16:15,"sexual violence,social change,women,activism,society,gender,gender equality,humanity,culture,personal growth,leadership"
"
","
","
","Me Too is a movement, not a moment",Tarana Burke,16:15,"sexual violence,social change,women,activism,society,gender,gender equality,humanity,culture,personal growth,leadership"
"
											The reality is,
											after soldiering through
the Supreme Court nomination process
											and attacks from the White House,
											gross mischaracterizations,
											internet trolls
											and the rallies and marches
											and heart-wrenching testimonies,
											I'm faced with my own hard truth.
											I'm numb.
											And I'm not surprised.
											I've traveled all across
the world giving talks,
											and like clockwork, after every event,
											more than one person approaches me
											so that they can
say their piece in private.
											And I always tried to reassure them.
											You know, I'd give them local resources
											and a soft reassurance
that they're not alone
											and this is their movement, too.
											I'd tell them that we're stronger together
											and that this is a movement
of survivors and advocates
											doing things big and small every day.
									","
											La réalité est que,
											après avoir fait front durant le processus
de nomination à la Cour suprême
											et les attaques de la Maison-Blanche,
											les déformations,
											les trolls sur internet,
											les rassemblements, les marches,
											et les témoignages déchirants,
											je suis confrontée à ma propre vérité.
											Je suis engourdie.
											Et je ne suis pas surprise.
											J'ai voyagé à travers le monde
pour donner des conférences
											et inévitablement, après chaque événement,
											plusieurs personnes m'abordent
											pour qu'elles puissent dire
ce qu'elles ont à dire en privé.
											Et j'essaie toujours de les rassurer.
											Je leur donne des ressources locales
											et l'assurance qu'elles ne sont pas seules
											et que c'est aussi leur mouvement.
											Je leur ai dit qu'on était
plus fortes ensemble,
											et qu'il s'agit d'un mouvement
de survivants et de militants,
											qui font des choses
merveilleuses chaque jour.
									","
											Gerçek şu ki
											Yaşadığım onca şeyden sonra,
Temyiz Mahkemesi adaylık süreci
											ve Beyaz Saray'dan gelen saldırılar,
											yanlış tanımlamalar,
											internet trolleri
											ve yapılan yürüyüş ve eylemler
											ve de yürek burkan itiraflardan sonra
											kendi gerçeğimle yüzleştim.
											Hissizleştim.
											Şaşırmıyorum da.
											Konuşmalar yapmak için
dünyanın dört bir yanına seyahat ettim
											ve tıpkı saatle çalışır gibi
her etkinlik sonrası
											en az bir kişi yanıma yaklaşıyor ki
											tecrübelerini bana özel
olarak anlatabilsin.
											Onları hep teselli etmeye çalışıyorum.
											Yerel kaynaklardan bahsediyorum,
											yalnız olmadıkları
konusunda teselli veriyorum
											ve bunun onların akımı olduğu konusunda.
											Onlara birlikte daha güçlü
olduğumuzu söylerdim
											Bu akımın öncü ve mağdurlardan oluştuğunu
											ve her gün büyük
ve küçük şeyler yaptığımızı.
									","Me Too is a movement, not a moment",Tarana Burke,16:15,"sexual violence,social change,women,activism,society,gender,gender equality,humanity,culture,personal growth,leadership"
"
","
","
","Me Too is a movement, not a moment",Tarana Burke,16:15,"sexual violence,social change,women,activism,society,gender,gender equality,humanity,culture,personal growth,leadership"
"
											And more and more people
are joining this movement
											every single day.
											That part is clear.
											People are putting
their bodies on the line
											and raising their voices to say,
""Enough is enough.""
									","
											Et de plus en plus de gens
se joignent à ce mouvement
											chaque jour.
											Cette partie est claire.
											Les gens mettent leur corps en jeu
											et élèvent la voix pour dire :
« Ça suffit. »
									","
											Ve her geçen gün daha çok insan
											bu akıma katılıyor.
											İşin bu kısmı çok açık.
											İnsanlar öne atılıyorlar
											ve yüksek sesle
''Artık yeter'' diye bağırıyorlar.
									","Me Too is a movement, not a moment",Tarana Burke,16:15,"sexual violence,social change,women,activism,society,gender,gender equality,humanity,culture,personal growth,leadership"
"
","
","
","Me Too is a movement, not a moment",Tarana Burke,16:15,"sexual violence,social change,women,activism,society,gender,gender equality,humanity,culture,personal growth,leadership"
"
											So why do I feel this way?
											Well ...
											Someone with credible accusations
of sexual violence against him
											was confirmed to the Supreme Court
of the United States of America,
											again.
											The US President,
											who was caught on tape talking
about how he can grab women's body parts
											wherever he wants, however he wants,
											can call a survivor a liar
at one of his rallies,
											and the crowds will roar.
											And all across the world,
where Me Too has taken off,
											Australia and France,
											Sweden, China and now India,
											survivors of sexual violence
are all at once being heard
											and then vilified.
											And I've read article
after article bemoaning ...
											wealthy white men
											who have landed softly
with their golden parachutes,
											following the disclosure
of their terrible behavior.
											And we're asked to consider their futures.
									","
											Alors pourquoi je me sens comme ça ?
											Eh bien...
											Une personne ayant des accusations fondées
de violence sexuelle contre lui
											a été confirmée à la Cour suprême
des États-Unis d'Amérique,
											encore une fois.
											Le président des États-Unis,
											qui a été filmé en train d'expliquer
comment il peut saisir
											les parties du corps des femmes
où il veut, comme il veut,
											peut traiter une survivante de menteuse
lors d'un de ses rassemblements
											et la foule éclatera de rire.
											Et partout dans le monde,
là où Me Too a décollé,
											en Australie et en France,
											en Suède, en Chine et maintenant en Inde,
											les survivants de violences sexuelles
sont à la fois entendus
											et ensuite diffamés.
											Et j'ai lu tant d'articles larmoyants
											sur de riches hommes blancs
											ayant atterri en douceur
avec leurs parachutes dorés
											à la suite de la révélation
de leur terrible comportement.
											Et on nous demande
de considérer leur avenir.
									","
											Peki ben niçin böyle hissediyorum?
											Sebebi...
											Kendisine karşı elle tutulur
cinsel taciz suçlamaları olan biri
											Amerika Birleşik Devletleri
Yüksek Mahkemesi tarafından onaylandı,
											bir kez daha.
											ABD Başkanı,
											kadınların vücudunu
istediği her yerde, istediği her şekilde
											elleyebileceğini söylerken
ses kaydı alındı
											ve bir konuşması sırasında
bir mağdura yalancı diyebiliyor
											ve kalabalık adeta kükrüyor.
											Me Too hareketinin etkilediği
dünyanın her bir yanında,
											Avustralya ve Fransa,
											İsveç, Çin ve artık Hindistan'da
											cinzel taciz mağdurlarının sesi duyuluyor
											ve sonra aşağılanıyorlar.
											Varlıklı beyaz erkeklerden dem vuran
											sayısız makale okudum,
											o korkunç davranışlarının
ortaya çıkışından sonra
											her zaman altın paraşütleriyle
hiç yara almadan kurtulan erkekler.
											Onların geleceğini düşünmemiz isteniyor.
									","Me Too is a movement, not a moment",Tarana Burke,16:15,"sexual violence,social change,women,activism,society,gender,gender equality,humanity,culture,personal growth,leadership"
"
","
","
","Me Too is a movement, not a moment",Tarana Burke,16:15,"sexual violence,social change,women,activism,society,gender,gender equality,humanity,culture,personal growth,leadership"
"
											But what of survivors?
											This movement is constantly
being called a watershed moment,
											or even a reckoning,
											but I wake up some days feeling
like all evidence points to the contrary.
									","
											Mais qu'en est-il
de celui des survivants ?
											Ce mouvement est constamment
considéré comme un moment décisif,
											voire une prise de conscience,
											mais je me réveille
parfois avec le sentiment
											que tout indique le contraire.
									","
											Peki ya mağdurların?
											Bu akım için sürekli
bir dönüm noktası deniliyor,
											hatta bir hesap sorma dönemi.
											Ama ben bazı günler tüm kanıtların
aksini işaret ettiğini hissediyorum.
									","Me Too is a movement, not a moment",Tarana Burke,16:15,"sexual violence,social change,women,activism,society,gender,gender equality,humanity,culture,personal growth,leadership"
