en,es,pt,fr,de,title,speaker,duration,tags
"
","
","
","
","
",The beauty of being a misfit,Lidia Yuknavitch,12:58,"failure,creativity,books,beauty,identity,humanity,personal growth,self,writing,TED Books"
"
											So I know TED is about a lot
of things that are big,
											but I want to talk to you
about something very small.
											So small, it's a single word.
											The word is ""misfit.""
											It's one of my favorite words,
because it's so literal.
											I mean, it's a person
who sort of missed fitting in.
											Or a person who fits in badly.
											Or this: ""a person who is poorly adapted
											to new situations and environments.""
											I'm a card-carrying misfit.
											And I'm here for the other
misfits in the room,
											because I'm never the only one.
											I'm going to tell you a misfit story.
									","
											Sé que TED trata de cosas grandiosas,
											pero yo quiero hablarles 
de algo muy pequeño.
											Tan pequeño que cabe en una sola palabra.
											La palabra es ""inadaptado"".
											Es una de mis palabras favoritas, 
porque es muy literal.
											Es decir, una persona 
que no logra adaptarse.
											O una persona que se adapta mal.
											O esto: ""una persona que se adapta 
de forma deficiente
											a las nuevas situaciones y entornos"".
											Soy una inadaptada acreditada.
											Y estoy aquí para el resto 
de los inadaptados de esta sala,
											porque nunca soy la única.
											Les contaré 
una historia de una inadaptada.
									","
											Sei que a TED engloba
muitas coisas grandiosas,
											mas eu quero falar-vos
de algo muito pequeno.
											Tão pequeno, que é uma só palavra.
											A palavra é ""desajustado"".
											É uma das minhas palavras preferidas,
por ser tão literal.
											É uma pessoa
que falhou ao ajustar-se.
											Ou uma pessoa
que não se ajusta adequadamente.
											Ou ""uma pessoa que se adapta mal
a novas situações e ambientes.""
											Eu sou uma desajustada certificada.
											E estou aqui
pelos outros desajustados na sala,
											porque nunca sou a única.
											Vou contar-vos
a história de uma desajustada.
									","
											Je sais que TED s'intéresse
aux grands projets.
											Mais je souhaite vous parler 
de quelque chose d'infime.
											Si petit qu'il se résume en un seul mot :
											le mot « marginal ».
											C'est l'un de mes mots préférés 
parce qu'il est tellement littéral.
											Il s'agit d'une personne
qui s'est retrouvé en marge.
											Quelqu'un qui correspond
difficilement aux normes,
											« une personne qui s'adapte mal
											à de nouvelles situations
ou des environnements nouveaux. »
											Je suis une membre du club des marginaux.
											Je suis devant vous au nom
des autres marginaux présents ici,
											parce que je ne suis jamais la seule.
											Je vais vous raconter
une histoire de marginale.
									","
											Ich weiß, bei TED geht es um Großes,
											aber ich möchte über etwas
sehr Kleines sprechen —
											so klein, nur ein einziges Wort:
											""Außenseiter"".
											Es ist eines meiner Lieblingswörter,
weil es für sich spricht:
											Es ist eine Person, die irgendwie
außen an der Seite steht
											oder nicht richtig
zu den anderen passt.
											Oder ""eine Person, die sich schlecht
											an neue Situationen
und Umgebungen anpassen kann.""
											Ich bin eine bekennende Außenseiterin.
											Ich stehe hier für alle
Außenseiter in diesem Raum,
											weil ich nie die einzige bin.
											Ich erzähle Ihnen
eine Außenseiter-Geschichte.
									",The beauty of being a misfit,Lidia Yuknavitch,12:58,"failure,creativity,books,beauty,identity,humanity,personal growth,self,writing,TED Books"
"
","
","
","
","
",The beauty of being a misfit,Lidia Yuknavitch,12:58,"failure,creativity,books,beauty,identity,humanity,personal growth,self,writing,TED Books"
"
											Somewhere in my early 30s,
											the dream of becoming a writer
came right to my doorstep.
											Actually, it came to my mailbox
											in the form of a letter that said
I'd won a giant literary prize
											for a short story I had written.
											The short story was about my life
as a competitive swimmer
											and about my crappy home life,
											and a little bit about how grief
and loss can make you insane.
											The prize was a trip to New York City
to meet big-time editors and agents
											and other authors.
											So kind of it was the wannabe
writer's dream, right?
											You know what I did the day
the letter came to my house?
											Because I'm me,
											I put the letter on my kitchen table,
											I poured myself a giant glass of vodka
											with ice and lime,
											and I sat there in my underwear
for an entire day,
											just staring at the letter.
											I was thinking about all the ways
I'd already screwed my life up.
											Who the hell was I to go to New York City
											and pretend to be a writer?
											Who was I?
									","
											En alguna parte a mis treintaitantos,
											el sueño de convertirme 
en escritora llegó justo a mi puerta.
											En realidad, 
se trataba de mi buzón de correo
											en forma de carta donde se leía que 
había ganado un premio literario gigante
											por un cuento que había escrito.
											La corta historia era sobre mi vida 
como nadadora de competición
											y sobre mi patética vida familiar,
											y un poco sobre cómo el dolor y 
la pérdida puede volverte loca.
											El premio era un viaje a la ciudad 
de Nueva York para reunirse
											con grandes editores, 
agentes y otros autores.
											Era el sueño del aspirante 
a escritor, ¿verdad?
											¿Saben qué hice el día 
que la carta llegó a mi casa?
											Porque yo así
											puse la carta sobre la mesa de la cocina,
											me serví un vaso gigante de vodka
											con hielo y limón,
											y me quedé sentada en ropa interior 
durante un día entero,
											simplemente mirando la carta.
											Pensaba en todas las formas que 
ya en mi vida la había cagado.
											¿Quién demonios era yo para ir 
a la ciudad de Nueva York
											y fingir ser escritora?
											¿Quién era yo?
									","
											Quando tinha 30 e poucos anos,
											o sonho de me tornar escritora
bateu-me à porta.
											Na verdade, veio por correio,
											na forma de uma carta que dizia
que eu ganhara um prémio de literatura
											por um conto que escrevera.
											O conto era sobre a minha vida
como nadadora de competição,
											sobre a minha terrível vida familiar
											e um pouco sobre como a dor
e a perda nos podem enlouquecer.
											O prémio era uma viagem a Nova Iorque
para conhecer grandes editores e agentes
											e outros autores.
											Era o sonho de um escritor
em ascensão, certo?
											Sabem o que fiz no dia em que
a carta chegou a minha casa?
											Como sou assim,
pus a carta na mesa da cozinha,
											servi-me de um grande copo de vodka,
											com gelo e limão,
											e fiquei ali sentada, de roupa interior,
durante o dia todo,
											a olhar para a carta.
											Pensava em todas as asneiras
que já fizera na minha vida.
											Quem era eu para ir a Nova Iorque
e fingir ser uma escritora?
											Quem era eu?
									","
											Au début de la trentaine,
											le rêve de devenir écrivain
a sonné à ma porte.
											En fait, c'était un courriel,
											qui m'apprenait que j'avais gagné
un prix de littérature incroyable
											avec une de mes nouvelles.
											La nouvelle racontait ma vie
en tant que nageuse de compétition,
											et ma non-vie familiale,
											et combien la désolation et les pertes
peuvent vous rendre dingue.
											J'avais gagné un prix
qui m'amenait à New York,
											pour y rencontrer des éditeurs,
des agents et d'autres auteurs.
											C'était le rêve parfait
d'une apprentie écrivain.
											Devinez ce que j'ai fait le jour
où j'ai reçu cette lettre.
											Parce que je suis moi,
											j'ai donc posé la lettre sur la table,
											je me suis versé un méga verre de vodka,
											j'ai ajouté des glaçons et du citron,
											et je l'ai siroté toute la journée,
en sous-vêtements,
											le regard fixé sur la lettre.
											Je pensais à toutes ces fois
où j'avais déjà raté ma vie.
											Pour qui est-ce que je me prenais donc ?
											Moi ? Un écrivain ?
											Qui suis-je donc ?
									","
											Irgendwann, mit Anfang 30,
											kam der Traum, Schriftstellerin zu werden,
direkt zu mir nach Hause.
											Er landete im Briefkasten
											als ein Brief, der mir den Gewinn
eines riesigen Literaturpreises
											für eine meiner Kurzgeschichten mitteilte.
											In der Geschichte ging es um
mein Leben als Wettkampfschwimmerin
											und um mein beschissenes Leben zu Hause,
											und darum, wie Kummer und Verlust
einen in den Wahnsinn treiben können.
											Der Preis war eine Reise zu einem Treffen
mit großen Herausgebern,
											Agenten und Autoren in New York.
											Irgendwie der Traum eines
Möchtegern-Schriftstellers. Stimmt's?
											Und was habe ich gemacht,
als ich den Brief bekam?
											Weil ich ich bin,
											legte ich den Brief auf den Küchentisch,
											schenkte mir ein großes Glas Wodka ein,
											mit Eiswürfeln und Limette,
											und saß den ganzen Tag in Unterwäsche da,
											und starrte den Brief nur an.
											Ich dachte daran, wie oft ich
mein Leben ruiniert hatte.
											Wer zum Teufel war ich,
nach New York zu gehen
											und vorzugeben,
eine Schriftstellerin zu sein.
											Wer war ich denn?
									",The beauty of being a misfit,Lidia Yuknavitch,12:58,"failure,creativity,books,beauty,identity,humanity,personal growth,self,writing,TED Books"
"
","
","
","
","
",The beauty of being a misfit,Lidia Yuknavitch,12:58,"failure,creativity,books,beauty,identity,humanity,personal growth,self,writing,TED Books"
"
											I'll tell you.
											I was a misfit.
											Like legions of other children,
											I came from an abusive household
											that I narrowly escaped with my life.
											I already had two epically
failed marriages underneath my belt.
											I'd flunked out of college
not once but twice
											and maybe even a third time
that I'm not going to tell you about.
									","
											Se lo diré.
											Yo era una inadaptada.
											Al igual que legiones de otros niños,
											provenía de un hogar violento
											que por poco acabó con mi vida.
											Yo ya tenía dos matrimonios 
épicamente fallidos a mis espaldas.
											Tuve que abandonar la universidad 
no una sino dos veces,
											tal vez incluso tres pero que no contaré.
									","
											Eu digo-vos.
											Era uma desajustada.
											Como milhares de outras crianças,
											vinha de uma família abusiva
da qual escapei com vida por um triz.
											Já falhara redondamente
em dois casamentos.
											Reprovara na faculdade
não uma, mas duas vezes,
											e talvez até uma terceira vez,
da qual não vos irei falar.
									","
											Je vais vous le dire.
											J'étais une marginale.
											Comme tant d'autres enfants,
											j'ai grandi dans une famille violente,
											dont je suis rescapée, par chance.
											J'ai raté royalement deux mariages.
											On m'a expulsée de l'université,
deux fois.
											Voire même trois fois,
mais je n'oserai pas en parler.
									","
											Ich sage es Ihnen.
											Ich war eine Außenseiterin.
											Wie viele andere Kinder
											komme ich aus einer
gewaltgeprägten Familie,
											der ich nur mit knapper Not entkam.
											Ich habe bereits zwei
gescheiterte Ehen hinter mir,
											bin nicht einmal, sondern
zweimal vom College geflogen,
											und vielleicht sogar ein drittes Mal,
was ich hier verschweige.
									",The beauty of being a misfit,Lidia Yuknavitch,12:58,"failure,creativity,books,beauty,identity,humanity,personal growth,self,writing,TED Books"
"
","
","
","
","
",The beauty of being a misfit,Lidia Yuknavitch,12:58,"failure,creativity,books,beauty,identity,humanity,personal growth,self,writing,TED Books"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									","
											(Lachen)
									",The beauty of being a misfit,Lidia Yuknavitch,12:58,"failure,creativity,books,beauty,identity,humanity,personal growth,self,writing,TED Books"
"
","
","
","
","
",The beauty of being a misfit,Lidia Yuknavitch,12:58,"failure,creativity,books,beauty,identity,humanity,personal growth,self,writing,TED Books"
"
											And I'd done an episode
of rehab for drug use.
											And I'd had two lovely
staycations in jail.
											So I'm on the right stage.
									","
											Y había pasado por una rehabilitación 
por consumo de drogas.
											Y había pasado dos estancias 
vacacionales preciosas en la cárcel.
											Así que estoy en el escenario correcto.
									","
											Estivera num programa
de reabilitação por toxicodependência.
											E tivera duas estadias
encantadoras na prisão.
											Estou no palco certo.
									","
											Je suis passée
par la case désintoxication.
											J'ai eu le plaisir de séjourner
en prison. A deux reprises.
											On m'a bien choisie pour venir !
									","
											Ich war schon in einer
Entzugsklinik wegen Drogenkonsum.
											Zwei großartige Aufenthalte
im Gefängnis zählen auch dazu.
											Also bin ich hier richtig.
									",The beauty of being a misfit,Lidia Yuknavitch,12:58,"failure,creativity,books,beauty,identity,humanity,personal growth,self,writing,TED Books"
