es,pt,tr,en,de,title,speaker,duration,tags
"
","
","
","
","
",Why is 'x' the unknown?,Terry Moore,3:57,"culture,history,language,math"
"
											Les tengo la respuesta a una pregunta que todos hemos hecho.
											La pregunta es:
											¿por qué la letra X
											representa la incógnita?
											Sé que aprendemos esto en clase de matemáticas
											pero ahora está en todas partes en nuestra cultura:
											El premio X, los archivos X,
											Proyecto X, TEDx.
											¿De dónde viene esto?
									","
											Tenho a resposta para uma pergunta
que todos fizemos.
											A pergunta é:
											Por que razão é que a letra ""x""
											representa o desconhecido?
											Sei que aprendemos isso
nas aulas de matemática,
											mas agora está por todo o lado na cultura
											— o prémio X, os X-Files
[Ficheiros Secretos]
											o Projecto X, TEDx.
											De onde é que isso veio?
									","
											Hepimizin sorduğu bir 
sorunun cevabını biliyorum.
											Soru şu:
											X harfi neden bilinmeyeni
											temsil ediyor?
											Şimdi, bunu matematik 
dersinde öğrendiğimizi biliyorum
											ama bu artık kültürümüzün de içinde:
											x fiyatı, x dosyaları
											x projesi, TEDx.
											Bu nereden geldi?
									","
											I have the answer to a question that we've all asked.
											The question is,
											Why is it that the letter X
											represents the unknown?
											Now I know we learned that in math class,
											but now it's everywhere in the culture —
											The X prize, the X-Files,
											Project X, TEDx.
											Where'd that come from?
									","
											Ich habe die Antwort auf die Frage, die wir alle gestellt haben.
											Die Frage ist:
											Warum steht der Buchstabe X
											für das Unbekannte?
											Ja, ich weiß, wir haben das im Matheunterricht gelernt,
											aber jetzt ist es überall in der Kultur –
											Der X Prize, die X-Files,
											Project X, TEDx.
											Wo kommt das her?
									",Why is 'x' the unknown?,Terry Moore,3:57,"culture,history,language,math"
"
","
","
","
","
",Why is 'x' the unknown?,Terry Moore,3:57,"culture,history,language,math"
"
											Hace unos seis años
											decidí aprender árabe,
											que resulta ser un lenguaje supremamente lógico.
											Escribir una palabra, una frase
											o una oración en árabe
											es como elaborar una ecuación,
											ya que cada parte es extremadamente precisa
											y contiene mucha información.
											Esta es una de las razones
											más importantes por las que hemos llegado a pensar
											que los persas, árabes y turcos fueron los que realmente
											desarrollaron la ciencia occidental, las matemáticas y la ingeniería
											en los primeros siglos de nuestra era.
									","
											Há cerca de seis anos
											decidi aprender árabe,
											que afinal é uma linguagem
extremamente lógica.
											Escrever uma palavra, uma expressão
											ou uma frase em árabe
											é como construir uma equação,
											porque cada parte é extremamente precisa
											e contém muita informação.
											Essa é uma das razões
											para que tantas coisas
que temos vindo a pensar
											como a ciência, a matemática
e a engenharia ocidentais
											tenham sido trabalhadas
nos primeiros séculos da nossa era
											pelos persas, árabes e turcos.
									","
											Altı sene önce
											Arapça öğrenmeye karar verdim,
											ve bu dilin oldukça mantıklı 
olduğuna kanaat getirdim.
											Arapça'da bir cümle, kelime
											ya da bir tabir yazmak
											bir denklem oluşturmak gibi,
											çünkü her parça son derece net
											ve çokça bilgi taşıyor.
											Bu da sebeplerden birisidir ki,
											bugünkü Batı bilimi, matematiği
											ve mühendisliği olarak bildiğimiz,
											aslında miladın ilk birkaç 
yüzyılında Persliler, Araplar
											ve Türkler tarafından oluşturulmuştu.
									","
											About six years ago
											I decided that I would learn Arabic,
											which turns out to be a supremely logical language.
											To write a word or a phrase
											or a sentence in Arabic
											is like crafting an equation,
											because every part is extremely precise
											and carries a lot of information.
											That's one of the reasons
											so much of what we've come to think of
											as Western science and mathematics and engineering
											was really worked out in the first few centuries of the Common Era
											by the Persians and the Arabs and the Turks.
									","
											Vor etwa sechs Jahren
											entschied ich mich, Arabisch zu lernen,
											was sich als ungeheuer logische Sprache entpuppte.
											Das Schreiben eines Worts, einer Wortgruppe
											oder eines Satzes auf Arabisch
											entspricht dem Aufstellen einer Gleichung,
											denn jeder Teil ist extrem präzise
											und enthält eine Menge Informationen.
											Das ist einer der Gründe,
											dass so viel von dem, was wir für
											westliche Wissenschaft, Mathematik und Baukunst halten,
											eigentlich in den ersten paar Jahrhunderten unserer Zeitrechnung
											von den Persern, Arabern und Türken entwickelt wurde.
									",Why is 'x' the unknown?,Terry Moore,3:57,"culture,history,language,math"
"
","
","
","
","
",Why is 'x' the unknown?,Terry Moore,3:57,"culture,history,language,math"
"
											Esto incluye al pequeño sistema
											llamado al-jebra en árabe.
											Y al-jebra se traduce aproximadamente como
											“sistema para reconciliar partes dispares”.
											Al-jebra finalmente llegó al inglés como algebra (álgebra).
											Un ejemplo entre muchos.
									","
											Isto inclui o pequeno sistema árabe
											chamado ""al-jebra"".
											E ""al-jebra"" traduz-se mais ou menos
											por ""o sistema para reconciliar
partes díspares"".
											""Al-jebr"" surgiu no inglês como ""algebra"".
											Um exemplo entre muitos:
									","
											Bu Arapça'da ""al-jebra"" denen ufak bir
											sistemi kapsıyor.
											Ve al-jebr kabaca ""birbirinden bağımsız
											parçaları bir araya getirme sistemi"" 
anlamına gelir.
											Al-jebr dilimize en sonunda 
cebir olarak geldi.
											Bir çok örnekten sadece biri.
									","
											This includes the little system in Arabic
											called al-jebra.
											And al-jebr roughly translates to
											""the system for reconciling disparate parts.""
											Al-jebr finally came into English as algebra.
											One example among many.
									","
											Das beinhaltet das kleine System, das man auf Arabisch
											al-jebr nennt.
											Und al-jebr könnte man als
											""das System zum Abgleichen ungleicher Teile"" übersetzen.
											Al-jebr trat in die westlichen Sprachen als Algebra ein.
											Ein Beispiel von vielen.
									",Why is 'x' the unknown?,Terry Moore,3:57,"culture,history,language,math"
"
","
","
","
","
",Why is 'x' the unknown?,Terry Moore,3:57,"culture,history,language,math"
"
											Los textos árabes que contienen esta sabiduría matemática
											finalmente llegaron a Europa
											–es decir, a España–
											en los siglos XI y XII.
											Y cuando llegaron
											hubo un gran interés
											en trasladar esa sabiduría
											a un lenguaje europeo.
									","
											Os textos árabes que contêm
esta sabedoria matemática
											acabaram por chegar à Europa
											pela porta da Espanha,
											nos séculos XI e XII.
											E quando chegaram
											houve um interesse tremendo
											em traduzir esta sabedoria
											numa linguagem europeia.
									","
											Matematiksel ilme sahip bu kaynaklar
											sonunda 11. ve 12. yüzyıllarda
											Avrupa'ya, yani İspanya'ya
											ulaştılar.
											Ve ulaştıklarında
											bu matematiksel ilmi
											Avrupa dillerinden birine tercüme etmeye
											muazzam bir ilgi vardı.
									","
											The Arabic texts containing this mathematical wisdom
											finally made their way to Europe —
											which is to say Spain —
											in the 11th and 12th centuries.
											And when they arrived
											there was tremendous interest
											in translating this wisdom
											into a European language.
									","
											Die arabischen Texte mit den mathematischen Weisheiten
											schafften es schließlich bis nach Europa –
											genauer gesagt, Spanien –
											im 11. und 12. Jahrhundert.
											Und bei ihrer Ankunft
											bestand allergrößtes Interesse daran,
											diese Weisheit in eine europäische Sprache
											zu übersetzen.
									",Why is 'x' the unknown?,Terry Moore,3:57,"culture,history,language,math"
"
","
","
","
","
",Why is 'x' the unknown?,Terry Moore,3:57,"culture,history,language,math"
"
											Pero había problemas.
											Un problema
											es que hay ciertos sonidos en árabe
											que simplemente no pueden producirse en las voces europeas
											sin una gran cantidad de práctica.
											Créanme en esto.
											También, muchos de estos sonidos
											tienden a ser representados
											por caracteres que no existen en las lenguas europeas.
									","
											Mas havia problemas.
											Um problema é que há
alguns sons em árabe
											que não conseguem ser pronunciados
pelas vozes europeias,
											sem muita prática.
											Acreditem em mim.
											E também, esses mesmo sons
											acabam por não ser representados
											pelos caracteres disponíveis
nas línguas europeias.
									","
											Ama bazı sorunlar vardı.
											Sorunlardan biri:
											Arapça'da Avrupalı bir gırtlağın
											çok fazla pratik yapmadan çıkaramayacağı
											bazı sesler var.
											Bana bu konuda güvenebilirsiniz.
											Ayrıca bu sesler
											Avrupa dillerinde 
mevcut olan karakterlerle
											ifade edilemiyorlar da.
									","
											But there were problems.
											One problem
											is there are some sounds in Arabic
											that just don't make it through a European voice box
											without lots of practice.
											Trust me on that one.
											Also, those very sounds
											tend not to be represented
											by the characters that are available in European languages.
									","
											Aber es gab Probleme.
											Ein Problem ist,
											dass es im Arabischen ein paar Töne gibt,
											die sich mit einem europäischen Kehlkopf ohne viel Übung
											einfach nicht umsetzen lassen.
											Das können Sie mir glauben.
											Genau diese Töne
											werden meist nicht von den Zeichen,
											die wir in den europäischen Sprachen zur Verfügung haben, repräsentiert.
									",Why is 'x' the unknown?,Terry Moore,3:57,"culture,history,language,math"
