pt,en,es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
","
",Drawing on humor for change,Liza Donnelly,6:42,"art,comedy,culture,feminism,humor,media,peace,women"
"
											[Onde tudo começa]
											(Risos)
									","
											(Laughter)
									","
											(Risas)
									","
											Gülüşmeler
									","
											(Rires)
									","
											(Lachen)
									",Drawing on humor for change,Liza Donnelly,6:42,"art,comedy,culture,feminism,humor,media,peace,women"
"
","
","
","
","
","
",Drawing on humor for change,Liza Donnelly,6:42,"art,comedy,culture,feminism,humor,media,peace,women"
"
											Eu tinha medo de ser feminina.
											Não é que não tenha agora,
mas aprendi a fingir.
											Aprendi a ser flexível.
											De facto, desenvolvi 
algumas ferramentas interessantes
											para me ajudarem a lidar com este medo.
											Passo a explicar.
											Nos anos 50 e 60,
quando eu era criança,
											as raparigas deviam ser
queridas e pensativas,
											bonitas, educadas e gentis.
											Era suposto que encaixássemos nas regras
											que eram uma espécie de sombra.
											Não era muito claro o que devíamos ser.
									","
											I was afraid of womanhood.
											Not that I'm not afraid now,
											but I've learned to pretend.
											I've learned to be flexible.
											In fact, I've developed some interesting tools
											to help me deal with this fear.
											Let me explain.
											Back in the '50s and '60s, when I was growing up,
											little girls were supposed to be kind and thoughtful
											and pretty and gentle and soft,
											and we were supposed to fit into roles
											that were sort of shadowy —
											really not quite clear what we were supposed to be.
									","
											Tenía miedo a la feminidad.
											No que ahora no tenga,
											pero he aprendido a fingir.
											He aprendido a ser flexible.
											De hecho, he desarrollado algunas herramientas interesantes
											para ayudarme a lidiar con este miedo.
											Permítanme explicarles.
											En los años 50 y 60, cuando estaba creciendo,
											se suponía que las niñas eran amables y consideradas
											y bonitas y gentiles y suaves.
											Y se suponía que encajábamos en roles
											que eran poco claros.
											Realmente no estaba claro qué se suponía que debíamos ser.
									","
											Kadınlıktan korkardım eskiden.
											Şimdi de korkuyorum aslında ama
											korkmuyor gibi davranıyorum.
											Daha esnek olmayı öğrendim.
											Aslında, bu korkumu yenebilmek için
											bazı ilginç araçlar buldum.
											Müsadenizle açıklayayım.
											50'li ve 60'li yıllarda, yani benim büyüme çağımda
											küçük yaştaki kızların, nazik, düşünceli,
											şık, zarif, ve yumuşak huylu olmaları bekleniyordu.
											Ve çok iyi tanımlanmamış
											bazı rollere bürünmemiz bekleniyordu.
											Gerçekten de ne olmamız gerektiği çok net değildi.
									","
											J'avais peur de devenir une femme.
											Non pas que j'aie peur maintenant,
											mais j'ai appris à faire semblant.
											J'ai appris à être flexible.
											En fait, j'ai développé des outils intéressants
											pour m'aider à surmonter cette peur.
											Laissez-moi vous expliquer.
											Dans les années 1950 et 1960, quand j'étais petite,
											les petites filles étaient censées être aimables, sérieuses
											belles, douces, et tendres.
											Nous étions censées correspondre à des rôles
											qui étaient plutôt flous.
											Ce que nous étions censées faire n'était vraiment pas très clair.
									","
											Früher hatte ich Angst davor,
eine Frau zu sein.
											Nicht, dass ich heute
keine Angst mehr davor habe,
											aber ich habe gelernt, so zu tun als ob.
											Ich habe gelernt, flexibel zu sein.
											Ich habe ein paar
interessante Mittel entwickelt,
											die mir helfen, mit jener Angst umzugehen.
											Lassen Sie mich Ihnen das erklären.
											Als Kind in den 1950er und '60er Jahren,
											sollten kleine Mädchen
immer freundlich, rücksichtsvoll,
											hübsch, sanftmütig und weich sein.
											Wir sollten Rollenbilder erfüllen,
											die irgendwie verschwommen waren.
											Es war reichlich unklar,
was man von uns erwartete.
									",Drawing on humor for change,Liza Donnelly,6:42,"art,comedy,culture,feminism,humor,media,peace,women"
"
","
","
","
","
","
",Drawing on humor for change,Liza Donnelly,6:42,"art,comedy,culture,feminism,humor,media,peace,women"
"
											[Não sei o que vou ser quando for grande
— uma boa rapariga ou uma cabrita]
									","
											(Laughter)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Lachen)
									",Drawing on humor for change,Liza Donnelly,6:42,"art,comedy,culture,feminism,humor,media,peace,women"
"
","
","
","
","
","
",Drawing on humor for change,Liza Donnelly,6:42,"art,comedy,culture,feminism,humor,media,peace,women"
"
											Havia imensos modelos à nossa volta.
											Tínhamos as mães, tias, primas, irmãs,
											e, claro, os sempre presentes ""media""
											a nos bombardear com imagens e palavras,
											a dizer como ser.
											A minha mãe era diferente.
											Era dona de casa,
											mas não saíamos, nem fazíamos juntas
as ""coisas de mulheres"".
											e não me comprou adereços cor-de-rosa.
											Ela sabia do que eu precisava
e comprou-me um livro de cartunes.
											E eu absorvi-o.
Desenhei e desenhei.
											Eu sabia que o humor
era aceitável na minha família,
											que podia desenhar, fazer o que gostava,
											que não tinha de representar, de falar
											— eu era muito tímida —
											e que tinha a aprovação deles.
											Lancei-me como cartunista.
											Quando somos mais novos,
nem sempre sabemos...
											sabemos que há regras
											mas nem sempre o sabemos,
											não as cumprimos bem,
											mesmo quando somos marcados ao nascer
											com todas essas coisas.
											Disseram-nos qual é a cor
mais importante do mundo.
											[Cor-de-rosa]
											Disseram-nos qual a forma
que temos que ter.
											[Sim. é grande. Mas tu também.]
									","
											There were plenty of role models all around us.
											We had our mothers, our aunts, our cousins, our sisters,
											and of course, the ever-present media
											bombarding us with images and words,
											telling us how to be.
											Now my mother was different.
											She was a homemaker,
											but she and I didn't go out and do girlie things together,
											and she didn't buy me pink outfits.
											Instead, she knew what I needed, and she bought me a book of cartoons.
											And I just ate it up.
											I drew, and I drew,
											and since I knew that humor was acceptable in my family,
											I could draw, do what I wanted to do,
											and not have to perform, not have to speak —
											I was very shy —
											and I could still get approval.
											I was launched as a cartoonist.
											Now when we're young,
											we don't always know. We know there are rules out there,
											but we don't always know —
											we don't perform them right,
											even though we are imprinted at birth
											with these things,
											and we're told
											what the most important color in the world is.
											We're told what shape we're supposed to be in.
											(Laughter)
											We're told what to wear —
											(Laughter)
											— and how to do our hair —
											(Laughter)
											— and how to behave.
									","
											Había muchos ejemplos a nuestro alrededor.
											Teníamos a nuestras madres, tías, primas, hermanas
											y, desde luego, los medios siempre presentes,
											bombardeándonos con imágenes y palabras,
											diciéndonos cómo ser.
											Bueno, mi madre era dferente.
											Era ama de casa,
											pero ella y yo no salíamos a hacer cosas de chicas juntas.
											Y no me compraba conjuntos rosas.
											En cambio, sabía lo que yo necesitaba y me compró un libro de caricaturas.
											Y yo lo devoré.
											Dibujé y dibujé
											y dado que sabía que el humor era aceptable en mi familia,
											podía dibujar, hacer lo que quería hacer,
											y no tener que acutar, no tenía que hablar.
											Era muy tímida...
											y aun así podía obtener aprobación.
											Me lancé como caricaturista.
											Ahora, cuando eres joven
											no siempre sabes... Sabemos que hay reglas allá afuera,
											pero no siempre sabemos...
											No las cumplimos correctamente,
											a pesar de ser estampadas al nacer
											con esas cosas,
											y se nos dice
											cuál es el color más importante del mundo.
											Se nos dice qué figura debemos tener.
											(Risas)
											Se nos dice qué vestir...
											(Risas)
											y cómo arreglarnos el pelo...
											(Risas)
											y cómo comportarnos.
									","
											Çevremizde bol miktarda rol modeli olan kimseler vardı.
											Annelerimiz veya teyzelerimiz, kuzenlerimiz, kardeşlerimiz,
											ve tabi ki hiç bir zaman eksik olmayan,
											nasıl olmamız gerektiğini görüntüler ve sözcüklerle
											sürekli bize aşılayan medya.
											Benim annem farklıydı.
											Annem bir evhanımıydı,
											dışarıya çıkmazdık ve kızlar için çekici olan şeyler yapardık.
											Bana pembe renkli kıyafetler almadı hiç.
											Onun yerine, neye ihtiyacım olduğunu bildiğinden, bana bir karikatür kitabı aldı.
											Bir hışımla bitirdim.
											Çizdim, çizdim, ve ailemde
											mizahın kabul gördüğünü bildiğimden,
											istediğimi çizebilirdim.
											Gösteri yapıp, dil dökmem gerekmiyordu.
											Çok utangaçtım,
											fakat yine de onları ikna edebilirdim.
											Bir karikatürist olarak ortaya çıktım.
											Gençliğimizde,
											kuralların olduğunu biliyoruz fakat
											— her zaman bilemiyoruz —
											onları doğru şekilde uygulamıyoruz.
											Daha doğuştan bu yana bu tür şeylerden
											etkilenmiş de olsak,
											ve dünyadaki en önemli rengin
											ne olduğu bize söylenmiş de olsa.
											Ne şekilde olmamız/davranmamız gerektiği bize söylenmektedir.
											(Gülüşmeler)
											Ne giymemiz gerektiği ve
											(Gülüşmeler)
											saçımızı nasıl yapmamız gerektiği,
											(Gülüşmeler)
											ve nasıl davranmamız gerektiği bize söylenir.
									","
											Nous étions entourées de beaucoup de modèles.
											Nous avions nos mères, nos tantes, nos cousines, nos sœurs,
											et, bien sûr, les médias omniprésents
											qui nous bombardaient d'images et de formules,
											nous disant comment nous tenir.
											Mais ma mère était différente.
											Elle était mère au foyer,
											mais elle et moi ne sortions pas pour faire des trucs de filles ensemble.
											Et elle ne m'achetait pas de tenues roses.
											À la place, elle savait ce dont j'avais besoin, et elle m'a acheté une bande dessinée.
											Et je l'ai dévoré.
											Je dessinais, et je dessinais,
											et puisque je savais que l'humour était toléré dans ma famille,
											je pouvais dessiner, faire ce que je voulais,
											sans avoir à me représenter, sans avoir à parler —
											j'étais très timide —
											et j'obtenais tout de même l'approbation.
											J'étais lancée en tant que dessinatrice.
											Quand nous sommes enfants,
											nous ne savons pas toujours — nous savons qu'il y a des règles,
											mais nous ne savons pas toujours —
											nous ne les suivons pas bien,
											même si nous sommes imprégnés à la naissance
											de ces choses-là,
											et on nous dit
											quelle est la couleur la plus importante au monde.
											On nous dit dans quel moule nous sommes censés être.
											(Rires)
											On nous dit comment nous habiller —
											(Rires)
											— et comment nous coiffer —
											(Rires)
											et comment nous conduire.
									","
											Überall gab es viele Vorbilder für uns.
											Da waren unsere Mütter, unsere Tanten,
unsere Cousinen, unsere Schwestern
											und natürlich die allgegenwärtigen Medien,
											die uns mit Bildern und Worten überhäuften
											und uns vorschrieben,
wie wir zu sein hatten.
											Meine Mutter aber war anders.
											Sie war Hausfrau,
und sie und ich zogen nicht los
											und benahmen uns wie kleine Mädchen.
											Sie kaufte mir auch keine
rosafarbenen Klamotten,
											sondern wusste, was ich wirklich brauchte
und kaufte mir ein Comicbuch.
											Das habe ich verschlungen.
											Ich zeichnete von morgens bis abends.
											Und da ich wusste, dass Humor
in meiner Familie anerkannt wurde,
											konnte ich zeichnen und tun,
was ich wollte,
											und musste nichts leisten,
musste nicht reden —
											ich war nämlich sehr schüchtern —
											und bekam trotzdem Lob.
											So wurde ich zur Karikaturistin gemacht.
											Wenn wir noch jung sind,
											wissen wir zwar,
dass es im Leben Regeln gibt,
											aber wir wissen meist nicht —
											wir halten uns nicht genau daran,
											selbst wenn uns diese Dinge
											schon bei unserer Geburt eingeprägt werden
											und man uns sagt,
											welches die wichtigste Farbe im Leben ist.
											Man sagt uns, welcher Form
wir uns anpassen sollen.
											(Lachen)
											Man sagt uns, was wir anziehen sollen,
											(Lachen)
											— welche Frisur wir tragen —
											(Lachen)
											und wie wir uns benehmen sollen.
									",Drawing on humor for change,Liza Donnelly,6:42,"art,comedy,culture,feminism,humor,media,peace,women"
"
","
","
","
","
","
",Drawing on humor for change,Liza Donnelly,6:42,"art,comedy,culture,feminism,humor,media,peace,women"
"
											(Risos)
											Disseram-nos o que vestir
											[Agora temos que vestir aquilo?]
											(Risos)
											e como nos pentear.
											[Quero ser como a Sarah Palin,
mas não ser parecida com ela.]
											(Risos)
											e como nos comportar.
									","
											Now the rules that I'm talking about
											are constantly being monitored by the culture.
											We're being corrected,
											and the primary policemen are women,
											because we are the carriers of the tradition.
											We pass it down from generation to generation.
											Not only that —
											we always have this vague notion
											that something's expected of us.
											And on top of all off these rules,
											they keep changing.
											(Laughter)
											We don't know what's going on half the time,
											so it puts us in a very tenuous position.
									","
											Ahora, las reglas de las que hablo
											son constantemente controladas por la cultura.
											Se nos corrige.
											Y las principales policías son mujeres,
											porque somos las portadoras de la tradición.
											Y la pasamos de generación en generación.
											No únicamente
											tenemos siempre esta vaga idea de
											que se espera algo de nosotras.
											Sino que encima todas esas reglas
											cambian continuamente.
											(Risas)
											No sabemos qué está pasando la mitad del tiempo,
											así que nos pone en una situación delicada.
									","
											Şu anda bahsettiğim kurallar aslında
											kültür tarafından sürekli kontrol altında tutulmaktadır.
											Yaptığımız hatalarımız düzeltilmektedir.
											Ve bunu birinci derecede takip edecek kişiler kadınlardır,
											çünkü bizler geleneklerin taşıyıcılarıyız.
											Gelenekleri kuşaktan kuşağa aktarırız.
											Her zaman
											çok da net olmayan
											bizden birşeylerin beklendiği duygusu vardır.
											Bu kuralların varlığından da önemli olan şey
											bunların sürekli değişmeleridir.
											(Gülüşmeler)
											Genellikle neler olup bittiğini bilmiyoruz
											ve bu da bizim pozisyonumuzu zayıflatıyor.
									","
											Les règles dont je parle
											sont constamment contrôlées par la culture.
											Nous sommes corrigés.
											Et les premiers policiers sont en fait des femmes,
											parce que nous faisons perdurer la tradition.
											Nous la transmettons de génération en génération.
											Non seulement,
											nous avons toujours cette vague idée
											que l'on attend quelque chose de nous.
											Mais en plus d'avoir toutes ces règles,
											elles n'arrêtent pas de changer.
											(Rires)
											Nous ne savons pas ce qui se passe la plupart du temps,
											ce qui nous met dans une position très difficile.
									","
											Die Regeln, die ich meine,
											werden ständig von
unserer Kultur überwacht.
											Wir werden ständig korrigiert.
											Die ursprünglichen Polizisten
sind die Frauen,
											denn wir sind die tragenden
Säulen der Tradition.
											Wir reichen sie von Generation
zu Generation weiter.
											Und nicht nur das,
											wir haben auch immer
dieses unbestimmte Gefühl,
											dass von uns irgendetwas erwartet wird.
											Die wichtigste Regel aber besagt,
											dass sich Regeln ändern.
											(Lachen)
											Meistens wissen wir
gar nicht genau, was Sache ist,
											und das bringt uns
in eine sehr heikle Lage.
									",Drawing on humor for change,Liza Donnelly,6:42,"art,comedy,culture,feminism,humor,media,peace,women"
