en,es,title,speaker,duration,tags
"
","
",Why are drug prices so high? Investigating the outdated US patent system,Priti Krishtel,12:34,"medicine,business,health care,big problems,economics,United States,public health"
"
											For my husband,
it was love at first sight.
									","
											Para mi esposo, fue amor a primera vista.
									",Why are drug prices so high? Investigating the outdated US patent system,Priti Krishtel,12:34,"medicine,business,health care,big problems,economics,United States,public health"
"
","
",Why are drug prices so high? Investigating the outdated US patent system,Priti Krishtel,12:34,"medicine,business,health care,big problems,economics,United States,public health"
"
											(Laughter)
									","
											(Risas)
									",Why are drug prices so high? Investigating the outdated US patent system,Priti Krishtel,12:34,"medicine,business,health care,big problems,economics,United States,public health"
"
","
",Why are drug prices so high? Investigating the outdated US patent system,Priti Krishtel,12:34,"medicine,business,health care,big problems,economics,United States,public health"
"
											Here's what happened.
											Years ago, Rudy,
											who I had strictly put
in the friend zone at the time,
											came over to my house and met my dad,
											a pharmaceutical scientist
who had just retired
											after bringing a drug to market.
											My dad said,
											""Ah, you probably
wouldn't have heard of it.
											It's for IPF,
											idiopathic pulmonary fibrosis.""
											Rudy paused for a long time,
and then he said,
											""That's the disease that took
my father's life 15 years ago.""
											Rudy says that this
is the moment he fell in love.
									","
											Esto fue lo que pasó.
											Hace años, Rudy,
											a quien yo había puesto
estrictamente en la zona de amistad,
											vino a mi casa y conoció a mi padre,
											un químico farmacéutico
que se había jubilado recientemente
											después de lanzar
un medicamento al mercado.
											Mi padre dijo,
											""Ah, probablemente no sabes qué es.
											Es para la FPI,
											fibrosis pulmonar idiopática"".
											Rudy hizo una larga pausa, y luego dijo,
											""Esa es la enfermedad que 
se llevó a mi padre hace 15 años"".
											Rudy dice que ese fue el momento
en que se enamoró.
									",Why are drug prices so high? Investigating the outdated US patent system,Priti Krishtel,12:34,"medicine,business,health care,big problems,economics,United States,public health"
"
","
",Why are drug prices so high? Investigating the outdated US patent system,Priti Krishtel,12:34,"medicine,business,health care,big problems,economics,United States,public health"
"
											(Laughter)
									","
											(Risas)
									",Why are drug prices so high? Investigating the outdated US patent system,Priti Krishtel,12:34,"medicine,business,health care,big problems,economics,United States,public health"
"
","
",Why are drug prices so high? Investigating the outdated US patent system,Priti Krishtel,12:34,"medicine,business,health care,big problems,economics,United States,public health"
"
											With my father.
									","
											De mi padre.
									",Why are drug prices so high? Investigating the outdated US patent system,Priti Krishtel,12:34,"medicine,business,health care,big problems,economics,United States,public health"
"
","
",Why are drug prices so high? Investigating the outdated US patent system,Priti Krishtel,12:34,"medicine,business,health care,big problems,economics,United States,public health"
