en,pt,tr,es,title,speaker,duration,tags
"
","
","
","
",Lifesaving scientific tools made of paper,Manu Prakash,13:58,"disease,innovation,health care,invention,product design,TED Fellows,medicine"
"
											So, I love making tools
and sharing them with people.
											I remember as a child,
											my first tool I built
was actually a microscope
											that I built by stealing lenses
from my brother's eyeglasses.
											He wasn't that thrilled.
											But, you know, maybe
because of that moment,
											30 years later,
											I'm still making microscopes.
											And the reason I built these tools
is for moments like this.
									","
											Adoro fazer utensílios
e partilhá-los com as pessoas.
											Lembro-me que, em criança,
											a primeira coisa que construí
foi um microscópio
											que construí, roubando as lentes
dos óculos do meu irmão.
											Ele não ficou muito entusiasmado.
											Mas talvez por causa desse momento,
											30 anos depois,
ainda construo microscópios.
											Construo estes utensílios
por causa de momentos como este.
									","
											Evet, ben aletler yapıp bunları
insanlarla paylaşmayı seviyorum.
											Hatırlarım da çocukken
ilk yaptığım alet
											gerçek bir mikroskoptu;
											lenslerini, ağabeyimin gözlük
camlarını çalarak yapmıştım.
											Ama bu onu pek heyecanlandırmadı.
											Ama belki de sırf o an sayesinde,
											30 yıl sonra da,
											hâlâ mikroskop yapıyorum.
											Bugün böyle aletleri yapıyor
olmamın sebebi de, işte böyle anlardır.
									","
											Me encanta hacer herramientas
y compartirlas.
											Recuerdo que de niño,
											la primera herramienta que hice
fue un microscopio
											que construí con los lentes robados
de las gafas de mi hermano.
											Él no estaba tan emocionado.
											Pero, ya saben, 
quizá gracias a ese momento,
											30 años más tarde, aún hago microscopios.
											Y la razón por la que construí estas 
herramientas es por momentos como este.
									",Lifesaving scientific tools made of paper,Manu Prakash,13:58,"disease,innovation,health care,invention,product design,TED Fellows,medicine"
"
","
","
","
",Lifesaving scientific tools made of paper,Manu Prakash,13:58,"disease,innovation,health care,invention,product design,TED Fellows,medicine"
"
											(Video) Girl: I have
black things in my hair —
									","
											(Vídeo) Tenho coisas pretas
no meu cabelo...
									","
											(Video) Kız: Saçımda siyah bir şeyler var.
									","
											(Video) Chica: 
Tengo cosas negras en mi cabello.
									",Lifesaving scientific tools made of paper,Manu Prakash,13:58,"disease,innovation,health care,invention,product design,TED Fellows,medicine"
"
","
","
","
",Lifesaving scientific tools made of paper,Manu Prakash,13:58,"disease,innovation,health care,invention,product design,TED Fellows,medicine"
"
											Manu Prakash: This is a school
in the Bay Area.
									","
											Manu Prakash: Isto é uma escola
na Bay Area.
									","
											Manu Prakash: Bu, körfez bölgesindeki
okullardan biri.
									","
											Manu Prakash: Esta es una escuela 
en Bay Area.
									",Lifesaving scientific tools made of paper,Manu Prakash,13:58,"disease,innovation,health care,invention,product design,TED Fellows,medicine"
"
","
","
","
",Lifesaving scientific tools made of paper,Manu Prakash,13:58,"disease,innovation,health care,invention,product design,TED Fellows,medicine"
"
											(Video) MP: The living world
far supersedes our imagination
											of how things actually work.
									","
											(Vídeo) O mundo dos seres vivos
ultrapassa a nossa imaginação
											de como funcionam as coisas.
									","
											(Video) MP: Gerçek hayat, işlerin nasıl
yürüdüğü konusunda
											hayal gücümüzün çok ötesine geçer.
									","
											(Video) MP: El mundo real supera
ampliamente nuestra imaginación
											de cómo funcionan realmente las cosas.
									",Lifesaving scientific tools made of paper,Manu Prakash,13:58,"disease,innovation,health care,invention,product design,TED Fellows,medicine"
"
","
","
","
",Lifesaving scientific tools made of paper,Manu Prakash,13:58,"disease,innovation,health care,invention,product design,TED Fellows,medicine"
"
											(Video) Boy: Oh my God!
									","
											Oh meu Deus!
									","
											(Video) Oğlan: Aman Tanrım!
									","
											(Video) Chico: ¡Dios mío!
									",Lifesaving scientific tools made of paper,Manu Prakash,13:58,"disease,innovation,health care,invention,product design,TED Fellows,medicine"
"
","
","
","
",Lifesaving scientific tools made of paper,Manu Prakash,13:58,"disease,innovation,health care,invention,product design,TED Fellows,medicine"
"
											MP: Right — oh my God!
											I hadn't realized this would be
such a universal phrase.
									","
											MP: Certo. Oh meu Deus!
											Nunca me tinha dado conta
de que isto era uma frase universal.
									","
											MP: Haklı, aman Tanrım!
											Bunun, bu kadar evrensel bir deyiş
olacağını fark etmemiştim.
									","
											MP: Bien, ¡Dios mío!
											No sabía que fuera 
una expresión tan universal.
									",Lifesaving scientific tools made of paper,Manu Prakash,13:58,"disease,innovation,health care,invention,product design,TED Fellows,medicine"
"
","
","
","
",Lifesaving scientific tools made of paper,Manu Prakash,13:58,"disease,innovation,health care,invention,product design,TED Fellows,medicine"
