es,pt,tr,en,fr,de,title,speaker,duration,tags
"
","
","
","
","
","
",How movies teach manhood,Colin Stokes,12:53,"TEDx,culture,film,identity,men,parenting,movies"
"
											Lo que prefiero de ser papá
											son las películas que llego a ver.
											Me encanta compartir mis películas favoritas con mis hijos;
											cuando mi hija tenía 4 años,
											vimos «El mago de Oz» juntos.
											La película dominó su imaginación durante meses.
											Su personaje favorito era Glinda, por supuesto.
											Le dio una buena excusa para usar un vestido brillante
											y llevar una varita mágica.
									","
											A minha parte preferida de ser pai
											são os filmes que acabo por ver.
											Adoro partilhar os meus filmes preferidos
com os meus filhos.
											Quando a minha filha tinha quatro anos
											vimos ""O Feiticeiro de Oz"" juntos.
											Dominou-lhe totalmente
a imaginação durante meses.
											A sua personagem preferida
era a Glinda, claro.
											Deu-lhe uma ótima desculpa
											para usar um vestido cintilante
e andar com uma varinha.
									","
											Biliyor musunuz, baba olmanın en sevdiğim kısmı
											izleyebildiğim filmler.
											En sevdiğim filmleri çocuklarımla paylaşmaya bayılıyorum
											ve kızım dört yaşındayken
											""Oz Büyücüsü""'nü birlikte izledik.
											Onun hayal gücüne aylarca hükmetti.
											En sevdiği karakter Glinda idi tabii ki.
											Parlak elbiseler giymesi için ve sihirli değnek
											taşıması için harika bir mazeret oldu.
									","
											You know, my favorite part of being a dad
											is the movies I get to watch.
											I love sharing my favorite movies with my kids,
											and when my daughter was four,
											we got to watch ""The Wizard of Oz"" together.
											It totally dominated her imagination for months.
											Her favorite character was Glinda, of course.
											It gave her a great excuse to wear a sparkly dress
											and carry a wand.
									","
											Le meilleur moment, quand on est papa
											ce sont les films que je peux regarder.
											J'adore partager mes films préférés avec mes enfants,
											et quand ma fille avait quatre ans,
											nous avons regardé ""Le Magicien d'Oz"" ensemble.
											Ce film a complètement captivé 
son imagination pendant des mois.
											Son personnage préféré était Glinda, bien entendu.
											Ça lui donnait une bonne excuse 
pour porter une robe à paillettes
											et avoir une baguette magique.
									","
											Wissen Sie, das Beste am 
Vatersein sind für mich
											die Filme, die ich 
schauen kann.
											Ich liebe es, meine eigenen Lieblingsfilme 
mit meinen Kindern anzuschauen.
											Als meine Tochter 
vier Jahre alt war,
											haben wir zusammen 
„Der Zauberer von Oz“ geschaut.
											Der Film hat sie monatelang 
nicht mehr losgelassen.
											Ihr Lieblingscharakter 
war natürlich Glinda.
											So hatte sie eine gute Ausrede, 
ein glitzerndes Kleid zu tragen
											und einen Zauberstab 
dabeizuhaben.
									",How movies teach manhood,Colin Stokes,12:53,"TEDx,culture,film,identity,men,parenting,movies"
"
","
","
","
","
","
",How movies teach manhood,Colin Stokes,12:53,"TEDx,culture,film,identity,men,parenting,movies"
"
											Pero al ver esa película tantas veces,
											llegas a entender que es extraordinaria.
											Ahora vivimos y criamos a nuestros hijos
											en una especie de complejo industrial de espectáculos 
de fantasía infantil.
											Sin embargo, «El mago de Oz» fue un acontecimiento 
en sí mismo.
											No comenzó esa tendencia.
											La tendencia realmente tomó auge 
cuarenta años más tarde
											con, curiosamente, otra película
											cuyos protagonistas, un chico de metal
											y un chico peludo
											rescataban a una chica vestidos como guardia del enemigo.
											¿Sabes de lo que estoy hablando? (Risas)
											Sí.
									","
											Se virem este filme vezes suficientes,
											apercebem-se de como é fora do comum.
											No presente em que vivemos, 
criamos os nossos filhos
											numa espécie de complexo industrial
espetacular de fantasia infantil.
											Mas ""O Feiticeiro de Oz"" era único.
											Não começou essa moda.
											Foi quarenta anos mais tarde que
essa moda realmente pegou,
											curiosamente, com outro filme
											em que um tipo metálico e um tipo peludo
											salvavam uma rapariga vestindo-se
como os guardas do inimigo.
											Sabem de qual é que estou a falar? (Risos)
											Sim.
									","
											Ama filmi yeteri kadar izlerseniz,
											ne kadar olağandışı olduğunu farkediyorsunuz.
											Günümüzde çocuklarımızı bir tür
											muhteşem bir fantazi-endüstriyel-kompleksinde yetiştiriyoruz.
											Ama ""Oz Büyücüsü"" tek başına duruyor.
											Bu eğilimi o başlatmadı.
											Kırk sene sonra bu eğilimin tutulması,
											başka bir film ile oldu, ilginçtir ki
											bu filmde de metal bir adam
											ve türlü bir adam
											düşmanın nöbetçisi olarak giyinmiş bir kızı kurtarıyordu.
											Neden bahsettiğimi biliyor musunuz? (Kahkaha)
											Evet.
									","
											But you watch that movie enough times,
											and you start to realize how unusual it is.
											Now we live today, and are raising our children,
											in a kind of children's-fantasy-spectacular-industrial complex.
											But ""The Wizard of Oz"" stood alone.
											It did not start that trend.
											Forty years later was when the trend really caught on,
											with, interestingly, another movie
											that featured a metal guy
											and a furry guy
											rescuing a girl by dressing up as the enemy's guards.
											Do you know what I'm talking about? (Laughter)
											Yeah.
									","
											Mais si on regarde ce film assez de fois,
											on commence à se rendre compte
à quel point il est inhabituel.
											Le monde dans lequel nous vivons 
et élevons nos enfants
											est une sorte de complexe industriel 
d'un univers magique pour enfants.
											Mais ""Le Magicien d'Oz"" a fait figure d'exception.
											Il n'a pas initié cette tendance.
											Ce n'est que 40 ans plus que 
cette tendance a vraiment démarré,
											avec, étonnamment, un autre film
											mettant en scène un bonhomme en métal
											et un bonhomme tout poilu
											qui sauvent une fille en se déguisant 
en gardes ennemis.
											Vous voyez de quoi je parle ? 
(Rires)
											Oui.
									","
											Aber wenn man sich diesen 
Film oft genug anschaut,
											erkennt man, wie 
außergewöhnlich er eigentlich ist.
											Wir leben in der heutigen Zeit 
und ziehen unsere Kinder
											in einer Art spektakulären Kinderfantasie-
Industriemaschinerie groß.
											Aber „Der Zauberer von Oz“ 
war anders.
											Er hat diesen Trend 
nicht gestartet.
											Es hat 40 Jahre gedauert, 
bis dieser Trend sich durchsetzte,
											mit – interessanterweise – 
einem anderen Film,
											in dem ein Typ 
aus Metall
											und ein Typ 
mit viel Fell
											ein Mädchen gerettet haben, indem sie 
sich wie die Wachen des Feindes verkleideten.
											Sie wissen, wovon ich 
rede, oder? (Gelächter)
											Genau.
									",How movies teach manhood,Colin Stokes,12:53,"TEDx,culture,film,identity,men,parenting,movies"
"
","
","
","
","
","
",How movies teach manhood,Colin Stokes,12:53,"TEDx,culture,film,identity,men,parenting,movies"
"
											Hay una gran diferencia entre estas dos películas,
											hay un par de grandes diferencias entre «El mago de Oz»
											y todas las películas que vemos hoy.
											Una es que hay muy poca violencia en «El mago de Oz».
											Los monos son bastante agresivos, como los manzanos.
											Pero creo que si «El mago de Oz» se hiciese hoy,
											el mago diría: «Dorothy, eres la salvación de Oz
											como la profecía lo predijo.
											Usas zapatos mágicos para derrotar
											a los ejércitos generados por computadora 
de la malvada bruja».
											Pero eso no es lo que sucede.
									","
											Agora, há uma grande diferença
entre estes dois filmes,
											algumas grandes diferenças entre 
""O Feiticeiro de Oz""
											e todos os filmes que vemos hoje.
											Uma é que há muito pouca violência
em ""O Feiticeiro de Oz"".
											Os macacos são um bocado agressivos,
tal como as macieiras.
											Mas acho que se ""O Feiticeiro de Oz""
fosse feito hoje,
											o feiticeiro diria:
											""Dorothy, és a libertadora de Oz
que a profecia predisse.
											""Usa os teus chinelos mágicos
para derrotar
											""os exércitos gerados por computador 
da Bruxa Malvada.""
											Mas não é assim que acontece.
									","
											Şimdi, bu iki filmin arasında büyük bir fark var.
											""Oz Büyücüsü"" ve bugünlerde izlediğimiz filmler arasında
											birkaç büyük fark var.
											Bunlardan biri ""Oz Büyücüsü""nde çok az şiddet olması.
											Maymunlar biraz agresif, elma ağaçları da.
											Ama eğer ""Oz Büyücüsü"" bugün yapılsaydı,
											bence büyücü derdi ki ""Dorothy, sen kehanetin öngördüğü
											kurtarıcısın.
											Sihirli ayakkabılarını Kötü Cadı'nın bilgisayarla yaratılmış
											ordularını yenmek için kullan.""
											Ama böyle olmuyor.
									","
											Now, there's a big difference between these two movies,
											a couple of really big differences between ""The Wizard of Oz""
											and all the movies we watch today.
											One is there's very little violence in ""The Wizard of Oz.""
											The monkeys are rather aggressive, as are the apple trees.
											But I think if ""The Wizard of Oz"" were made today,
											the wizard would say, ""Dorothy, you are the savior of Oz
											that the prophecy foretold.
											Use your magic slippers to defeat
											the computer-generated armies of the Wicked Witch.""
											But that's not how it happens.
									","
											Il y a une grande différence entre ces deux films,
											quelques différences très importantes 
entre ""Le Magicien d'Oz""
											et tous les films que nous regardons aujourd'hui.
											La première est qu'il y a 
peu de violence dans ""Le Magicien d'Oz"".
											Les singes sont plutôt agressifs, 
ainsi que les pommiers.
											Mais je pense que si ""Le Magicien d'Oz"" 
devait être réalisé aujourd'hui,
											le magicien dirait, ""Dorothy, tu es le sauveur d'Oz
											dont parle la prophétie.
											Utilise tes chaussures magiques pour vaincre
											les armées de synthèse de la Méchante Sorcière.""
											Mais ça ne se passe pas comme ça.
									","
											Nun, es gibt es einen großen Unterschied 
zwischen diesen beiden Filmen,
											sogar mehrere große Unterschiede 
zwischen „Der Zauberer von Oz“
											und all den Filmen, 
die wir heute so schauen.
											Zunächst einmal gibt es in 
„Der Zauberer von Oz“ sehr wenig Gewalt.
											Die Affen sind ziemlich aggressiv, 
ebenso wie die Apfelbäume.
											Aber ich denke, wenn „Der Zauberer von Oz“ 
heutzutage produziert worden wäre,
											hätte der Zauberer gesagt: 
„Dorothy, du bist die Retterin von Oz,
											die uns einst prophezeit wurde.
											Benutze deine magischen Schuhe,
											um die von Computern erzeugten Armeen 
der bösen Hexe des Westens zu besiegen.“
											Aber so passiert es nicht.
									",How movies teach manhood,Colin Stokes,12:53,"TEDx,culture,film,identity,men,parenting,movies"
"
","
","
","
","
","
",How movies teach manhood,Colin Stokes,12:53,"TEDx,culture,film,identity,men,parenting,movies"
"
											Otra cosa única de «El mago de Oz»
											es que los personajes más heroicos,
											sabios e incluso villanos
											son mujeres.
									","
											Outra coisa que, é realmente única
em ""O Feiticeiro de Oz""
											é que todas as personagens
mais heroicas e sábias
											e mesmo as mais vis,
											são mulheres.
									","
											""Oz Büyücüsü""nü eşsiz yapan başka birşey de bence
											bütün görkemli ve bilge hatta
											kötü karakterlerin
											kadın olması.
									","
											Another thing that's really unique about ""The Wizard of Oz""
											to me is that all of the most heroic
											and wise and even villainous characters
											are female.
									","
											Une autre chose vraiment spécifique 
au ""Magicien d'Oz"" selon moi,
											est que, tous les personnages les plus héroïques
											et sages, même les méchants,
											sont des femmes.
									","
											Ein weiterer Punkt, den ich am 
„Zauberer von Oz“ sehr einzigartig finde,
											ist, dass die heldenhaftesten
											und klügsten und sogar 
niederträchtigsten Charaktere
											weiblich sind.
									",How movies teach manhood,Colin Stokes,12:53,"TEDx,culture,film,identity,men,parenting,movies"
"
","
","
","
","
","
",How movies teach manhood,Colin Stokes,12:53,"TEDx,culture,film,identity,men,parenting,movies"
"
											Comencé a notar esto
											cuando hice ver «Star Wars» a mi hija,
											unos años más tarde, y la situación era diferente.
											En ese momento, también tenía un hijo
											de solo 3 años.
											No fue invitado a la proyección porque aún 
era muy pequeño para eso.
											Pero era el segundo hijo,
											y el nivel de supervisión había bajado. (Risas)
											Por lo tanto, se deslizó en la sala
											y quedó impresionado
											como una mamá pata con sus patitos detrás,
											y no creo que él entendiera lo que pasaba,
											pero, indudablemente, absorbía todo.
									","
											Comecei a notar isto
											quando mostrei à minha filha
a ""Guerra das Estrelas"",
											o que aconteceu anos mais tarde,
e a situação era diferente.
											Nessa altura, eu também já tinha um filho.
											Ele tinha apenas três anos nessa altura.
											Não o chamámos para ver. 
Ele era demasiado novo.
											Mas já era o segundo filho
											e o nível de supervisão
tinha caído a pique.
											(Risos)
											Portanto, ele juntou-se a nós
											e aquilo gravou-se nele
											como acontece com a mamã pata 
e os seus patinhos.
											Acho que ele não percebe
o que está a acontecer
											mas está de certeza a absorver.
									","
											Bunu farketmeye
											kızıma ""Yıldız Savaşları""nı gösterirken başladım
											yıllar sonra ve durum çok farkıydı.
											Artık bir de oğlum vardı.
											O sadece üç yaşındaydı.
											Aslında filmi izlemeye davetli değildi, daha çok küçüktü.
											Ama ikinci çocuktu,
											denetim seviyesi de dibe vurmuştu. (Kahkaha)
											Böylece içeri girdi,
											ve film onun üzerinde sıkı bir iz bıraktı
											anne ördeğin yavrusunda bıraktığı etki gibi
											ve onun filmde neler olduğunu anladığını sanmıyorum,
											ama kesinlikle içine çekiyordu.
									","
											Now I started to notice this
											when I actually showed ""Star Wars"" to my daughter,
											which was years later, and the situation was different.
											At that point I also had a son.
											He was only three at the time.
											He was not invited to the screening. He was too young for that.
											But he was the second child,
											and the level of supervision had plummeted. (Laughter)
											So he wandered in,
											and it imprinted on him
											like a mommy duck does to its duckling,
											and I don't think he understands what's going on,
											but he is sure soaking in it.
									","
											J'ai commencé à m'en rendre compte
											quand j'ai montré ""Star Wars"" à ma fille,
											bien des années plus tard, 
et la situation était différente.
											A ce moment-là, j'avais aussi un fils.
											Il n'avait que trois ans à l'époque.
											Il n'était pas invité à la projection. 
Il était trop jeune pour ça.
											Mais il était le deuxième enfant,
											et le niveau de supervision avait baissé.
(Rires)
											Donc il est entré dans la salle,
											et ça l'a marqué
											comme une mère enseigne à son enfant,
											et je ne pense pas qu'il ait compris 
ce qui se passait,
											mais il s'en est imprégné.
									","
											Das habe ich das 
erste Mal bemerkt,
											als ich meiner Tochter 
„Star Wars“ gezeigt habe,
											was Jahre später war, 
und die Situation war anders.
											Zu jenem Zeitpunkt hatte 
ich ebenfalls einen Sohn.
											Er war zu der Zeit 
gerade einmal drei Jahre alt.
											Er war zu diesem Kinoabend nicht 
eingeladen. Dafür war er noch zu jung.
											Aber er war 
das zweite Kind
											und er wurde weitaus weniger beaufsichtigt 
als seine Schwester. (Gelächter)
											Also schlich 
er sich ein,
											und er hat sich 
den Film eingeprägt,
											wie sich ein Entenküken 
seine Mutter einprägt,
											und ich glaube nicht, dass er verstanden 
hat, was da vor sich ging,
											aber er hat es ganz sicher 
in sich aufgesogen.
									",How movies teach manhood,Colin Stokes,12:53,"TEDx,culture,film,identity,men,parenting,movies"
