tr,fr,de,title,speaker,duration,tags
"
","
","
",DJ decks made of ... paper,Kate Stone,11:45,"design,entertainment,materials,technology"
"
											Kağıdı çok seviyorum, teknolojiyi de
											ve kağıdı interaktif hale getiriyorum.
											İnsanlar bana ne yaptığımı sorduğunda da bunu söylüyorum,
											ama çoğunun kafası karışıyor,
											yani, bunu en iyi anlatmamın yolu:
											teknolojiyi almak ve yaratıcı olmak
											ve deneyimler yaratmak.
									","
											J'aime le papier, et j'aime la technologie,
											et je rends le papier interactif.
											C'est que je dis quand personne 
me demande ce que je fais,
											mais ça en perturbe beaucoup.
											donc vraiment, la meilleure manière 
pour moi de l'exprimer
											est de prendre la technologie 
et être créative
											et créer des experiences.
									","
											Ich liebe Papier und ich liebe Technologie,
											und ich gestalte Papier auf eine interaktive Weise.
											Das sage ich, wenn man mich fragt, was ich mache,
											aber das verwirrt die meisten Leute.
											Um ihnen zu vermitteln, was ich damit meine,
											nehme ich die Technologie und bin kreativ
											und erschaffe Erlebnisse.
									",DJ decks made of ... paper,Kate Stone,11:45,"design,entertainment,materials,technology"
"
","
","
",DJ decks made of ... paper,Kate Stone,11:45,"design,entertainment,materials,technology"
"
											Böylece burada ne kullanabileceğime kafa yordum
											ve birkaç hafta önce ilginç bir fikir geldi aklıma
											2 DJ seti print etmek
											ve müzik yapmak istedim.
											Ve sonda bunu göstermeyi deneyeceğim,
											çalışırsa ben de çok şaşıracağım açıkçası.
											Ben bir DJ de değilim müzisyen de.
											bu yüzden biraz endişeliyim.
											Yani bence, kalkıştığım bu şeyi anlatmanın en iyi yolu
											hayatımda başıma gelmiş birkaç şeyi
											anlatmak olacak.
											Şu ana kadar yaptığım 3 özel şey var
											ve önce bunları açıklayacağım,
											sonra da biraz işimden bahsedeceğim.
									","
											Alors j'ai essayé de trouver 
ce que je pouvais utiliser ici
											et il y a deux semaines, 
j'ai une idée folle :
											celle d'imprimer deux platines de DJ
											et essayer d'y mixer de la musique.
											Et j'essayerai de
vous le montrer à la fin,
											et le suspens en sera 
d'autant plus grand si ça fonctionne.
											Je ne suis pas une DJ, 
et je ne suis pas une musicienne,
											donc, j'ai un peu peur de ça.
											Je crois donc que le meilleur moyen 
de décrire mon trajet
											est de mentionner 
seulement quelques petites choses
											qui me sont arrivées 
tout au long de la vie.
											Il y a trois choses en particulier 
que j'ai faites
											et je décrirai d'abord seulement 
ces évènements
											et après, je parlerai de mon travail.
									","
											Also hab ich nachgedacht, 
was ich hier zeigen kann
											und vor ein paar Wochen 
hatte ich diese verrückte Idee,
											zwei DJ-Plattenspieler zu drucken
											und zu versuchen, damit Musik zu mixen.
											Das werde ich versuchen, am Ende vorzuführen,
											und ich bin ebenso aufgeregt, ob es funktioniert.
											Ich bin kein DJ und auch keine Musikerin,
											also habe ich etwas Angst davor.
											Ich glaube, ich hab den besten Weg gefunden, 
meine Reise zu beschreiben:
											ich werde zuerst ein paar Sachen erzählen,
											die mir in meinem Leben passiert sind.
											Es gibt drei besondere Dinge, 
die ich gemacht habe,
											und ich werde diese zuerst beschreiben,
											und danach über meine Arbeit sprechen.
									",DJ decks made of ... paper,Kate Stone,11:45,"design,entertainment,materials,technology"
"
","
","
",DJ decks made of ... paper,Kate Stone,11:45,"design,entertainment,materials,technology"
"
											Küçükken, kablolara takıntılıydım
											onları halımın altından geçirirdim
											duvarımın arkasından da
											ve böylece küçük elektrik düğmeleri ve hoparlörler yapardım
											odamı da interaktif hale getirmek istedim
											ama gizlice.
											Kablosuzla da oldukça igiliydim
											Böylece radyo vericisi yapmak için kullanılan
											küçük bir alet çantası aldım,
											bir tane de eski bir kitap alıp içini oydum
											ve bunu, kitabın içine sakladım
											sonra da bunu babamın yanına koydum
											Sonra sessizce odama geçip radyoyu açtım
											ki gizlice dinleyebileyim.
											Ne duyduğumla pek ilgilenmiyordum
											Daha çok bu fikri beğenmiştim:
											günlük bir obje gibi.
											Bir şeye sahip olabilmek
											ve değişik bir şey yapabilmek fikri.
									","
											Donc, quand j'étais petite, 
j'étais obsédée par les fils,
											et j'avais l'habitude de les enfiler 
sous mon tapis,
											les enfiler derrière les murs,
											avoir des petits interrupteurs 
et des petits haut-parleurs,
											et je voulais rendre 
ma chambre interactive
											mais un peu cachée.
											J'étais aussi très intéressée 
par la transmission sans fils
											J'ai donc acheté un de ces petits kits 
que vous pouviez obtenir
											pour construire un émetteur radio,
											et j'avais un vieux livre 
dont j'ai découpé l'intérieur
											et je l'ai caché là dedans,
											puis, je l'ai mis à côté de mon père,
											je me suis faufilé jusqu'à ma chambre 
et j'ai allumé la radio
											afin de l'espionner.
											Je n'étais en rien intéressée 
par ce qu'il disait.
											C'est plutôt que j'aimais l'idée
											d'un objet quotidien
											qui avait quelque chose à l'intérieur
											et faisait quelque chose d'autre.
									","
											Als Kind war ich von Kabeln besessen.
											Ich habe sie unter dem Teppich verlegt,
											und in den Wänden,
											und ich hatte kleine Schalter und Lautsprecher,
											ich wollte mein Schlafzimmer interaktiv machen,
											aber alles verborgen und unsichtbar.
											Ich war ebenfalls sehr am Kabellosen interessiert.
											Also kaufte ich eine von diesen Ausrüstungen,
											um einen Radiosender zu bauen,
											und ich nahm ein altes Buch, hüllte es aus
											und versteckte ihn darin.
											Dann legte ich es neben meinen Vater,
											rannte zurück in mein Zimmer 
und stimmte das Radio auf den Sender ab,
											sodass ich lauschen konnte.
											Es interessierte mich überhaupt nicht,
was er sagte,
											ich mochte vielmehr einfach nur die Idee,
											dass ein alltägliches Objekt
											etwas im Inneren hat,
											was etwas ganz anderes macht.
									",DJ decks made of ... paper,Kate Stone,11:45,"design,entertainment,materials,technology"
"
","
","
",DJ decks made of ... paper,Kate Stone,11:45,"design,entertainment,materials,technology"
"
											Birkaç yıl sonra,
											Bütün sınavlarımdan kalmayı başardım
											okulu da gösterecek pek bir şeyim olmadan bıraktım
											anne babam da, belki de ödül olarak,
											Avustralya'ya tek yön
											bilet aldılar.
											Eve de yaklaşık 4 yıl sonra döndüm.
									","
											Quelques années plus tard,
											j'ai réussi à échouer brillamment 
à tous mes examens
											j'ai donc quitté l'école 
avec pas grand-chose en poche
											et mes parents, 
peut-être comme une récompense,
											m'ont acheté ce qui s'est révélé être
											un aller simple pour l'Australie
											et je suis retournée 
chez moi environ quatre ans après.
									","
											Einige Jahre später
											schaffte ich es erfolgreich, 
durch alle Prüfungen zu fallen
											und ich verließ die Schule ohne wirklich 
irgendetwas vorweisen zu können.
											Meine Eltern kauften mir, 
vielleicht als Belohnung,
											etwas, was sich schließlich
											als einfaches Flugticket n
ach Australien herausstellte,
											und ich kam erst 4 Jahre später 
nach Hause zurück.
									",DJ decks made of ... paper,Kate Stone,11:45,"design,entertainment,materials,technology"
"
","
","
",DJ decks made of ... paper,Kate Stone,11:45,"design,entertainment,materials,technology"
"
											Hiçbir yerin ortasında bir çiflikte bulmuştum kendimi.
											Avustralya'nın batısında Yeni Güney Galler'deydim
											Bu çiftlik 485 km2 idi.
											22 bin koyun vardı,
											ve hava neredeyse 40 dereceydi,
											veya 100 Fahrenheit gibi bir şey.
											Çiftlikte de çiftçi ile karısı yaşıyordu
											4 yaşındaki kızları ile beraber.
											Beni çiftliğe aldılar
											ve bana hem yaşayıp hem çalışmanın nasıl bir şey olduğunu gösterdiler.
											En önemli şeylerden biri net bir şekilde koyunlardı
											benim işim de neredeyse her ayak işini yapmaktı,
											özellikle de koyunları tekrar çiftlik müştemilatına geri getirmekti.
											Bunu da çit yaparak,
											at ve motosiklet kullanarak yapardık.
											Koyunlar da kırpılmış yoldan ahıra, kendi kendilerine
											yolu bulurlardı.
											Öğrendim ki,
											diğer herkes gibi
											koyunların aptal olduğunu düşünmeme rağmen,
											-çünkü istediklerimizi yapmıyorlardı-
											şimdi yeni yeni şu son birkaç haftada fark ettiğim şey şu ki,
											koyunlar hiç de aptal değildi.
											Onları olmak istemedikleri bir ortama bırakıyorduk
											ve onlar da bizim istediklerimizi yapmıyorlardı.
											Böylece onlara istediklerimizi yaptırmak
											bir mücadele halini alıyordu:
											havayı izleyerek, toprağı izleyerek
											Koyunların bizim istediğimiz yere gitmelerini sağlayacak
											bir şeyler yaratmak.
									","
											J'ai fini dans une ferme 
au milieu de nulle part.
											C'était à l'extrême ouest 
de la Nouvelle-Galles du Sud.
											Cette ferme était de 120 000 acres.
											Il y avait 22 000 moutons,
											et il faisait environ 40 degrés,
											ou 100 et quelques fahrenheit,
											Et dans cette ferme, il y avait l'agriculteur, sa femme,
											et il y avait leur fille de quatre ans.
											Et ils m'ont, en quelque sorte, 
intégré à la ferme
											et m'ont montré ce que 
c'était que de vivre et de travailler.
											Évidemment, une des choses 
plus importantes était les moutons,
											et mon travail était de, eh bien 
de plus ou moins tout faire,
											mais surtout il s'agissait de ramener 
les moutons dans la propriété familiale.
											Et nous le faisions 
en construisant des clôtures,
											à l'aide de motos et de chevaux,
											et les moutons retournaient
											dans les abris pour la tonte 
chaque saison.
											Et ce que j'ai appris c'était,
											bien qu'à l'époque, 
comme tout le monde,
											Je pensais que les moutons 
étaient assez stupides
											parce qu'ils ne faisaient pas 
ce que nous voulions qu'ils fassent,
											ce dont je me rends compte maintenant, sans doute seulement durant ces dernières semaines
											en regardant en arrière, c'est que 
les moutons n'étaient pas du tout stupides.
											Nous les placions dans un environnement 
dans lequel ils n'avaient aucune envie d'être
											et ils ne voulaient pas faire 
ce que nous voulions qu'ils fassent.
											Donc, le défi consistait à essayer 
d'obtenir d'eux
											qu'il fassent 
ce que nous voulions qu'ils fassent
											en écoutant la météo, 
la configuration du terrain,
											et en créer des choses 
qui laisseraient le flot de moutons passer
											et aller où nous voulions qu'il aille.
									","
											Ich landete auf einem Bauernhof 
mitten im Nirgendwo.
											Er war weit im Westen von New South Wales
											und umfasste 486 km².
											Es gab 22 000 Schafe
											und es waren ungefähr 40°C,
											also ungefähr 100°F.
											Auf diesem Bauernhof wohnten 
der Farmer, seine Frau
											und seine 4-jährige Tochter.
											Sie nahmen mich auf dem Bauernhof auf
											und zeigten mir, was es heißt, zu leben und arbeiten.
											Offensichtlich waren die Schafe 
eines der wichtigsten Sachen,
											also war mein Job, so ziemlich alles zu machen,
											also auch die Schafe zurück ins Gehöft zu bringen.
											Das haben wir gemacht, indem wir Zäune bauten,
											auf Motorrädern und Pferden
											die Schafe den ganzen Weg zurücktrieben,
											damit sie für die unterschiedlichen 
Jahreszeiten geschoren wurden.
											Und was ich dabei lernte, war,
											obwohl ich zu der Zeit wie jeder andere dachte,
											dass Schafe ziemlich blöd sind,
											weil sie nicht das taten, was wir von ihnen wollten,
											dass – und ich hab es wohl erst 
in den letzten Wochen verstanden –
											rückblickend, die Schafe überhaupt nicht blöd waren.
											Wir steckten sie in eine Umgebung, 
in der sie nicht sein wollten,
											und sie wollten nicht tun, 
was wir von ihnen wollten.
											Also war die Herausforderung, 
sie dazu zu bringen,
											dass sie das tun, 
was wir von ihnen wollten,
											durch Wetterbeobachtung, 
die Beschaffenheit des Bodens
											und durch Dinge, 
die die Schafe ""fließen"" lassen,
											damit sie dahin gingen, 
wo wir es wollten.
									",DJ decks made of ... paper,Kate Stone,11:45,"design,entertainment,materials,technology"
