en,tr,es,fr,de,title,speaker,duration,tags
"
","
","
","
","
","The story of 'Oumuamua, the first visitor from another star system",Karen J. Meech,13:24,"astronomy,extraterrestrial life,exploration,NASA,nature,science,universe,space,asteroid,astrobiology"
"
											NASA's always on the lookout
for possible asteroid collision hazards,
											so the Pan-STARRS telescope
is scanning the sky every night.
											Each morning, candidate objects
are examined by Pan-STARRS staff
											and usually discovered to be no big deal.
											But on October 19, 2017,
											Pan-STARRS spotted an object
moving rapidly between the stars,
											and this time the usual follow-up
measurements of position and speed
											showed something completely different.
											By October 22nd, we had enough data
											to realize that this object
wasn't from our solar system.
									","
											NASA muhtemel asteroit çarpışma
tehlikelerine karşı her zaman tetikte,
											o yüzden Pan-STARRS teleskobu
gökyüzünü her gece tarıyor.
											Aday cisimler her sabah Pan-STARSS
çalışanları tarafından inceleniyor
											ve genellikle pek önemli
olmadıkları anlaşılıyor.
											Ancak 19 Ekim 2017'de,
											Pan-STARRS yıldızların arasında
hızla hareket eden bir cisim fark etti
											ve bu sefer konum ve hızla ilgili
yapılan rutin inceleme
											tamamen farklı bir sonuç gösterdi.
											22 Ekim itibaren de bu cismin
											bizim güneş sistemimize ait olmadığını
anlayacak kadar veri edinmiştik.
									","
											La NASA siempre está atenta 
a posibles colisiones con asteroides.
											Para ello, el telescopio Pan-STARRS 
monitorea el cielo todas las noches.
											Cada mañana, el personal 
examina los objetos detectados
											y por lo general descubren
que no son gran cosa.
											Pero el 19 de octubre de 2017,
											el Pan-STARRS identificó un objeto que 
se movía rápidamente entre las estrellas
											pero, esta vez, el habitual protocolo
que medía su posición y velocidad
											mostró algo completamente distinto.
											Ya para el 22 de octubre
teníamos suficientes datos
											para concluir que el objeto
no provenía de nuestro sistema solar.
									","
											La NASA est toujours à l'affût d'éventuels
risques d'une collision avec un astéroïde,
											c'est pourquoi tous les soirs,
le télescope Pan-STARRS analyse le ciel.
											Tous les matins, les objets candidats
sont examinés par l'équipe du Pan-STARRS
											et ne représentent rien de grave,
en général.
											Mais le 19 octobre 2017,
											Pan-STARRS a repéré un objet se déplaçant
rapidement entre les étoiles
											et cette fois, les mesures habituelles
complémentaires de position et de vitesse
											montraient quelque chose
de tout à fait différent.
											Le 22 octobre,
nous avions assez d'information
											pour réaliser que cet objet
ne venait pas de notre système solaire.
									","
											Die NASA hat schon immer nach Gefahren
durch Asteroidenkollisionen geforscht,
											sodass das Pan-STARRS-Teleskop
jede Nacht den Himmel absucht.
											Jeden Morgen beurteilen Angestellte
des Teleskops die potentiellen Funde
											und stufen sie gewöhnlich
als irrelevant ein.
											Doch am 19. Oktober 2017
											entdeckte Pan-STARRS
ein schnelles Objekt im Nachthimmel
											und die folgende Prozedur der Bestimmung
von Position und Geschwindigkeit
											kam zu ganz anderen Ergebnissen.
											Am 22. Oktober hatten wir genügend Daten
											um festzustellen, dass dieses Objekt
nicht aus unserem Sonnensystem stammte.
									","The story of 'Oumuamua, the first visitor from another star system",Karen J. Meech,13:24,"astronomy,extraterrestrial life,exploration,NASA,nature,science,universe,space,asteroid,astrobiology"
"
","
","
","
","
","The story of 'Oumuamua, the first visitor from another star system",Karen J. Meech,13:24,"astronomy,extraterrestrial life,exploration,NASA,nature,science,universe,space,asteroid,astrobiology"
"
											Holy cow.
											That's when I got the phone call,
											the phone call that all solar system
astronomers are waiting for.
											Let me tell you how exciting this was.
									","
											Vay canına.
											İşte bu noktada beni aradılar,
											tüm güneş sistemi astronomlarının
beklediği telefondu bu.
											Ne kadar heyecanlı olduğunu anlatayım.
									","
											¡Vaya sorpresa!
											Allí fue cuando recibí la llamada
que todo astrónomo ansía recibir.
											Les voy a contar lo emocionante que fue.
									","
											La vache.
											C'est quand j'ai reçu l'appel,
											l'appel que tout astronome
du système solaire attend.
											Je vais vous dire
combien c'était excitant.
									","
											Heiliger Strohsack!
											Dann erhielt ich den Anruf,
											von dem jeder Astronom träumt.
											Lassen Sie es mich genau erklären.
									","The story of 'Oumuamua, the first visitor from another star system",Karen J. Meech,13:24,"astronomy,extraterrestrial life,exploration,NASA,nature,science,universe,space,asteroid,astrobiology"
"
","
","
","
","
","The story of 'Oumuamua, the first visitor from another star system",Karen J. Meech,13:24,"astronomy,extraterrestrial life,exploration,NASA,nature,science,universe,space,asteroid,astrobiology"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									","The story of 'Oumuamua, the first visitor from another star system",Karen J. Meech,13:24,"astronomy,extraterrestrial life,exploration,NASA,nature,science,universe,space,asteroid,astrobiology"
"
","
","
","
","
","The story of 'Oumuamua, the first visitor from another star system",Karen J. Meech,13:24,"astronomy,extraterrestrial life,exploration,NASA,nature,science,universe,space,asteroid,astrobiology"
"
											NASA's been expecting to see
an interstellar comet
											pass through the solar system
since the 1970s,
											but until now, we'd never seen anything.
											Our own solar system is huge,
											so even getting a package
from the nearest star system
											4.4 light years away
											would take over 50,000 years.
											So this is a really big deal.
											The interstellar visitor
entered our solar system
											from above the plane of the planets,
											coming from the direction
of the constellation Lyra,
											and it passed closest to the Sun
on September 9th,
											passing inside the orbit of Mercury.
											Now this isn't a particularly
close approach or unusual distance.
											It's just much easier
to see objects close by.
											On October 14th,
											before we discovered it, it made
its closest approach to the Earth,
											within about 15 million miles.
											This is really close
by astronomical standards.
									","
											NASA, 1970'lerden bu yana
yıldızlararası bir cismin
											güneş sistemimizden geçeceğini bekliyordu,
											ama şimdiye dek hiçbir şey görmemiştik.
											Kendi güneş sistemimiz devasa,
											4,4 ışık yılı uzaklıkta
											en yakın yıldız sisteminden bile
Dünya'ya bir şey gelmesi
											50.000 yıldan fazla sürer.
											Yani oldukça önemli bir konu.
											Bu yıldızlararası misafir,
											güneş sistemimize
diğer gezegenlerin ötesinden
											Lyra yıldız kümesi yönünden geldi
											ve Güneş'e en yakın olduğu
tarih 9 Eylül'de,
											Merkür'ün yörüngesinin içinden geçti.
											Bu özellikle yakın bir etkileşim
veya alışılmadık bir uzaklık değil.
											Yakından geçen cisimleri
görmek çok daha kolay.
											14 Ekim'de
											biz henüz onu fark etmeden önce,
cisim 14 milyon km mesafede
											Dünya'ya en yakın olduğu konumdaydı.
											Bu astronomik ölçümlere
göre gerçekten yakın.
									","
											Desde la década del 70,
la NASA ha querido observar
											un cometa interestelar 
que atravesara nuestro sistema solar
											pero, hasta ahora, 
no se había visto ninguno.
											Nuestro sistema solar es gigantesco,
											por lo que recibir un simple paquete
desde el sistema estelar más cercano
											a 4,4 años luz de distancia
tardaría más de 50 000 años.
											Así que esto es un gran evento.
											El visitante interestelar
entró en nuestro sistema solar
											por encima del plano
que orbitan los planetas,
											procedente desde el lado 
de la constelación Lyra,
											y el 9 de septiembre fue cuando 
estuvo más cerca del Sol,
											al atravesar la órbita de Mercurio.
											No es un acercamiento tan próximo
ni una distancia inusual.
											Solo que es más fácil 
observar objetos cercanos.
											El 14 de octubre,
											antes de que lo descubriéramos,
ya había pasado cerca de la Tierra,
											a unos 24 millones de kilómetros.
											Muy cerca en términos astronómicos.
									","
											La NASA s'attend
à voir une comète interstellaire
											traverser le système solaire
depuis les années 70,
											mais jusqu'à présent,
nous n'avions jamais rien vu.
											Notre propre système solaire
est immense,
											donc même recevoir un colis
du système stellaire le plus proche,
											à 4,4 années-lumière d'ici,
											prendrait plus de 50 000 ans.
											C'est donc un événement très important.
											Ce visiteur est entré
dans notre système solaire
											depuis le plan des planètes,
											venant de la direction
de la constellation de la Lyre,
											et est passé au plus proche
du Soleil le 9 septembre,
											en traversant l'orbite de Mercure.
											Ce n'est pas une approche particulièrement
proche ou une distance inhabituelle.
											Il est juste plus facile
de voir des objets à proximité.
											Le 14 octobre,
											avant sa découverte,
il est passé au plus près de la Terre,
											à environ 25 millions de kilomètres.
											C'est très proche
selon les normes astronomiques.
									","
											Die NASA erwartete seit den 1970ern
einen interstellaren Kometen
											in unserem Sternensystem,
											doch bis jetzt sahen wir nichts.
											Unser eigenes Sonnensystem ist gigantisch,
											ein Brocken aus dem nächsten Sternensystem
											— 4,4 Lichtjahre entfernt —
											bräuchte allein über 50.000 Jahre.
											Das ist eine wirklich große Hausnummer.
											Der interstellare Besucher
betrat unser Sonnensystem
											oberhalb der Planetenebene
											aus der Richtung des Sternbilds Lyra,
											und kam der Sonne
am 9. September am nächsten,
											als er den Orbit des Merkurs durchflog.
											Das ist kein besonders naher Vorbeiflug
oder eine ungewöhnliche Entfernung.
											Man sieht halt nahe Objekte viel besser.
											Am 14. Oktober
											kam er der Erde am nächsten,
noch bevor wir ihn sahen,
											in einem Abstand
von 24 Millionen Kilometern.
											Aus astronomischer Sicht
ist das extrem nah.
									","The story of 'Oumuamua, the first visitor from another star system",Karen J. Meech,13:24,"astronomy,extraterrestrial life,exploration,NASA,nature,science,universe,space,asteroid,astrobiology"
"
","
","
","
","
","The story of 'Oumuamua, the first visitor from another star system",Karen J. Meech,13:24,"astronomy,extraterrestrial life,exploration,NASA,nature,science,universe,space,asteroid,astrobiology"
"
											Now rather than call this
by its unwieldy catalog name,
											we briefly called it ""Rama,""
											after the cylindrical spacecraft
that passed through the solar system
											in Arthur C. Clarke's classic
science fiction story in 1973.
											But this wasn't quite right either,
											so in honor of it being discovered
by a telescope in Hawaii,
											we consulted two experts
on Hawaiian culture —
											a Hawaiian navigator and a linguist —
											to propose a name.
											And they suggested ""'Oumuamua,""
											which means scout or messenger
from the distant past reaching out to us.
									","
											O zaman, söylemesi zor olan
şu anki katalog ismi yerine
											ona kısaca ''Rama'' adını vermiştik,
											Arthur C. Clarke'ın 1973 yılı
klasik bilim kurgu romanında
											güneş sisteminin içinden geçen
silindir uzay aracının adı.
											Ancak bu da tam doğru olmadı,
											Havai'deki bir teleskopla
keşfedilmesinin onuruna,
											Havai kültürü hakkında
iki uzmana danıştık,
											biri Havaili bir navigatör,
diğeri dilbilimci,
											bize isim teklifinde bulundular.
											''Oumuamua'' ismini önerdiler,
											uzak geçmişten bize ulaşan
bir izci veya haberci anlamına geliyordu.
									","
											En vez de usar su difícil
nombre de catálogo,
											le pusimos un nombre corto, ""Rama"",
											en alusión a la nave espacial cilíndrica
que atravesó el sistema solar
											en la clásica historia de ciencia ficción 
escrita por Arthur C. Clarke en 1973.
											Pero tampoco era el nombre ideal,
											así que, en honor al telescopio
que lo descubrió desde Hawái,
											consultamos a dos expertos
en cultura hawaiana,
											un navegante hawaiano y un lingüista,
											para que propusieran un nombre.
											Ellos sugirieron ""'Oumuamua"",
											que significa ""mensajero
o explorador de un pasado distante
											que busca hacer contacto con nosotros"".
									","
											Plutôt que de l'appeler par son nom
de catalogue compliqué,
											il a été brièvement baptisé « Rama »,
											d'après le vaisseau cylindrique
qui a traversé le système solaire
											dans le classique de la science-fiction
écrit par Arthur C. Clarke en 1973.
											Mais ce n'était pas tout à fait juste,
											et en l'honneur de sa découverte
par un télescope à Hawaï,
											nous avons consulté
deux experts en culture hawaïenne —
											un navigateur hawaïen et un linguiste —
											afin de proposer un nom.
											Et ils ont suggéré « ‘Oumuamua »,
											ce qui signifie éclaireur ou messager
du passé lointain qui nous contacte.
									","
											Statt dieses Objekt nach seinem
unhandlichen Katalognamen zu benennen,
											bezeichneten wir es kurz als „Rama“,
											in Anlehnung an das ähnliche
zylindrische Raumfahrzeug
											aus dem Science-Fiction-Klassiker
von Arthur C. Clarke von 1973.
											Doch das passte auch nicht ganz.
											Dem Entdeckerteleskop in Hawaii zur Ehre
											berieten wir uns mit zwei Experten
in hawaiianischer Kultur —
											einem Navigatoren und Linguisten —
											um einen Namen zu finden.
											Und sie schlugen „’Oumuamua“ vor,
											was Kundschafter oder Bote aus der Ferne
im Kontakt mit uns bedeutet.
									","The story of 'Oumuamua, the first visitor from another star system",Karen J. Meech,13:24,"astronomy,extraterrestrial life,exploration,NASA,nature,science,universe,space,asteroid,astrobiology"
