fr,en,de,es,title,speaker,duration,tags
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											Guitare Basse
											(Guitare basse et accordéon)
									","
											(Bass guitar)
											(Bass guitar and accordion)
									","
											(Bassgitarre)
											(Bassgitarre und Akkordeon)
									","
											(Bajo)
											(Bajo y acordeón)
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ Tu es plus vieux que tu ne l'as jamais été ♫
									","
											♫ You're older than you've ever been ♫
									","
											♫ Du bist älter als je zuvor ♫
									","
											♫ Estás más viejo que nunca ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ et maintenant tu es encore plus vieux ♫
									","
											♫ and now you're even older ♫
									","
											♫ und jetzt bist du noch älter ♫
									","
											♫ y cada vez mayor ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ et maintenant tu es encore plus vieux ♫
									","
											♫ and now you're even older ♫
									","
											♫ und jetzt bist du noch älter ♫
									","
											♫ y cada vez mayor ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ et maintenant tu es encore plus vieux ♫
									","
											♫ and now you're even older. ♫
									","
											♫ und jetzt bist du noch älter. ♫
									","
											♫ y ahora aún mayor. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ Tu es plus vieux que tu ne l'as jamais été ♫
									","
											♫ You're older than you've even been ♫
									","
											♫ Du bist älter als je zuvor ♫
									","
											♫ Estás más viejo que nunca ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ et maintenant vous êtes encore plus ♫
									","
											♫ and now you're even older ♫
									","
											♫ und jetzt bist du noch älter ♫
									","
											♫ y cada vez mayor ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ et maintenant tu es encore plus vieux ♫
									","
											♫ and now you're older still. ♫
									","
											♫ und jetzt bist du sogar noch älter. ♫
									","
											♫ y ahora aún mayor. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ Le temps ♫
									","
											♫ Time ♫
									","
											♫ Die Zeit ♫
									","
											♫ El tiempo ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ est en marche ♫
									","
											♫ is marching on ♫
									","
											♫ marschiert weiter ♫
									","
											♫ sigue su marcha. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ et le temps ♫
									","
											♫ and time ♫
									","
											♫ und die Zeit ♫
									","
											♫ El tiempo ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ ne s'arrête pas. ♫
									","
											♫ is still marching on. ♫
									","
											♫ marschiert immer noch weiter. ♫
									","
											♫ aún sigue marchando. ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ Cette journée sera bientôt à sa fin ♫
									","
											♫ This day will soon be at an end ♫
									","
											♫ Dieser Tag geht bald zu Ende ♫
									","
											♫ Este día pronto llegará a su fin ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
											♫ et maintenant il est encore tôt ♫
									","
											♫ and now it's even sooner ♫
									","
											♫ und jetzt sogar noch eher ♫
									","
											♫ y ahora falta menos ♫
									",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
"
","
","
","
",Wake up! It's They Might Be Giants!,They Might Be Giants,17:21,"entertainment,humor,music,live music,performance"
