en,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
",The mysterious origins of life on Earth,Luka Seamus Wright,4:37,"TED-Ed,life,animation,space,biodiversity,science,biosphere,biology,Planets,evolution,chemistry"
"
											Billions of years ago 
on the young planet Earth
											simple organic compounds assembled 
into more complex coalitions
											that could grow and reproduce.
											They were the very first life on Earth,
											and they gave rise to every one 
of the billions of species
											that have inhabited our planet since.
									","
											Há milhares de milhões de anos,
no jovem planeta Terra
											simples compostos orgânicos juntaram-se
em combinações mais complexas,
											que podiam crescer e reproduzir-se.
											Foram as primeiras 
formas de vida na Terra,
											e deram origem a cada um
dos milhares de milhões de espécies
											que povoam o nosso planeta desde então.
									","
											Milyarlarca yıl önce
genç Dünya gezegeni üzerinde
											büyüyebilen ve üreyebilen
daha karmaşık birliklerde toplanan
											basit organik bileşimler vardı.
											Dünya üzerindeki ilk yaşam onlardı
											ve onlar, o zamandan beri 
gezegenimizde yaşayan
											milyarlarca türün
her birini meydana getirdi.
									","
											Il y a des milliards d'années
sur notre jeune planète Terre,
											de simples composés organiques 
formèrent des groupes plus complexes
											qui purent grandir et se reproduire.
											Ils furent la première vie sur Terre,
											et engendrèrent chaque individu 
des milliards d'espèces
											qui peuplent notre planète.
									",The mysterious origins of life on Earth,Luka Seamus Wright,4:37,"TED-Ed,life,animation,space,biodiversity,science,biosphere,biology,Planets,evolution,chemistry"
"
","
","
","
",The mysterious origins of life on Earth,Luka Seamus Wright,4:37,"TED-Ed,life,animation,space,biodiversity,science,biosphere,biology,Planets,evolution,chemistry"
"
											At the time, Earth was almost completely 
devoid
											of what we’d recognize as a suitable 
environment for living things.
											The young planet had widespread 
volcanic activity
											and an atmosphere that created 
hostile conditions.
											So where on Earth could life begin?
									","
											Naquela altura, a Terra estava
quase completamente desprovida
											do que consideraríamos
um ambiente adequado a seres vivos.
											O jovem planeta tinha desenvolvido
amplamente uma actividade vulcânica
											e uma atmosfera que acabou
por criar condições hostis.
											Então onde é que a vida na Terra
pôde começar?
									","
											Dünya o zamanlarda canlı varlıklar için
											uygun bir çevre olarak tanımladığımız 
şeyden neredeyse tamamen yoksundu.
											Genç gezegende 
volkanik etkinlikler yaygındı
											ve düşmanca koşullar yaratan
bir atmosfer vardı.
											Peki yaşam Dünya'nın neresinde başlamıştı?
									","
											À cette époque, la Terre était 
complétement dépourvue
											d'un environnement propice à la vie.
											La jeune planète avait 
une activité volcanique diffuse
											et une atmosphère créant
des conditions de vie hostiles.
											Où pouvait commencer la vie, alors ?
									",The mysterious origins of life on Earth,Luka Seamus Wright,4:37,"TED-Ed,life,animation,space,biodiversity,science,biosphere,biology,Planets,evolution,chemistry"
"
","
","
","
",The mysterious origins of life on Earth,Luka Seamus Wright,4:37,"TED-Ed,life,animation,space,biodiversity,science,biosphere,biology,Planets,evolution,chemistry"
"
											To begin the search for 
the cradle of life,
											it’s important to first understand the 
basic necessities for any life form.
											Elements and compounds essential to life
include hydrogen, methane, nitrogen,
											carbon dioxide, phosphates, and ammonia.
											In order for these ingredients to comingle
and react with each other,
											they need a liquid solvent: water.
											And in order to grow and reproduce,
											all life needs a source of energy.
											Life forms are divided into two camps:
											autotrophs, like plants, that generate 
their own energy,
											and heterotrophs, like animals, that 
consume other organisms for energy.
											The first life form wouldn’t have had 
other organisms to consume, of course,
											so it must have been an autotroph,
											generating energy either from the sun
or from chemical gradients.
									","
											Para iniciarmos a procura
do berço da vida,
											é importante entendermos primeiro
as exigências básicas
											de qualquer forma de vida.
											Os elementos essenciais para a vida
são o hidrogénio, o metano, o azoto,
											o anidrido carbónico,
os fosfatos e a amónia.
											Para estes ingredientes se misturarem
e reagirem uns com os outros,
											precisamos dum solvente líquido: a água.
											E para crescerem e se reproduzirem,
											todas as formas de vida precisam
duma fonte de energia.
											As formas de vida dividem-se
em dois grupos:
											os autótrofos, como as plantas,
que produzem a sua própria energia,
											e os heterótrofos, como os animais,
que comem outros seres para obter energia.
											A primeira forma de vida não deve ter tido
outros seres para comer, obviamente,
											portanto, deve ter sido um autótrofo,
											a produzir energia mediante a luz solar
ou um gradiente químico.
									","
											Yaşamın beşiği arayışına başlamak için
											öncelikle herhangi bir yaşam türünün
temel gereksinimlerini anlamak önemlidir.
											Yaşam için gereken element
ve bileşimler arasında
											hidrojen, metan, nitrojen, karbondioksit, 
fosfat ve amonyak vardır.
											Bu maddelerin birbirleriyle karışması 
ve tepkimeye girmesi için
											sıvı bir çözücüye ihtiyaçları vardır: Su.
											Büyümeleri ve üreyebilmek için ise
											tüm yaşam türlerinin 
bir enerji kaynağına ihtiyacı vardır.
											Yaşam biçimleri iki gruba ayrılır:
											Ototroflar, bitkiler gibi,
kendi enerjilerini üretirler
											ve heterotroflar, hayvanlar gibi,
enerji için diğer organizmaları yerler.
											İlk yaşam biçiminin elbette yiyebileceği
diğer organizmalar yoktu
											bu yüzden o, enerjisini ya Güneş'ten
											ya da kimyasal gradyanlardan 
üreten bir ototrof olmalı.
									","
											Pour commencer la recherche 
du berceau de la vie,
											il faut comprendre les besoins
fondamentaux à toute forme de vie.
											Les éléments et composés
essentiels à la vie
											incluent l'hydrogène, le méthane, l'azote,
											le dioxyde de carbone, les phosphates 
et l'ammoniac.
											Pour que ces ingrédients se mélangent 
et réagissent entre eux,
											ils ont besoin d'un solvant : l'eau.
											Pour grandir et se reproduire,
											toute forme de vie a besoin 
d'une source d'énergie.
											Les formes de vie se divisent 
en deux catégories :
											les autotrophes, comme les plantes, 
qui produisent leur énergie,
											et hétérotrophes, comme les animaux,
qui consomment d'autres organismes
											pour avoir de l'énergie.
											Bien sûr, la première forme de vie 
ne disposait pas d'énergie à consommer,
											ça ne pouvait donc être qu'un autotrophe,
											générant l'énergie du soleil
ou des gradients chimiques.
									",The mysterious origins of life on Earth,Luka Seamus Wright,4:37,"TED-Ed,life,animation,space,biodiversity,science,biosphere,biology,Planets,evolution,chemistry"
"
","
","
","
",The mysterious origins of life on Earth,Luka Seamus Wright,4:37,"TED-Ed,life,animation,space,biodiversity,science,biosphere,biology,Planets,evolution,chemistry"
"
											So what locations meet these criteria?
											Places on land or close to the surface 
of the ocean
											have the advantage of access to sunlight.
											But at the time when life began,
the UV radiation on Earth’s surface
											was likely too harsh for life 
to survive there.
											One setting offers protection 
from this radiation
											and an alternative energy source:
											the hydrothermal vents that wind across
the ocean floor,
											covered by kilometers of seawater 
and bathed in complete darkness.
									","
											Então que lugares cumprem
estes critérios?
											Lugares na terra firme ou perto
da superfície do oceano
											têm a vantagem da exposição
à luz do sol.
											Mas quando a vida começou, as radiações
ultravioletas na superfície terrestre
											provavelmente eram demasiado intensas
para os seres vivos sobreviverem.
											Um cenário oferece proteção
contra este tipo de radiação
											e uma fonte alternativa de energia:
											as fontes hidrotermais
que emergem da crosta oceânica,
											cobertas por quilómetros de água marinha
e imersas na escuridão completa.
									","
											Peki, bu kriterlere uyan yer neresi?
											Karadaki veya okyanusun yüzeyinin
yakınındaki yerlerin
											güneş ışığına erişme avantajı vardır.
											Fakat yaşam başladığı zaman,
dünya üzerindeki ultraviyole ışıma
											orada hayatta kalabilmek için
muhtemelen çok sertti.
											Bir ortam bu radyasyona karşı koruma
ve alternatif bir enerji kaynağı sunuyor:
											Kilometrelerce deniz suyuyla
ve tamamen karanlıkla kaplanmış
											okyanus yüzeyinde dolaşan
hidrotermik delikler.
									","
											Quels lieux regroupent tous ces critères ?
											Des endroits sur la terre ferme
ou près de la surface de l'océan
											ont l'avantage d'avoir accès 
à la lumière du soleil.
											Mais lorsque la vie a commencé, 
le rayonnement UV à la surface de la Terre
											était probablement trop fort 
pour y survivre.
											Un endroit offre une protection 
contre ces rayons
											et une source d’énergie naturelle :
											les monts hydrothermaux qui
tapissent le plancher océanique,
											immergés dans l'eau de mer
et plongés dans l'obscurité.
									",The mysterious origins of life on Earth,Luka Seamus Wright,4:37,"TED-Ed,life,animation,space,biodiversity,science,biosphere,biology,Planets,evolution,chemistry"
"
","
","
","
",The mysterious origins of life on Earth,Luka Seamus Wright,4:37,"TED-Ed,life,animation,space,biodiversity,science,biosphere,biology,Planets,evolution,chemistry"
"
											A hydrothermal vent is a fissure 
in the Earth’s crust
											where seawater seeps into magma 
chambers
											and is ejected back out 
at high temperatures,
											along with a rich slurry of minerals 
and simple chemical compounds.
											Energy is particularly concentrated
											at the steep chemical gradients 
of hydrothermal vents.
									","
											Uma fonte hidrotermal
é uma fissura na crosta terrestre,
											pela qual a água do mar se infiltra
até às câmaras magmáticas
											e volta a ser expelida para o oceano
a altas temperaturas,
											junto com uma lama rica de minerais
e simples compostos químicos.
											A energia está concentrada principalmente
											nos acentuados gradientes químicos
das fontes hidrotermais.
									","
											Hidrotermik delik, deniz suyunun
magma odacığında yayılmaya başladığı
											dünya kabuğundaki bir çatlaktır
											ve yüksek derecelerde, 
zengin bir mineral bulamacı
											ve temel kimyasal bileşimlerle 
birlikte tekrar dışarı atılır.
											Enerji özellikle hidrotermik deliklerin
dik kimyasal yokuşlarında yoğunlaşır.
									","
											Un mont hydrothermal est une
fissure dans la croûte terrestre
											où l'eau de mer s'infiltre
dans les chambres magmatiques
											et est rejetée à haute température,
											avec un résidu riche en minéraux
et en composés chimiques simples.
											L'énergie est particulièrement concentrée

											dans les gradients chimiques
des monts hydrothermaux.
									",The mysterious origins of life on Earth,Luka Seamus Wright,4:37,"TED-Ed,life,animation,space,biodiversity,science,biosphere,biology,Planets,evolution,chemistry"
