en,fr,es,tr,title,speaker,duration,tags
"
","
","
","
","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
											(Music)
									","
											(Musique)
									","
											(Música)
									","
											(Müzik)
									","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
","
","
","
","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
											(Singing) It was a teenage wedding
and the old folks wished them well.
									","
											(Chantant) C'était
un mariage d'adolescents
											et leurs parents
leur souhaitaient le meilleur.
									","
											(Cantando) Era una boda de adolescentes
y los viejos les deseaban lo mejor.
									","
											(Şarkı) İki gençti evlenen
yaşlılar mutluluk dilerken.
									","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
","
","
","
","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
											You could see that Pierre
did truly love the mademoiselle.
									","
											Vous pouviez voir que Pierre
aimait vraiment la demoiselle.
									","
											Se veía a las claras que Pierre
realmente amaba a la mademoiselle.
									","
											Seviyordu Pierre küçük hanımı sahiden.
									","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
","
","
","
","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
											Oh,
											and now the young monsieur and madame
											have rung the chapel bell.
									","
											Oh,
											et maintenant les jeunes
monsieur et madame
											ont sonné la cloche de la chapelle.
									","
											Oh,
											y ahora el joven monsieur
y su joven madame
											han hecho sonar
la campana de la iglesia.
									","
											Ah,
											ve şimdi genç karı koca
											çalıyordu çanlarını şapelin.
									","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
","
","
","
","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
											C'est la vie, say the old folks,
									","
											C'est la vie, disent les parents,
									","
											""C'est la vie"", dicen los viejos,
									","
											Hayat böyledir der yaşlılar
									","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
","
","
","
","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
											it goes to show you never can tell.
											No, no.
									","
											cela montre qu'on ne sait jamais.
											Non, non.
									","
											""eso demuestra que nunca se sabe"".
											No, no.
									","
											ne getirir, hiç bilemezsin.
											Bilemezsin.
									","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
","
","
","
","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
											They furnished off an apartment
with a two-room Roebuck sale.
									","
											Ils ont meublé un appartement
lors de soldes dans un magasin de meubles.
									","
											Equiparon un dos ambientes
con muebles de rebaja.
									","
											İki odalı bir daire
dayadılar döşediler
									","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
","
","
","
","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
											The coolerator was crammed
with TV dinners and ginger ale.
											Oh,
											but when Pierre found work,
											the little money comin' worked out well .
									","
											Le frigo était plein de repas préparés
et de soda au gingembre.
											Oh,
											mais quand Pierre a trouvé du travail,
											la petite rentrée d'argent suffisait bien.
									","
											El refrigerador a tope con comidas
preparadas y refresco de jengibre.
											Oh,
											pero cuando Pierre encontró trabajo,
											lo poco que ganaba les alcanzaba.
									","
											dolaba bira ve
abur cubur doldurup.
											Ah,
											ve Pierre bir iş buldu
											azdı parası ama yetiyordu onlara.
									","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
","
","
","
","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
											C'est la vie, say the old folks,
									","
											C'est la vie, disent les parents,
									","
											""C'est la vie"", dicen los viejos,
									","
											Hayat böyledir der yaşlılar
									","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
","
","
","
","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
											it goes to show you never can tell.
									","
											cela montre qu'on ne sait jamais.
									","
											""eso demuestra que nunca se sabe"".
									","
											ne getirir, hiç bilemezsin.
									","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
","
","
","
","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
											You never can tell.
									","
											On ne sait jamais.
									","
											Nunca se sabe.
									","
											Hiç bilemezsin.
									","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
","
","
","
","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
											They bought a souped-up jitney,
was a cherry red '53.
									","
											Ils ont acheté un taxi survolté
d'un rouge cerise datant de 53.
									","
											Compraron una furgoneta tuneada,
color rojo cereza, del 53.
									","
											Modifiye bir araba aldılar
kiraz kırmızı, 53 model.
									","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
","
","
","
","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
											They drove it down to New Orleans
to celebrate their anniversary.
											Oh,
											it was there where Pierre
											was wedded to the lovely mademoiselle.
									","
											Ils l'ont conduit
jusqu'à la Nouvelle-Orléans
											pour fêter leur anniversaire.
											Oh,
											c'est là que Pierre
											s'est marié à la belle demoiselle.
									","
											Se fueron en ella a Nueva Orleans
a celebrar su aniversario.
											Oh,
											ahí fue donde Pierre
											se casó con la adorable mademoiselle.
									","
											Atlayıp gittiler New Orleans'a 
yıl dönümü kutlamaya.
											Ah,
											Orada evlenmişti Pierre
											sevimli küçük hanımla.
									","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
"
","
","
","
","""You Never Can Tell"" / ""Over the Mountain, Across the Sea""",Elise LeGrow,10:57,"live music,music,performance,performance art,singer,vocals,entertainment,guitar"
