en,pt,es,tr,fr,title,speaker,duration,tags
"
","
","
","
","
",Notes of a native son: the world according to James Baldwin,Christina Greer,4:05,"animation,race,activism,TED-Ed,community,literature,culture,history,social change,society"
"
											Over the course of the 1960s,
											the FBI amassed almost 
two thousand documents
											in an investigation into one 
of America’s most celebrated minds.
											The subject of this inquiry 
was a writer named James Baldwin.
											At the time,
											the FBI investigated many 
artists and thinkers,
											but most of their files were a 
fraction the size of Baldwin’s.
											During the years when the FBI hounded him,
											he became one of the best-selling
black authors in the world.
											So what made James Baldwin loom 
so large in the imaginations
											of both the public and the authorities?
									","
											Durante os anos 60,
											o FBI amontou quase 2000 documentos
											numa investigação de uma
das cabeças mais célebres dos EUA.
											O sujeito deste inquérito
foi um escritor chamado James Baldwin.
											Naquela época, o FBI investigava
muitos artistas e pensadores,
											mas a maioria dos dossiês
eram uma fração do de Baldwin.
											Durante os anos em que
o FBI o perseguiu,
											ele tornou-se um dos autores negros
mais vendidos do mundo.
											Então, porque é que James Baldwin
alimentou tanto a imaginação
											tanto do público como das autoridades?
									","
											Durante la década de 1960,
											el FBI reunió casi dos mil documentos
											por la investigación de una
de las mentes más célebres de EE. UU.
											El individuo puesto bajo la lupa fue
un escritor llamado James Baldwin.
											En aquel entonces, el FBI investigaba
a muchos artistas e intelectuales,
											pero los expedientes acumulados 
eran mínimos comparados a los de Baldwin.
											En la época en que el FBI lo perseguía,
											se convirtió en uno de los escritores
negros que más libros vendía en el mundo.
											Pero ¿por qué James Baldwin
caló tan profundamente
											en el imaginario del público
y también de las autoridades?
									","
											FBI, 1960'larda
											Amerika'nın en ünlü zihinlerinden
birisine yaptığı bir soruşturmada,
											yaklaşık iki bin belge topladı.
											Bu soruşturmanın öznesi,
James Baldwin adlı bir yazardı.
											FBI o zamanlar
											birçok sanatçı ve düşünürü soruşturmuştu,
											fakat dosyaların çoğu, Baldwin'in
dosyalarına göre sayıca az kalıyordu.
											FBI onu takip ettiği yıllarda,
											dünyada en çok satan siyahi
yazarlardan birisi haline gelmişti.
											Peki James Baldwin'in hem halkın
hem de otoritelerin hayal gücünde
											çok büyük görünmesini sağlayan şey neydi?
									","
											Au cours des années 60,
											le FBI a rassemblé 
près de deux mille documents
											au cours de l'enquête sur l’un des esprits
les plus célèbres des États-Unis.
											Le sujet de cette enquête
était un écrivain nommé James Baldwin.
											À cette époque, le FBI enquêtait
sur de nombreux artistes et penseurs,
											mais la plupart de leurs dossiers étaient
bien moins remplis que ceux de Baldwin.
											Pendant les années
où le FBI l'a poursuivi,
											il est devenu l'un des auteurs noirs
les plus connus au monde.
											Alors, qu'est-ce qui a rendu James Baldwin
aussi éminent dans l'imagination
											du public et des autorités ?
									",Notes of a native son: the world according to James Baldwin,Christina Greer,4:05,"animation,race,activism,TED-Ed,community,literature,culture,history,social change,society"
"
","
","
","
","
",Notes of a native son: the world according to James Baldwin,Christina Greer,4:05,"animation,race,activism,TED-Ed,community,literature,culture,history,social change,society"
"
											Born in Harlem in 1924,
											he was the oldest of nine children.
											At age fourteen,
he began to work as a preacher.
											By delivering sermons,
he developed his voice as a writer,
											but also grew conflicted about the Church’s stance
											on racial inequality and homosexuality.
									","
											Nascido em Harlem, em 1924,
											era o mais velho de nove filhos.
											Aos 14 anos, começou
a trabalhar como pregador.
											Através dos seus sermões,
desenvolveu a sua voz enquanto escritor,
											mas também entrou em conflito
com a posição da Igreja
											quanto à desigualdade racial
e à homossexualidade.
									","
											Nacido en Harlem en 1924,
											fue el mayor de nueve hermanos.
											A los 14 años, comenzó
a trabajar como predicador.
											A través de sus sermones, 
empezó a perfilarse como escritor,
											pero también empezó a cuestionarse
la postura de la iglesia
											en torno a la desigualdad racial
y la homosexualidad.
									","
											1924'de Harlem'de doğdu
											ve dokuz çocuğun en büyüğüydü.
											On dört yaşında
vaiz olarak çalışmaya başladı.
											Vaazlar vererek, bir yazar olarak
sesini geliştirmişti
											fakat aynı zamanda kilisenin
ırksal eşitsizlik ve homoseksüelliğe karşı
											duruşuyla çatışır hâle gelmişti.
									","
											Né à Harlem en 1924,
											il était l'aîné de neuf enfants.
											À l'âge de quatorze ans,
il a travaillé comme prédicateur.
											En prononçant des sermons,
il a développé ses facultés d'écriture
											mais a aussi causé
un conflit sur la position de l’Église
											concernant l’inégalité raciale
et l’homosexualité.
									",Notes of a native son: the world according to James Baldwin,Christina Greer,4:05,"animation,race,activism,TED-Ed,community,literature,culture,history,social change,society"
"
","
","
","
","
",Notes of a native son: the world according to James Baldwin,Christina Greer,4:05,"animation,race,activism,TED-Ed,community,literature,culture,history,social change,society"
"
											After high school,
											he began writing novels and essays
while taking a series of odd jobs.
											But the issues that had driven him 
away from the Church
											were still inescapable in his daily life.
											Constantly confronted with racism 
and homophobia,
											he was angry and disillusioned, 
and yearned for a less restricted life.
											So in 1948, 
at the age of 24,
											he moved to Paris on a writing fellowship.
									","
											Depois de acabar o secundário,
											começou a escrever romances e ensaios
											enquanto realizava uma série de biscates.
											Mas os problemas que o levaram
a afastar-se da Igreja
											continuavam presentes na sua vida diária.
											Permanentemente confrontado
com o racismo e a homofobia,
											sentia-se zangado e desiludido
e ansiava por uma vida menos condicionada.
											Assim, em 1948, aos 24 anos,
											mudou-se para Paris,
com uma bolsa de escritor.
									","
											Al finalizar sus estudios secundarios,
comenzó a escribir novelas y ensayos
											mientras trabajaba
en empleos poco habituales.
											Pero los temas que
lo habían apartado de la Iglesia
											lo seguían persiguiendo 
en su vida cotidiana.
											Enfrentado permanentemente
al racismo y la homofobia,
											la ira y la desilusión lo llevaron
a aspirar a una vida más libre.
											Fue así que en 1948,
a los 24 años de edad,
											se mudó a París
gracias una beca literaria.
									","
											Liseden sonra
											bir dizi tuhaf işte çalışırken
romanlar ve denemeler yazmaya başladı.
											Fakat onu kiliseden
uzaklaştıran meseleler,
											günlük yaşamında hala kaçınılmazlardı.
											Irkçılık ve homofobiyle
sürekli karşılaştığı için
											sinirli ve kırgındı
ve kısıtsız bir yaşamı arzu ediyordu.
											1948'de, 24 yaşında
											bir yazarlık bursuyla Paris'e taşındı.
									","
											Après le lycée,
											il a écrit des romans et des essais
tout en réalisant de petits boulots.
											Mais les problèmes
qui l'avaient chassé de l'Église
											étaient encore inévitables
dans sa vie quotidienne.
											Constamment confronté
au racisme et à l'homophobie,
											il était en colère, désabusé
et aspirait à une vie moins restreinte.
											En 1948, à l'âge de 24 ans,
											il a déménagé à Paris
grâce à une bourse d'études d'écriture.
									",Notes of a native son: the world according to James Baldwin,Christina Greer,4:05,"animation,race,activism,TED-Ed,community,literature,culture,history,social change,society"
"
","
","
","
","
",Notes of a native son: the world according to James Baldwin,Christina Greer,4:05,"animation,race,activism,TED-Ed,community,literature,culture,history,social change,society"
"
											From France, he published his first novel,
											""Go Tell it on the Mountain,"" in 1953.
											Set in Harlem,
											the book explores the Church 
as a source of both repression and hope.
											It was popular with both black 
and white readers.
											As he earned acclaim for his fiction,
											Baldwin gathered his thoughts on race, 
class, culture and exile
											in his 1955 extended essay, 
""Notes of a Native Son.""
									","
											Em França, publicou o primeiro romance,
											""Go Tell it on the Mountain"",
em 1953.
											Situado em Harlem,
											o livro explora a Igreja como uma fonte
de repressão e de esperança.
											Foi bem aceite entre os leitores
tanto negros como brancos.
											À medida que a sua ficção era aceite,
											Baldwin reuniu os seus pensamentos
sobre etnia, classes, cultura e exílio
											no seu extenso ensaio de 1955
""Notes of a Native Son"".
									","
											En Francia publicó su primera novela,
											""Ve y dilo en la montaña"", en 1953.
											La historia se sitúa en Harlem,
y analiza el papel de la Iglesia
											como fuente de represión y de esperanza.
											La novela ganó popularidad
entre negros y blancos.
											Como escritor que empezaba 
a consagrarse en la ficción,
											reunió su visión sobre la raza,
las clases, la cultura y el exilio
											y en 1955 la plasmó en su ensayo
extendido ""Notas de un hijo nativo"".
									","
											Fransa'da, 1953'de ilk romanını yayınladı,
											""Git Onu Dağda Anlat"".
											Harlem'de geçen bu kitap
											kiliseyi hem baskı hem de umut
kaynağı olarak ele alıyor.
											Hem siyahi hem de beyaz
okuyucular arasında popülerdi.
											Baldwin kurgusu için övgüler kazanırken
1955'de yazdığı kapsamlı
											""Yerli bir Çocuğun Notları"" denemesinde
											ırk, sınıf, kültür ve sürgün üzerine
düşüncelerini bir araya getirdi.
									","
											En France, il a publié son premier roman,
											« La Conversion », en 1953.
											Situé à Harlem,
											le livre explore l'Église comme une source
de répression mais également d'espoir.
											Il était populaire
auprès des lecteurs noirs et blancs.
											Alors qu'il était reconnu pour sa fiction,
											Baldwin a rassemblé ses pensées
sur la race, la classe, la culture
											et l'exil dans son essai intitulé
« Chronique d'un pays natal » en 1955.
									",Notes of a native son: the world according to James Baldwin,Christina Greer,4:05,"animation,race,activism,TED-Ed,community,literature,culture,history,social change,society"
"
","
","
","
","
",Notes of a native son: the world according to James Baldwin,Christina Greer,4:05,"animation,race,activism,TED-Ed,community,literature,culture,history,social change,society"
"
											Meanwhile,
											the Civil Rights movement 
was gaining momentum in America.
											Black Americans were making incremental 
gains at registering to vote and voting,
											but were still denied basic dignities in 
schools, on buses, in the work force,
											and in the armed services.
											Though he lived primarily in France 
for the rest of his life,
											Baldwin was deeply invested in 
the movement,
											and keenly aware of his 
country’s unfulfilled promise.
											He had seen family, friends, 
and neighbors
											spiral into addiction, incarceration
and suicide.
											He believed their fates originated 
from the constraints
											of a segregated society.
											In 1963,
											he published ""The Fire Next Time,""
											an arresting portrait of racial strife

											in which he held white America 
accountable,
											but he also went further,
											arguing that racism hurt white people too.
											In his view,
											everyone was inextricably enmeshed 
in the same social fabric.
											He had long believed that:
											“People are trapped in history 
and history is trapped in them.”
									","
											Entretanto,
											o movimento dos Direitos Civis
estava a ganhar ímpeto nos EUA.
											Os americanos negros faziam conquistas,
registando-se para votar e votando,
											mas ainda lhes recusavam dignidades
básicas nas escolas, nos autocarros,
											no mercado de trabalho
e nas forças armadas.
											Embora tenha vivido sobretudo
em França, durante o resto da vida,
											Baldwin envolveu-se profundamente
nesse movimento,
											e tinha plena consciência da promessa
falhada do seu país.
											Tinha visto família, amigos e vizinhos
											entrar numa espiral de droga,
prisão e suicídios.
											Acreditava que esse destino tinha origem
											nos constrangimentos
duma sociedade segregada.
											Em 1963, publicou ""The Fire Next Time"",
											um retrato impressionante
do conflito racial
											em que responsabilizava os EUA
											mas também ia mais longe,
											argumentando que o racismo
também prejudicava os brancos.
											Na sua perspetiva,
											todos estavam inextricavelmente
enredados no mesmo tecido social.
											Há muito que pensava que:
											""As pessoas estão presas na história
e a história está presa nelas"".
									","
											Mientras tanto,
											el movimiento por los derechos civiles
cobraba fuerza en EE. UU.
											Los negros ganaban cada vez más derechos
y ya podían empadronarse y votar,
											pero aún se les negaban dignidades básicas
en las escuelas, en los autobuses,
											en el ámbito laboral
y en las fuerzas armadas.
											Si bien vivió el resto de su vida
mayormente en Francia,
											Baldwin estaba profundamente
comprometido con el movimiento
											y era plenamente consciente
de la promesa incumplida de su país.
											Había visto familiares,
amigos y vecinos
											caer en la adicción,
la cárcel y el suicidio.
											Baldwin creía que ese destino
era producto de las restricciones
											impuestas por una sociedad segregada.
											En 1963, publicó
""La próxima vez el fuego"",
											una impresionante descripción 
de las luchas raciales
											provocadas, según él,
por los blancos de EE. UU.
											Pero su análisis fue más allá
											al argumentar que el racismo
también perjudicaba a los blancos.
											Baldwin pensaba
											que todos estamos inexorablemente
atrapados en un mismo tejido social.

											Siempre tuvo esa convicción:
											""Las personas están
atrapadas en la historia
											y la historia está atrapada en ellas"".
									","
											Bu sırada Amerika'da
											Sivil Haklar hareketi
ivme kazanıyordu.
											Siyahi Amerikalılar oy kullanmada
kademeli kazançlar elde ediyordu,
											fakat okullarda, otobüslerde,
iş gücünde ve silahlı kuvvetlerde
											temel değerleri hâlâ reddediliyordu.
											Hayatının geri kalanı boyunca
en çok Fransa'da yaşasa da
											Baldwin bu harekete
derinden bağlanmıştı
											ve ülkesinin tutulmayan
sözlerinin de şiddetle farkındaydı.
											Ailesinin, arkadaşlarının ve komşularının
											bağımlılık, ömür boyu hapis
ve intihara doğru gittiğini görmüştü.
											Kaderlerinin, ayrıştırılmış bir toplumun

											kısıtlamalarından doğduğuna inanıyordu.
											1963'de
											beyaz Amerika'yı sorumlu tuttuğu
											dikkat çekici bir
ırk mücadelesi portresi çizen
											""Bundan Sonrası Ateş"" romanını yayınladı,
											fakat daha da ileriye giderek
											kitapta ırkçılığın beyaz insanları da
incittiğini iddia etti.
											Görüşüne göre,
											herkes toplumsal dokuda
ayrılmaz bir şekilde tuzağa düşmüştü.
											Uzun zaman şuna inandı:
											""İnsanlar tarihe hapsedilmiş
ve tarih de insanlara hapsedilmiş.""
									","
											Pendant ce temps,
											le mouvement des droits civiques
grandissait aux États-Unis.
											Les Américains noirs obtenaient
petit à petit le droit de vote
											mais leurs droits fondamentaux
restaient refusés à l'école, dans le bus,
											au travail et dans l'armée.
											Bien qu’il ait passé le reste de sa vie
principalement en France,
											Baldwin était extrêmement investi
dans le mouvement
											et clairement conscient
de la promesse non tenue de son pays.
											Il avait vu sa famille,
ses amis et ses voisins
											plongés dans l'addiction,
l'incarcération et le suicide.
											Il croyait que leur destin
provenait des contraintes
											d'une société ségréguée.
											En 1963,
											il a publié « La Prochaine Fois, le feu »
											un portrait frappant des conflits raciaux
											dans lequel il tenait les blancs
pour responsables
											mais il est allé plus loin,
											affirmant que le racisme
blessait également les blancs.
											À ses yeux,
											tout le monde était étroitement lié
dans la même structure sociale.
											Il avait longtemps cru que :
											« Les gens sont pris au piège
dans l’histoire
											et l’histoire est prise au piège en eux. »
									",Notes of a native son: the world according to James Baldwin,Christina Greer,4:05,"animation,race,activism,TED-Ed,community,literature,culture,history,social change,society"
