en,es,pt,tr,title,speaker,duration,tags
"
","
","
","
",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
											I'm here today to talk to you
about a very powerful little word,
											one that people will do almost anything
											to avoid becoming.
											Billion-dollar industries thrive
											because of the fear of it,
											and those of us who undeniably are it
											are left to navigate a relentless storm
											surrounding it.
									","
											Hoy estoy aquí para hablar con Uds.
sobre una pequeña palabra muy poderosa,
											una palabra que la gente
											tratará de evitar.
											Las industrias multimillonarias prosperan
											por temor a esa palabra,
											y quienes sin dudas lo somos
											vamos a la deriva por 
una tormenta implacable
											que la circunda.
									","
											Estou aqui hoje para vos falar de
uma pequena e poderosa palavra,
											que representa algo que todos nós
evitamos ser a todo o custo.
											Há indústrias milionárias que prosperam
											graças ao medo que temos disto,
											e quem realmente é assim
											fica condenado a viver
numa tempestade implacável
											associada a essa coisa.
									","
											Bugün buraya oldukça güçlü küçük bir 
kelime hakkında konuşmaya geldim,
											hani insanların olmaktan kaçınmak
için elinden geleni
											yaptığı o kelime hakkında.
											Milyar dolarlık endüstriler
											onun korkusuyla büyüyor,
											inkar edilemeyecek şekilde
""o"" olan bazılarımız,
											""o""nu saran amansız 
bir fırtınada dümen tutmaya
											mahkum ediliyoruz.
									",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
","
","
","
",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
											I'm not sure if any of you have noticed,
											but I'm fat.
											Not the lowercase,
muttered-behind-my-back kind,
											or the seemingly harmless
chubby or cuddly.
											I'm not even the more sophisticated
voluptuous or curvaceous kind.
									","
											No sé si lo han notado,
											pero soy gorda.
											No del tipo leve,
ni del que se murmura,
											ni de una aparentemente 
inofensiva rechonchez.
											Ni siquiera soy ese tipo más sofisticado
de voluptuosa o curvilínea.
									","
											Não sei se alguém aqui reparou,
											mas eu sou gorda.
											Não sou do tipo ""gordinha"",
que as pessoas comentam pelas costas,
											ou do tipo aparentemente inocente
""rechonchuda"" ou ""fofinha"".
											Nem sequer sou do tipo mais sofisticado,
o chamado voluptuoso ou curvilíneo.
									","
											Fark ettiniz mi bilmem
											ama ben şişmanım.
											Bu arkamdan küçük harflerle 
fısıldaşılan türden,
											ya da masum bir tombikliği, sevimliliği
olan bir şey değil.
											Daha kültürlü çekici ya da kıvrımlı 
hatlarıyla kendine çeken biri de değilim.
									",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
","
","
","
",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
											Let's not sugarcoat it.
											I am the capital F-A-T kind of fat.
											I am the elephant in the room.
											When I walked out on stage,
											some of you may have been thinking,
											""Aww, this is going to be hilarious,
											because everybody knows
that fat people are funny.""
									","
											Sin eufemismos,
											soy G-O-R-D-A y punto.
											Soy el elefante en la sala.
											Cuando salí al escenario,
											algunos habrán pensado:
											""Seguro va a ser delirante,
											porque todos saben que 
los gordos son graciosos"".
									","
											Não suavizemos a questão.
											Eu sou a versão em maiúsculas
da palavra G-O-R-D-A.
											Eu sou o elefante na sala.
											Quando eu apareci no palco,
											alguns de vós poderão ter pensado:
											""Ah, isto vai ser hilariante!""
											porque toda a gente sabe
que as pessoas gordas são engraçadas.
									","
											Bunu hiç ballandırmayalım isterseniz.
											Büyük harflerle Ş-İ-Ş-M-A-N türünden
bir şişmanım.
											Odadaki Fil'im.
											Sahneye çıktığımda,
											bazılarınız düşünmüşsünüzdür,
											''Ay, bizi bir şamata bekliyor desene, 
çünkü
											şişman insanların eğlenceli 
olduğunu herkes bilir.''
									",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
","
","
","
",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gülüşmeler)
									",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
","
","
","
",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
											Or you may have been thinking,
""Where does she get her confidence from?""
											Because a confident fat woman
is almost unthinkable.
											The fashion-conscious
members of the audience
											may have been thinking how fabulous I look
											in this Beth Ditto dress —
									","
											O puede que hayan pensado:
""¿De dónde saca la autoestima?""
											Porque una gorda con autoestima
es casi impensable.
											Los interesados en la moda
											habrán pensado lo fabulosa que me veo
											con este vestido de Beth Ditto...
									","
											Ou poderão ter pensado:
""Como é que ela é tão confiante?""
											porque uma mulher gorda e confiante
é algo quase impensável.
											Os membros do público mais atentos à moda
											poderão ter pensado que fico fabulosa
											neste vestido da Beth Ditto.
									","
											Veya şunu düşünmüş de olabilirsiniz,
''Bu özgüveni nereden geliyor?''
											Çünkü özgüvene sahip şişman bir kadın
akla hayale sığmaz.
											Moda anlayışı olan seyirciler
											şu Beth Ditto elbisesinin içinde
											nasıl ortalığı yaktığımı 
düşünüyordur şimdi.
									",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
","
","
","
",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
											(Cheers)
									","
											(Ovación)
									","
											(Aplausos)
									","
											(Gülüşmeler)
									",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
","
","
","
",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
											thank you very much.
											Whereas some of you might have thought,
											""Hmm, black would have been
so much more slimming.""
									","
											muchas gracias.
											Mientras que alguno puede que piense:
											""Hmm, en negro se vería 
mucho más delgada"".
									","
											Muito obrigada.
											Por outro lado, outros terão pensado:
											""Hum, o preto seria melhor
para disfarçar o volume.""
									","
											Çok teşekkür ederim.
											Oysa bazıları şöyle düşünmüş olabilir,
											''Hım, siyah seni çok daha ince
gösterebilirdi.''
									",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
","
","
","
",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Kahkahalar)
									",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
","
","
","
",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
											You may have wondered, consciously or not,
											if I have diabetes, or a partner,
											or if I eat carbs after 7pm.
									","
											Es posible que se hayan preguntado, 
de manera consciente o no,
											si tengo diabetes o si tengo pareja,
											o si como carbohidratos 
después de las 19 hs.
									","
											Poderão ter-se perguntado,
conscientemente ou não,
											se eu terei diabetes, ou um parceiro,
											ou se como hidratos de carbono
depois das 19 horas.
									","
											Bilinçli ya da değil, merak etmiş
olabilirsiniz de,
											diyabet miyim, eşim var mı,
											veya akşam 7'den sonra 
karbonhidrat yiyor muyum.
									",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
","
","
","
",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Kahkahalar)
									",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
"
","
","
","
",Enough with the fear of fat,Kelli Jean Drinkwater,12:20,"activism,art,beauty,creativity,culture,fear,humanity,obesity,identity,performance art,photography,social change,self,society,TEDx"
