en,tr,pt,es,fr,title,speaker,duration,tags
"
","
","
","
","
",A rare galaxy that's challenging our understanding of the universe,Burçin Mutlu-Pakdil,4:39,"TED Fellows,astronomy,physics,space,science,discovery,universe"
"
											There are more than a trillion
galaxies in the universe.
											And my team discovered
an extremely rare one,
											a galaxy that doesn't look
quite like anything observed before.
											This galaxy is so peculiar,
											that it challenges our theories
and our assumptions
											about how the universe works.
									","
											Evrende bir trilyondan fazla galaksi var.
											Benim ekibim de
çok nadir bir tane keşfetti;
											daha önce gözlemlenen hiçbir şeye
benzemeyen bir galaksi.
											Bu galaksi o kadar tuhaf ki
											evrenin işleyiş şekline ilişkin
											tüm teori ve varsayımlarımıza
meydan okuyor.
									","
											Há mais de um bilião
de galáxias no universo.
											A minha equipa descobriu
uma extremamente rara,
											uma galáxia que não se parece
com nada do que já foi observado.
											Esta galáxia é tão peculiar
											que desafia as nossas teorias
e as nossas suposições
											sobre como o universo funciona.
									","
											Hay más de un billón 
de galaxias en el universo.
											Y mi equipo descubrió
una extremadamente rara,
											una galaxia que no se parece
a nada de lo antes observado.
											Esta galaxia es tan peculiar
											que desafía nuestras teorías
y nuestras suposiciones
											sobre cómo funciona el universo.
									","
											Il y a plus de mille milliards
de galaxies dans l'univers.
											Et mon équipe en a découvert
une extrêmement rare,
											une galaxie qui ne ressemble à rien
déjà observé auparavant.
											Cette galaxie est tellement particulière,
											qu'elle défie nos théories
et nos suppositions
											au sujet du fonctionnement de l'univers.
									",A rare galaxy that's challenging our understanding of the universe,Burçin Mutlu-Pakdil,4:39,"TED Fellows,astronomy,physics,space,science,discovery,universe"
"
","
","
","
","
",A rare galaxy that's challenging our understanding of the universe,Burçin Mutlu-Pakdil,4:39,"TED Fellows,astronomy,physics,space,science,discovery,universe"
"
											The majority of the galaxies are spiral,
											similar to our own Milky Way.
											We have strong theories about how
these common galaxies form and evolve.
											But we don't understand
how rare galaxies form and evolve.
											An especially puzzling rare case
is Hoag's Object.
											It has a very symmetric central body
surrounded by a circular outer ring,
											with nothing visible connecting them.
											Hoag-type galaxies are among the rarest
types of galaxies currently known.
											There are fewer than one
in 1,000 galaxies.
											It's a mystery how the stars
in the outer ring are just floating there
											in such an orderly manner.
											That's interesting, right?
											Hold on.
											Things are about to get more mysterious.
									","
											Galaksilerin çoğu sarmal,
											kendi galaksimiz Samanyolu'na benziyor.
											Bu yaygın galaksilerin nasıl oluşup
evrildiği yönünde güçlü teorilerimiz var.
											Ancak nadir galaksilerin
bunu nasıl yaptığını anlayamıyoruz.
											Özellikle kafa karıştıran bir tanesi
Hoag Cismi adlı halkalı galaksi.
											Oldukça simetrik bir merkezi var
ve dış bir halka ile çevrelenmiş,
											görünüşte onları bağlayan hiçbir şey yok.
											Hoag türü galaksiler şu an bilinen
en nadir galaksiler arasında.
											Sayıları her bin galakside
bir taneden daha az.
											Dış halkadaki yıldızların
böylesi bir düzen içinde olmaları
											hâlâ gizemini koruyor.
											Çok ilginç, değil mi?
											Dahası var.
											Daha da gizemli bir hâl alacak.
									","
											A maioria das galáxias são em espiral,
											semelhantes à nossa Via Láctea.
											Nós temos sólidas teorias sobre como estas
galáxias comuns se formam e evoluem.
											Mas não compreendemos como
se formam e evoluem as galáxias raras.
											Um caso raro especialmente intrigante
é o Objeto de Hoag.
											Tem um corpo central simétrico
rodeado por um anel exterior circular,
											sem nenhuma ligação visível entre eles.
											As galáxias do tipo Hoag
											estão entre os mais raros tipos
de galáxias já conhecidas.
											São menos do que uma
em cada 1000 galáxias.
											É um mistério como as estrelas no anel 
exterior estão ali apenas a flutuar
											de uma maneira tão ordenada.
											Isto é interessante.
											Mas esperem.
											As coisas estão a ficar mais misteriosas.
									","
											La mayoría de las galaxias son espirales,
											similares a nuestra Vía Láctea.
											Hay teorías firmes sobre cómo se forman
y evolucionan las galaxias comunes.
											Pero no entendemos cómo se forman
y evolucionan las galaxias raras.
											Un caso especialmente desconcertante
es el Objeto de Hoag.
											Tiene un cuerpo central simétrico
rodeado por un anillo exterior circular,
											sin algo visible que conecte
uno con el otro.
											Las galaxias tipo Hoag son las más raras 
de las que conocemos actualmente.
											Hay menos de una por cada 1000 galaxias.
											Es un misterio cómo las estrellas
del círculo exterior flotan allí sin más,
											de una manera tan ordenada.
											Es interesante, ¿verdad?
											Pero atención.
											Las cosas se van a poner más misteriosas.
									","
											La majorité des galaxies sont en spirale,
											comme notre propre Voie Lactée.
											Nos théories sont solides sur la création
et l'évolution des galaxies communes.
											Mais nous ne comprenons pas comment
les galaxies rares se forment et évoluent.
											Un cas particulièrement rare et déroutant
est l'Objet de Hoag.
											Il a un corps central très symétrique
entouré d'un anneau externe circulaire,
											sans rien de visible qui les connectent.
											Les galaxies de Hoag comptent parmi
les plus rares types de galaxies connus.
											Il y en a moins d'une sur mille galaxies.
											Il est mystérieux comment les étoiles
de l'anneau externe flottent là
											d'une manière aussi ordonnée.
											C'est intéressant, n'est-ce pas ?
											Attendez.
											Les choses sont sur le point
de devenir plus mystérieuses.
									",A rare galaxy that's challenging our understanding of the universe,Burçin Mutlu-Pakdil,4:39,"TED Fellows,astronomy,physics,space,science,discovery,universe"
"
","
","
","
","
",A rare galaxy that's challenging our understanding of the universe,Burçin Mutlu-Pakdil,4:39,"TED Fellows,astronomy,physics,space,science,discovery,universe"
"
											The galaxy that my team
discovered is even rarer
											and much more complex than that.
											You know, sometimes, you search
and search for these objects,
											and you find nothing.
											But sometimes, it just appears
in the background,
											when you are not even looking for it.
											This system looks very similar
to Hoag's Object,
											with its central body
and circular outer ring.
											We got very excited and thought
we discovered another Hoag's Object.
											But my research showed
this is an entirely new galaxy type,
											now commonly referred to
as ""Burçin's Galaxy.""
									","
											Ekibimin keşfettiği galaksi
bundan çok daha nadir
											ve çok daha karmaşık.
											Bazen sürekli bu cisimleri ararsınız
											ve hiçbir şey bulamazsınız.
											Bazen de hiç bakmadığınız bir anda
											birden arka planda beliriverir.
											Bu sistem de Hoag Cismi'ne çok benziyor;
											bir merkezi ve onu çevreleyen halkası var.
											Çok heyecanlandık ve başka bir
Hoag Cismi daha bulduğumuzu sandık.
											Ancak araştırmam bunun tamamen
yeni bir tür galaksi olduğunu gösterdi,
											yaygın ismi ''Burçin'in Galaksisi.''
									","
											A galáxia que a minha equipa
descobriu ainda é mais rara
											e muito mais complexa do que isso.
											Sabem, às vezes, procuramos
e procuramos estes objetos
											e não encontramos nada.
											Mas algumas vezes,
aparecem lá ao fundo,
											quando nem estávamos a procurá-los.
											Este sistema parece
muito semelhante ao Objeto de Hoag,
											com o seu corpo central
e o anel circular exterior.
											Ficámos entusiasmados e pensámos ter 
descoberto outro Objeto de Hoag.
											Mas a minha pesquisa mostrou
que é um tipo de galáxia totalmente novo,
											a que agora nos referimos
como a Galáxia de Burçin.
									","
											La galaxia que mi equipo 
descubrió es aún más rara
											y mucho más compleja que eso.
											A veces nos pasamos buscando
este tipo de objetos,
											y no encontramos nada.
											Pero, otras veces, aparecen en el fondo,
											cuando ni siquiera los estamos buscando.
											Este sistema se parece
notablemente a un Objeto de Hoag,
											con el cuerpo central
y el anillo circular externo.
											Nos emocionamos y pensamos que habíamos
descubierto otro Objeto de Hoag.
											Pero mi investigación mostró que este tipo
de galaxia es completamente novedosa,
											y actualmente se la conoce
como ""galaxia Burçin"".
									","
											La galaxie que mon équipe a découverte
est encore plus rare
											et bien plus complexe que cela.
											Vous savez, parfois, vous cherchez,
recherchez ces objets,
											et vous ne trouvez rien.
											Mais parfois, cela apparaît
en arrière-plan,
											alors que vous ne le cherchez même pas.
											Ce système semble très similaire
à l'Objet de Hoag,
											avec son corps central
et son anneau circulaire externe.
											Nous étions très excités à l'idée
d'avoir découvert un autre Objet de Hoag.
											Mais mes recherches ont montré
que c'était un nouveau type de galaxie,
											désormais communément nommé
« Burçin's Galaxy ».
									",A rare galaxy that's challenging our understanding of the universe,Burçin Mutlu-Pakdil,4:39,"TED Fellows,astronomy,physics,space,science,discovery,universe"
"
","
","
","
","
",A rare galaxy that's challenging our understanding of the universe,Burçin Mutlu-Pakdil,4:39,"TED Fellows,astronomy,physics,space,science,discovery,universe"
"
											(Laughs)
									","
											(Gülme)
									","
											(Risos)
									","
											(Risas)
									","
											(Rires)
									",A rare galaxy that's challenging our understanding of the universe,Burçin Mutlu-Pakdil,4:39,"TED Fellows,astronomy,physics,space,science,discovery,universe"
"
","
","
","
","
",A rare galaxy that's challenging our understanding of the universe,Burçin Mutlu-Pakdil,4:39,"TED Fellows,astronomy,physics,space,science,discovery,universe"
"
											(Cheers) (Applause)
									","
											(Tezahürat) (Alkışlar)
									","
											(Aplausos)
									","
											(Vítores) (Aplausos)
									","
											(Acclamations) (Applaudissements)
									",A rare galaxy that's challenging our understanding of the universe,Burçin Mutlu-Pakdil,4:39,"TED Fellows,astronomy,physics,space,science,discovery,universe"
