en,tr,fr,de,title,speaker,duration,tags
"
","
","
","
",What the Social Progress Index can reveal about your country,Michael Green,14:56,"economics,global issues,policy,statistics"
"
											On January 4, 1934,
											a young man delivered a report
											to the United States Congress
											that 80 years on,
											still shapes the lives of
everyone in this room today,
											still shapes the lives of
everyone on this planet.
											That young man wasn't a politician,
											he wasn't a businessman,
											a civil rights activist
											or a faith leader.
											He was that most unlikely of heroes,
											an economist.
											His name was Simon Kuznets
											and the report that 
he delivered was called
											""National Income, 1929-1932.""
									","
											4 Ocak 1934'te
											genç bir adam ABD Kongresi'ne
											80 yıl sonra, bugün hâlâ bu odadaki
											herkesin hayatını şekillendiren,
											hâlâ bu gezegendeki herkesin 
hayatını şekillendiren
											bir rapor sundu.
											Bu genç adam bir politikacı değildi,
											bir iş adamı değildi,
											bir insan hakları savunucusu
											veya dini bir lider değildi.
											Kahraman olması en az muhtemel olan
											bir ekonomistti.
											Adı Simon Kuznets'di
											ve sunduğu raporun adı
											""Millî Gelir, 1929-1932"" idi.
									","
											Le 4 janvier 1934,
											un jeune homme a remis un rapport
											au Congrès des États-Unis
											qui, 80 ans plus tard,
											influence encore la vie de toutes
les personnes présentes dans cette pièce,
											influence encore la vie du monde entier.
											Ce jeune homme n'était pas un politicien,
											ce n'était pas
un homme d'affaires,
											ni un militant des droits civiques,
											ni un chef spirituel.
											C'était le plus improbable des héros,
											un économiste.
											Il s'appelait Simon Kuznets
											et le rapport qu'il remit
avait pour titre
											« Revenu National, 1929-1932. »
									","
											Am 4. Januar 1934
											lieferte ein junger Mann einen Bericht
											an den Kongress der Vereinigten Staaten,
											der noch 80 Jahre danach
											all unser Leben prägt.
											Nicht nur das derer hier im Raum, 
sondern das Leben aller Menschen.
											Der junge Mann war kein Politiker,
											er war kein Geschäftsmann
											oder ein Menschenrechts-Aktivist
											oder ein charismatischer Führer.
											Er war alles andere als ein Held:
											Er war ein Ökonom.
											Sein Name war Simon Kuznets.
											Sein Bericht trug den Titel:
											""Nationales Einkommen 1929-1932""
									",What the Social Progress Index can reveal about your country,Michael Green,14:56,"economics,global issues,policy,statistics"
"
","
","
","
",What the Social Progress Index can reveal about your country,Michael Green,14:56,"economics,global issues,policy,statistics"
"
											Now, you might think
											this is a rather dry and dull report.
											And you're absolutely right.
											It's dry as a bone.
											But this report is the foundation
											of how, today, we judge the 
success of countries:
											what we know best as
Gross Domestic Product,
											GDP.
									","
											Bu raporun yavan ve sıkıcı
											olduğunu düşünebilirsiniz.
											Gerçekten de haklısınız.
											Bir kemik gibi kupkuru.
											Ancak bu rapor bugün ülkelerin
											başarısını değerlendirme 
yöntemimizin temelidir:
											En çok bilinen adıyla 
Gayrisafi Yurt İçi Hasıla,
											GSYİH.
									","
											On pourrait penser
											que c'est un rapport
plutôt sec et ennuyeux.
											Et on aurait absolument raison.
											Il est sec
comme un coup de trique.
											Mais ce rapport est le fondement
											de la façon dont nous jugeons
le succès des pays de nos jours :
											ce que nous connaissons mieux
sous le nom de produit intérieur brut,
											le PIB.
									","
											Sei denken wahrscheinlich,
											das ist ein sehr trockener 
und langweiliger Bericht.
											Da liegen Sie ganz richtig.
											Er ist knochentrocken.
											Doch der Bericht ist heute die Basis
											für die Beurteilung 
des Erfolges von Ländern:
											Wir kennen es bestens als
Bruttoinlandsprodukt,
											BIP.
									",What the Social Progress Index can reveal about your country,Michael Green,14:56,"economics,global issues,policy,statistics"
"
","
","
","
",What the Social Progress Index can reveal about your country,Michael Green,14:56,"economics,global issues,policy,statistics"
"
											GDP has defined and shaped our lives
											for the last 80 years.
											And today I want to talk about 

											a different way to measure
the success of countries,
											a different way to define 
and shape our lives
											for the next 80 years.
									","
											GSYİH, son 80 yıldır
											hayatımızı belirleyip şekillendirmiştir.
											Bugün ise önümüzdeki 80 yıl boyunca
											ülkelerin başarısını ölçmenin farklı 
bir yönteminden,
											hayatlarımızı belirleyip şekillendirmenin 
farklı bir yönteminden
											bahsetmek istiyorum.
									","
											Le PIB a défini et influencé nos vies
											tout au long de ces 80 dernières années.
											Et aujourd'hui,
je voudrais parler
											d'une manière différente de mesurer
le succès d'un pays,
											d'une manière différente de définir
et d'influencer nos vies
											pour les 80 années à venir.
									","
											Das BIP definiert und formt unser Leben
											seit 80 Jahren.
											Heute wollen wir darüber reden,
											wie wir den Erfolg von Ländern
auf einer anderen Weise messen können.
											Ein anderer Ansatz, unsere Leben
in den nächsten 80 Jahren
											zu definieren und zu formen.
									",What the Social Progress Index can reveal about your country,Michael Green,14:56,"economics,global issues,policy,statistics"
"
","
","
","
",What the Social Progress Index can reveal about your country,Michael Green,14:56,"economics,global issues,policy,statistics"
"
											But first, we have to understand
											how GDP came to
dominate our lives.
											Kuznets' report was delivered
											at a moment of crisis.
											The U.S. economy was plummeting
											into the Great Depression
											and policy makers were 
struggling to respond.
											Struggling because they didn't
know what was going on.
											They didn't have data and statistics.
											So what Kuznet's report gave them
											was reliable data on what 
the U.S. economy
											was producing,
											updated year by year.
											And armed with this information,
											policy makers were, eventually,
											able to find a way out 
of the slump.
											And because Kuznets' invention
											was found to be so useful,
											it spread around the world.
											And now today, every country
											produces GDP statistics.
									","
											Ancak öncelikle GSYİH'nın hayatlarımıza
											nasıl egemen olduğunu anlamamız gerek.
											Kuznets'in raporu bir kriz anında
											sunulmuştu.
											ABD ekonomisi Büyük Buhran'a
											doğru gidiyordu
											ve karar vericiler tepki 
vermekte zorlanıyorlardı.
											Zorlanmalarının nedeni neler olup 
bittiğini bilmemeleriydi.
											Veri ve istatistikleri yoktu.
											Yani Kuznets'in raporu onlara
											ABD ekonomisinin ne ürettiğiyle ilgili
											her yıl güncellenen
											güvenilir bir veri sağladı.
											Bu bilgiyle donanan
											karar alıcılar krizden
											kurtulmanın yolunu 
sonunda bulabildiler.
											Kuznets'in buluşu
											öylesine yararlı bulundu ki
											dünyanın her yanına yayıldı.
											Bugün her ülke
											GSYİH istatistikleri üretmektedir.
									","
											Mais tout d'abord,
nous devons comprendre
											comment le PIB a réussi
à dominer nos vies.
											La rapport de Kuznets a été remis
											dans un moment de crise.
											L'économie américaine s'effondrait
											pendant la Grande Dépression
											et les responsables politiques
avaient du mal à répondre.
											Ils étaient en difficulté car
ils ne savaient pas ce qui se passait.
											Ils n'avaient ni données, ni statistiques.
											Ce que le rapport de Kuznet
leur a apporté,
											ce sont des données fiables
sur ce que produisait
											l'économie américaine,
											et qui étaient mises à jour
chaque années.
											Armés de ces informations,
											les responsables politiques
furent finalement capables
											de se sortir
de la récession.
											Et parce que l'invention de Kuznets
											s'est révélée si utile,
											elle s'est étendue au monde entier.
											Et maintenant, de nos jours,
tous les pays
											produisent des statistiques
sur leur PIB.
									","
											Zuerst müssen wir verstehen,
											wie das BIP begann,
unsere Leben zu dominieren.
											Kuznets Bericht wurde
											in einer Phase der Krise erstellt.
											Die US-Wirtschaft rutschte
											in eine tiefe Depression.
											Die Politiker rangen um Antworten.
											Sie wussten nicht, was da vorging.
											Sie hatten keine Daten und Statistiken.
											Das lieferte nun der Bericht von Kuznet:
											verlässliche Daten über 
die Produktion der US-Wirtschaft,
											
Jahr für Jahr aktualisiert.
											Mit diesen Informationen
											waren die Politiker endlich in der Lage,
											einen Weg aus der Krise zu finden.
											Weil Kuznets Erfindung
											sich als so nützlich erwies,
											verbreitete sie sich um die Welt.
											Heute erstellt jedes Land
											BIP-Statistiken.
									",What the Social Progress Index can reveal about your country,Michael Green,14:56,"economics,global issues,policy,statistics"
"
","
","
","
",What the Social Progress Index can reveal about your country,Michael Green,14:56,"economics,global issues,policy,statistics"
"
											But, in that first report,
											Kuznets himself delivered a warning.
											It's in the introductory chapter.
											On page seven he says,
											""The welfare of a nation can, therefore,
											scarcely be inferred
											from a measurement of 
national income
											as defined above.""
											It's not the greatest sound 
bite in the world,
											and it's dressed up in the cautious 
language of the economist.
											But his message was clear:
											GDP is a tool
											to help us measure
economic performance.
											It's not a measure
of our well-being.
											And it shouldn't be a guide 
to all decision making.
									","
											Ancak o ilk raporda Kuznets'in
											bir uyarısı vardı.
											Giriş bölümünde.
											Sayfa 7'de diyor ki,
											""Buna binaen, bir ülkenin refahı
											yukarıda belirtildiği gibi
											millî gelirin ölçümüyle çok zor
											anlaşılır.""
											Bu dünyadaki en iyi söz öbeği değil
											ve bir iktisatçının ihtiyatlı 
dili ile süslenmiş.
											Ancak mesajı açık:
											GSYİH, ekonomik performansı
											ölçmemize yardımcı bir araç.
											Refahımızın ölçüsü değil.
											Bütün kararları almada da 
bir rehber olmamalı.
									","
											Mais dans ce premier rapport,
											Kuznets lui-même a émis
une mise en garde.
											C'est dans le chapitre d'introduction.
											À la page sept, il dit :
											« Le bien-être d'une nation
ne peut donc guère
											être déduit
											de la mesure du revenu national
											tel que défini ci-dessus. »
											Ce n'est pas la meilleure
citation au monde,
											et elle est enveloppée
dans le langage prudent de l'économiste,
											mais son message était clair :
											le PIB est un outil
											qui nous aide à mesurer
la performance économique.
											Ce n'est pas une mesure
de notre bien-être.
											Et ce ne devrait pas nous guider
dans toutes nos décisions.
									","
											Jedoch verband Kuznet selbst
											seinen ersten Bericht mit einer Warnung.
											Sie steht in der Einleitung.
											Auf Seite 7 sagt er:
											""Das Wohlergehen einer Nation
											kann durch die Messung
											des oben definierten 
nationalen Einkommens

											kaum bestimmt werden.""
											Das sind jetzt nicht die größten Worte.
											Sie sind in der vorsichtigen Sprache 
eines Ökonomen formuliert.
											Die Botschaft ist jedoch klar:
											Das BIP ist ein Werkzeug,
											das die wirtschaftliche Performance misst.
											Es misst nicht unser Wohlergehen.
											Es sollte keine Maßgabe
für alle Entscheidungen sein.
									",What the Social Progress Index can reveal about your country,Michael Green,14:56,"economics,global issues,policy,statistics"
