en,pt,fr,tr,es,title,speaker,duration,tags
"
","
","
","
","
",The Maya myth of the morning star,TED-Ed,4:16,"animation,history,TED-Ed,education,culture,world cultures"
"
											Chak Ek’ rose from the underworld 
to the surface of the eastern sea
											and on into the heavens.
											His brother K’in Ahaw followed.
											Though Chak Ek’ had risen first, 
K’in Ahaw outshone him,
											and the resentful Chak Ek’ descended back
to the underworld
											to plot against his brother.
									","
											Chak Ek', a estrela da manhã,
saiu do mundo subterrâneo
											para a superfície do mar oriental
e daí subiu aos céus.
											O seu irmão K'in Ahaw,
o sol, foi atrás dela.
											Embora Chak Ek' tenha subido primeiro,
K’in Ahaw suplantou-a,
											e Chak Ek', ciumenta,
voltou ao mundo subterrâneo
											para conspirar contra o irmão.
									","
											Chak Ek' émergea du monde souterrain
de la Mer de l'Est
											et se dirigea vers les cieux.
											Son frère, K'in Ahaw, le suivait.
											Bien que Chak Ek' soit monté le premier,
K'in Ahaw le surpassait en tout,
											et Chak Ek', plein de rancœur, retourna
dans le monde souterrain
											pour comploter contre son frère.
									","
											Chak Ek’ yeraltından
doğu denizinin yüzeyine
											ve cennete doğru yükseldi.
											Kardeşi K’in Ahaw onu takip etti.
											Chak Ek’ önce yükselmiş olmasına rağmen,
K’in Ahaw onu gölgede bıraktı
											ve buna içerleyen Chak Ek
ağabeyine karşı komplo kurmak için
											yeraltına geri döndü.
									","
											Ek Chuah ascendió desde el Inframundo
hasta la superficie del mar del este
											y de ahí, a los cielos.
											Su hermano Kinich Ahau lo siguió.
											Aunque Ek Chuah había ascendido primero,
Kinich Ahau lo eclipsó,
											y Ek Chuah, rencoroso, volvió 
a descender al inframundo
											para planear la venganza
contra su hermano.
									",The Maya myth of the morning star,TED-Ed,4:16,"animation,history,TED-Ed,education,culture,world cultures"
"
","
","
","
","
",The Maya myth of the morning star,TED-Ed,4:16,"animation,history,TED-Ed,education,culture,world cultures"
"
											In Mayan mythology, Chak Ek’ represents 
Venus and K’in Ahaw represents the sun.
											Known as both the morning and the 
evening star,
											Venus moves through the sky, 
sometimes visible before sunrise,
											sometimes after sunset,
and occasionally not at all.
											The ancient Maya identified this roughly 
584 day cycle
											more than a thousand years ago
											and it still accurately predicts when and 
where Venus will appear in the sky
											around the world.
											Five of these cycles make up almost 
exactly eight years,
											and the Maya also recognized 
this larger cycle.
											They assigned Chak Ek’ five 
different forms,
											one for each cycle of Venus, 
that were repeated every eight years.
									","
											Na mitologia maia,
Chak Ek’ representa Vénus
											e K’in Ahaw representa o Sol.
											Conhecida como a estrela da manhã
e a estrela da tarde,
											Vénus movimenta-se pelo céu,
por vezes visível antes de o Sol nascer,
											por vezes, depois do pôr-do-sol
e, por vezes, nem aparece.
											Os antigos maias identificavam
este ciclo de cerca de 584 dias
											há mais de mil anos
											e ainda prevê com rigor
quando e onde Vénus vai aparecer no céu,
											pelo mundo inteiro.
											Cinco destes ciclos compõem
quase exatamente oito anos,
											e os maias também conheciam
este ciclo maior.
											Atribuíam a Chak Ek’
cinco formas diferentes,
											uma para cada ciclo de Vénus,
que se repetiam de oito em oito anos.
									","
											Dans la mythologie maya, Chak Ek'
représente Vénus, K'in Ahaw le Soleil.
											Connue comme l'étoile du matin et du soir,
											Vénus se meut dans le ciel,
parfois visible avant le lever du soleil,
											parfois visible après son coucher,
et parfois cachée.
											Le peuple Maya avait identifié
un cycle d'environ 584 jours -
											il y a plus de mille ans de cela,
											et il prédit avec précision,
encore aujourd'hui,
											les temps et lieux des apparitions
de Vénus dans le ciel
											à travers le monde.
											Cinq de ces cycles font presque
exactement huit ans ;
											les Mayas avaient aussi identifié
ce plus grand cycle.
											Ils ont donné à Chak Ek'
cinq formes différentes,
											une pour chaque cycle de Vénus,
qui se répètent tous les huit ans.
									","
											Maya mitolojisinde, Chak Ek’, Venüs'ü
K’in Ahaw ise Güneş'i temsil eder.
											Hem seher hem de akşam yıldızı
olarak bilinen Venüs,
											bazen güneş doğmadan önce,
bazen gün batımından sonra görünerek
											gökyüzünde hareket eder
bazen de hiç hareket etmez.
											Antik Mayalar, aşağı yukarı
584 gün süren bu döngüyü
											bin yıldan daha önce belirledi.
											Ve bu hâlâ Venüs'ün gökyüzünde
ne zaman ve nerede olacağını
											doğru şekilde tahmin ediyor.
											Bu döngülerden beşi
neredeyse sekiz yıl sürüyor
											ve Mayalar daha geniş olan
bu döngüyü de fark ettiler.
											Chak Ek’e, her sekiz yılda bir tekrarlanan
											Venüs'ün her döngüsü için bir tane
olmak üzere beş farklı model verdiler.
									","
											Ek Chuah representa a Venus, y
Kinich Ahau, al Sol en la mitología maya.
											Conocido como el lucero
del alba y de la noche,
											Venus se mueve a través del cielo,
y a veces se aprecia antes del amanecer,
											otras veces, al anochecer,
y otras, no se puede ver.
											Los antiguos mayas identificaron
este ciclo de unos 584 días
											hace más de mil años
											y aún sirve para predecir con exactitud
dónde aparecerá Venus en el cielo
											en cualquier parte del mundo.
											Cinco de estos ciclos constituyen
casi ocho años exactos.
											Los mayas también conocían
sobre este ciclo más largo.
											Le asignaron a Ek Chuah 
cinco formas diferentes,
											una para cada uno de los ciclos de Venus
que se repetían cada ocho años.
									",The Maya myth of the morning star,TED-Ed,4:16,"animation,history,TED-Ed,education,culture,world cultures"
"
","
","
","
","
",The Maya myth of the morning star,TED-Ed,4:16,"animation,history,TED-Ed,education,culture,world cultures"
"
											Within the 584 day cycle, Venus is visible
in the evening sky for 250 days,
											then disappears for 8 days before 
reappearing as the Morning Star.
											The ancient Maya ascribed particular 
significance to this point in this cycle:
											the first time Venus appears before 
sunrise after being invisible.
											On this day, Chak Ek’ rose again from the 
underworld,
											wielding a spearthrower and darts.
											To bring discord to the world,
											he decided to attack his brother 
and his brother’s allies.
											His first target was K’awiil, god of 
sustenance and lightning.
											Rising in the late rainy season, Chak Ek’ 
aimed his spear and struck K’awiil,
											causing damage to the food and a 
period of chaos in the social order
											until K’awiil was reborn.
									","
											No ciclo de 584 dias, Vénus é visível
no céu da tarde, durante 250 dias,
											depois desaparece durante 8 dias,
											antes de reaparecer,
como Estrela da Manhã.
											Os antigos maias atribuíam especial
significado a esta altura do ciclo:
											é a primeira vez que Vénus
aparece antes do nascer do sol,
											depois de estar invisível.
											Nesse dia, Chak Ek' surgiu de novo
do mundo subterrâneo,
											empunhando uma lança e dardos.
											Para lançar a discórdia no mundo,
											decidiu atacar o irmão
e os aliados do irmão.
											O primeiro alvo foi K’awiil, 
o deus do sustento e dos relâmpagos.
											No final da estação das chuvas,
Chak Ek' empunhou a lança e feriu K’awiil,
											causando estragos nos alimentos
e um período de caos na ordem social,
											até K’awiil renascer.
									","
											Au sein d'un cycle de 584 jours, Vénus est
visible le soir pendant 250 jours,
											puis disparaît pendant 8 jours avant de
réapparaître en tant qu'Étoile du Matin.
											Les Mayas attribuaient une signification 
particulière à ce moment du cycle :
											la première fois que Vénus apparaît avant
le lever du soleil après avoir été cachée.
											Ce jour-là, Chak Ek' revenait à nouveau
du monde souterrain,
											brandissant un propulseur et des lances.
											Pour semer la discorde dans le monde,
											il décida d'attaquer son frère
et ses alliés.
											Sa première cible fut K'awiil,
dieu de la subsistance et de la foudre.
											Émergeant à la fin de la saison
des pluies,
											Chak Ek' visa K'awiil de sa lance
et le frappa,
											endommageant la nourriture
et créant un chaos dans l'ordre social
											jusqu'à ce que K’awiil renaisse.
									","
											584 günlük döngü süresince,
Venüs 250 gün boyunca akşamları görünür,
											ardından Seher Yıldızı olarak
görünmeden önce 8 gün boyunca kaybolur.
											Antik Mayalar, döngüdeki bir noktaya
özel bir önem atfettiler:
											Venüs'ün gökyüzünde kaybolduktan sonra
ilk defa güneş doğmadan ortaya çıkması.
											Bu günde, Chak Ek’ tekrar
yeraltı dünyasından yükselip
											bir mızrak ve yay kullanırdı.
											Dünya'ya uyuşmazlık getirmek için
											kardeşine ve kardeşinin müttefiklerine
saldırmaya karar verdi.
											İlk hedefi yaşam 
ve yıldırım tanrısı K’awiil'di.
											Yağışlı sezonun sonunda Chak Ek' 
mızrağıyla nişan aldı ve Kawiil'i vurdu,
											yiyeceklere zarar verdi
ve Kawiil yeniden doğana kadar
											sosyal düzenin bozulmasına sebep oldu.
									","
											En un ciclo de 584 días, Venus es visible
en el cielo nocturno 250 días.
											Luego, desaparece por ocho días
y reaparece como el lucero del alba.
											Los mayas daban un significado especial
a este momento del ciclo.
											Es la primera aparición de Venus
al amanecer luego de ser invisible.
											Es el día en el que Ek Chuah 
volvió a ascender del inframundo
											empuñando un propulsor y dardos.
											Para traer la discordia al mundo,
											decidió atacar a su hermano y sus aliados.
											Su primer objetivo fue K'awiil ,
el dios del sustento y el rayo.
											Hacia el final de la temporada de lluvias,
Ek Chuah tiró su lanza e hirió a K'awiil,
											lo que causó daños a los alimentos
y un período de caos social
											hasta que K'awiil renació.
									",The Maya myth of the morning star,TED-Ed,4:16,"animation,history,TED-Ed,education,culture,world cultures"
"
","
","
","
","
",The Maya myth of the morning star,TED-Ed,4:16,"animation,history,TED-Ed,education,culture,world cultures"
"
											584 days after attacking K’awiil,
											Chak Ek’ turned his attention back to his 
brother, the Sun.
											Each night, the Sun took the form of 
jaguar
											and journeyed through the underworld.
											Chak Ek’ speared the jaguar sun as it rose
at dawn towards the end of the dry season.
											The Sun was wounded, plunging the 
world into a period of chaos and warfare.
									","
											584 dias depois de atacar K’awiil,
											Chak Ek' virou a atenção
para o irmão, o Sol.
											Todas as noites, o Sol
assumia a forma de um jaguar
											e passeava pelo mundo subterrâneo.
											Chak Ek' atirou a lança ao sol jaguar
											quando ele se ergueu de madrugada
no final da estação seca.
											O Sol ficou ferido, mergulhando o mundo
num período de caos e guerras.
									","
											584 jours après avoir attaqué K’awiil,
											Chak Ek' tourna son attention
vers son frère, le Soleil.
											Chaque nuit, le Soleil prenait
la forme d'un jaguar
											et voyageait dans le monde souterrain.
											Chak Ek' transperça le jaguar soleil
											tandis qu'il émergeait
à la fin de la saison sèche.
											Le Soleil blessé, le monde plongea dans
une période de chaos et de conflits.
									","
											K’awiil'e saldırdıktan 584 gün sonra,
											Chak Ek’ dikkatini Güneş'e,
yani erkek kardeşine verdi.
											Güneş her gece jaguar şeklini aldı
											ve yeraltı dünyasında dolaştı.
											Kurak mevsimin sonuna doğru,şafak sökerken
Chak Ek', jaguar güneşi mızrakla vurdu.
											Güneş yaralandı, bu da dünyayı
bir kaos ve savaş dönemine sürükledi.
									","
											A los 584 días del ataque,
											Ek Chuah volcó la atención 
en su hermano, el Sol.
											Cada noche, el Sol 
tomaba la forma de un jaguar,
											para viajar por el inframundo.
											Ek Chuah hirió al Sol jaguar cuando salía
al final de la temporada de sequías.
											Con el Sol herido, el mundo
se sumergió en caos y guerras.
									",The Maya myth of the morning star,TED-Ed,4:16,"animation,history,TED-Ed,education,culture,world cultures"
"
","
","
","
","
",The Maya myth of the morning star,TED-Ed,4:16,"animation,history,TED-Ed,education,culture,world cultures"
"
											Chak Ek’s third victim 
was the god of maize,
											who provided sustenance for all humankind.
											Chak Ek’ speared him at the 
time of the harvest.
											He was buried in the underworld, 
and maize—the staple of life—
											was no longer available 
to Earth’s inhabitants.
											But the maize god emerged after three 
months in the place of new beginnings–
											the eastern cave known as Seven Water 
Place– bringing food once again to earth.
									","
											A terceira vítima de Chak Ek'
foi o deus do milho,
											que fornecia o sustento
a toda a Humanidade.
											Chak Ek' feriu-o na altura das colheitas.
											Ele ficou sepultado no mundo subterrâneo,
e o milho — a base da vida —
											deixou de estar disponível
para os habitantes da Terra.
											Mas o deus do milho ressurgiu ao fim
de três meses no local dos novos começos
											— a gruta oriental conhecida
por Local das Sete Águas —
											trazendo de novo o alimento à Terra.
									","
											La troisième victime de Chak Ek'
fut le dieu du maïs,
											la subsistance de toute l'humanité.
											Chak Ek' le transperça
au moment de la récolte.
											Il fut enterré dans le monde souterrain
et le maïs - source de vie -
											disparut pour les habitants de la Terre.
											Après trois mois, le dieu du maïs émergea
dans le lieu des nouvelles choses -
											une cave à l'Est connue sous le nom de
Lieu des Sept Eaux,

											et ramena la nourriture sur Terre.
									","
											Chak Ek’in üçüncü kurbanı

											tüm insanlık için besin
sağlayan mısır tanrısıydı.
											Chak Ek' onu hasat sırasında
mızrakla vurdu.
											Mısır tanrısı yeraltına gömüldü
											ve yaşamın temeli mısır,
artık Dünyada değildi.
											Ancak Mısır Tanrısı üç ay sonra,
Yedi Su olarak bilinen doğu mağarasında
											yeniden doğdu ve bir kez daha
Dünya'ya yiyecek getirdi.
									","
											La tercera víctima de Ek Chuah
fue el dios del maíz.
											Él proveía de alimentos a la humanidad.
											Ek Chuah lo hirió 
durante la época de cosechas.
											Lo enterraron en el inframundo
y el maíz, esencial para la vida,
											dejó de estar disponible
para los habitantes de la Tierra.
											Pero el dios del maíz resurgió
luego de tres meses en una cueva
											llamada ""el lugar de las siete aguas"" 
y trajo de nuevo el alimento a la Tierra.
									",The Maya myth of the morning star,TED-Ed,4:16,"animation,history,TED-Ed,education,culture,world cultures"
"
","
","
","
","
",The Maya myth of the morning star,TED-Ed,4:16,"animation,history,TED-Ed,education,culture,world cultures"
