en,es,fr,tr,de,title,speaker,duration,tags
"
","
","
","
","
",To learn is to be free,Shameem Akhtar,12:35,"activism,education,gender equality,gender,children,motivation,inequality,personal growth,potential,social change,society,women"
"
											A room full of boys.
											A girl child, hardly nine
or ten years old,
											she is sitting in the center
of the room, surrounded by books.
											She is the only girl among boys,
											and is barely missing
her female cousins and friends,
											who are inside the home
instead of the school,
											because they are not allowed
to get an education alongside boys.
											There isn't a single functional
girls' school in her village.
									","
											Un aula llena de varones.
											Una niña de casi 9 o 10 años,
											está sentada en el centro 
de una habitación, rodeada de libros.
											Es la única niña entre puros varones
											y apenas extraña a sus primas y amigas
											que están dentro de sus casas,
en vez de estar en la escuela
											porque a ellas no se les permite
recibir educación cerca de los varones.
											No hay ni un solo colegio de niñas 
que funcione en su aldea.
									","
											Une salle remplie de garçons.
											Une petite fille, à peine 9 ou 10 ans,
											elle est assise au milieu de la salle,
entourée de livres.
											C'est la seule fille
au milieu de ces garçons.
											Ses cousines et ses amies
lui manquent à peine.
											Elles sont à la maison
au lieu d'être à l'école,
											parce qu'elles n'ont pas le droit
d'être instruites à côté des garçons.
											Il n'existe pas une seule école
pour filles en activité dans son village.
									","
											Erkek çocuklarla dolu bir oda.
											Ancak dokuz-on yaşında bir kız çocuğu,
											odanın ortasında, etrafı kitaplarla
çevrili olarak oturuyor.
											Erkek çocukların içinde tek kız o;
											erkeklerle beraber öğrenim görmesi
yasak olduğu için
											okula gitmek yerine evde olan
											kız kuzenlerini ve arkadaşlarını
çok az özlüyor.
											Köyünde bir tane bile
kızlar için okul yok.
									","
											Ein Zimmer voller Jungs.
											Ein Mädchen, kaum neun
oder zehn Jahre alt,
											sitzt in der Mitte des Zimmers, 
umgeben von Büchern.
											Sie ist das einzige Mädchen
inmitten der Jungs
											und ihr fehlen ihre Cousinen 
und Freundinnen kaum,
											welche daheim sind, anstatt in der Schule,
											weil sie keinen gemeinsamn Unterricht
mit den Jungs bekommen dürfen.
											In dem Dorf des Mädchens gibt es
keine einzige Mädchenschule.
									",To learn is to be free,Shameem Akhtar,12:35,"activism,education,gender equality,gender,children,motivation,inequality,personal growth,potential,social change,society,women"
"
","
","
","
","
",To learn is to be free,Shameem Akhtar,12:35,"activism,education,gender equality,gender,children,motivation,inequality,personal growth,potential,social change,society,women"
"
											She was born in a Baloch
conservative tribe,
											where women and girls
are a matter of honor.
											She is the eldest in her family,
											and when she was about to be born,
her parents wanted a baby boy.
											But they had bad luck;
a baby girl arrived.
											It was customary in her family
to keep girls inside the homes.
											But her uncle, who was
a university graduate,
											he wanted to give her
an opportunity to see the world,
											to be part of the society.
											Luckily, she has a name
that can be used for both men and women.
											So he saw a chance
to change her course of life.
											So he decided to raise her as a boy.
									","
											Ella nació en un ""baloch"",
una tribu conservadora
											donde las mujeres y las niñas 
son una cuestión de honor.
											Es la mayor de su familia,
											y cuando iba a nacer,
sus padres esperaban un varón
											pero para su mala suerte nació una niñita.
											Es una costumbre en su familia
que las niñas se queden en casa.
											Pero su tío, que se graduó 
de la universidad
											quería darle una oportunidad 
de poder ver el mundo,
											de ser parte de la sociedad.
											Afortunadamente, ella tenía un nombre que
podía ser usado para mujer y para hombre,
											entonces él vio la oportunidad
de cambiar el curso de su vida.
											Entonces él decidió criarla 
como si fuera un varón.
									","
											Elle est née au sein d'une tribu
conservatrice baloutche,
											où les femmes et les filles
sont une affaire d'honneur.
											Elle est l'aînée de sa famille,
											et à sa naissance,
ses parents voulaient un garçon.
											Mais ils n'ont pas eu de chance ;
une petite fille est arrivée.
											C'était la coutume dans sa famille
de garder les filles à l'intérieur.
											Mais son oncle, diplômé d'université,
											voulait lui donner l'opportunité
de voir le monde,
											de faire partie de la société.
											Par chance, son nom peut être utilisé
pour les garçons comme pour les filles.
											Il a donc saisi l'occasion
de changer le cours de sa vie.
											Il a décidé de l'élever
en tant que garçon.
									","
											Kadınların ve kızların
şeref meselesi yapıldığı,
											tutucu Baloch aşiretinde doğmuştu.
											Ailenin en büyüğü oydu
											ve ailesi, bir erkek bebek istiyordu.
											Ancak ailesi şanssızdı,
bir kız bebek dünyaya geldi.
											Kız çocuklarını evin içinde tutmak
ailesinde bir gelenekti.
											Ancak üniversite mezunu amcası
											ona dünyayı görme,
toplumun bir parçası olma
											şansını vermek istedi.
											Şansına, ismi hem erkekler hem de kadınlar
için kullanılabiliyordu.
											Böylece amcası, kızın hayatını
değiştirmek için bir imkan gördü.
											Onu bir erkek gibi
yetiştirmeye karar verdi.
									","
											Sie wurde in einem konservativen
belutschischen Stamm geboren,
											in welchem sich bei Frauen und Mädchen
alles um eine Frage der Ehre dreht.
											Sie ist das älteste Kind der Familie
											und ihre Eltern
wünschten sich einen Jungen,
											aber sie hatten Pech; 
ein Mädchen kam auf die Welt.
											Es war in ihrer Familie üblich,
Mädchen im Haus zu behalten.
											Doch ihr Onkel, ein Akademiker,
											wollte ihr eine Möglichkeit geben,
die Welt zu sehen
											und Teil der Gesellschaft zu sein.
											Zum Glück kann ihr Name sowohl für Männer
als auch für Frauen benutzt werden.
											Ihr Onkel sah hierin eine Chance,
ihre Zukunft zu verändern.
											Er entschied sich dazu,
sie als Junge zu erziehen.
									",To learn is to be free,Shameem Akhtar,12:35,"activism,education,gender equality,gender,children,motivation,inequality,personal growth,potential,social change,society,women"
"
","
","
","
","
",To learn is to be free,Shameem Akhtar,12:35,"activism,education,gender equality,gender,children,motivation,inequality,personal growth,potential,social change,society,women"
"
											At three months old,
											she went from being
a baby girl, to baby boy.
											She is given a boy's getup.
											She is allowed to go outside
											and get an education alongside boys.
											She is free, she is confident.
											She observes, she notes
small, everyday injustices
											faced by women and girls in her village.
											When newspapers arrive at her home,
											she watches as it passes
from the eldest man to the youngest man.
											By the time women get hold of the paper,
											it is old news.
									","
											A sus tres meses de vida
											pasó de ser una niñita a ser un niñito,
											y le dieron un atuendo de niño.
											A ella sí le era permitido salir
											y educarse junto a niños varones.
											Ella es libre, 
está segura de sí misma.
											Observa, nota pequeñas 
injusticias cotidianas
											a las que se enfrentan 
las mujeres de su aldea.
											Cuando el periódico llegaba a su casa,
											ella veía como pasaba desde el hombre
más viejo hasta el más joven,
											para cuando lo leía una mujer,
											ya eran noticias viejas.
									","
											À trois mois,
											de petite fille,
elle est devenue un petit garçon.
											On l'habille comme un garçon.
											Elle peut aller dehors
											et suivre sa scolarité à côté des garçons.
											Elle est libre,
elle est pleine de confiance.
											Elle observe, elle remarque
les petites injustices quotidiennes
											auxquelles les femmes et les filles
de son village font face.
											Lorsque le journal arrive chez elle,
											elle le regarde passer de main en main,

											de l'homme aîné au plus jeune.
											Au moment où les femmes
peuvent s'en emparer,
											les nouvelles sont déjà vieilles.
									","
											Üç aylıkken,
											kız bebek olmak yerine erkek bebek oldu.
											Kıza, erkek giysileri verildi.
											Kız çocuğu, dışarı çıkabiliyordu,
											erkeklerle beraber öğrenim görüyordu.
											Özgür ve özgüvenliydi.
											Köyündeki kız çocukların ve kadınların
her gün karşılaştığı adaletsizlikleri
											görüyor ve not alıyordu.
											Gazete eve geldiğinde, gazetenin
											en yaşlı erkekten en küçüğüne
geçişini görüyordu.
											Kadınlar gazeteyi
ellerine alabildiklerinde,
											haber çoktan eskiyordu.
									","
											Im Alter von drei Monaten wurde sie
von einem Mädchen zu einem Jungen.
											Sie bekommt Kleidung für Jungs.
											Sie darf aus dem Haus gehen
											und gemeinsam mit Jungen
unterrichtet werden.
											Sie ist frei, sie ist selbstsicher.
											Sie beobachtet und bemerkt 
kleine, alltägliche Ungerechtigkeiten,
											welche Frauen und Mädchen
in ihrem Dorf erleben.
											Wenn zuhause die Zeitung kommt,
											sieht sie, wie sie vom ältesten
bis zum jüngsten Mann weitergegeben wird.
											Bis die Frauen sie endlich bekommen,
											sind die Nachrichten veraltetet.
									",To learn is to be free,Shameem Akhtar,12:35,"activism,education,gender equality,gender,children,motivation,inequality,personal growth,potential,social change,society,women"
"
","
","
","
","
",To learn is to be free,Shameem Akhtar,12:35,"activism,education,gender equality,gender,children,motivation,inequality,personal growth,potential,social change,society,women"
"
											She completes her eighth-grade year.
											Now fear starts to come in.
											This will be the end of her education,
											because the only option
for high school for further study
											is five kilometers away.
											Boys have bicycles, they are free.
											But she knows
											her father will not allow
her to travel on her own,
											even if she were posing as a boy.
											""I can't let you do that.
											And I don't have the time
to walk you there and back.
											Sorry, it is impossible.""
											She gets very upset.
											But a miracle happened.
											A long-distance relative
offers to teach her
											ninth- and tenth-grade curricula
											during summer vacations.
											This is how she completed
her matriculation.
											The girl whom I am talking about to you
											is me, Shameem,
who is talking before you now.
									","
											Ella terminó el octavo grado.
											Ahora empiezan a llegar los miedos,
											este será el fin de su educación,
											porque la única opción de seguir
con sus estudios
											está a 5 kilómetros de distancia.
											Los niños tienen bicicletas, son libres,
											pero ella sabe
											que su padre no lo permitirá,
no la dejará viajar sola
											aunque se haga pasar por niño.
											""No te puedo dejar hacer eso,
											y no tengo tiempo como para
acompañarte hasta allá y volver.
											Lo siento, es imposible"".
											Ella se enojó mucho.
											Pero ocurrió un milagro:
											un pariente que vive lejos, 
se ofrece a enseñarle
											los estudios necesarios
del noveno y décimo grado
											durante sus vacaciones de verano.
											Y así termina su educación básica primaria.
											La chica de la que les hablo
											soy yo, Shameem, quien está 
frente de Uds. ahora.
									","
											Elle finit sa 4e.
											La peur commence maintenant
à se manifester.
											Ce sera la fin de sa scolarité
											parce que le lycée le plus proche,
sa seule option,
											se situe à 5 km.
											Les garçons ont des vélos,
ils sont libres.
											Mais elle sait
											que son père ne l'autorisera pas
à faire le trajet toute seule,
											même si elle se faisait passer
pour un garçon.
											« Je ne peux pas te laisser faire ça.
											Et je n'ai pas le temps de t'accompagner.
											Je suis désolé, c'est impossible. »
											Elle est très contrariée.
											Mais un miracle se produit.
											Un parent éloigné
offre de lui enseigner
											les programmes de troisième et de seconde
											pendant les vacances d'été.
											C'est ainsi qu'elle a obtenu son diplôme.
											La fille dont je vous parle,
											c'est moi, Shameem, qui vous parle
en ce moment-même.
									","
											Sekizinci sınıfı tamamladı.
											Artık korkmaya başlamıştı.
											Eğitimine devam etmesi için
tek seçeceği olan lise
											beş kilometre uzakta olduğu için
											bu öğreniminin sonu olacaktı.
											Erkeklerin bisikletleri vardı,
onlar özgürdü.
											Ama erkek gibi davransa da
											babasının onun tek başına seyahat etmesine

											izin vermeyeceğini biliyordu.
											""Bunu yapmana izin veremem
											ve seninle oraya gidip gelecek 
kadar da vaktim yok.
											Üzgünüm, ama imkansız.""
											Çok üzüldü.
											Fakat bir mucize oldu.
											Uzaktan bir akrabası, yaz tatili boyunca
											dokuzuncu ve onuncu sınıf derslerini
											öğretmeyi teklif etti.
											Bu şekilde yeterliliğini verebildi.
											Sizinle hakkında konuştuğum
o kız benim, Shameem,
											şimdi ise sizin önünüzde konuşuyorum.
									","
											Sie beendet die achte Klasse.
											Nun bekommt sie Angst.
											Dies wird das Ende ihrer Ausbildung sein,
											denn die nächste Sekundarschule,
wo sie weitergebildet werden könnte,
											ist fünf Kilometer von
ihrem Zuhause entfernt.
											Jungs haben Fahrräder, sie sind frei.
											Doch sie weiß,
											dass ihr Vater ihr nicht erlauben
wird, alleine zu reisen,
											auch wenn sie sich als Junge ausgibt.
											""Ich kann dir das nicht erlauben
											und ich habe keine Zeit,
dich dorthin und zurück zu begleiten.
											Es tut mir leid, es ist unmöglich.""
											Sie ist sehr verärgert.
											Aber ein Wunder geschieht.
											Ein weit entfernter
Verwandter bietet ihr an,
											ihr den Stoff der neunten 
und zehnten Klasse beizubringen,
											während den Sommerferien.
											So hat sie ihre
Schulausbildung abgeschlossen.
											Das Mädchen, von dem ich Ihnen erzähle,
											bin ich, Shameem, die nun vor Ihnen steht.
									",To learn is to be free,Shameem Akhtar,12:35,"activism,education,gender equality,gender,children,motivation,inequality,personal growth,potential,social change,society,women"
"
","
","
","
","
",To learn is to be free,Shameem Akhtar,12:35,"activism,education,gender equality,gender,children,motivation,inequality,personal growth,potential,social change,society,women"
"
											(Applause)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Alkış)
									","
											(Beifall)
									",To learn is to be free,Shameem Akhtar,12:35,"activism,education,gender equality,gender,children,motivation,inequality,personal growth,potential,social change,society,women"
