en,tr,es,title,speaker,duration,tags
"
","
","
",Why governments should prioritize well-being,Nicola Sturgeon,10:00,"politics,social change,economics,leadership,society,future,policy,inequality"
"
											Just over a mile away from here,
in Edinburgh's Old Town,
											is Panmure House.
											Panmure House
											was the home of the world-renowned
Scottish economist
											Adam Smith.
											In his important work
""The Wealth of Nations,""
											Adam Smith argued,
amongst many other things,
											that the measurement of a country's wealth
											was not just its gold and silver reserves.
											It was the totality of the country's
production and commerce.
											I guess it was one of the earliest
descriptions of what we now know today
											as gross domestic product, GDP.
									","
											Buradan yaklaşık iki km uzakta,
Edinburgh'nın Old Town kısmında
											Panmure House var.
											Panmure House...
											dünyanın tanıdığı İskoç ekonomist
											Adam Smith'in eviydi.
											""Ulusların Zenginliği"" isimli
önemli çalışmasında
											Adam Smith pek çok şeyin yanında
											bir ülkenin zenginlik ölçütünün
											yalnızca altın ve gümüş rezervlerinden
ibaret olmadığını savundu.
											Ona göre ölçüt,
ülkenin üretim ve ticaret toplamıydı.
											Sanırım bu, bugün gayrisafi
yurt içi hasıla olarak bildiğimiz şeyin
											en erken tanımlarından biriydi.
									","
											A kilómetro y medio de aquí,
en el centro histórico de Edimburgo,
											está Panmure House.
											Panmure House
											fue la residencia del economista
escocés mundialmente reconocido,
											Adam Smith.
											En su gran trabajo,
""La riqueza de las naciones"",
											Adam Smith argumenta,
entre muchas otras cosas,
											que la riqueza de un país
											no solo se mide con
el oro y la plata que posea,
											sino con el nivel de producción
y comercio del país.
											Creo que fue de las primeras
descripciones de lo que hoy conocemos
											como producto interno bruto, PIB.
									",Why governments should prioritize well-being,Nicola Sturgeon,10:00,"politics,social change,economics,leadership,society,future,policy,inequality"
"
","
","
",Why governments should prioritize well-being,Nicola Sturgeon,10:00,"politics,social change,economics,leadership,society,future,policy,inequality"
"
											Now, in the years since, of course,
											that measurement
of production and commerce, GDP,
											has become ever more important,
											to the point that today —
											and I don't believe this
is what Adam Smith would have intended —
											that it is often seen as
the most important measurement
											of a country's overall success.
											And my argument today
is that it is time for that to change.
									","
											Elbette o zamandan bu yana geçen senelerde
											üretim ve ticaret ölçümü, yani GSYİH
											çok daha önemli hâle geldi,
											öyle ki bugün —
											Adam Smith'in amacının
bu olduğunu da düşünmüyorum —
											GSYİH, bir ülkenin genel başarısında
											en önemli ölçüt olarak görülüyor.
											Benim görüşüm ise
bunun artık değişmesi gerektiği.
									","
											Claro que, desde entonces,
											medir los niveles de producción
y comercio, o de PIB,
											se ha vuelto más importante.
											Hasta el punto de que ahora,
											y no creo que esta fuera
la intención de Adam Smith,
											suele ser lo más importante
											para medir el éxito de un país.
											Hoy quiero decirles
que es momento de cambiar.
									",Why governments should prioritize well-being,Nicola Sturgeon,10:00,"politics,social change,economics,leadership,society,future,policy,inequality"
"
","
","
",Why governments should prioritize well-being,Nicola Sturgeon,10:00,"politics,social change,economics,leadership,society,future,policy,inequality"
"
											You know, what we choose to measure
as a country matters.
											It really matters,
because it drives political focus,
											it drives public activity.
											And against that context,
											I think the limitations of GDP
as a measurement of a country's success
											are all too obvious.
											You know, GDP measures
the output of all of our work,
											but it says nothing
about the nature of that work,
											about whether that work
is worthwhile or fulfilling.
											It puts a value, for example,
on illegal drug consumption,
											but not on unpaid care.
											It values activity in the short term
											that boosts the economy,
even if that activity is hugely damaging
											to the sustainability of our planet
in the longer term.
									","
											Ülke olarak ölçmek istediğimiz şey
önemli olan şeydir.
											Asıl önemli olan bu,
çünkü bu siyasete yön verir,
											kamu faaliyetlerine yön verir.
											Böylesi bir içerikte de
											bir ülkenin başarısını ölçmede
GSYİH kısıtlamaları
											fazla bariz.
											GSYİH tüm işimizin verimini ölçüyor
											ama bu işlerin doğası hakkında
hiçbir bilgi vermiyor,
											bu işin faydalı veya tatmin edici
olup olmadığı gibi.
											Örneğin yasa dışı uyuşturucu tüketimi
üzerine değer koyabiliyor
											ama ödemesiz sağlık hizmetine değil.
											Kısa vadeli faaliyete değer veriyor,
											ekonomiye güç veren faaliyetlere,
bu faaliyetler uzun vadede
											gezegenimizin sürdürülebilirliğine
çok büyük zarar veriyor olsa da.
									","
											Como país, lo que elegimos
para valorarnos tiene importancia.
											Tiene mucha importancia
porque dirige el enfoque político,
											dirige la participación ciudadana.
											Por el contrario,
											creo que los limitantes del PIB
como medida del éxito de un país
											son demasiado evidentes.
											El PIB mide el resultado
de todo nuestro trabajo,
											pero no dice nada
sobre la naturaleza del mismo,
											sobre si ese trabajo
vale la pena o es satisfactorio.
											Le da un valor, por ejemplo,
al consumo ilegal de drogas,
											y no a trabajadores sociales
sin retribución.
											Les da un valor a las cosas
a un corto plazo,
											que impulsan la economía,
incluso si es una actividad dañina
											para la sustentabilidad
del planeta a largo plazo.
									",Why governments should prioritize well-being,Nicola Sturgeon,10:00,"politics,social change,economics,leadership,society,future,policy,inequality"
"
","
","
",Why governments should prioritize well-being,Nicola Sturgeon,10:00,"politics,social change,economics,leadership,society,future,policy,inequality"
"
											And we reflect on the past decade
											of political and economic upheaval,
											of growing inequalities,
											and when we look ahead to the challenges
of the climate emergency,
											increasing automation,
											an aging population,
											then I think the argument for the case
for a much broader definition
											of what it means to be successful
as a country, as a society,
											is compelling, and increasingly so.
									","
											Son on yıl içinde yansıttığımız
											siyasi ve ekonomik yükselme,
											büyüyen eşitsizlik,
											iklim krizinin zorluklarına bakış açımız,
											giderek artan otomasyon,
											yaşlanan bir nüfus...
											bir ülke ve bir toplum olarak
başarılı olmaya yönelik
											çok daha kapsamlı
bir tanıma olan gereksinim
											adeta zorunlu ve giderek artıyor da.
									","
											Reflexionando sobre la última década,
											sobre revueltas políticas y económicas,
											sobre el incremento en desigualdad,
											y considerando los desafíos
de la emergencia ambiental,
											el incremento en la automatización,
											y la esperanza de vida de la población
											creo que el argumento
para una mejor definición
											de lo que significa ser exitoso
como país y como sociedad
											es cada vez más convincente.
									",Why governments should prioritize well-being,Nicola Sturgeon,10:00,"politics,social change,economics,leadership,society,future,policy,inequality"
"
","
","
",Why governments should prioritize well-being,Nicola Sturgeon,10:00,"politics,social change,economics,leadership,society,future,policy,inequality"
"
											And that is why Scotland, in 2018,
											took the lead, took the initiative
in establishing a new network
											called the Wellbeing Economy
Governments group,
											bringing together as founding members
											the countries of Scotland, Iceland
and New Zealand, for obvious reasons.
											We're sometimes called the SIN countries,
											although our focus is very much
on the common good.
											And the purpose of this group
is to challenge that focus
											on the narrow measurement of GDP.
											To say that, yes,
economic growth matters —
											it is important —
											but it is not all that is important.
											And growth in GDP should not be pursued
at any or all cost.
											In fact, the argument of that group
											is that the goal, the objective
of economic policy
											should be collective well-being:
											how happy and healthy a population is,
											not just how wealthy a population is.
									","
											Bu yüzden de İskoçya 2018'de
											önder olarak ilk adımı attı
ve yeni bir ağ kurdu:
											Wellbeing Economy Governments grubu,
											İskoçya, İzlanda ve Yeni Zelanda'yı
											malum sebeplerden dolayı
kurucu üyeler olarak bir araya getirdi.
											Bazen SIN ülkeler olarak anılıyoruz,
											oysa odak noktamız ortak fayda.
											Bu grubun amacı,
											GSYİH'nin dar çerçeveli ölçümüne
meydan okumak.
											Ekonomik büyüme önemli,
											evet önemli,
											ancak önemli olan tek şey değil.
											Ve GSYİH büyümesi için
başka hiçbir şeyden ödün verilmemeli.
											Oluşturduğumuz bu grubun amacı,
											ekonomik politikanın amacı
											toplu olarak refah olmalı:
											Bir nüfusun ne kadar
mutlu ve sağlıklı olduğu,
											yalnızca ne kadar zengin olduğu değil.
									","
											Es por eso por lo que Escocia, en 2018,
											se puso al frente y tomó la iniciativa
para establecer una nueva red
											llamada ""Gobiernos
de una Economía de Bienestar""
											que tiene como miembros fundadores
											a los países de Escocia,
Islandia y Nueva Zelanda.
											Nos suelen llamar los países EIN
(SIN por sus siglas en inglés),
											aunque soñamos con el bien común.
											El propósito de este grupo
es desafiar ese enfoque
											de la restringida valoración del PIB.
											Cabe decir, que sí,
el crecimiento económico importa.
											Es importante.
											Pero no es lo único que importa.
											Y no deberíamos de buscar
el crecimiento del PIB a toda costa.
											De hecho, lo que argumenta este grupo
											es que la meta o el objetivo
de la norma económica
											debería de ser el bienestar colectivo.
											Cuáles son los niveles de felicidad
y de salud en la población,
											y no solo los niveles de riqueza
de la población.
									",Why governments should prioritize well-being,Nicola Sturgeon,10:00,"politics,social change,economics,leadership,society,future,policy,inequality"
