en,de,tr,title,speaker,duration,tags
"
","
","
",The NSA responds to Edward Snowden's TED Talk,Richard Ledgett,33:30,"culture,global issues,government,law,surveillance,encryption"
"
											Chris Anderson: We had Edward Snowden here
											a couple days ago,
											and this is response time.
											And several of you have written to me
											with questions to ask our guest here from the NSA.
											So Richard Ledgett is the 15th deputy director
											of the National Security Agency,
											and he's a senior civilian officer there,
											acts as its chief operating officer,
											guiding strategies, setting internal policies,
											and serving as the principal advisor to the director.
											And all being well,
											welcome, Rick Ledgett, to TED.
											(Applause)
									","
											Chris Anderson: Wir hatten Edward Snowden
											vor einigen Tagen hier 
[per Videoschaltung]
											und jetzt ist es Zeit für eine Reaktion.
											Einige von Ihnen haben mir Fragen
											für unseren Gast von der NSA gesendet.
											Richard Ledgett ist der 15. Vizedirektor
											der National Security Agency [NSA].
											Er ist ein hochrangiger Zivilbeamter,
											fungiert als Leiter für 
operative Maßnahmen,
											gibt Strategien vor, 
legt interne Richtlinien fest
											und ist der Hauptberater des Direktors.
											Vorausgesetzt alles funktioniert —
											Willkommen bei TED, Rick Ledgett.
											(Applaus)
									","
											Chris Anderson: Edward Snowden ile
											birkaç gün önce burada birlikteydik
											ve bugün cevap günü.
											Ve bugün UGA'da görevli konuğumuza
											sormam için pek çok soru yolladınız bana.
											Richard Ledgett Ulusal Güvenlik Ajansının
											15inci müdür yardımcısı,
											O, baş operasyon görevlisi olarak
											buradaki kıdemli memurlardan biri,
											strateji danışmanlığı, iç politikaların 
belirlenmesi
											ve baş danışmanlık görevlerini 
icra ediyor.
											Her şey yolundaysa,
											buyursunlar, Rick Ledgett 
TED'e hoş geldiniz.
											(Alkış)
									",The NSA responds to Edward Snowden's TED Talk,Richard Ledgett,33:30,"culture,global issues,government,law,surveillance,encryption"
"
","
","
",The NSA responds to Edward Snowden's TED Talk,Richard Ledgett,33:30,"culture,global issues,government,law,surveillance,encryption"
"
											Richard Ledgett: I'm really thankful for the opportunity to talk to folks here.
											I look forward to the conversation,
											so thanks for arranging for that.
									","
											Richard Ledgett: Ich bin wirklich dankbar 
für die Gelegenheit,
											hier zu den Leuten zu sprechen.
											Ich freue mich auf das Gespräch.
											Danke, dass Sie das arrangiert haben.
									","
											Richard Ledgett: Size minnet borçluyum,
burada konuşma şansı verdiğiniz için.
											Dört gözle bu konuşmayı bekliyordum,
											bu yüzden teşekkürlerimi sunuyorum size.
									",The NSA responds to Edward Snowden's TED Talk,Richard Ledgett,33:30,"culture,global issues,government,law,surveillance,encryption"
"
","
","
",The NSA responds to Edward Snowden's TED Talk,Richard Ledgett,33:30,"culture,global issues,government,law,surveillance,encryption"
"
											CA: Thank you, Rick.
											We appreciate you joining us.
											It's certainly quite a strong statement
											that the NSA is willing to reach out
											and show a more open face here.
											You saw, I think,
											the talk and interview that Edward Snowden
											gave here a couple days ago.
											What did you make of it?
											RL: So I think it was interesting.
											We didn't realize that he 
was going to show up there,
											so kudos to you guys for arranging
											a nice surprise like that.
											I think that, like a lot of the things
											that have come out since Mr. Snowden
											started disclosing classified information,
											there were some kernels of truth in there,
											but a lot of extrapolations and half-truths in there,
											and I'm interested in helping to address those.
											I think this is a really important conversation
											that we're having in the United States
											and internationally,
											and I think it is important and of import,
											and so given that, we need to have that be
											a fact-based conversation,
											and we want to help make that happen.
									","
											CA: Danke, Rick.
											Wir freuen uns, dass Sie bei uns sind.
											Es ist zweifellos ein klares Zeichen,
											dass die NSA bereit ist, 
an die Öffentlichkeit zu gehen
											und ihr Gesicht zu zeigen.
											Ich nehme an, dass Sie
											den Vortrag und das Interview 
mit Edward Snowden hier
											vor einigen Tagen gesehen haben.
											Was ist Ihre Meinung dazu?
											RL: Ich fand es interessant.
											Wir wussten nicht, 
dass er sich dort zeigen würde;
											also Respekt an euch
											für so eine nette Überraschung.
											In meinen Augen war an vielen Dingen,
											die zum Vorschein kamen, 
seit Herr Snowden
											mit der Veröffentlichung
vertraulicher Informationen begann,
											ein Körnchen Wahrheit dran,
											aber es waren auch eine Menge
Schätzungen und Halbwahrheiten dabei,
											und diese möchte ich gerne ansprechen.
											Dies ist eine wirklich wichtige Debatte,
											die wir in den USA
und international haben,

											und ich glaube, dass es von Bedeutung ist
und eine Tragweite hat;
											deshalb muss dies
											eine Diskussion sein, 
die auf Fakten basiert,
											und dabei wollen wir helfen.
									","
											CA: Lafı olmaz, Rick.
											Katıldığın için müteşekkiriz biz de.
											UGA güçlü bir beyanatla
											burada olmak istediğini ve şeffaflığını
											göstermek istedi bize.
											Sanırım, Edward Snowden ile
											birkaç gün önce yaptığımız söyleşiyi
											siz de gördünüz.
											Ne diyorsunuz bu söyleşiye?
											RL: Oldukça ilginç olduğunu düşünüyorum.
											Oraya çıkmasını pek beklemiyorduk,
											dolayısıyla, böyle güzel bir sürpriz
											yaptığınız için sizi kutlarım.
											Sanırım, Bay Snowden ortaya çıkarak
											pek çok gizli bilgiyi
											ifşa etmeye başladı,
											burada bir takım gerçeklerin olduğu doğru,
											ancak bunların çoğu kurmaca ve yarı doğru
											ve ben bunları çözmeye yardımcı olmakla
ilgileniyorum.
											Sanırım bu, şu an Birleşik Devletler
											ve uluslararası açıdan
											en önemli konuşmalardan biri
											ve zannediyorum daha da önem kazanacak,
											bu yüzden bu konuyu gerçekler
											üzerinden konuşmamız lazım
											ve biz de bunu sağlamak istiyoruz.
									",The NSA responds to Edward Snowden's TED Talk,Richard Ledgett,33:30,"culture,global issues,government,law,surveillance,encryption"
"
","
","
",The NSA responds to Edward Snowden's TED Talk,Richard Ledgett,33:30,"culture,global issues,government,law,surveillance,encryption"
"
											CA: So the question that a lot 
of people have here is,
											what do you make of Snowden's motivations
											for doing what he did,
											and did he have an alternative
way that he could have gone?
									","
											CA: Viele Menschen hier fragen sich,
											was Sie von Snowdens Beweggrund
											für seine Taten halten,
											und ob er einen alternativen Weg 
gehen hätte können?
									","
											CA: Buradaki pek çok insanın aklındaki
soru şu:
											Snowden'in yaptığı şeyi yapmasındaki
											motivasyonun ne olduğunu düşünüyorsunuz
											ve başka bir seçeneği var mıydı?
									",The NSA responds to Edward Snowden's TED Talk,Richard Ledgett,33:30,"culture,global issues,government,law,surveillance,encryption"
"
","
","
",The NSA responds to Edward Snowden's TED Talk,Richard Ledgett,33:30,"culture,global issues,government,law,surveillance,encryption"
"
											RL: He absolutely did
											have alternative ways that he could have gone,
											and I actually think that characterizing him
											as a whistleblower
											actually hurts legitimate whistleblowing activities.
											So what if somebody who works in the NSA —
											and there are over 35,000 people who do.
											They're all great citizens.
											They're just like your husbands, fathers, sisters,
											brothers, neighbors, nephews, friends and relatives,
											all of whom are interested in doing the right thing
											for their country
											and for our allies internationally,
											and so there are a variety of venues to address
											if folks have a concern.
											First off, there's their supervisor,
											and up through the supervisory chain
											within their organization.
											If folks aren't comfortable with that,
											there are a number of inspectors general.
											In the case of Mr. Snowden, he had the option
											of the NSA inspector general,
											the Navy inspector general,
											the Pacific Command inspector general,
											the Department of Defense inspector general,
											and the intelligence community inspector general,
											any of whom would have both kept
his concerns in classified channels
											and been happy to address them.
											(CA and RL speaking at once)
											He had the option to go to
congressional committees,
											and there are mechanisms
to do that that are in place,
											and so he didn't do any of those things.
									","
											RL: Er hätte definitiv
											andere Wege gehen können,
											und ihn als Whistleblower 
[geheimen Informanten] zu bezeichnen,
											schädigt meiner Meinung nach
											die berechtigten Aktivitäten 
von Whistleblowern.
											Wenn also jemand,
der bei der NSA arbeitet —
											und das sind mehr als 35 000 Menschen.
											Sie sind alle großartige Bürger.
											Sie sind wie Ihre Ehemänner, 
Väter, Schwestern,
											Brüder, Nachbarn, Neffen, 
Freunde und Verwandte,
											die alle daran interessiert sind,
das Richtige zu tun,
											für ihr Land
											und unsere internationalen Verbündeten.
											Es gibt eine Reihe von Ansprechpartnern,
											wenn jemand ein Anliegen hat.
											Zuerst gibt es den Vorgesetzten,
											und die ganze Hierarchie an Vorgesetzten
											in der Organisation.
											Wenn jemand dabei Bedenken hat,
											gibt es einige Generalinspektoren.
											Herr Snowden hatte die Option
											des Generalinspektors der NSA,
											der Navy [Marine],
											des Pazifikkommandos,
											des Verteidigungsministeriums
											und der Nachrichtendienstgemeinschaft;
											jeder von diesen hätte sein Anliegen 
nicht nur geheim gehalten,
											sondern auch gerne in Angriff genommen.
											[CA und RL sprechen gleichzeitig]
											Er hätte außerdem 
zu Kongressausschüssen gehen können,
											dafür stehen Mechanismen bereit,
											und er hat nichts davon getan.
									","
											RL: Elbette,
											pek çok seçeneği vardı
											ve sanırım, bu onun bir ispiyoncu olarak
											karakterini gösteriyor,
											açıkçası meşru casusluk olayları bize
zarar veriyor.
											UGA'da çalışanlar için ise durum —
											35,000'in üzerinde kişi çalışıyor.
											Onlar harika vatandaşlar.
											Onlar sizin eşleriniz, babalarınız,
											kızlarınız, kardeşleriniz, komşularınız,
											hepsi de ülkeleri ve uluslararası
dostlarımız
											için doğru şeyi yapmakla
											ilgileniyorlar,
											eğer halkın bu konuda endişesi varsa,
başvurabilecekleri
											çeşitli merciler var.
											İlk olarak, amirleri var,
											bulundukları organizasyon içerisinde,
											silsile yoluyla takip edebilirler.
											Eğer halk buna güvenmiyorsa,
											genel müfettişler var.
											Snowden hadisesinde, onun için
											UGA'nın genel müfettişi,
											donanma genel müfettişi,
											Pasifik komuta genel müfettişi,
											savunma departmanı genel müfettişi,
											istihbarat genel müfettişi bir seçenekti.
											onlardan herhangi biri de Snowden'ın
endişelerini gizli kaynaklarda tutacaktı,
											-ki böyle gerçekleşseydi mutlu olurduk.
											(CA ve RL aynı anda konuşuyorlar)
											Kongre komitesine gitmek gibi bir
opsiyonu da vardı,
											bu komite içerisinde bu tür işleri
yapmak için bir mekanizma var,
											ancak, o bunların hiç birini yapmadı.
									",The NSA responds to Edward Snowden's TED Talk,Richard Ledgett,33:30,"culture,global issues,government,law,surveillance,encryption"
