en,de,tr,pt,title,speaker,duration,tags
"
","
","
","
",Why doesn't the Leaning Tower of Pisa fall over?,Alex Gendler,4:49,"animation,TED-Ed,architecture,education,engineering,history,world cultures,culture"
"
											In 1990, the Italian government 
enlisted top engineers
											to stabilize Pisa’s famous Leaning Tower.
											There’d been many attempts to right the
tower during its 800 year history,
											but this team’s computer models revealed 
the urgency of their situation.
											They projected the tower would topple if 
it reached an angle of 5.44 degrees—
											and it was currently leaning at 5.5.
											No one knew how the tower was still 
standing, but the crisis was clear:
											they had to solve a problem that 
stumped centuries of engineers,
											and they needed to do it fast.
									","
											1990 warb Italiens Regierung
ein Team von Spitzeningenieuren an,
											um den berühmten Schiefen Turm
von Pisa zu stabilisieren.
											In seiner 800-jährigen Geschichte
hatte man oft versucht, ihn aufzurichten,
											aber erst die Computermodelle dieses Teams
zeigten die Dringlichkeit der Situation.
											Nach Berechnungen würde der Turm
bei einem Winkel von 5,44 Grad umstürzen,
											doch er neigte sich schon um 5,5 Grad.
											Niemand wusste, warum der Turm noch stand,
											doch die Notlage war klar:
											Hier war ein Problem zu lösen,
											das Generationen
von Ingenieuren irritiert hatte —
											und zwar schnell.
									","
											1990 yılında İtalya hükumeti,
Pisa Kulesini sağlamlaştırmak için
											en iyi mühendisleri göreve çağırdı.
											Kulenin 800 yıllık tarihinde, onu
doğrultmak için birçok girişim olmuştu
											ancak bu ekibin bilgisayar modelleri
durumun aciliyetini ortaya çıkardı.
											5,44 derecelik açıya ulaşırsa
kulenin devrileceğini öngörüyorlardı
											o sıralar 5,5 derecede eğilmiş durumdaydı.
											Hiç kimse kulenin hâlâ nasıl ayakta
kaldığını bilmiyordu, ama kriz açıktı:
											Mühendisleri çağlar boyunca afallatan
bir sorunu çözmek zorundaydılar,
											bunu bir de hızlıca yapmaları gerekiyordu.
									","
											Em 1990, o governo italiano
contratou os melhores engenheiros
											para estabilizar a famosa
torre inclinada de Pisa.
											Já tinha havido muitas tentativas
para endireitar a torre
											ao longo de 800 anos de história,
											mas os modelos de computador 
dessa equipa
											revelaram a urgência da situação.
											Calcularam que a torre cairia se atingisse
um ângulo de 5,44 graus
											— e naquele momento atingira os 5,5 graus.
											Ninguém sabia como a torre
ainda se mantinha de pé
											mas a crise era evidente,
											tinham de resolver um problema
que desafiara séculos de engenheiros
											e tinham de o fazer rapidamente.
									",Why doesn't the Leaning Tower of Pisa fall over?,Alex Gendler,4:49,"animation,TED-Ed,architecture,education,engineering,history,world cultures,culture"
"
","
","
","
",Why doesn't the Leaning Tower of Pisa fall over?,Alex Gendler,4:49,"animation,TED-Ed,architecture,education,engineering,history,world cultures,culture"
"
											To understand their situation,
											it’s helpful to understand why the 
tower tilted in the first place.
											In the 12th century, the wealthy 
maritime republic of Pisa
											set about turning its cathedral square 
into a magnificent landmark.
											Workers embellished and enlarged 
the existing church,
											and added a massive domed 
baptistry to the plaza.
											In 1173, construction began on a 
free-standing campanile, or bell tower.
									","
											Es ist hilfreich, zu verstehen,
											warum der Turm überhaupt
in Schieflage geriet.
											Im 12. Jahrhundert verwandelte
die reiche Seefahrerrepublik Pisa
											den Domplatz in ein prachtvolles Denkmal.
											Arbeiter verschönerten
und vergrößerten die Kirche
											und fügten dem Platz eine
massive Taufkapelle mit Kuppel hinzu.
											1173 begann der Bau eines Campanile,
also eines frei stehenden Glockenturms.
									","
											Durumlarını anlamak için
											öncelikle kulenin neden
yan yattığını anlamak faydalı olur.
											12'nci yüzyılda, varlıklı
deniz cumhuriyeti Pisa,
											katedral meydanını, görkemli bir
binaya dönüştürmeye girişti.
											İşçiler var olan kiliseyi
güzelleştirip genişlettiler,
											meydana bir de devasa kubbeli
vaftiz binasını eklediler.
											1173'te serbest duran
bir çan kulesi için inşaat başladı.
									","
											Para perceber qual é a situação,
											convém perceber porque é
que a torre se inclinou.
											No século XII, a abastada 
república marítima de Pisa
											decidiu transformar a praça da catedral
numa referência magnífica.
											Os artífices embelezaram
e aumentaram a igreja existente
											e acrescentaram um batistério
com uma grande cúpula na praça.
											Em 1173, começou a construção
num campanário autónomo
											— uma torre sineira.
									",Why doesn't the Leaning Tower of Pisa fall over?,Alex Gendler,4:49,"animation,TED-Ed,architecture,education,engineering,history,world cultures,culture"
"
","
","
","
",Why doesn't the Leaning Tower of Pisa fall over?,Alex Gendler,4:49,"animation,TED-Ed,architecture,education,engineering,history,world cultures,culture"
"
											The engineers and architects of the 
time were masters of their craft.
											But for all their engineering knowledge,
											they knew far less about the 
ground they stood on.
											Pisa’s name comes from a 
Greek word for “marshy land,""
											which perfectly describes the clay, mud, 
and wet sand below the city’s surface.
											Ancient Romans counteracted similar 
conditions with massive stone pillars
											called piles which rest on 
Earth’s stable bedrock.
											However, the tower’s architects believed 
a three-meter foundation would suffice
											for their relatively short structure.
											Unfortunately for them, 
less than five years later,
											the tower’s southern side 
was already underground.
									","
											Die damaligen Ingenieure und Architekten
waren Meister ihres Fachs.
											Aber trotz ihrer Kenntnisse
											wussten sie zu wenig über den Boden,
auf dem sie bauten.
											""Pisa"" geht auf ein griechisches Wort
für ""morastiges Land"" zurück
											und beschreibt perfekt den Lehm,
Schmutz und nassen Sand unter der Stadt.
											Unter solchen Bedingungen arbeiteten
die alten Römer mit massiven Steinsäulen,
											die auf stabilem Felsgrund ruhten.
											Doch die Architekten des Turms glaubten,
											ein drei Meter dickes Fundament
sei für ihren relativ niedrigen Bau genug.
											Aber unglücklicherweise war
nach weniger als fünf Jahren
											die Südseite des Turms schon eingesunken.
									","
											O zamanın mühendisleri ve mimarları
mesleklerinin ustalarıydı.
											Ama bütün mühendislik bilgilerine rağmen,
											üzerine bulundukları zeminle ilgili
çok az şey biliyorlardı.
											Pisa adı, şehrin altındaki kili, çamuru
ve ıslak kumu eksiksiz tarif eden
											ve ""sulak arazi"" anlamına gelen
bir Yunanca kelimeden geliyor.
											Antik Romalılar benzer sorunları
toprağın ana kayasının üzerine koyulan
											kazık da denilen devasa
taş ayaklarla çözdüler.
											Yine de kulenin mimarları
nispeten kısa olan yapı için
											üç metrelik temelin
yeterli olacağını düşündü.
											Maalesef, beş yıldan kısa süre sonra
											kulenin güney cephesi
çoktan yerin altındaydı.
									","
											Os engenheiros e arquitetos
da época eram mestres da sua arte.
											Mas, apesar de todos
os seus conhecimentos de engenharia,
											sabiam muito pouco do terreno
em que se situavam.
											O nome de Pisa provém duma palavra
grega para ""terra pantanosa"",
											o que descreve perfeitamente
o barro, a lama e a areia húmida
											por baixo
da superfície da cidade.
											Os antigos romanos combatiam esta
situação com maciços pilares de pedra
											assentes em alicerces estáveis de rocha.
											Mas os arquitetos da torre pensaram
											que uns alicerces de três metros
seriam suficientes
											para uma estrutura relativamente baixa.
											Infelizmente para eles,
menos de cinco anos depois,
											o lado sul da torre já se tinha afundado.
									",Why doesn't the Leaning Tower of Pisa fall over?,Alex Gendler,4:49,"animation,TED-Ed,architecture,education,engineering,history,world cultures,culture"
"
","
","
","
",Why doesn't the Leaning Tower of Pisa fall over?,Alex Gendler,4:49,"animation,TED-Ed,architecture,education,engineering,history,world cultures,culture"
"
											Such a shifting foundation would 
normally have been a fatal flaw.
											If workers added more weight,
											the pressure from upper stories 
would sink the structure
											and fatally increase the lean.
											But construction halted at the 
fourth story for nearly a century
											as Pisa descended into prolonged warfare.
											This long pause allowed 
the soil to settle,
											and when construction 
began again in 1272,
											the foundation was on 
slightly more stable footing.
									","
											Ein derart instabiles Fundament
wäre normalerweise ein Desaster.
											Wenn mehr Gewicht hinzukäme,
											würde der Druck der Geschosse
den Bau weiter absenken
											und die Schieflage verschlimmern.
											Aber die Bauarbeiten ruhten im 4. Stock
fast ein Jahrhundert lang,
											da Pisa ständig in Kriege verwickelt war.
											Dank dieser langen Pause
setzte sich der Untergrund
											und als die Arbeiten 1272 wieder begannen,
											stand das Fundament
auf etwas festerem Boden.
									","
											Böylesine hareketli olan temel
normalde ölümcül bir kusur olurdu.
											İşçiler daha fazla
											ağırlık yükleselerdi. Üst katlardan
gelen baskı yapıyı çökertirdi
											ve kaçınılmaz olarak eğimi artırırdı.
											Ama Pisa süregiden bir savaşın
içinde olduğundan
											inşaat neredeyse yüz yıl
süresince dördüncü katta kaldı.
											Bu uzun duraklama, toprağın iyice
yerleşmesine neden oldu,
											ve inşaat 1272'de tekrardan başladığında
											inşaatın temeli biraz daha sabit
bir temelin üstündeydi.
									","
											Uma fundação tão instável
seria um erro fatal
											se os artífices acrescentassem mais peso.
											A pressão dos andares superiores
faria afundar a estrutura
											e aumentar a inclinação
de modo fatal.
											Mas a construção ficou parada
no quarto piso, durante quase um século
											visto que Pisa se envolveu
numa prolongada guerra.
											Esta longa pausa permitiu
que o solo se ajustasse
											e, quando a construção recomeçou
em 1272,
											as fundações estavam assentes
num terreno um pouco mais estável.
									",Why doesn't the Leaning Tower of Pisa fall over?,Alex Gendler,4:49,"animation,TED-Ed,architecture,education,engineering,history,world cultures,culture"
"
","
","
","
",Why doesn't the Leaning Tower of Pisa fall over?,Alex Gendler,4:49,"animation,TED-Ed,architecture,education,engineering,history,world cultures,culture"
"
											Under the direction of 
architect Giovanni di Simone,
											workers compensated for 
the tower’s minor tilt
											by making the next few floors taller 
on the southern side.
											But the weight of the extra masonry 
made that side sink even deeper.
											By the time they completed the seventh 
floor and bell chamber,
											the angle of the tilt was 1.6 degrees.
									","
											Unter der Leitung
von Architekt Giovanni di Simone
											glichen die Arbeiter
die kleine Neigung des Turms aus,
											indem sie die nächsten Stockwerke
auf der Südseite höher machten.
											Aber das Gewicht des zusätzlichen
Mauerwerks ließ die Seite weiter absinken.
											Als das siebte Stockwerk
und die Glockenstube fertig waren,
											betrug der Winkel der Schieflage 1,6 Grad.
									","
											Mimar Giovanni di Simone'nin
yönetiminde,
											Güney cephesindeki birkaç
katı daha uzun yaparak
											işçiler kulenin eğimini
bir miktar azaltılar.
											Ama koyulan ek taşların ağırlığı
bu cephenin daha derine batmasına yol açtı
											Yedinci katı ve çan odasını
bitirdiklerinde
											eğim açısı 1,6 dereceydi.
									","
											Sob a direção do arquiteto
Giovanni di Simone,
											os artífices compensaram
a construção do lado menor
											construindo os andares seguintes
mais altos do lado sul.
											Mas o peso da alvenaria extra
tornou a inclinação ainda maior.
											Na altura em que terminaram
o sétimo andar e a câmara dos sinos,
											o ângulo da inclinação
era de 1,6 graus.
									",Why doesn't the Leaning Tower of Pisa fall over?,Alex Gendler,4:49,"animation,TED-Ed,architecture,education,engineering,history,world cultures,culture"
