en,es,tr,fr,title,speaker,duration,tags
"
","
","
","
",The era of blind faith in big data must end,Cathy O'Neil,13:18,"algorithm,data,inequality,marketing,society,technology"
"
											Algorithms are everywhere.
											They sort and separate
the winners from the losers.
											The winners get the job
											or a good credit card offer.
											The losers don't even get an interview
											or they pay more for insurance.
											We're being scored with secret formulas
that we don't understand
											that often don't have systems of appeal.
											That begs the question:
											What if the algorithms are wrong?
									","
											Hay algoritmos por todos lados.
											Ordenan y separan a los ganadores 
de los perdedores.
											Los ganadores consiguen el trabajo
											o buenas condiciones de crédito.
											A los perdedores ni siquiera 
se les invita a una entrevista
											o tienen que pagar más por el seguro.
											Se nos califica mediante fórmulas
secretas que no entendemos
											y a las que no se puede apelar.
											Eso plantea una pregunta:
											¿Qué pasa si los algoritmos se equivocan?
									","
											Algoritmalar her yerde.
											Kazananları kaybedenlerden ayırıyor.
											Kazananlar ya işi alıyor
											ya da iyi bir kredi kartı teklifi.
											Kaybedenler iş görüşmesine bile çağrılmaz
											veya sigorta primi için
daha fazla ödeme yaparlar.
											Doğrulama sistemi olmayan,
anlamadığımız
											gizli formülasyonlar ile puanlanıyoruz.
											Burada şu soru akla geliyor:
											Peki ya algoritmalar hatalıysa?
									","
											Les algorithmes sont partout.
											Ils trient et séparent
les vainqueurs des perdants.
											Les vainqueurs obtiennent le poste
											ou une bonne offre de carte de crédit.
											Les perdants n'obtiennent
même pas un entretien
											ou paient leur assurance plus cher.
											On nous classe avec des formules secrètes 
que nous ne comprenons pas
											qui n'offrent pas souvent 
de systèmes de recours.
											La question se pose donc :
											et si les algorithmes sont faux ?
									",The era of blind faith in big data must end,Cathy O'Neil,13:18,"algorithm,data,inequality,marketing,society,technology"
"
","
","
","
",The era of blind faith in big data must end,Cathy O'Neil,13:18,"algorithm,data,inequality,marketing,society,technology"
"
											To build an algorithm you need two things:
											you need data, what happened in the past,
											and a definition of success,
											the thing you're looking for
and often hoping for.
											You train an algorithm
by looking, figuring out.
											The algorithm figures out
what is associated with success.
											What situation leads to success?
									","
											Un algoritmo necesita dos cosas:
											datos ocurridos en el pasado
											y una definición del éxito;
											esto es, lo que uno quiere y lo que desea.
											Los algoritmos se entrenan
mirando, descubriendo.
											El algoritmo calcula a qué
se asocia el éxito,
											qué situaciones llevan al éxito.
									","
											Algoritma oluşturmak için 2 şey gerekli:
											Geçmişte ne olduğunu gösteren veri,
											o her zaman aradığınız
											ve bulmayı umduğunuz başarı tanımına.
											Sonuca ulaşmak için 
algoritma çalıştırırsınız.
											Algoritma başarı ile nelerin
bağlantılı olduğunu keşfeder.


											Hangi durum başarıya ulaştırır?
									","
											Deux choses constituent un algorithme :
											des données historiques,
											et une définition du succès,
											ce que l'on espère trouver.
											On forme un algorithme 
en observant, en comprenant,
											l'algorithme trouve ce que
l'on associe au succès,
											la situation qui mène au succès.
											En fait,
tout le monde utilise des algorithmes
									",The era of blind faith in big data must end,Cathy O'Neil,13:18,"algorithm,data,inequality,marketing,society,technology"
"
","
","
","
",The era of blind faith in big data must end,Cathy O'Neil,13:18,"algorithm,data,inequality,marketing,society,technology"
"
											Actually, everyone uses algorithms.
											They just don't formalize them
in written code.
											Let me give you an example.
											I use an algorithm every day
to make a meal for my family.
											The data I use
											is the ingredients in my kitchen,
											the time I have,
											the ambition I have,
											and I curate that data.
											I don't count those little packages
of ramen noodles as food.
									","
											En general todos usamos algoritmos
											pero no los formalizamos 
mediante un código escrito.
											Les doy un ejemplo.
											Yo uso un algoritmo todos los días
para preparar la comida en casa.
											Los datos que uso
											son los ingredientes de la cocina,
											el tiempo que tengo
											y lo ambiciosa que estoy.
											Y así organizo los datos.
											No incluyo esos paquetitos
de fideos como comida.
									","
											Aslında herkes algoritma kullanır.
											Sadece yazılı olarak formüle etmezler.
											Size bir örnek vereyim.
											Aileme yemek yapmak için
her gün algoritma kullanırım.
											Kullandığım veri
											mutfağımdaki malzemeler,
											zaman,
											tutkudur
											ve bu verileri düzene koyarım.
											Bu arada, Japon erişte paketlerini
yemekten saymıyorum.
									","
											sans forcément les formaliser
en les écrivant.
											Voici un exemple :
											chaque jour, en cuisinant
je me sers d'un algorithme.
											Les données que j'utilise
											sont les ingrédients à disposition,
											le temps dont je dispose,
											l'ambition que j'ai,
											et je conserve ces données.
											Je ne considère pas les paquets
de ramen comme de la nourriture.
											(Rires)
									",The era of blind faith in big data must end,Cathy O'Neil,13:18,"algorithm,data,inequality,marketing,society,technology"
"
","
","
","
",The era of blind faith in big data must end,Cathy O'Neil,13:18,"algorithm,data,inequality,marketing,society,technology"
"
											(Laughter)
									","
											(Risas)
									","
											(Kahkahalar)
									","
											Ma définition du succès est :
											un repas est réussi si mes enfants
mangent des légumes.
											Si mon fils était aux commandes,
ce serait différent.
											Pour lui, le succès serait
de manger plein de Nutella.
											Mais c'est moi qui choisis 
ce qu'est le succès.
											Je commande. C'est mon avis qui compte.
											C'est la première règle des algorithmes.
									",The era of blind faith in big data must end,Cathy O'Neil,13:18,"algorithm,data,inequality,marketing,society,technology"
"
","
","
","
",The era of blind faith in big data must end,Cathy O'Neil,13:18,"algorithm,data,inequality,marketing,society,technology"
"
											My definition of success is:
											a meal is successful
if my kids eat vegetables.
											It's very different
from if my youngest son were in charge.
											He'd say success is if
he gets to eat lots of Nutella.
											But I get to choose success.
											I am in charge. My opinion matters.
											That's the first rule of algorithms.
									","
											Mi definición del éxito es:
											la comida tiene éxito, 
si mis hijos comen verdura.
											Lo que sería muy distinto, 
si mi hijito tuviera el control.
											Para él el éxito es comer
mucha Nutella.
											Pero yo soy quien elige el éxito.
											Estoy al mando. Mi opinión cuenta.
											Esa es la primera regla de los algoritmos.
									","
											Başarı tanımım şudur:
											Çocuklarım sebzeleri yerse
yemeğim başarılıdır.
											En küçük oğluma sorulsaydı
bu tanım farklı olurdu.
											Onun başarı tanımı 
çok miktarda Nutella yemek.
											Ama başarıya ben ulaşmalıyım.
											Bu iş benim sorumluluğumda.
Görüşüm önemli.
											Bu, algoritmaların ilk kuralı.
									","
											Les algorithmes sont des opinions
intégrées dans du code.
											C'est très différent de ce que 
les gens pensent des algorithmes.
											Ils pensent que les algorithmes sont
objectifs, vrais et scientifiques.
											C'est une astuce marketing.
											C'en est une autre
											de vous intimider avec des algorithmes,
											de vous faire croire et craindre
les algorithmes,
											car vous croyez et craignez 
les mathématiques.
											Tout peut mal tourner quand on a
une foi aveugle dans le Big Data.
									",The era of blind faith in big data must end,Cathy O'Neil,13:18,"algorithm,data,inequality,marketing,society,technology"
