en,pt,fr,de,title,speaker,duration,tags
"
","
","
","
",The history of the world according to cats,Eva-Maria Geigl,4:20,"TED-Ed,animation,history,animals"
"
											On May 27th, 1941, the German battleship
Bismarck sank in a fierce firefight,
											leaving only 118 of her 
2,200 crew members alive.
											But when a British destroyer came to
collect the prisoners,
											they found an unexpected survivor -
											a black and white
cat clinging to a floating plank.
											For the next several months this cat
hunted rats and raised British morale -
											until a sudden torpedo strike shattered
the hull and sank the ship.
											But, miraculously, not the cat.

											Nicknamed Unsinkable Sam,
											he rode to Gibraltar with the rescued crew

											and served as a ship cat on three more vessels –
											one of which also sank - before
retiring to the Belfast Home for Sailors.
									","
											A 27 de maio de 1941, o navio alemão
Bismarck naufragou num violento incêndio,
											deixando apenas 118 dos 2200 membros
da tripulação com vida.
											Mas quando um contratorpedeiro inglês
veio recolher os prisioneiros,
											encontraram um sobrevivente inesperado
											— um gato preto e branco agarrado
a uma tábua que flutuava.
											Nos meses que se seguiram,
este gato caçou ratos
											e levantou o espírito dos britânicos
											até que foram atingidos por um torpedo
que despedaçou o casco e afundou o navio.
											Mas, milagrosamente, o gato sobreviveu.
											Batizado de ""Inafundável"" Sam,
											navegou até Gibraltar
com a equipa de resgate
											e prestou o mesmo serviço
noutras três embarcações
											— uma das quais também se afundou —
											antes de se reformar e ir
para a Casa dos Marinheiros, em Belfast.
									","
											Le 27 mai 1941, le cuirassé allemand
Bismark coula après une féroce bataille,
											et seuls 118 des 2 200 membres
d'équipage survécurent.
											Quand un destroyer anglais
arriva pour récupérer les survivants,
											ils trouvèrent un survivant inattendu,
											un chat noir et blanc accroché
à une planche flottante.
											Pendant les mois suivants, ce chat chassa
les rats et boosta le moral britannique,
											jusqu'à ce qu'une torpille fracasse
la coque et coule le navire.
											Mais, miraculeusement, pas le chat.
											Surnommé Sam l'Insubmersible,
											il arriva à Gibraltar
avec l'équipage sauvé
											et servit comme chat de navire
sur trois autres vaisseaux,
											dont un coula aussi,
											avant de prendre sa retraite
dans la Maison des marins de Belfast.
									","
											Am 27. Mai 1941 sank
das deutsche Schlachtschiff Bismarck
											in einem heftigen Feuergefecht.
											Nur 118 der 2.200
Besatzungsmitglieder überlebten.
											Aber als ein britischer Zerstörer
die Gefangenen aufnahm,
											fand man einen unerwarteten Überlebenden:
											eine schwarzweiße Katze,
die sich an eine Planke klammerte.
											In den Folgemonaten fing die Katze Ratten
und hob die Moral der Briten,
											bis das Schiff von einem Torpedo
getroffen wurde und sank.
											Doch wie durch ein Wunder
blieb die Katze am Leben.
											Sie wurde ""Unsinkbarer Sam"" getauft,
											fuhr mit der geretteten
Crew nach Gibraltar
											und diente auf drei anderen Schiffen,
von denen ein weiteres sank,
											bevor sie sich im Belfaster Heim
für Seeleute zur Ruhe setzte.
									",The history of the world according to cats,Eva-Maria Geigl,4:20,"TED-Ed,animation,history,animals"
"
","
","
","
",The history of the world according to cats,Eva-Maria Geigl,4:20,"TED-Ed,animation,history,animals"
"
											Many may not think of cats as serviceable
sailors,
											or cooperative companions 
of any kind.
											But cats have been working alongside
humans for thousands of years - 

											helping us just as often as we help them.
											So how did these solitary creatures go 
from wild predator to naval officer
											to sofa sidekick?

									","
											Muitos podem não pensar em gatos
como ajudantes de marinheiros,
											ou companheiros cooperativos
seja do que for.
											Mas os gatos têm trabalhado lado a lado
com os humanos há milhares de anos
											ajudando-nos, assim como nós os ajudamos.
											Então, como é que estes seres solitários
passaram de selvagens predadores
											a oficiais da marinha,
											e a companhia no sofá?
									","
											Beaucoup pourraient penser que les chats
ne sont pas des marins serviables,
											ni des compagnons coopératifs.
											Mais les chats travaillent avec les êtres
humains depuis des millénaires,
											nous aidant aussi souvent
que nous les aidons.
											Mais comment ces créatures solitaires
											sont-elles passées de prédateurs
sauvages à officiers de marine,
											à potes de sofa ?
									","
											Viele sehen Katzen wohl nicht
als taugliche Matrosen
											oder kooperative Begleiter jeglicher Art.
											Aber Katzen arbeiten seit Jahrtausenden
mit uns Menschen zusammen
											und helfen uns so oft wie wir ihnen.
											Wie wurden diese Einzelgänger
											vom wilden Raubtier zum
Marineoffizier und Couchgenossen?
									",The history of the world according to cats,Eva-Maria Geigl,4:20,"TED-Ed,animation,history,animals"
"
","
","
","
",The history of the world according to cats,Eva-Maria Geigl,4:20,"TED-Ed,animation,history,animals"
"
											The domestication of the modern house cat
											can be traced back to more than
10,000 years ago in the Fertile Crescent,
											at the start of the Neolithic era.

											People were learning to bend nature
to their will,
											producing much more food than
farmers could eat at one time.
											These Neolithic farmers stored their excess
grain in large pits and short, clay silos.
											But these stores of food attracted
hordes of rodents,
											as well as their predator,
Felis silvestris lybica -
											the wildcat found across North Africa
and Southwest Asia.
									","
											A domesticação do gato moderno
											pode encontrar-se há mais
de 10 000 anos, no Crescente Fértil,
											no início do período do Neolítico.
											A população estava a aprender
a dominar a natureza,
											produzindo muito mais comida
do que aquela que conseguia comer.
											Os agricultores do Neolítico guardavam
os excedentes de cereais em grandes covas
											e em pequenos silos de cerâmica
											Mas esses armazéns de comida
atraíam pragas de roedores,
											assim como os seus predadores
— o Felis silvestris lybica —
											o gato selvagem encontrado
no Norte de África e no Sudoeste asiático.
									","
											La domestication du chat moderne
											remonte à plus d'il y a 10 000 ans
dans le Croissant Fertile,
											au début de l'époque néolithique.
											Les gens apprenaient à plier
la nature à leur volonté,
											produisant bien plus de nourriture
											que ce que les agriculteurs
pouvaient manger.
											Ces agriculteurs néolithiques
gardaient le surplus
											dans de larges puits et dans
de petits silos en argile.
											Mais ces réserves de nourriture
attiraient des hordes de rongeurs,
											aussi bien que leur prédateur,
Felis silvestris lybica,
											le chat sauvage vivant en Afrique
du Nord et en Asie du Sud-Ouest.
									","
											Die Domestizierung der modernen Hauskatze
lässt sich im Fruchtbaren Halbmond
											über 10.000 Jahre bis zum Beginn
der Jungsteinzeit zurückverfolgen.
											Die Menschen zähmten die Natur
											und produzierten mehr Nahrung,
als sie essen konnten.
											Sie lagerten ihr überschüssiges Korn
in großen Gruben und niedrigen Lehmsilos.
											Aber diese Lager zogen Scharen
von Nagetieren und deren Jäger an —
											Felis silvestris lybica,
											die Wildkatze, die in Nordafrika
und Südwestasien heimisch war.
									",The history of the world according to cats,Eva-Maria Geigl,4:20,"TED-Ed,animation,history,animals"
"
","
","
","
",The history of the world according to cats,Eva-Maria Geigl,4:20,"TED-Ed,animation,history,animals"
"
											These wildcats were fast, fierce,
carnivorous hunters.
											And they were remarkably similar in size
and appearance to today’s domestic cats.
											The main differences being that ancient
wildcats were more muscular,
											had striped coats, and were less social
towards other cats and humans.
									","
											Estes gatos selvagens eram caçadores
carnívoros rápidos e ferozes.
											E eram notavelmente parecidos,
em tamanho e aspeto,
											com os gatos domésticos de hoje.
											A grande diferença é que os gatos
selvagens eram mais musculados,
											eram malhados, e menos sociáveis
que outros gatos e seres humanos.
									","
											Ces chats étaient des chasseurs
rapides, féroces et carnivores.
											Et ils étaient extrêmement similaires
en taille et apparence
											aux chats domestiques actuels.
											La principale différence est que
leurs ancêtres étaient plus musclés,
											avaient des fourrures rayées
											et étaient moins sociables vers
les autres chats et les êtres humains.
									","
											Wildkatzen waren
schnelle, gnadenlose Jäger
											und unserer heutigen Hauskatze
in Größe und Aussehen sehr ähnlich.
											Doch die frühere Wildkatze
hatte ein gestreiftes Fell,
											war muskulöser und distanzierter
gegenüber anderen Katzen und Menschen.
									",The history of the world according to cats,Eva-Maria Geigl,4:20,"TED-Ed,animation,history,animals"
"
","
","
","
",The history of the world according to cats,Eva-Maria Geigl,4:20,"TED-Ed,animation,history,animals"
"
											The abundance of prey in rodent-infested 
granaries
											drew in these typically solitary animals. 

											And as the wildcats learned to tolerate the 
presence of humans
											and other cats during mealtime,
											we think that farmers likewise tolerated
the cats in exchange for free pest control.
											The relationship was so beneficial that
the cats migrated with Neolithic farmers
											from Anatolia into Europe
and the Mediterranean.
									","
											A abundância de presas
nos celeiros infestados de roedores
											atraiu estes animais,
normalmente solitários.
											E enquanto os gatos aprendiam
a tolerar a presença de humanos
											e de outros gatos, na hora da refeição,
											pensamos que os agricultores
também toleravam os gatos
											em troca do controlo de pragas.
											A relação era tão benéfica que os gatos
migraram com os agricultores do Neolítico
											da Anatólia até à Europa
e ao Mediterrâneo.
									","
											L'abondance de proies dans les greniers
infestés par les rongeurs
											attira ces animaux typiquement solitaires.
											Et, pendant que les chats apprenaient
à tolérer la présence des hommes
											et d'autres chats pendant les repas,
											on pense que les agriculteurs
toléraient aussi les chats
											en échange de l'extermination
gratuite des nuisibles.
											Le rapport était si avantageux
											que les chats migrèrent
avec les agriculteurs néolithiques
											de l'Anatolie en Europe
et dans la Méditerranée.
									","
											Die Beutemenge in den Kornspeichern
											lockte die typischen Einzelgänger an.
											Als sich die Wildkatzen beim Fressen
an Menschen und andere Katzen gewöhnten,
											tolerierten wohl auch die Bauern Katzen
											aufgrund der kostenlosen
Schädlingsbekämpfung.
											Diese Beziehung war so vorteilhaft,

											dass die Katzen mit den Steinzeitbauern
											von Anatolien nach Europa
und in den Mittelmeerraum auswanderten.
									",The history of the world according to cats,Eva-Maria Geigl,4:20,"TED-Ed,animation,history,animals"
