en,fr,title,speaker,duration,tags
"
","
",Stories from a home for terminally ill children,Kathy Hull,15:18,"children,community,death,family,garden,happiness,health care,humanity,innovation,illness,parenting,life,society,social change"
"
											I want to introduce you to some
very wise kids that I've known,
											but first I want
to introduce you to a camel.
											This is Cassie, a therapy camel
visiting one of our young patients
											in her room,
											which is pretty magical.
											A friend of mine raises camels
at his ranch in the Santa Cruz Mountains.
											He has about eight of them,
											and he started 30 years ago
											because he thought
horses were too mundane.
											John is an out-of-the-box thinker,
											which explains why the two of us
have been such good friends
											all of our lives.
											Over the years, I've convinced him
to shuttle those sweet furry beasts
											up to hang out with our sick kids
from time to time.
											Talking to John, I was surprised to learn
											that camels have an average
life expectancy of 40 to 50 years.
											The life expectancy of many
of the children with whom I work
											is less than a year.
									","
											Je veux vous présenter certains enfants
très sages que j'ai rencontrés,
											mais je veux commencer
par vous présenter un chameau.
											Voici Cassie, un chameau thérapeutique qui
rend visite à une de nos jeunes patients
											dans sa chambre,
											ce qui est plutôt magique.
											Un de mes amis élève des chameaux
dans un ranch dans les monts Santa Cruz.
											Il en a huit
											et a commencé il y a 30 ans
											car il trouvait les chevaux trop mondains.
											John est un penseur
qui sort des sentiers battus,
											ce qui explique que nous deux
ayons été si bons amis
											toute notre vie.
											Au fil des années, je l'ai convaincu
d'emmener ces mignonnes bêtes poilues,
											de temps en temps, à passer du temps
avec des enfants malades.
											En parlant à John,
j'ai été surprise d'apprendre
											que les chameaux ont une espérance
de vie moyenne de 40 à 50 ans.
											L'espérance de vie de beaucoup
des enfants avec qui je travaille
											est moins d'un an.
									",Stories from a home for terminally ill children,Kathy Hull,15:18,"children,community,death,family,garden,happiness,health care,humanity,innovation,illness,parenting,life,society,social change"
"
","
",Stories from a home for terminally ill children,Kathy Hull,15:18,"children,community,death,family,garden,happiness,health care,humanity,innovation,illness,parenting,life,society,social change"
"
											This is a picture
of the George Mark Children's House,
											the first pediatric
palliative respite care center
											to open in the United States.
											I founded it in 2004,
											after years of working as a psychologist
											on pediatric intensive care units,
											frustrated with the undignified deaths
that so many children experienced
											and their families had to endure.
											As I sat with families whose children
were at the end of their lives,
											I was acutely aware of our surroundings.
											While the elevated train
rumbled overhead on its track,
											quite literally the room reverberated
with each passing train car.
											The lights on the ward
were fluorescent and too bright.
											Monitors beeped, as did the elevator,
											noisily announcing its arrival.
											These families were experiencing
											some of the most excruciating
moments of their lives,
											and I so wanted them
to have a more peaceful place
											in which to say a last goodbye
to their young daughters and sons.
											Surely, I thought,
											there must be a better spot
than a hospital intensive care unit
											for children at the end of their lives.
									","
											Voici une photo de la maison
pour enfants George Mark,
											le premier centre pédiatrique
de soins palliatifs
											jamais ouvert aux États-Unis.
											Je l'ai fondé en 2004,
											après des années à travailler
en tant que psychologue
											en unité pédiatrique de soins intensifs,
											frustrée par les morts indignes
connues par tant d'enfants
											et que leur famille devait endurer.
											En parlant aux familles de ces enfants
qui étaient en fin de vie,
											j'avais profondément conscience
de ce qui nous entourait.
											Alors que le train aérien grondait
sur ses rails, au-dessus de nos têtes,
											la pièce répercutait
le passage de chaque wagon.
											Les lumières dans la pièce
étaient fluorescentes et trop vives.
											Les moniteurs bipaient,
tout comme l'ascenseur,
											annonçant bruyamment son arrivée.
											Ces familles vivaient
											un des moments
les plus douloureux de leur vie
											et je voulais qu'elles aient
un endroit paisible
											où dire au revoir
à leurs jeunes filles et fils.
											Je pensais
											qu'il devrait y avoir un meilleur endroit
qu'une unité de soins intensifs
											pour les enfants en fin de vie.
									",Stories from a home for terminally ill children,Kathy Hull,15:18,"children,community,death,family,garden,happiness,health care,humanity,innovation,illness,parenting,life,society,social change"
"
","
",Stories from a home for terminally ill children,Kathy Hull,15:18,"children,community,death,family,garden,happiness,health care,humanity,innovation,illness,parenting,life,society,social change"
"
											Our children's house
											is calm and nurturing.
											It's a place where families
can stay together
											to enjoy quality time with their children,
											many of whom are there for respite stays,
											some with repeated visits
over a span of many years.
											We call those kids our frequent flyers.
											Rather than the bright,
noisy quarters of the hospital,
											their rooms are calm and comfortable,
											with actual living spaces
for the families,
											a sanctuary of gardens
											and a wonderful outdoor playground
											with special structures
for children with physical limitations.
									","
											Notre maison pour enfants
											est calme et propice.
											C'est un endroit où les familles
peuvent rester ensemble
											pour profiter de moments
de qualité avec leurs enfants,
											nombre d'entre eux sont là
pour un moment de sursis,
											certains nous font des visites répétées
au fil de plusieurs années.
											Nous appelons ces enfants
nos voyageurs fréquents.
											Au lieu des quartiers lumineux
et bruyants de l'hôpital,
											leurs chambres sont calmes
et confortables,
											il y a des espaces de vie
pour les familles,
											un sanctuaire de jardins
											et un superbe terrain de jeux extérieur
											avec des structures spéciales pour
les enfants ayant une limitation physique.
									",Stories from a home for terminally ill children,Kathy Hull,15:18,"children,community,death,family,garden,happiness,health care,humanity,innovation,illness,parenting,life,society,social change"
"
","
",Stories from a home for terminally ill children,Kathy Hull,15:18,"children,community,death,family,garden,happiness,health care,humanity,innovation,illness,parenting,life,society,social change"
"
											This sweet baby Lars
											came to us directly
from a hospital intensive care unit.
											Imagine hearing the heartbreaking news
											that none of us would ever want to hear.
											His parents had been told
that Lars had a brain anomaly
											that would keep him from ever swallowing,
											walking, talking
											or developing mentally.
											Recognizing what little chance
he had for survival,
											his parents chose
to focus on the quality of time
											that they could spend together.
											They moved into
one of our family apartments
											and treasured each day that they had,
											which were far too few.
											Lars's life was brief, to be sure,
											mere weeks,
											but it was calm and comfortable.
											He went on hikes with his parents.
											The time that he spent in the pool
with our aquatic therapist
											lessened the seizures he was experiencing
											and helped him to sleep at night.
											His family had a peaceful place
											in which to both celebrate his life
											and mourn his death.
									","
											Ce mignon bébé Lars
											nous est venu directement
d'une unité de soins intensifs.
											Imaginez entendre la nouvelle déchirante
											qu'aucun d'entre nous
ne voudrait entendre.
											On a dit à ses parents
que Lars avait une anomalie cérébrale
											qui l'empêcherait d'avaler,
											de marcher, de parler
											ou de se développer mentalement.
											Reconnaissant qu'il avait
peu de chances de survie,
											ses parents ont choisi de se concentrer
sur la qualité du temps
											qu'ils pouvaient passer ensemble.
											Ils ont emménagé
dans un appartement familial
											et ont chéri tous les jours
qu'ils ont eus,
											bien que ce ne fut pas assez.
											La vie de Lars a été brève, bien sûr,
											quelques semaines,
											mais elle a été calme et confortable.
											Il a fait des randonnées
avec ses parents.
											Le temps passé dans la piscine
avec notre thérapeute aquatique
											a diminué les crises qu'il connaissait
											et l'a aidé à dormir la nuit.
											Sa famille a eu un endroit paisible
											où célébrer sa vie
											et pleurer sa mort.
									",Stories from a home for terminally ill children,Kathy Hull,15:18,"children,community,death,family,garden,happiness,health care,humanity,innovation,illness,parenting,life,society,social change"
"
","
",Stories from a home for terminally ill children,Kathy Hull,15:18,"children,community,death,family,garden,happiness,health care,humanity,innovation,illness,parenting,life,society,social change"
"
											It has been five years
since Lars was with us,
											and in that time,
											his family has welcomed
											a daughter and another son.
											They are such a powerful testament
											to the positive outcome that specialized
children's hospice care can create.
											Their baby's physical discomfort
was well managed,
											giving all of them the gift of time
to be together in a beautiful place.
									","
											Cela fait 5 ans que Lars nous a quittés,
											et, depuis,
											sa famille a accueilli
											une fille et un autre fils.
											Ils sont un témoignage si fort
											du résultat positif que peut créer
											un hospice spécialisé
en soins pédiatriques.
											L'inconfort physique
de leur bébé a été bien géré,
											leur offrant à tous le temps
d'être ensemble dans un bel endroit.
									",Stories from a home for terminally ill children,Kathy Hull,15:18,"children,community,death,family,garden,happiness,health care,humanity,innovation,illness,parenting,life,society,social change"
