es,pt,en,fr,title,speaker,duration,tags
"
","
","
","
",Can the damaged brain repair itself?,Siddharthan Chandran,15:57,"brain,health,neuroscience,science,synthetic biology,cognitive science,molecular biology,biotech,aging,health care,medicine,medical research,disability,future,innovation"
"
											Estoy muy contento 
de estar aquí hoy
											para hablarles sobre 
cómo podríamos reparar
											los cerebros lesionados,
											y estoy especialmente 
emocionado con esta materia
											porque, como neurólogo,
											creo que ofrece 
una vía importante
											con la que podríamos ser 
capaces de ofrecer esperanza
											a los pacientes que viven 
hoy con las devastadoras
											y aún incurables 
enfermedades cerebrales.
									","
											Estou muito contente por estar aqui hoje
											para falar-vos de como podemos reparar
											o cérebro danificado.
											E estou muito entusiasmado nesta área,
											porque, como sou neurologista,
											creio que isso oferece 
uma das melhores formas
											de podermos vir a dar esperança
											a pacientes que vivem hoje
											com doenças cerebrais 
devastadoras e incuráveis.
									","
											I'm very pleased to be here today
											to talk to you all about how we might repair
											the damaged brain,
											and I'm particularly excited by this field,
											because as a neurologist myself,
											I believe that this offers one of the great ways
											that we might be able to offer hope
											for patients who today live with devastating
											and yet untreatable diseases of the brain.
									","
											Je suis très heureux 
d'être ici aujourd'hui
											pour vous parler 
des possibilités de réparer
											les lésions cérébrales,
											et je suis particulièrement 
intéressé par ce domaine,
											parce qu'en tant que neurologue,
											je suis persuadé 
que c'est l'un des meilleurs moyens
											que nous ayons, qui puisse 
nous permettre de donner de l'espoir
											aux patients qui vivent aujourd'hui 
avec des maladies cérébrales
											dévastatrices et pour l'instant 
incurables.
									",Can the damaged brain repair itself?,Siddharthan Chandran,15:57,"brain,health,neuroscience,science,synthetic biology,cognitive science,molecular biology,biotech,aging,health care,medicine,medical research,disability,future,innovation"
"
","
","
","
",Can the damaged brain repair itself?,Siddharthan Chandran,15:57,"brain,health,neuroscience,science,synthetic biology,cognitive science,molecular biology,biotech,aging,health care,medicine,medical research,disability,future,innovation"
"
											Y aquí está el problema.
											Ustedes pueden ver la imagen 
del cerebro de alguien
											que padece 
el mal de Alzheimer
											junto a un cerebro sano,
											y como es evidente, 
en el cerebro con Alzheimer
											hay daños obvios marcados con 
los círculos rojos: atrofia, cicatrices.
											Podría mostrales 
imágenes similares
											de otras enfermedades: 
esclerosis múltiple,
											enfermedad de la neurona motora, 
enfermedad de Parkinson,
											incluso enfermedad de Huntington,
											y todas ofrecerían 
una historia similar.
											De forma colectiva, estos trastornos 
cerebrales representan
											una de las mayores amenazas 
de salud pública de nuestro tiempo.
											Y las cifras son 
bastante alarmantes.
											En todo momento 
hay 35 millones de personas
											que viven con una de estas 
enfermedades cerebrales,
											y el costo global anual
											es de 700 mil 
miillones de dólares.
											Quiero decir, 
solo piensen en eso.
											Es más del 1%
											del PIB global.
											Y puede ser peor,
											porque todas estas 
cifras están aumentando
											debido a que son 
enfermedades relacionadas
											con la edad avanzada 
y estamos viviendo más.
											Entonces la pregunta que 
realmente necesitamos hacernos es
											por qué, dado el devastador 
impacto de estas enfermedades
											para el individuo,
											no importa la magnitud 
del problema social,
											¿por qué no hay 
tratamientos efectivos?
									","
											O problema é este:
											Podem ver aqui a imagem 
do cérebro duma pessoa
											com a doença de Alzheimer,
											ao lado de um cérebro saudável.
											O que é óbvio é que, 
no cérebro com Alzheimer,
											no círculo a vermelho, 
há danos evidentes — atrofia, cicatrizes.
											Podia mostrar-vos imagens semelhantes
											de outras doenças: esclerose múltipla,
											doença do neurónio motor, 
doença de Parkinson,
											doença de Huntington.
											Todas elas contariam a mesma história.
											Em conjunto, estas perturbações 
do cérebro representam
											uma das maiores ameaças 
à saúde pública da nossa época.
											Os números aqui são 
verdadeiramente aterradores.
											Num único momento, 
há hoje 35 milhões de pessoas
											que vivem com uma 
destas doenças do cérebro.
											O custo anual, globalmente,
											é de 700 mil milhões de dólares.
											Pensem só nisso.
											É mais do que 1%
											do PIB global.
											E está a piorar,
											porque todos estes números 
estão a aumentar
											porque, de modo geral,
											são doenças de idosos, 
e vivemos cada vez mais.
											Portanto, aquilo que devemos 
perguntar a nós mesmos é:
											""Porque é que, dado o impacto 
devastador destas doenças
											""para o indivíduo,
											""para além da dimensão do problema social,
											""não há tratamentos eficazes?""
									","
											So here's the problem.
											You can see here the picture of somebody's brain
											with Alzheimer's disease
											next to a healthy brain,
											and what's obvious is, in the Alzheimer's brain,
											ringed red, there's obvious
damage — atrophy, scarring.
											And I could show you equivalent pictures
											from other disease: multiple sclerosis,
											motor neuron disease, Parkinson's disease,
											even Huntington's disease,
											and they would all tell a similar story.
											And collectively these brain disorders represent
											one of the major public health threats of our time.
											And the numbers here are really rather staggering.
											At any one time, there are 35 million people today
											living with one of these brain diseases,
											and the annual cost globally
											is 700 billion dollars.
											I mean, just think about that.
											That's greater than one percent
											of the global GDP.
											And it gets worse,
											because all these numbers are rising
											because these are by and large
											age-related diseases, and we're living longer.
											So the question we really need to ask ourselves is,
											why, given the devastating impact of these diseases
											to the individual,
											never mind the scale of the societal problem,
											why are there no effective treatments?
									","
											Voici le problème.
											Vous pouvez voir ici 
le cerveau d'une personne
											atteinte de la maladie d'Alzheimer
											à côté d'un cerveau sain,
											ce qui est évident, c'est que 
dans le cerveau atteint d'Alzheimer,
											entourées en rouge, on voit des lésions 
évidentes – de l'atrophie, des cicatrices.
											Je pourrais aussi vous montrer 
des images semblables
											pour d'autres maladies : 
la sclérose en plaques,
											les maladies du motoneurone, 
la maladie de Parkinson,
											et même la maladie de Huntington
											et les résultats seraient tous similaires.
											Collectivement ces lésions cérébrales 
représentent l'un des plus grands dangers
											de notre époque 
en matière de santé publique.
											Les chiffres sont très impressionnants.
											Aujourd'hui, il y a 
35 millions de personnes
											qui vivent avec 
l'une de ces maladies cérébrales,
											dont le coût mondial annuel
											est de 700 milliards de dollars.
											Réfléchissez-y.
											C'est plus de 1%
											du PIB mondial.
											Pire encore,
											ces chiffres ne cessent de grandir
											parce que ces maladies sont 
largement liées à l'âge
											et l'espérance de vie augmente.
											La question que nous devons nous poser
est donc celle-ci :
											pourquoi, étant donné
les effets dévastateurs de ces maladies
											sur l'individu,
											sans même considérer 
l'échelle du problème sociétal,
											pourquoi n'y a t-il pas 
de traitements efficaces ?
									",Can the damaged brain repair itself?,Siddharthan Chandran,15:57,"brain,health,neuroscience,science,synthetic biology,cognitive science,molecular biology,biotech,aging,health care,medicine,medical research,disability,future,innovation"
"
","
","
","
",Can the damaged brain repair itself?,Siddharthan Chandran,15:57,"brain,health,neuroscience,science,synthetic biology,cognitive science,molecular biology,biotech,aging,health care,medicine,medical research,disability,future,innovation"
"
											Ahora, con el objetivo de 
reflexionar sobre esto,
											necesito primero darles 
un curso intensivo
											sobre cómo funciona 
el cerebro.
											En otras palabras, 
necesito decirles
											todo lo que aprendí en 
la facultad de medicina.
											(Risas)
											Pero créanme, 
no tomará mucho tiempo.
											¿De acuerdo? (Risas)
											Entonces el cerebro 
es muy simple:
											está compuesto 
por cuatro células,
											y dos de ellas aparecen aquí.
											Está la célula nerviosa,
											y luego la célula mielinizada
											o célula de aislamiento,
											que se llama oligodendrocito.
											Cuando estas cuatro células 
funcionan juntas,
											con salud y armonía,
											crean una extraordinaria 
sinfonía de actividad eléctrica,
											y esta es la actividad eléctrica
											que sustenta nuestra capacidad 
para pensar, emocionarnos,
											recordar, aprender, movernos, 
sentir y así sucesivamente.
											Pero del mismo modo, cada una 
de estas cuatro células individuales,
											solas o juntas, pueden 
descontrolarse o morir,
											y cuando eso sucede, 
ocurre daño.
											Daños en la conectividad.
											Interrupción en las conexiones.
											Y eso es evidente aquí 
con una conducción más lenta.
											Pero a la larga, 
este daño se manifestará
											claramente como enfermedad.
											Y si el punto de partida en 
la muerte de las células nerviosas
											es un nervio motor, por ejemplo,
											se desarrollará una enfermedad 
de la neurona motora.
									","
											Para podermos considerar isso,
											primeiro tenho que vos dar 
um curso relâmpago
											sobre como funciona o cérebro.
											Ou seja, preciso de vos contar
											tudo o que aprendi 
na faculdade de Medicina.
											(Risos)
											Mas, creiam-me, não vai demorar muito. Ok?
											(Risos)
											O cérebro é terrivelmente simples.
											É formado por quatro células,
											e duas delas estão aqui apresentadas.
											Esta é a célula nervosa,
											e esta é a célula mielínica
											ou a célula isoladora.
											Chama-se oligodendrócito.
											Quando estas quatro células 
trabalham em conjunto,
											saudável e harmoniosamente,
											criam uma sinfonia extraordinária 
de atividade elétrica,
											e é essa atividade elétrica
											que suporta a nossa capacidade 
de pensarmos, de nos emocionarmos,
											de recordarmos, de aprendermos, 
de nos movermos, de sentirmos, etc.
											Mas cada uma destas 
quatro células individuais,
											por si só ou em conjunto,
podem avariar-se ou morrer.
											E o que acontece,
é que ficamos diminuídos.
											com a instalação elétrica avariada.
											Ficamos com conexões interrompidas.
											Isso é evidente aqui 
com uma condução mais lenta.
											Mas esta avaria acaba por manifestar-se
											como uma doença, nitidamente.
											E, se a célula nervosa que começa a morrer
											é um nervo motor, por exemplo,
											ficamos com a doença do neurónio motor.
									","
											Now in order to consider this,
											I first need to give you a crash course
											in how the brain works.
											So in other words, I need to tell you
											everything I learned at medical school.
											(Laughter)
											But believe me, this isn't going to take very long.
											Okay? (Laughter)
											So the brain is terribly simple:
											it's made up of four cells,
											and two of them are shown here.
											There's the nerve cell,
											and then there's the myelinating cell,
											or the insulating cell.
											It's called oligodendrocyte.
											And when these four cells work together
											in health and harmony,
											they create an extraordinary
symphony of electrical activity,
											and it is this electrical activity
											that underpins our ability to think, to emote,
											to remember, to learn, move, feel and so on.
											But equally, each of these individual four cells
											alone or together, can go rogue or die,
											and when that happens, you get damage.
											You get damaged wiring.
											You get disrupted connections.
											And that's evident here with the slower conduction.
											But ultimately, this damage will manifest
											as disease, clearly.
											And if the starting dying nerve cell
											is a motor nerve, for example,
											you'll get motor neuron disease.
									","
											Pour envisager cette question,
											il faut d'abord que je vous fasse
un cours accéléré
											sur la manière dont fonctionne le cerveau.
											En d'autres termes, 
il faut que je vous raconte
											tout ce que j'ai appris
pendant mes études de médecine.
											(Rires)
											Croyez-moi, ça ne prendra pas 
beaucoup de temps.
											D'accord ? 
(Rires)
											Le cerveau est extrêmement simple :
											il est construit de quatre cellules
											et deux d'entre elles sont ici.
											Voici la cellule nerveuse
											et la cellule productrice de myéline,
											ou la cellule isolante.
											On appelle ça un oligodendrocyte.
											Quand ces quatre cellules 
travaillent ensemble
											en bonne santé et en harmonie,
											elles créent une extraordinaire 
symphonie d'activité électrique,
											c'est cette activité électrique
											qui nous permet de penser, 
d'avoir des émotions,
											d'utiliser notre mémoire, d'apprendre, 
de bouger, de sentir, etc.
											Mais chacune de ces quatre 
cellules individuelles,
											seule ou simultanément, 
peut dégénérer ou mourir,
											et quand ça arrive, 
cela créé des dommages.
											On a un problème de câblage.
											On se retrouve avec 
des connexions rompues.
											Et c'est évident ici 
avec un courant lent.
											Mais ces dégâts finiront 
par se manifester
											comme une maladie.
											Si la cellule nerveuse 
qui commence à mourir
											est un nerf moteur, par exemple,
											vous aurez 
une maladie motoneurone.
									",Can the damaged brain repair itself?,Siddharthan Chandran,15:57,"brain,health,neuroscience,science,synthetic biology,cognitive science,molecular biology,biotech,aging,health care,medicine,medical research,disability,future,innovation"
"
","
","
","
",Can the damaged brain repair itself?,Siddharthan Chandran,15:57,"brain,health,neuroscience,science,synthetic biology,cognitive science,molecular biology,biotech,aging,health care,medicine,medical research,disability,future,innovation"
"
											Me gustaría mostrarles 
un caso de la vida real
											sobre lo que sucede con 
una enfermedad de la neurona motora.
											Este es un paciente 
mío llamado John,
											a quien vi la semana 
pasada en la clínica.
											Le he pedido a John que nos cuente 
cuáles fueron los problemas
											que condujeron 
al diagnóstico inicial
											de enfermedad de 
la neurona motora.
									","
											Gostava de vos dar 
uma ilustração da vida real
											do que acontece com 
a doença do neurónio motor.
											Este é um paciente meu, chamado John.
											Observei o John na semana 
passada, na clínica,
											e pedi ao John que nos falasse
um pouco dos seus problemas
											que levaram ao diagnóstico inicial
											da doença do neurónio motor.
									","
											So I'd like to give you a real-life illustration
											of what happens with motor neuron disease.
											So this is a patient of mine called John.
											John I saw just last week in the clinic.
											And I've asked John to tell us something 
about what were his problems
											that led to the initial diagnosis
											of motor neuron disease.
									","
											J'aimerais vous donner 
une illustration réelle
											de ce qui arrive 
avec une maladie motoneurone.
											Voici l'un de mes patients, 
il s'appelle John.
											J'ai vu John pas plus tard 
que la semaine dernière à la clinique.
											Et je lui ai demandé de nous raconter
quels étaient les problèmes
											qui ont mené au diagnostic initial
											d'une maladie motoneurone.
									",Can the damaged brain repair itself?,Siddharthan Chandran,15:57,"brain,health,neuroscience,science,synthetic biology,cognitive science,molecular biology,biotech,aging,health care,medicine,medical research,disability,future,innovation"
"
","
","
","
",Can the damaged brain repair itself?,Siddharthan Chandran,15:57,"brain,health,neuroscience,science,synthetic biology,cognitive science,molecular biology,biotech,aging,health care,medicine,medical research,disability,future,innovation"
"
											John: Fui diagnosticado 
en octubre de 2011,
											y el problema principal 
fue respiratorio,
											dificultad para respirar.
									","
											- Fui diagnosticado em outubro de 2011.
											O problema principal 
era um problema de respiração,
											a dificuldade em respirar.
									","
											John: I was diagnosed in October in 2011,
											and the main problem was a breathing problem,
											difficulty breathing.
									","
											John : On m'a diagnostiqué 
en octobre 2011,
											le principal problème était 
un problème respiratoire,
											une respiration difficile.
									",Can the damaged brain repair itself?,Siddharthan Chandran,15:57,"brain,health,neuroscience,science,synthetic biology,cognitive science,molecular biology,biotech,aging,health care,medicine,medical research,disability,future,innovation"
