tr,en,fr,de,title,speaker,duration,tags
"
","
","
","
","How I named, shamed and jailed",Anas Aremeyaw Anas,12:46,"Africa,corruption,crime,global issues,journalism"
"
											Üzgünüm, size yüzümü gösteremem,
											çünkü; eğer gösterirsem, kötü adamlar peşimi bırakmaz.
									","
											I am sorry I cannot show you my face,
											because if I do, the bad guys will come for me.
									","
											Je suis désolé de ne pas pouvoir vous montrer mon visage
											parce que si je le fais, des gens mal intentionnés vont s'en prendre à moi.
									","
											Es tut mir leid, dass ich Ihnen 
mein Gesicht nicht zeigen kann.
											Wenn ich es täte, würden mich üble Kerle holen.
									","How I named, shamed and jailed",Anas Aremeyaw Anas,12:46,"Africa,corruption,crime,global issues,journalism"
"
","
","
","
","How I named, shamed and jailed",Anas Aremeyaw Anas,12:46,"Africa,corruption,crime,global issues,journalism"
"
											Seyahatim 14 yıl önce başladı.
											Okuldan yeni mezun olmuş genç bir muhabirdim.
									","
											My journey started 14 years ago.
											I was a young reporter. I had just come out of college.
									","
											Mon voyage a débuté il y a 14 ans.
											J'étais alors un jeune journaliste, je venais de finir la fac.
									","
											Meine Reise begann vor 14 Jahren.
											Ich war ein junger Reporter,
frisch von der Uni.
									","How I named, shamed and jailed",Anas Aremeyaw Anas,12:46,"Africa,corruption,crime,global issues,journalism"
"
","
","
","
","How I named, shamed and jailed",Anas Aremeyaw Anas,12:46,"Africa,corruption,crime,global issues,journalism"
"
											Daha sonra bir haber atlattım.
											Haber oldukça basit bir hikayeydi.
											Polis memurları sokakta işportacılık yapanlardan
											rüşvet alıyordu.
											Genç bir muhabir olarak, en çarpıcı etkiyi sağlamak için
											farklı bir şey yapmam gerektiğini düşündüm.
											Çünkü olanları herkes biliyordu,
											fakat hala bu sistemi bozacak bir şey yoktu.
									","
											Then I got a scoop.
											The scoop was quite a very simple story.
											Police officers were taking bribes
											from hawkers who were hawking on the streets.
											As a young reporter, I thought that I should do it
											in a different way, so that it has a maximum impact,
											since everybody knew that it was happening,
											and yet there was nothing that was keeping it out of the system.
									","
											Et j'ai dégoté un scoop.
											Le scoop était une histoire assez simple.
											Des officiers de police acceptaient des pots de vin
											de la part de vendeurs ambulants.
											En tant que jeune journaliste, j'ai pensé que je devais couvrir ça
											avec une approche différente, pour que ça ait un impact maximal,
											puisque tout le monde était au courant,
											et que pourtant rien n'était fait pour empêcher ça.
									","
											Da stieß ich auf eine Sensationsnachricht.
											Die Geschichte dahinter 
war eigentlich ganz einfach:
											Polizeibeamte ließen sich von
											fliegenden Händler auf den Straßen schmieren.
											Als junger Reporter dachte ich, ich sollte es
											so aufzäumen, dass es 
die größtmögliche Schockwirkung erzielte,
											weil ja schließlich jeder wusste,
											was da ablief, aber alles weiterlaufen ließen.
									","How I named, shamed and jailed",Anas Aremeyaw Anas,12:46,"Africa,corruption,crime,global issues,journalism"
"
","
","
","
","How I named, shamed and jailed",Anas Aremeyaw Anas,12:46,"Africa,corruption,crime,global issues,journalism"
"
											Bu yüzden oraya gitmeye
											ve bir satıcı gibi davranmaya karar verdim.
											Bu sayede,
											açık kanıtları belgeleyebilecektim.
											Etkisi mükemmeldi.
											Şahaneydi.
									","
											So I decided to go there
											and act as a seller.
											As part of selling, I was able to document
											the hard core evidence.
											The impact was great.
											It was fantastic.
									","
											J'ai donc décidé d'y aller
											et de me faire passer pour un vendeur.
											Ainsi je pouvais obtenir
											des preuves tangibles.
											L'impact a était impressionnant.
											C'était fantastique.
									","
											Also entschloss ich mich,
											selber den Händler zu geben.
											Als Händler getarnt, war ich in der Lage,
											schlagende Beweise zu dokumentieren.
											Der Schlag saß.
											Es war fantastisch.
									","How I named, shamed and jailed",Anas Aremeyaw Anas,12:46,"Africa,corruption,crime,global issues,journalism"
"
","
","
","
","How I named, shamed and jailed",Anas Aremeyaw Anas,12:46,"Africa,corruption,crime,global issues,journalism"
"
											Bu, çoğu kişinin
											kimlik ya da kılık değiştirme gazeteciliği dediği şeydi.
											Ben kılık değiştirmiş bir gazeteciyim.
											Gazeteciliğim üç temel esasa dayanır:
											açığa çıkarma, tutuklatma.
											Gaeztecilik sonuçlarla ilgilidir.
											Toplumunuzu en ilerleyici bir şekilde
											etkilemektir.
											Bunun için 14 yıldan fazla çalıştım,
											ve diyebilirim ki, sonuçlar çok iyi.
									","
											This was what many call immersion journalism,
											or undercover journalism.
											I am an undercover journalist.
											My journalism is hinged on three basic principles:
											naming, shaming and jailing.
											Journalism is about results.
											It's about affecting your community or your society
											in the most progressive way.
											I have worked on this for over 14 years,
											and I can tell you, the results are very good.
									","
											C'était ce que beaucoup appellent du journalisme d'immersion,
											ou du journalisme infiltré.
											J'étais un journaliste infiltré.
											Mon approche du métier repose sur trois principes de base :
											donner des noms, faire peser la honte et conduire en prison.
											Le journalisme, c'est des résultats.
											Il s'agit de faire prendre conscience de choses à la communauté ou à la société
											de la manière la plus progressive.
											Je travaille sur ça depuis 14 ans,
											et je peux vous dire que les résultats sont très bons.
									","
											So etwas nennen viele ›teilnehmenden Journalismus‹,
											oder ›Undercover-Journalismus‹.
											Ich bin Undercover-Journalist.
											Mein Journalismus macht sich
an drei grundlegenden Prinzipien fest:
											Namen nennen, anprangern, einsperren lassen.
											Bei Journalismus geht es um Ergebnisse.
											Es geht um die wegweisendste Art, 
auf die Gemeinschaft
											oder die Gesellschaft Einfluss zu nehmen.
											Ich habe mehr als 14 Jahre
in diesem Umfeld gearbeitet,
											und ich sage Ihnen: 
Die Ergebnisse sind sehr gut.
									","How I named, shamed and jailed",Anas Aremeyaw Anas,12:46,"Africa,corruption,crime,global issues,journalism"
